valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	67.8309020996	16.6441993713	-7.60956001282	64.3009033203	52.0635986328	-37.2215995789	54.7703819275	25.9911308289	-15.9421291351	1.0	-0.278764426708	-0.926206886768	-0.253833025694	0.131413266063	-0.003763231216	0.991320490837	1205.70654297	26.9400005341	0.0	2.0	4.0	2.0	5.70258998871	4.0	253.124908447	1.0	1.0	1
1.0	1.0	67.8309020996	16.6441993713	-7.60956001282	64.3009033203	52.0635986328	-37.2215995789	60.3254585266	30.3828811646	-15.1319828033	1.0	-0.37034419179	-0.760704338551	-0.53307980299	0.0858785137534	-0.366661816835	0.926382184029	382.027893066	26.9400005341	0.0	3.0	3.0	0.0	30.0	0.0	113.37890625	1.0	1.0	1
1.0	1.0	72.4917984009	23.9939994812	-16.2003993988	71.1631011963	24.0142002106	-36.0989990234	64.4036026001	26.1851997375	-20.1679992676	1.0	-0.143786042929	-0.976859331131	-0.158340066671	0.130172938108	-0.0463023781776	0.990409553051	143.535995483	21.0	0.0	1.0	1.0	0.0	0.0	0.0	69.8730010986	1.0	1.0	1
1.0	1.0	71.9172973633	27.7971000671	-13.7417001724	73.5184020996	33.800201416	-38.8128013611	63.3242988586	32.6220016479	-24.0027999878	1.0	-0.273114025593	-0.928609073162	-0.251185029745	-0.00691890949383	-0.184107005596	0.982881903648	373.101013184	28.5	0.0	1.0	1.0	0.0	0.0	0.0	68.5547027588	-1.0	0.0	1
1.0	1.0	69.3165969849	18.6490001678	-14.3572998047	59.001701355	50.7776985168	-49.9686012268	57.7550086975	33.3960456848	-22.1617622375	1.0	-0.123650252819	-0.695948541164	-0.707365632057	0.403644621372	0.828218579292	0.388747960329	1655.12255859	34.8400001526	0.0	4.0	8.0	4.0	11.4764995575	0.0	295.312408447	1.0	1.0	1
1.0	1.0	69.2665023804	48.5005989075	-11.7118997574	69.3165969849	18.6490001678	-14.3572998047	52.9907493591	24.846786499	-9.90878295898	1.0	-0.135216355324	-0.688229382038	-0.712781071663	-0.0126091055572	0.999199390411	-0.0379680134356	1055.20227051	34.7000007629	0.0	3.0	3.0	0.0	30.0	0.0	60.1171798706	1.0	1.0	1
1.0	1.0	69.3165969849	18.6490001678	-14.3572998047	65.0052032471	27.8169002533	-53.037399292	53.0150794983	23.1212368011	-15.8281164169	1.0	0.215748116374	-0.706880807877	-0.673626303673	0.266825735569	0.945149838924	0.188403531909	1102.86730957	34.8400001526	0.0	4.0	5.0	1.0	8.39999961853	0.0	118.124984741	1.0	1.0	1
1.0	1.0	69.3165969849	18.6490001678	-14.3572998047	59.001701355	50.7776985168	-49.9686012268	59.9282913208	36.1437530518	-23.8247203827	1.0	-0.191686660051	-0.620029330254	-0.760802030563	0.431724309921	0.828432440758	0.356810778379	1296.8137207	34.8400001526	0.0	2.0	4.0	2.0	11.4764995575	0.0	252.070205688	1.0	1.0	1
1.0	1.0	69.3165969849	18.6490001678	-14.3572998047	59.001701355	50.7776985168	-49.9686012268	59.5231361389	32.5951652527	-25.9966373444	1.0	-0.295563578606	-0.717772960663	-0.630431652069	0.425327807665	0.0741531029344	0.90199649334	1217.92004395	34.8400001526	0.0	1.0	3.0	3.0	8.39999961853	0.0	253.125015259	1.0	1.0	1
1.0	1.0	71.9172973633	27.7971000671	-13.7417001724	59.001701355	50.7776985168	-49.9686012268	62.3957595825	36.8872299194	-27.3420219421	1.0	-0.261961072683	-0.733435809612	-0.627254605293	0.222127646208	-0.0195122044533	0.974822282791	1145.60107422	28.5	0.0	1.0	2.0	1.0	3.81432008743	1.0	247.851501465	1.0	1.0	1
1.0	1.0	69.2665023804	48.5005989075	-11.7118997574	69.3165969849	18.6490001678	-14.3572998047	58.5340538025	35.0963783264	-14.5526037216	1.0	-0.113601773977	-0.578625261784	-0.80764311552	0.135392978787	0.989043056965	-0.058843228966	823.452026367	34.8400001526	0.0	2.0	2.0	0.0	30.0	0.0	101.25	1.0	1.0	1
1.0	1.0	72.1139984131	22.7159996033	-17.304599762	66.8221969604	26.17029953	-50.4603004456	65.481300354	18.8542003632	-32.3342018127	1.0	-0.369789838791	-0.928764641285	-0.0255259927362	0.204726919532	-0.0535050816834	0.977355659008	349.140991211	13.3999996185	0.0	1.0	1.0	0.0	0.0	0.0	94.7461013794	-1.0	0.0	1
1.0	1.0	72.1139984131	22.7159996033	-17.304599762	67.3087005615	43.64220047	-48.6764984131	58.3785438538	27.4558105469	-25.2282238007	1.0	-0.381038635969	-0.838510990143	0.389498263597	0.209999009967	-0.0257800053805	0.977361619473	937.989562988	37.0400009155	0.0	3.0	3.0	0.0	30.0	0.0	159.521499634	1.0	1.0	1
1.0	1.0	72.1139984131	22.7159996033	-17.304599762	67.3087005615	43.64220047	-48.6764984131	58.136390686	27.381072998	-25.2120723724	1.0	-0.388119518757	-0.84524923563	0.367310345173	0.209999009967	-0.0257800053805	0.977361619473	983.152038574	37.0400009155	0.0	4.0	4.0	0.0	30.0	0.0	159.521499634	1.0	1.0	1
1.0	1.0	72.4802017212	45.9277000427	-20.9944000244	67.3087005615	43.64220047	-48.6764984131	59.0534477234	30.966501236	-17.798078537	1.0	-0.309297144413	-0.856634259224	-0.412932187319	0.219119980931	0.02447719872	0.975390911102	510.683105469	29.6599998474	0.0	4.0	4.0	0.0	30.0	0.0	64.7753982544	1.0	1.0	1
1.0	1.0	73.0067977905	29.5673007965	-17.386100769	66.8221969604	26.17029953	-50.4603004456	63.0357246399	24.4517917633	-26.3142871857	1.0	-0.299086093903	-0.951619684696	-0.0704797878861	0.0800418555737	0.199949502945	0.976531326771	637.485961914	28.6399993896	0.0	1.0	2.0	1.0	3.16213011742	0.0	112.148399353	1.0	1.0	1
1.0	1.0	73.0067977905	29.5673007965	-17.386100769	66.8221969604	26.17029953	-50.4603004456	63.0357246399	24.4517917633	-26.3142871857	1.0	-0.299086093903	-0.951619684696	-0.0704797878861	0.0800418555737	0.199949502945	0.976531326771	637.485961914	28.6399993896	0.0	1.0	2.0	1.0	3.16213011742	0.0	112.148399353	1.0	1.0	1
1.0	1.0	73.0067977905	29.5673007965	-17.386100769	66.8221969604	26.17029953	-50.4603004456	63.0357246399	24.4517917633	-26.3142871857	1.0	-0.299086093903	-0.951619684696	-0.0704797878861	0.0800418555737	0.199949502945	0.976531326771	637.485961914	28.6399993896	0.0	1.0	2.0	1.0	3.16213011742	0.0	112.148399353	1.0	1.0	1
1.0	1.0	74.2914962769	35.079498291	-22.4787006378	71.9916000366	30.5860004425	-37.3913002014	67.7986373901	32.2267112732	-30.1099128723	1.0	-0.0809636190534	-0.73068600893	0.677895843983	-0.0942445620894	0.0274779871106	0.995169758797	178.789001465	14.4399995804	0.0	1.0	1.0	0.0	0.0	0.0	60.5321998596	-1.0	0.0	1
1.0	1.0	75.2705993652	38.6175994873	-6.13505983353	60.2500991821	6.70541000366	-54.5060005188	56.7504920959	28.0897121429	-19.1106090546	1.0	-0.435305505991	-0.883036673069	-0.175372421741	0.177721604705	-0.544312059879	0.819841086864	2157.00708008	34.6599998474	0.0	6.0	7.0	1.0	1.55122005939	6.0	335.558990479	1.0	1.0	1
1.0	1.0	72.7697982788	32.4908981323	-15.5811004639	71.9916000366	30.5860004425	-37.3913002014	67.4828414917	31.5385074615	-27.1463489532	1.0	-0.0179100017995	-0.617988526821	0.785983085632	-0.0666958093643	0.304679334164	0.950116932392	226.850601196	16.0	0.0	2.0	2.0	0.0	30.0	0.0	82.9028015137	1.0	1.0	1
1.0	1.0	71.2772979736	50.2589988708	-27.6387996674	60.2500991821	6.70541000366	-54.5060005188	58.0094223022	25.6210174561	-25.4249134064	1.0	-0.103965610266	-0.760607779026	0.640832960606	0.0910252332687	0.298898220062	0.949933767319	865.109863281	34.5600013733	0.0	4.0	5.0	1.0	10.4395999908	0.0	178.964797974	1.0	1.0	1
1.0	1.0	74.2914962769	35.079498291	-22.4787006378	65.2591018677	41.0544013977	-50.9546012878	64.7234268188	35.1363677979	-36.2293128967	1.0	-0.244122102857	-0.969218492508	-0.0319362953305	0.19471424818	-0.401811718941	0.894781351089	449.856994629	18.1800003052	0.0	1.0	1.0	0.0	0.0	0.0	135.539505005	0.875307817224	1.0	1
1.0	1.0	70.201499939	30.026599884	-16.5279006958	73.8427963257	51.1688995361	-29.0372009277	62.7931098938	39.6285591125	-20.1250667572	1.0	-0.115387178957	-0.610017240047	-0.783941864967	0.00829352065921	-0.728244304657	0.685267448425	872.79901123	28.4400005341	0.0	1.0	2.0	1.0	4.40000009537	0.0	153.962402344	1.0	1.0	1
1.0	1.0	73.8295974731	25.9643001556	-18.3868999481	65.2591018677	41.0544013977	-50.9546012878	63.1317710876	38.9870567322	-24.9729175568	1.0	-0.155669569969	-0.732656419277	-0.662556767464	0.0829501226544	-0.677950322628	0.730412602425	1207.30834961	28.4400005341	0.0	1.0	2.0	1.0	3.28959989548	2.0	281.606384277	1.0	1.0	1
1.0	1.0	73.8295974731	25.9643001556	-18.3868999481	65.2591018677	41.0544013977	-50.9546012878	63.1317710876	38.9870567322	-24.9729175568	1.0	-0.155669569969	-0.732656419277	-0.662556767464	0.0829501226544	-0.677950322628	0.730412602425	1207.30834961	28.4400005341	0.0	1.0	2.0	1.0	3.28959989548	2.0	281.606384277	1.0	1.0	1
