valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	69.9319992065	13.0066003799	-8.82470989227	34.6481018066	47.7052993774	-68.5743026733	51.5244255066	29.3869686127	-43.0508003235	1.0	0.488351404667	0.827000379562	0.278537750244	0.456549972296	-0.488552570343	0.743557989597	1625.2701416	26.9200000763	0.0	1.0	1.0	0.0	0.0	2.0	352.001983643	-1.0	0.0	1
1.0	1.0	67.8309020996	16.6441993713	-7.60956001282	-0.161209002137	67.4682998657	-31.5942001343	44.4709434509	51.6914138794	-45.8760681152	1.0	0.337448686361	0.750529646873	0.568184554577	0.598050355911	-0.702497780323	0.385788351297	1642.93725586	28.2800006866	0.0	4.0	6.0	2.0	11.8955001831	2.0	504.931976318	1.0	1.0	1
1.0	1.0	58.835899353	29.3680992126	-53.1202011108	54.2962989807	28.9270000458	-56.5909996033	55.0848999023	30.5251998901	-50.9959983826	1.0	0.179165974259	0.96523976326	-0.190293952823	0.662057757378	-0.0598298795521	0.747060775757	35.3320999146	9.77999973297	0.0	1.0	1.0	0.0	0.0	0.0	17.1387004852	0.999999751105	1.0	1
1.0	1.0	69.9319992065	13.0066003799	-8.82470989227	28.4740009308	34.9394989014	-78.9377975464	50.8004112244	30.9097194672	-41.8596954346	1.0	0.480794221163	0.831794559956	0.277407407761	0.467271178961	-0.468029916286	0.75007045269	1812.97155762	26.9200000763	0.0	3.0	3.0	0.0	30.0	2.0	427.148498535	1.0	1.0	1
1.0	1.0	69.9319992065	13.0066003799	-8.82470989227	28.4740009308	34.9394989014	-78.9377975464	49.8889350891	27.9486503601	-43.892326355	1.0	0.465445488691	0.84899109602	0.250149190426	0.461861222982	-0.502168953419	0.731102287769	2241.37304688	26.9200000763	0.0	1.0	3.0	2.0	4.92164993286	3.0	549.75592041	1.0	1.0	1
1.0	1.0	70.6491012573	3.86594009399	-16.307100296	32.4047012329	76.301399231	-59.0032997131	47.5840988159	37.4815711975	-45.7169685364	1.0	0.462232112885	0.81301432848	0.354047000408	0.54065901041	-0.591616630554	0.598061561584	3530.98925781	28.2800006866	0.0	1.0	6.0	6.0	8.09514045715	5.0	887.256103516	1.0	1.0	1
1.0	1.0	70.6491012573	3.86594009399	-16.307100296	32.4047012329	76.301399231	-59.0032997131	47.8806991577	36.7942237854	-44.5992279053	1.0	0.481799423695	0.788329362869	0.38263052702	0.515289366245	-0.623485565186	0.58799880743	3464.74121094	28.2800006866	0.0	1.0	6.0	5.0	6.76301002502	3.0	841.113525391	1.0	1.0	1
1.0	1.0	70.6491012573	3.86594009399	-16.307100296	32.4047012329	76.301399231	-59.0032997131	45.7671508789	42.7406158447	-46.2735328674	1.0	0.39764469862	0.831887483597	0.387094199657	0.597092032433	-0.620083272457	0.508898675442	2102.25317383	28.2800006866	0.0	3.0	8.0	5.0	11.8955001831	2.0	635.44934082	1.0	1.0	1
1.0	1.0	64.3774032593	25.7196006775	-47.1470985413	65.4133987427	51.2356987	-35.285900116	61.8338813782	40.2763900757	-42.1728668213	1.0	-0.334272772074	0.731792211533	-0.593920767307	0.203062862158	0.608056008816	0.767485141754	161.202301025	11.0399999619	0.0	1.0	2.0	1.0	10.6875	0.0	94.9217987061	1.0	1.0	1
1.0	1.0	69.9319992065	13.0066003799	-8.82470989227	28.4740009308	34.9394989014	-78.9377975464	50.8974113464	30.1881313324	-42.4272689819	1.0	0.513697326183	0.799978256226	0.31008040905	0.402948021889	-0.48822581768	0.774124264717	1965.34106445	26.9200000763	0.0	1.0	3.0	2.0	5.625	4.0	551.07421875	1.0	1.0	1
