valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	415.151489258	1.0	1.0	231.867095947	1.0	1.0	80.4198614359	1.78535710714	-0.890367627144	-0.0477183833718	-0.452734321356	5.46056813313	8.0452616139	21.4061508179	-20.1598510742	23.9626502991	0.655369877815	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4577.70898438	6.0	3.0	2671.98510742	16.0	5.0	97.5585210323	0.0	0.0334177166224	0.984702408314	-0.171010166407	11.995574135	2.09472428613	57.881652832	-12.6462497711	-0.565895020962	0.333549708128	8.0	4.40000009537	242.578222752	2.0	14.5600004196	0.999978559363	1.0	1
1.0	2287.75024414	12.0	6.0	1729.06262207	11.0	3.0	13.1836000681	0.0	-0.0335074551404	-0.984699070454	0.171011552215	3.73940866783	16.7537291062	47.4288024902	-23.1692504883	1.42638492584	0.448644518852	9.0	5.84000015259	239.941363811	0.0	15.1800003052	0.984889511314	1.0	1
1.0	4818.40820312	6.0	3.0	2976.72436523	15.0	6.0	93.6035385132	0.0	-0.999346494675	0.0346352793276	0.0103471158072	40.1275493252	2.20827169752	12.7973995209	-9.12587547302	21.2875995636	0.756485879421	21.0	4.40000009537	511.52338016	4.0	19.4200000763	0.999999935987	1.0	1
1.0	768.471496582	2.0	2.0	556.480102539	3.0	2.0	101.513661146	1.15144690835	0.735087871552	0.665917813778	-0.127276420593	7.67561848786	9.60018416864	49.3598480225	-16.4057998657	2.03461003304	0.615225195885	0.0	0.0	0.0	0.0	0.0	0.324064500985	1.0	1
1.0	203.158996582	1.0	1.0	739.764892578	4.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	14.5	51.4160003662	0.0	14.5	0.969446190541	1.0	1
1.0	306.946990967	1.0	1.0	340.071594238	2.0	2.0	162.158203125	0.0	0.0334178842604	0.984706521034	-0.170986399055	1.57444023297	18.9198999989	45.2723464966	-25.0548496246	16.2728996277	0.37740829587	2.0	3.75999999046	54.0527000427	0.0	9.10000038147	0.38736126005	1.0	1
1.0	1214.53857422	3.0	2.0	2691.86083984	4.0	1.0	155.566321135	0.0	-0.0335074551404	-0.984699070454	0.171011552215	3.73940866783	41.9262483742	47.4288024902	-23.1692504883	1.42638492584	0.448644518852	10.0	0.939999997616	461.425762773	5.0	15.3800001144	0.984488934548	1.0	1
1.0	624.934997559	3.0	3.0	1071.00354004	4.0	2.0	145.019499779	0.0	-0.0334208384156	-0.984703779221	0.171001508832	12.0893571944	1.10408855858	17.710149765	-13.1059999466	21.8964996338	0.720513761044	2.0	5.26000022888	30.3222007751	1.0	8.60000038147	0.276092172077	1.0	1
1.0	1241.0378418	3.0	3.0	2292.16650391	6.0	1.0	109.423820615	0.0	0.99934732914	-0.0346089676023	-0.0103454329073	22.0064479742	43.3352015948	23.6905002594	-19.7901992798	26.5773010254	0.651980698109	8.0	3.75999999046	374.413980484	6.0	15.3800001144	0.970229342127	1.0	1
1.0	261.335510254	1.0	1.0	394.468597412	3.0	1.0	65.3906993866	1.65585624765	0.378983944654	-0.401313185692	-0.833857834339	17.0939204959	28.0220522553	46.2896995544	-22.4717998505	14.7595500946	0.0895395278931	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4064.66503906	11.0	7.0	2789.21899414	17.0	11.0	365.976474762	0.0	-0.0461924858391	-0.993749558926	0.101626843214	42.5033718791	17.7697008435	29.8287010193	-15.1255493164	21.8243999481	0.911784589291	29.0	4.76000022888	645.46852231	5.0	27.0799999237	0.999998144004	1.0	1
1.0	3990.70141602	9.0	4.0	2766.20874023	15.0	8.0	172.968810558	0.0	-0.046189840883	-0.993750751019	0.101616896689	42.0136158989	11.1938748232	23.3896999359	-13.2467002869	16.9787998199	0.941699504852	22.0	4.23999977112	455.624792099	5.0	13.4600000381	0.999988370148	1.0	1
1.0	2789.21801758	10.0	3.0	2854.96337891	17.0	8.0	196.171863556	0.0	-0.0461898036301	-0.993749916553	0.10162524879	40.0658637433	5.99946337525	55.4876022339	-16.410900116	5.92964506149	0.209206461906	16.0	4.76000022888	389.179619312	5.0	27.0799999237	0.999976916566	1.0	1
1.0	78.8936004639	1.0	1.0	576.910461426	4.0	2.0	84.3751001358	0.0	0.0461898446083	0.993750870228	-0.101615972817	12.6213010903	1.01755885364	50.3677978516	-19.5694007874	14.6595993042	0.889706194401	1.0	1.77999997139	1.0546900034	2.0	8.93999958038	0.446149866926	1.0	1
1.0	636.07989502	3.0	2.0	1104.51098633	5.0	2.0	67.5000209808	0.0	-0.046189840883	-0.993750751019	0.101616896689	20.0081068775	47.0386570164	23.3896999359	-13.2467002869	16.9787998199	0.941699504852	4.0	4.23999977112	91.7578010559	1.0	4.23999977112	0.971589689717	1.0	1
1.0	736.340026855	4.0	2.0	1706.07531738	7.0	2.0	7.38281011581	2.93313647896	-0.8086373806	-0.222079694271	0.544781029224	17.5943336729	37.1642866755	52.2243003845	-21.0048999786	10.5747900009	0.748951256275	8.0	6.21999979019	206.71879828	3.0	12.6400003433	0.771104724349	1.0	1
1.0	982.882446289	4.0	4.0	1806.33642578	6.0	4.0	180.351471782	0.0	0.0461898036301	0.993749916553	-0.10162524879	21.260844975	2.33381214225	55.4876022339	-16.410900116	5.92964506149	0.209206461906	13.0	4.23999977112	260.507610321	4.0	12.6400003433	0.987809605807	1.0	1
1.0	1372.4206543	3.0	1.0	1508.8416748	8.0	3.0	121.289100647	0.0	-0.046189840883	-0.993750751019	0.101616896689	20.0081068775	11.1938748232	23.3896999359	-13.2467002869	16.9787998199	0.941699504852	6.0	4.23999977112	95.9766998291	4.0	11.4399995804	0.920543774301	1.0	1
1.0	837.242797852	1.0	1.0	267.500579834	2.0	1.0	80.2440986633	0.0	0.0219685584307	-0.195662438869	-0.980425238609	30.4038832744	13.7422957598	34.7501525879	-29.5596504211	23.4598999023	0.0407657474279	1.0	0.939999997616	0.966796994209	1.0	0.939999997616	-1.0	0.0	1
1.0	4366.86083984	11.0	7.0	3623.41943359	10.0	4.0	253.300807953	0.0	-0.0219669807702	0.195696637034	0.980418384075	41.409206852	1.75124689367	16.8632507324	-6.72121524811	26.4324989319	0.508409440517	30.0	0.939999997616	432.158056378	19.0	30.2800006866	0.999983221898	1.0	1
1.0	4233.11035156	12.0	2.0	1582.4230957	11.0	5.0	116.015668988	0.0	0.999279558659	0.0342911146581	0.0162639003247	41.0441731005	2.59887712514	54.673500061	-21.8590507507	1.89796495438	0.306398272514	25.0	0.939999997616	453.427686453	14.0	30.2800006866	0.99999420727	1.0	1
1.0	17.3701992035	1.0	1.0	880.668212891	4.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	19.1000003815	33.8378982544	1.0	19.1000003815	0.338927919782	1.0	1
1.0	36.4774017334	1.0	0.0	408.199584961	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495536365594	1.0	1
1.0	816.398620605	1.0	1.0	613.166748047	4.0	2.0	80.2440986633	0.0	0.0219685584307	-0.195662438869	-0.980425238609	30.4038832744	13.7422957598	34.7501525879	-29.5596504211	23.4598999023	0.0407657474279	2.0	0.939999997616	24.1698971987	2.0	8.64000034332	0.115497780889	1.0	1
1.0	1964.56713867	5.0	2.0	1535.52368164	6.0	5.0	172.089854479	0.0	-0.999276995659	-0.0343435108662	-0.0163090173155	26.7278961411	4.85313166552	15.1428003311	-5.82301998138	25.4925498962	0.286170750856	22.0	0.939999997616	431.191401124	10.0	16.0400009155	0.982460493574	1.0	1
1.0	1342.71484375	4.0	1.0	797.291259766	9.0	5.0	84.1112885475	0.0	-0.999279558659	-0.0342911146581	-0.0162639003247	21.1613867875	2.83479475217	54.673500061	-21.8590507507	1.89796495438	0.289459139109	5.0	0.939999997616	57.0410772562	4.0	9.27999973297	0.673402712327	1.0	1
1.0	1914.19335938	6.0	3.0	1327.08190918	8.0	3.0	35.7714896202	0.0	0.999279558659	0.0342911146581	0.0162639003247	22.7565680444	0.0	54.673500061	-21.8590507507	1.89796495438	0.775745213032	13.0	6.51999998093	273.603529692	7.0	20.7999992371	0.967369894681	1.0	1
1.0	651.716003418	1.0	1.0	784.365478516	2.0	2.0	125.012203217	0.0	-0.998987436295	0.0365989692509	-0.0261648651212	13.9261017451	8.49025571692	21.6255493164	-23.3418998718	21.1847000122	0.604908168316	2.0	5.32000017166	55.268497467	2.0	6.76000022888	-1.0	0.0	1
1.0	1818.65234375	8.0	5.0	1899.39489746	15.0	7.0	72.3754483461	0.0	-0.998985350132	0.0365981273353	-0.0262444131076	1.24596368476	40.8808679131	12.6401500702	-5.11572980881	10.2005500793	0.582101285458	20.0	5.34000015259	493.469246387	6.0	24.3400001526	0.996622919448	1.0	1
1.0	4183.28515625	10.0	8.0	3245.12036133	20.0	10.0	525.051090002	0.0	-0.0429139845073	-0.985950887203	0.161428317428	1.20239359434	35.7580574399	12.2557001114	-28.2560501099	14.0012493134	0.975150167942	38.0	5.34000015259	1072.47321439	13.0	24.3400001526	0.999999542652	1.0	1
1.0	3125.92895508	9.0	5.0	2950.98242188	17.0	8.0	114.484817147	0.0	-0.0429139845073	-0.985950887203	0.161428317428	1.20239359434	39.0812048966	12.2557001114	-28.2560501099	14.0012493134	0.975150167942	26.0	6.53999996185	557.949227214	10.0	24.8600006104	0.99999865453	1.0	1
1.0	1899.39599609	4.0	4.0	1714.83825684	8.0	4.0	281.606419086	0.0	-0.998987436295	0.0365989692509	-0.0261648651212	13.4493129172	21.5008083458	21.6255493164	-23.3418998718	21.1847000122	0.604908168316	11.0	5.32000017166	332.927168369	8.0	17.3999996185	0.98552954956	1.0	1
1.0	811.280212402	1.0	1.0	1103.49450684	4.0	3.0	159.226104736	0.0	-0.0429981462657	-0.98595136404	0.161403268576	0.0	37.5280981972	52.668548584	-23.0768508911	2.26137495041	0.191416233778	3.0	5.32000017166	75.0072975159	3.0	7.86000013351	0.713768477388	1.0	1
1.0	1999.36364746	3.0	3.0	1726.37329102	10.0	7.0	330.295369148	0.0	-0.0429947450757	-0.985947668552	0.161426991224	10.0997372281	29.0405999475	43.3442497253	-32.3204498291	11.3970499039	0.199997574091	13.0	5.32000017166	482.941698551	11.0	20.5400009155	0.972957759179	1.0	1
1.0	1324.57897949	1.0	1.0	720.924560547	4.0	3.0	48.6889915466	0.0	0.998985528946	-0.0365904793143	0.0262459479272	3.54980213527	2.13865481853	19.8072509766	-7.83900499344	18.5964508057	0.00530304387212	3.0	6.76000022888	31.5819993019	3.0	17.3999996185	0.83085949009	1.0	1
1.0	1430.31420898	4.0	4.0	711.312072754	7.0	5.0	209.230851173	0.0	-0.998987436295	0.0365989692509	-0.0261648651212	13.4493129172	27.6505643873	21.6255493164	-23.3418998718	21.1847000122	0.604908168316	4.0	5.32000017166	114.484798431	3.0	20.5400009155	0.965409182691	1.0	1
1.0	602.221435547	2.0	1.0	615.795532227	4.0	2.0	50.0976489782	0.0	-0.999824285507	0.0	-0.0187458507717	24.5357131688	33.590099729	26.2495002747	-24.5797996521	21.7038993835	0.614162683487	4.0	6.40000009537	82.6172618866	0.0	11.4799995422	-1.0	0.0	1
1.0	2337.30688477	8.0	4.0	2817.35717773	17.0	7.0	171.386795044	0.0	0.999825596809	0.0	0.0186732001603	7.66424467004	13.2268382188	50.6441001892	-21.5853004456	-1.73471999168	0.206466332078	51.0	3.03999996185	905.273217678	6.0	14.5399999619	0.979143130246	1.0	1
1.0	1042.7800293	7.0	1.0	654.051513672	8.0	1.0	18.4570598602	0.0	-0.00372825958766	-0.980664849281	0.195659160614	11.2910826885	2.45866439228	52.1595497131	-17.0330505371	4.37394523621	0.105461210012	3.0	5.07999992371	50.0976991653	0.0	8.43999958038	0.503296393432	1.0	1
1.0	1986.83520508	11.0	5.0	3607.15405273	15.0	6.0	226.757829428	0.0	0.999825835228	0.0	0.0186622366309	11.2560469588	12.1178492274	50.5472488403	-17.7106990814	3.31425499916	0.152090400457	50.0	3.31999993324	890.332254887	5.0	15.1999998093	0.999796595784	1.0	1
1.0	1069.92944336	5.0	4.0	1625.25585938	8.0	3.0	144.140600085	0.0	0.00372825958766	0.980664849281	-0.195659160614	11.8866333847	0.0	52.1595497131	-17.0330505371	4.37394523621	0.998580813408	16.0	3.31999993324	256.640601039	2.0	7.51999998093	0.754953783101	1.0	1
1.0	2025.09106445	5.0	4.0	1537.63696289	8.0	5.0	214.453156948	0.0	-0.0189054384828	0.16707983613	0.985762059689	28.3389141496	8.52309735229	13.6593999863	-12.8232498169	25.5288505554	0.377316057682	24.0	3.03999996185	430.663976431	5.0	7.80000019073	0.992937589881	1.0	1
1.0	298.642303467	5.0	4.0	698.477172852	3.0	3.0	29.0039055347	0.0	0.00372825958766	0.980664849281	-0.195659160614	19.9692657834	11.3205881447	52.1595497131	-17.0330505371	4.37394523621	0.105461210012	4.0	5.07999992371	43.0664060116	0.0	6.40000009537	0.600760557803	1.0	1
1.0	1844.91772461	6.0	3.0	2051.00610352	8.0	3.0	181.933550239	0.0	0.00372825958766	0.980664849281	-0.195659160614	11.8866333847	0.0	52.1595497131	-17.0330505371	4.37394523621	0.105461210012	35.0	3.25999999046	631.054787874	7.0	9.80000019073	0.993861230031	1.0	1
1.0	1922.66394043	4.0	2.0	818.181030273	9.0	4.0	76.4648288488	0.0	0.00372817437164	0.980663597584	-0.195665732026	15.5811278607	0.992501456983	15.9784498215	-7.54683017731	18.1125984192	0.39161658287	15.0	3.03999996185	272.460896611	5.0	14.5399999619	0.906463054708	1.0	1
1.0	1111.88781738	6.0	4.0	2617.43847656	9.0	6.0	315.527383327	0.0	-0.00372825958766	-0.980664849281	0.195659160614	13.1041291463	11.8866333847	52.1595497131	-17.0330505371	4.37394523621	0.998580813408	30.0	3.31999993324	511.523547888	6.0	15.1999998093	0.999603344754	1.0	1
1.0	1134.12524414	1.0	1.0	599.934020996	4.0	2.0	145.107301712	0.0	-0.999506771564	-0.0309935808182	-0.00506352772936	29.6475975672	15.8138002607	28.8069000244	-24.9184989929	26.2868995667	0.768498897552	2.0	4.69999980927	68.5546998978	2.0	6.05999994278	-1.0	0.0	1
1.0	3075.00610352	10.0	4.0	1727.20495605	15.0	7.0	130.253804207	0.0	0.0288048554212	-0.963122904301	0.267515659332	28.0963623733	3.40083105926	56.9843978882	-23.0636005402	8.63446998596	0.271693199873	11.0	2.25999999046	332.490273952	3.0	20.5200004578	0.999386671915	1.0	1
1.0	2769.55981445	8.0	4.0	1431.34863281	12.0	6.0	249.081972599	0.0	-0.0289050918072	0.963110029697	-0.267551034689	16.971825983	0.985944253986	35.7845535278	-13.3262004852	40.6891021729	0.849989295006	8.0	3.72000002861	212.519470692	5.0	25.6599998474	0.995920038998	1.0	1
1.0	2916.11572266	10.0	4.0	2101.13647461	16.0	5.0	31.9922008514	2.98988129906	-0.824195861816	-0.492149859667	0.280160039663	0.0	48.9172237089	51.5449485779	-38.9706497192	10.7819652557	0.549611508846	10.0	4.5	238.798924446	6.0	31.0400009155	0.99956956797	1.0	1
1.0	217.783996582	4.0	1.0	531.448120117	7.0	2.0	35.4199309349	2.81815363291	0.455150514841	0.406029552221	-0.792450547218	5.99717868595	7.47494058745	58.1834983826	-29.1944007874	4.51049995422	0.790592491627	0.0	0.0	0.0	0.0	0.0	0.997745650934	1.0	1
1.0	98.619102478	2.0	0.0	531.448120117	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495536365594	1.0	1
1.0	2169.62768555	5.0	1.0	1293.00756836	11.0	6.0	165.673772335	0.0	0.0289060156792	-0.963109612465	0.26755258441	26.0558775028	13.0184471121	14.1383495331	-12.6540002823	18.3046989441	0.946132183075	10.0	4.69999980927	290.214799881	6.0	17.4599990845	0.997263010494	1.0	1
1.0	1258.76928711	1.0	1.0	127.383102417	2.0	1.0	34.2773017883	1.82752289597	-0.535979032516	-0.481991052628	-0.693116903305	31.6358242886	0.0	27.4678497314	-28.7519493103	21.4911499023	0.968846917152	0.0	0.0	0.0	0.0	0.0	0.164175128043	1.0	1
1.0	2306.59838867	5.0	2.0	1877.87451172	11.0	6.0	237.656133175	0.0	0.0288048554212	-0.963122904301	0.267515659332	17.82583451	3.40083105926	56.9843978882	-23.0636005402	8.63446998596	0.271693199873	16.0	4.5	428.466853619	12.0	20.5200004578	0.999973501169	1.0	1
1.0	1049.11340332	1.0	1.0	613.15423584	3.0	1.0	75.5859584808	0.0	-0.0535323321819	-0.956511080265	0.286741673946	15.6517125177	1.07413290895	17.1433486938	-5.44732999802	22.9941997528	0.954270064831	3.0	3.98000001907	133.593753815	3.0	8.61999988556	-1.0	0.0	1
1.0	2711.37792969	12.0	6.0	2196.66748047	14.0	5.0	72.0702905655	0.0	-0.995682239532	0.0704863891006	0.0604032985866	23.9480065776	1.59133953241	20.2597007751	-10.3125	36.8339500427	0.626069188118	16.0	2.81999993324	318.163875818	0.0	21.2000007629	0.999781781124	1.0	1
1.0	354.392303467	2.0	0.0	133.600006104	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495536365594	1.0	1
1.0	2686.06420898	10.0	6.0	2709.97485352	15.0	6.0	108.98429656	0.0	-0.995682239532	0.0704863891006	0.0604032985866	18.7743112247	1.59133953241	20.2597007751	-10.3125	36.8339500427	0.626069188118	33.0	2.81999993324	524.707034469	7.0	25.4200000763	0.999715953058	1.0	1
1.0	227.82321167	2.0	2.0	915.512695312	4.0	1.0	10.5468696356	1.36930639376	0.995686709881	-0.0703873485327	-0.0604436583817	8.32377467947	23.796469752	36.9339981079	-21.1846008301	28.5576496124	0.90724927187	0.0	0.0	0.0	0.0	0.0	0.982167800735	1.0	1
1.0	658.15612793	3.0	2.0	1894.30981445	7.0	4.0	130.078188777	0.0	-0.070687815547	-0.250291258097	-0.965586662292	3.29114109785	2.40821401527	57.48279953	-18.7636489868	4.01642513275	0.598929584026	7.0	3.98000001907	216.210950851	1.0	3.98000001907	0.966105231802	1.0	1
1.0	1068.80212402	2.0	1.0	2078.53686523	4.0	1.0	102.832140326	0.0	0.995689570904	-0.0703872293234	-0.060398068279	13.1352696523	0.0	17.796049118	-4.66862010956	23.9768505096	0.983563184738	11.0	5.92000007629	362.109331608	5.0	8.73999977112	0.541620517556	1.0	1
1.0	1376.78491211	5.0	2.0	1801.49316406	6.0	4.0	159.961006403	0.0	-0.995689570904	0.0703867897391	0.060398068279	28.5901871927	13.0697789696	24.7536506653	-20.4275493622	33.12474823	0.963269531727	11.0	6.57999992371	260.156134844	6.0	8.61999988556	0.967818270865	1.0	1
1.0	1770.55444336	3.0	1.0	1877.43322754	8.0	4.0	105.468788624	0.0	-0.0535323321819	-0.956511080265	0.286741673946	14.9371935442	1.07413290895	17.1433486938	-5.44732999802	22.9941997528	0.954270064831	13.0	3.98000001907	362.109489322	4.0	25.4200000763	0.851402999136	1.0	1
1.0	2335.89331055	4.0	1.0	1876.02770996	6.0	4.0	163.476687908	0.0	-0.053531896323	-0.956509828568	0.286745846272	33.1633566989	1.92563614676	15.8673496246	-5.25300502777	19.243598938	0.245885193348	24.0	5.92000007629	519.433529973	6.0	14.3599996567	0.999191827769	1.0	1
1.0	685.566589355	1.0	1.0	554.392822266	2.0	1.0	97.0	1.77828009118	0.00825324654579	-0.88921970129	-0.457405954599	24.8878478029	30.8046726398	46.5116500854	-29.5554504395	16.4695491791	0.0450401008129	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1854.9901123	9.0	1.0	714.028869629	8.0	2.0	18.0	0.0	0.999846041203	0.0	0.0175477676094	4.92038551681	0.0	14.4069499969	-3.3720600605	16.0441493988	0.5933598876	5.0	1.74000000954	58.0	3.0	4.42000007629	0.969264588869	1.0	1
1.0	24.7497005463	1.0	0.0	11.1373996735	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495536365594	1.0	1
1.0	2960.06347656	8.0	6.0	2810.32739258	14.0	5.0	266.0	0.0	-0.999847650528	0.0	-0.0174574200064	9.87598617072	23.0392307238	12.3127002716	-4.84498977661	11.4393997192	0.989259958267	23.0	3.48000001907	531.0	7.0	9.73999977112	0.983014274297	1.0	1
1.0	35.8871002197	2.0	2.0	904.601318359	5.0	1.0	26.0	0.0	0.0177790205926	0.144278332591	-0.989377439022	1.51814995674	10.1134988902	20.2465496063	-10.9692993164	24.238948822	0.613747477531	5.0	6.26000022888	112.0	0.0	15.6999998093	0.340802319618	1.0	1
1.0	1064.23706055	4.0	4.0	2567.78076172	11.0	7.0	305.0	0.0	0.0177771504968	0.144314840436	-0.989372193813	16.5082940728	3.02302205388	20.123249054	-8.7599105835	31.0887489319	0.852724790573	22.0	4.42000007629	503.0	8.0	8.73999977112	0.985362934929	1.0	1
1.0	1145.91113281	5.0	5.0	1404.54467773	9.0	4.0	122.0	0.0	0.999846041203	0.0	0.0175477992743	30.6162216373	27.4494019157	32.725151062	-23.02409935	26.4465503693	0.245105668902	7.0	5.57999992371	97.0	0.0	18.2800006866	0.658409035955	1.0	1
1.0	942.963806152	3.0	3.0	783.327026367	6.0	3.0	234.0	0.0	0.00264552002773	-0.988862216473	-0.148810490966	14.1932275445	7.80454966564	22.3985004425	-12.7716999054	25.6353492737	0.473961174488	5.0	6.84000015259	62.0	0.0	9.31999969482	0.742038295708	1.0	1
1.0	1139.72375488	3.0	1.0	1196.64782715	10.0	4.0	69.0	0.0	-0.0178720764816	-0.144324153662	0.989369034767	23.6878027582	2.3908082979	14.9251995087	-4.65118503571	17.4905509949	0.683818101883	10.0	4.42000007629	245.0	4.0	6.57999992371	0.988118955603	1.0	1
