valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	3001.01611328	1.0	0.0	459.316009521	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.96806673623e-11	0.0	1
1.0	7150.32666016	11.0	3.0	3546.45385742	11.0	6.0	210.937461615	0.0	-0.735086977482	-0.665917634964	0.127282708883	21.4768914523	0.0	49.0883483887	-22.736700058	-2.29680490494	0.723219871521	19.0	3.75999999046	493.06663847	4.0	19.4200000763	0.999995927873	1.0	1
1.0	3274.84130859	19.0	5.0	3042.97192383	8.0	5.0	56.6894612312	0.0	0.0334227159619	0.984702110291	-0.171010702848	42.0172287254	55.8995943495	66.4310455322	5.6707649231	3.3660299778	0.124742507935	10.0	7.78000020981	284.765586495	7.0	17.4200000763	0.990321762748	1.0	1
1.0	8375.90527344	12.0	2.0	5178.35400391	8.0	6.0	508.886520743	0.0	-0.0334178842604	-0.984706521034	0.170986399055	15.0022393145	25.3842299639	45.3382492065	-23.6693496704	17.8425998688	0.848345518112	28.0	3.75999999046	805.517699361	8.0	15.3800001144	0.999960680316	1.0	1
1.0	3486.83154297	8.0	5.0	4162.55664062	3.0	2.0	56.6894005537	0.0	0.0334177464247	0.984702467918	-0.171009391546	2.47549791048	40.6743780444	49.8541488647	-17.8106498718	0.459144502878	0.45342823863	9.0	4.0	229.394663334	5.0	17.9400005341	0.985660140321	1.0	1
1.0	2691.86181641	4.0	4.0	883.301391602	5.0	4.0	55.3710609674	0.0	0.999347686768	-0.0346072763205	-0.0103199165314	6.70432197892	49.7012191162	50.4986991882	-15.9010000229	1.92863500118	0.49894374609	9.0	5.46000003815	297.949205399	2.0	12.8000001907	0.96610509123	1.0	1
1.0	5505.17431641	7.0	3.0	2431.28662109	5.0	5.0	197.753962159	0.0	0.999347746372	-0.0346081331372	-0.0103020546958	54.3219164377	11.6180280883	69.574798584	15.1135005951	3.49063491821	0.330747902393	17.0	3.75999999046	361.230505228	5.0	15.1800003052	0.99388805803	1.0	1
1.0	4858.15576172	7.0	3.0	1764.39477539	8.0	7.0	192.480401516	0.0	0.999347746372	-0.0346081331372	-0.0103020546958	54.3219164377	14.9733777627	69.574798584	15.1135005951	3.49063491821	0.330747902393	16.0	3.75999999046	495.70330441	3.0	28.5400009155	0.99435157448	1.0	1
1.0	4308.30175781	8.0	5.0	3034.13891602	4.0	2.0	167.431720495	0.0	0.0334178842604	0.984706521034	-0.170986399055	1.5743742078	37.921134624	45.3382492065	-23.6693496704	17.8425998688	0.805250167847	27.0	3.75999999046	827.929767609	7.0	28.5400009155	0.998881416713	1.0	1
1.0	4259.71972656	8.0	5.0	4871.40625	3.0	3.0	293.994081855	0.0	-0.0334241650999	-0.984700798988	0.171018123627	60.7210760137	14.4654133783	68.9328460693	16.0617008209	-7.52671003342	0.893521010876	34.0	3.75999999046	922.851592422	11.0	28.5400009155	0.999625365617	1.0	1
1.0	1850.71191406	1.0	1.0	430.627685547	2.0	1.0	31.6406002045	2.21149267768	0.143191874027	0.0776052474976	0.986647546291	10.7386379079	0.0	64.6307067871	-3.16398501396	3.55812644958	0.847693622112	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5670.47753906	12.0	2.0	3068.6328125	14.0	3.0	126.562480211	0.0	0.0461883656681	0.993750452995	-0.101620025933	50.8648926538	56.8278285667	68.1996002197	5.5157251358	17.2538986206	0.177445918322	17.0	3.09999990463	357.539057255	6.0	22.9599990845	0.986603920422	1.0	1
1.0	7729.92919922	17.0	5.0	3854.28125	12.0	4.0	160.312520981	0.0	0.0461898036301	0.993749916553	-0.10162524879	23.5423423288	47.4278414698	55.4876022339	-16.410900116	5.92964506149	0.209206461906	28.0	4.69999980927	707.695159316	6.0	22.9599990845	0.999998982602	1.0	1
1.0	5626.09960938	19.0	6.0	3293.80957031	12.0	6.0	194.062500238	0.0	0.0461942739785	0.993748605251	-0.101635321975	28.5133657067	26.6688988069	56.9916992188	-11.6380500793	2.62046480179	0.0346779674292	22.0	3.09999990463	571.640523314	2.0	27.0799999237	0.998528764157	1.0	1
1.0	386.25	1.0	0.0	399.398986816	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.96806673623e-11	1.0	1
1.0	2986.45214844	6.0	5.0	1586.08947754	7.0	4.0	132.890559673	0.0	-0.0461980588734	-0.993749439716	0.101625800133	42.9439274893	1.52424678337	69.3401031494	19.1545505524	-14.4090003967	0.938652694225	10.0	0.939999997616	253.124952435	5.0	22.3999996185	0.999937131407	1.0	1
1.0	2186.01000977	2.0	1.0	575.26550293	4.0	1.0	31.6406002045	2.21149267768	0.143191874027	0.0776052474976	0.986647546291	10.7386379079	22.7725302671	64.6307067871	-3.16398501396	3.55812644958	0.847693622112	0.0	0.0	0.0	0.0	0.0	0.0946379344382	1.0	1
1.0	3154.10083008	5.0	3.0	1729.08422852	9.0	3.0	108.632850647	0.0	-0.0461905300617	-0.993748724461	0.101635329425	44.4210808274	1.82330214285	71.6148986816	43.0429496765	3.40158510208	0.865120351315	11.0	4.69999980927	203.554559231	3.0	21.2600002289	0.982778489292	1.0	1
1.0	4028.50439453	5.0	3.0	1878.65380859	7.0	2.0	139.218731046	0.0	-0.0461980588734	-0.993749439716	0.101625800133	52.2689227285	1.52424678337	69.3401031494	19.1545505524	-14.4090003967	0.938652694225	20.0	1.77999997139	480.937581778	10.0	27.0799999237	0.988672274883	1.0	1
1.0	4810.86669922	5.0	3.0	2121.90917969	8.0	4.0	226.75785315	0.0	-0.0461905300617	-0.993748724461	0.101635329425	44.4210808274	1.82330214285	71.6148986816	43.0429496765	3.40158510208	0.865120351315	19.0	4.69999980927	396.562426329	7.0	27.0799999237	0.996653810484	1.0	1
1.0	2662.84643555	1.0	0.0	159.805496216	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.96806673623e-11	0.0	1
1.0	5447.28662109	15.0	6.0	4137.57568359	8.0	4.0	232.998045564	0.0	-0.0314092710614	0.976041078568	-0.215307623148	20.4754119049	42.0354000042	55.6140518188	-11.5296497345	27.7112998962	0.942255020142	36.0	6.51999998093	764.736243367	19.0	25.8999996185	0.999904390609	1.0	1
1.0	4971.34423828	17.0	8.0	3963.87329102	11.0	6.0	292.939407468	0.0	-0.0314092710614	0.976041078568	-0.215307623148	20.4754119049	42.0354000042	55.6140518188	-11.5296497345	27.7112998962	0.942255020142	26.0	6.61999988556	526.904295683	13.0	24.7399997711	0.991946331824	1.0	1
1.0	3823.17480469	11.0	5.0	2275.49389648	13.0	8.0	129.550739408	0.0	-0.0314129218459	0.976048469543	-0.215272977948	17.7252084308	36.6825952322	57.4197502136	-19.0349502563	1.34272003174	0.319868445396	25.0	7.55999994278	642.919774175	13.0	30.2800006866	0.982627775023	1.0	1
1.0	4010.77246094	4.0	3.0	1384.40246582	6.0	5.0	139.218786716	0.0	0.999279558659	0.0342911146581	0.0162639003247	35.1453437944	33.2380882093	54.673500061	-21.8590507507	1.89796495438	0.775745213032	12.0	6.51999998093	324.843683362	4.0	27.1000003815	0.924534923987	1.0	1
1.0	2440.50854492	6.0	4.0	1921.14135742	8.0	5.0	153.720558643	0.0	0.999277889729	0.0343346558511	0.0162724349648	51.3358964817	19.480451126	64.3694000244	-3.77103495598	-6.05556964874	0.241135388613	11.0	6.61999988556	290.039130211	5.0	19.9799995422	0.997953180621	1.0	1
1.0	2840.02294922	5.0	1.0	1235.01916504	7.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	9.03999996185	252.333930731	5.0	27.1000003815	0.761860449078	1.0	1
1.0	3831.85864258	4.0	2.0	2589.89331055	6.0	5.0	176.923826814	0.0	-0.0314092710614	0.976041078568	-0.215307623148	2.11350089746	42.0661637636	55.6140518188	-11.5296497345	27.7112998962	0.942255020142	16.0	6.51999998093	291.005908251	12.0	27.1000003815	0.964117132355	1.0	1
1.0	3703.31958008	3.0	2.0	3173.53198242	8.0	7.0	152.753917336	0.0	0.0314098708332	-0.976059854031	0.215222150087	2.96519626939	47.0404372256	53.0609512329	-29.3114509583	13.3188495636	0.962910652161	25.0	6.61999988556	666.122925997	12.0	27.1000003815	0.992615012862	1.0	1
1.0	2654.16162109	4.0	2.0	2624.63378906	6.0	2.0	84.1113591194	0.0	0.0314098708332	-0.976059854031	0.215222150087	23.8655737998	52.6780717951	53.0609512329	-29.3114509583	13.3188495636	0.962910652161	23.0	7.96000003815	593.613319635	9.0	20.5200004578	0.987583957713	1.0	1
1.0	2291.5793457	1.0	0.0	311.439300537	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.96806673623e-11	0.0	1
