valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	3001.01611328	1.0	0.0	353.320800781	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.1441084197e-07	0.0	1
1.0	5854.08398438	16.0	3.0	1757.76953125	9.0	4.0	88.330160141	0.0	0.999345123768	-0.0346990562975	-0.0102586448193	26.8416126186	45.5477808658	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	7.0	3.57999992371	201.708978653	5.0	28.5400009155	0.99979569959	1.0	1
1.0	7187.86621094	15.0	2.0	2998.8046875	5.0	2.0	201.70900321	0.0	0.999345123768	-0.0346990562975	-0.0102586448193	0.0	45.5477808658	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	9.0	5.57999992371	278.17370224	4.0	17.6399993896	0.999605081986	1.0	1
1.0	8095.45849609	14.0	2.0	2669.77490234	8.0	5.0	209.619202614	0.0	0.999345123768	-0.0346990562975	-0.0102586448193	0.0	42.7444586481	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	8.0	5.57999992371	229.394403458	6.0	12.4799995422	0.999856882281	1.0	1
1.0	3513.33154297	6.0	3.0	2071.33837891	3.0	3.0	79.1016998291	0.0	-0.0334177687764	-0.984706580639	0.170985803008	12.6028429245	27.3072043726	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	2.0	3.57999992371	29.0038795471	2.0	6.96000003815	0.841436864724	1.0	1
1.0	5597.92431641	6.0	5.0	2016.13183594	7.0	7.0	291.357541203	0.0	-0.0334242917597	-0.984703660011	0.171001493931	1.10408866655	32.0206232372	46.5746498108	63.5914993286	-55.2236022949	0.159043878317	13.0	6.0	474.609400749	7.0	28.5400009155	0.999726966467	1.0	1
1.0	6514.34667969	3.0	1.0	499.065917969	2.0	1.0	5.27343988419	0.0	-0.999348282814	0.0346076376736	0.010257769376	1.12122936957	15.9124803613	57.8776512146	73.1848983765	-26.2884502411	0.513867497444	3.0	7.15999984741	141.064397812	2.0	17.6399993896	0.962405828559	1.0	1
1.0	4577.70849609	8.0	3.0	523.356811523	4.0	4.0	113.379000664	0.0	0.0334207266569	0.984703958035	-0.171000942588	26.8907203296	26.2228468194	56.0915527344	71.804901123	-31.4521999359	0.875481545925	4.0	6.78000020981	106.787000656	1.0	7.15999984741	0.996573592914	1.0	1
1.0	5542.71484375	6.0	2.0	2055.88061523	3.0	2.0	72.5098404884	0.0	-0.0334177687764	-0.984706580639	0.170985803008	12.6028429245	4.35915929336	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	5.0	3.57999992371	160.8397789	4.0	17.6399993896	0.985085930038	1.0	1
1.0	7218.77929688	5.0	2.0	2378.28637695	3.0	2.0	46.1425801516	0.0	-0.999348282814	0.0346076376736	0.010257769376	1.12122936957	17.5396706117	57.8776512146	73.1848983765	-26.2884502411	0.513867497444	6.0	5.57999992371	242.578100204	3.0	17.6399993896	0.999285360594	1.0	1
1.0	1850.71191406	1.0	1.0	494.72857666	1.0	1.0	30.585899353	0.0	-0.998026013374	0.0331811159849	-0.0533211156726	4.17318876347	1.12712574501	72.0567474365	46.2620010376	-12.7809505463	0.72722953558	1.0	14.220000267	45.351600647	0.0	14.220000267	-1.0	0.0	1
1.0	5251.35546875	13.0	5.0	3237.92602539	9.0	4.0	304.804774165	0.0	-0.998022675514	0.0332720465958	-0.0533266663551	13.4420027885	38.8018774463	52.1005020142	73.2370452881	-41.1219482422	0.539801597595	8.0	4.13999986649	258.398512483	7.0	23.8999996185	0.999622392634	1.0	1
1.0	5752.65917969	9.0	4.0	2281.34106445	7.0	2.0	164.531220198	0.0	0.0461907014251	0.993748724461	-0.101635716856	33.2921508703	4.4436510464	68.0837020874	59.0030517578	-2.77166509628	0.539701640606	8.0	5.82000017166	284.765665531	4.0	9.31999969482	0.996203209767	1.0	1
1.0	6535.02099609	17.0	5.0	4064.6652832	9.0	5.0	322.734355092	0.0	0.0461943224072	0.993749678135	-0.101624883711	3.48469808817	35.2540549252	57.5869979858	78.0426483154	-24.0401992798	0.685591101646	10.0	3.20000004768	304.804756284	9.0	15.9200000763	0.999933727252	1.0	1
1.0	1850.71191406	1.0	1.0	581.840270996	2.0	2.0	53.7889995575	0.0	-0.998026013374	0.0331811159849	-0.0533211156726	4.17318876347	23.0583221042	72.0567474365	46.2620010376	-12.7809505463	0.72722953558	1.0	14.220000267	45.351600647	0.0	14.220000267	0.115497780889	1.0	1
1.0	4485.43066406	8.0	3.0	1541.71252441	2.0	2.0	113.906300545	0.0	-0.0461907014251	-0.993748724461	0.101635716856	44.0870955844	0.0	68.0837020874	59.0030517578	-2.77166509628	0.893337130547	3.0	5.82000017166	93.8671226501	3.0	9.30000019073	0.97466232812	1.0	1
1.0	1027.26000977	2.0	1.0	409.2605896	2.0	1.0	21.0937995911	0.0	0.0461935885251	0.993750751019	-0.101615026593	2.71906383939	0.0	73.2066955566	31.2987003326	-14.0436000824	0.166089117527	1.0	23.8999996185	75.9375	1.0	23.8999996185	0.320520414865	1.0	1
1.0	4465.70703125	5.0	3.0	1528.5637207	3.0	2.0	95.9765996933	0.0	-0.0461907014251	-0.993748724461	0.101635716856	44.0870955844	0.0	68.0837020874	59.0030517578	-2.77166509628	0.893337130547	2.0	5.82000017166	87.5390024185	1.0	5.82000017166	0.995600404274	1.0	1
1.0	4758.27148438	3.0	1.0	1579.51538086	3.0	3.0	170.859282732	0.0	-0.0461861044168	-0.993750989437	0.101616926491	6.962131522	28.3600486318	66.6485977173	62.3597984314	-36.3727989197	0.769170165062	0.0	0.0	0.0	1.0	8.06000041962	0.979644939939	1.0	1
1.0	5711.56835938	5.0	4.0	2186.01074219	2.0	2.0	236.249841452	0.0	-0.998026013374	0.0331811159849	-0.0533211156726	50.9598805319	1.12712574501	72.0567474365	46.2620010376	-12.7809505463	0.72722953558	3.0	6.78000020981	76.9922208786	1.0	9.30000019073	0.987936729138	1.0	1
1.0	2662.84643555	1.0	1.0	182.386688232	1.0	1.0	4.83398008347	3.20770947885	-0.181265503168	0.447199910879	-0.875873923302	0.0	7.22180956452	67.6773529053	57.1082992554	-29.8799495697	0.387565135956	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6341.85205078	11.0	2.0	1717.91040039	7.0	2.0	86.0448480844	2.45008778707	0.653926193714	-0.735507428646	0.177226632833	7.98517235882	30.1465050641	61.0061988831	61.157699585	-48.4671478271	0.929984807968	0.0	0.0	0.0	0.0	0.0	0.999840404531	1.0	1
1.0	1684.90686035	10.0	2.0	1521.62768555	6.0	2.0	48.3397803307	0.0	-0.0219641868025	0.195648297668	0.980428159237	39.2226327137	1.77953322816	73.0870513916	28.0743503571	-19.1606483459	0.219046115875	4.0	9.30000019073	123.749902725	0.0	28.8999996185	0.437306870418	1.0	1
1.0	6195.94287109	12.0	1.0	1542.4720459	7.0	1.0	38.6718506813	2.87182176144	-0.468880802393	0.667314827442	-0.578655183315	6.46937683312	29.3514387724	65.8716506958	51.3631515503	-46.9000473022	0.948027431965	0.0	0.0	0.0	0.0	0.0	0.99936417585	1.0	1
1.0	2895.6081543	7.0	4.0	722.599304199	2.0	2.0	134.384681225	0.0	-0.031412627548	0.976041018963	-0.215307235718	19.8106653947	11.9749513502	65.4302520752	60.7409515381	-39.8517990112	0.87679463625	4.0	0.939999997616	64.7753908634	1.0	0.939999997616	0.96736990815	1.0	1
1.0	4712.52734375	4.0	2.0	284.871002197	3.0	3.0	89.9120665789	0.0	0.0315013974905	-0.97603815794	0.215307354927	22.6628681067	0.0	72.462600708	46.4730491638	-21.1147003174	0.298386514187	2.0	0.939999997616	24.1698906422	1.0	0.939999997616	0.992099963469	1.0	1
1.0	724.335998535	3.0	1.0	658.329589844	1.0	1.0	4.83398008347	3.20770947885	0.181265503168	-0.447199910879	0.875873923302	7.22180956452	0.0	67.6773529053	57.1082992554	-29.8799495697	0.387565135956	0.0	0.0	0.0	0.0	0.0	0.553618059823	1.0	1
1.0	4295.64404297	5.0	2.0	937.989257812	3.0	3.0	118.915901184	0.0	-0.0219641868025	0.195648297668	0.980428159237	41.2976272751	1.77953322816	73.0870513916	28.0743503571	-19.1606483459	0.219046115875	5.0	9.30000019073	148.88670063	0.0	27.0	0.990695329585	1.0	1
1.0	2702.79785156	2.0	1.0	182.386688232	1.0	1.0	4.83398008347	3.20770947885	-0.181265503168	0.447199910879	-0.875873923302	0.0	7.22180956452	67.6773529053	57.1082992554	-29.8799495697	0.387565135956	0.0	0.0	0.0	0.0	0.0	0.101166233018	1.0	1
1.0	3682.47705078	6.0	2.0	118.116996765	1.0	1.0	37.7050499916	0.0	0.031412627548	-0.976041018963	0.215307235718	11.9749513502	1.59342683994	65.4302520752	60.7409515381	-39.8517990112	0.87679463625	1.0	9.30000019073	21.2695007324	0.0	9.30000019073	0.981948965913	1.0	1
1.0	2291.5793457	1.0	1.0	344.121002197	1.0	1.0	35.529800415	3.16785420353	-0.195980116725	0.929666042328	0.311949908733	13.4532242438	5.70884238245	73.6015472412	54.5680999756	-13.9958000183	0.051622197032	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5377.13476562	11.0	3.0	2103.17626953	7.0	4.0	92.1142883301	1.6375866321	-0.789044857025	0.357088029385	-0.499896287918	10.3655506903	42.9207871518	57.1058998108	56.8381996155	-49.1654014587	0.503810763359	7.0	12.1599998474	125.0122509	3.0	13.6999998093	0.999910478711	1.0	1
