valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1294.03723145	1.0	1.0	417.359283447	1.0	1.0	84.3749599457	0.0	0.0334208384156	0.984703779221	-0.171001508832	30.2660686596	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	1.0	12.5600004196	44.8241996765	1.0	12.5600004196	-1.0	0.0	1
1.0	5944.62109375	10.0	3.0	770.680297852	3.0	3.0	156.88468051	0.0	0.0334208384156	0.984703779221	-0.171001508832	66.5179428331	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	11.0	8.93999958038	303.22269845	4.0	12.5600004196	0.999999995477	1.0	1
1.0	6167.65478516	8.0	3.0	839.135803223	6.0	6.0	199.072203398	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	37.4626115697	0.0	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	14.0	1.5	383.642657161	7.0	13.5600004196	0.999999999758	1.0	1
1.0	6900.79589844	7.0	1.0	770.681152344	3.0	3.0	101.513659716	0.0	0.0334208384156	0.984703779221	-0.171001508832	66.5179428331	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	13.0	8.93999958038	353.320417881	3.0	12.5600004196	0.999999999998	1.0	1
1.0	1347.03564453	3.0	3.0	483.606872559	2.0	2.0	133.1541996	0.0	0.0334208384156	0.984703779221	-0.171001508832	37.4740258353	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	4.0	12.5600004196	151.611299515	2.0	13.5200004578	0.245377518446	1.0	1
1.0	2989.9765625	6.0	2.0	496.8565979	4.0	4.0	155.566442013	0.0	0.0334195010364	0.984706699848	-0.170984953642	29.7642870024	3.74000106363	20.5572509766	68.5431518555	14.9575004578	0.999574780464	6.0	12.0200004578	163.476559639	4.0	19.2600002289	0.999226558284	1.0	1
1.0	1543.57019043	2.0	1.0	417.359283447	1.0	1.0	84.3749599457	0.0	0.0334208384156	0.984703779221	-0.171001508832	30.2660686596	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	1.0	12.5600004196	44.8241996765	1.0	12.5600004196	0.0395301905642	1.0	1
1.0	3140.13818359	6.0	3.0	753.014282227	2.0	2.0	193.798781157	0.0	0.0334208384156	0.984703779221	-0.171001508832	46.7881226164	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	5.0	1.5	89.648460269	5.0	12.5600004196	0.998317181515	1.0	1
1.0	2914.89697266	4.0	1.0	684.558349609	2.0	2.0	142.382859468	0.0	0.0334208384156	0.984703779221	-0.171001508832	46.7881226164	2.50042310949	17.5651493073	48.1557006836	13.1038999557	0.585344493389	6.0	8.93999958038	158.203099489	3.0	12.5600004196	0.993472958566	1.0	1
1.0	2395.95654297	10.0	7.0	1004.75622559	2.0	2.0	293.994021416	0.0	-0.999348282814	0.0346072986722	0.0102569758892	36.0965434525	0.0	27.781999588	32.4255981445	24.7134513855	0.557836532593	2.0	8.93999958038	40.8691806793	4.0	15.8599996567	0.996916044501	1.0	1
