valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1294.03723145	1.0	1.0	147.95300293	1.0	1.0	23.7304992676	2.81298061079	-0.579309165478	0.652024269104	-0.489147603512	2.09466737606	1.5726818979	6.94751977921	81.2336425781	11.1720046997	0.294706285	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2720.5690918	15.0	2.0	1199.08276367	2.0	2.0	3.95508003235	3.45433057911	-0.688920080662	0.716020524502	-0.112711161375	0.0	2.37627878395	33.3392486572	97.0004501343	13.4436998367	0.264513343573	2.0	12.3599996567	61.9629011154	0.0	25.1000003815	0.976749246249	1.0	1
1.0	1629.69128418	12.0	0.0	494.648986816	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.470632628107	1.0	1
1.0	6615.93066406	8.0	2.0	1779.85351562	4.0	4.0	245.214961529	0.0	-0.0334267690778	-0.984695315361	0.171049237251	0.0	16.1839308173	21.84375	108.665496826	0.74811899662	0.979459404945	11.0	7.40000009537	363.867259979	1.0	10.779999733	1.0	1.0	1
1.0	1927.80578613	5.0	1.0	194.326293945	2.0	2.0	76.4649004936	2.66091150886	-0.661403238773	0.30367025733	-0.685806274414	2.37497771403	20.2933458368	10.7899093628	92.7880020142	17.2567996979	0.472153365612	0.0	0.0	0.0	0.0	0.0	0.767878258237	1.0	1
1.0	1020.21307373	4.0	1.0	333.446716309	3.0	1.0	5.27343988419	4.17967700422	-0.462370544672	0.830177843571	-0.31147763133	53.3876777976	3.06979311367	35.5141983032	60.2684020996	25.1989994049	0.947900533676	0.0	0.0	0.0	0.0	0.0	0.983002050399	1.0	1
1.0	1989.63635254	5.0	3.0	1101.91870117	3.0	3.0	224.121084213	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	15.8885349036	17.5081105647	23.8697509766	81.8440551758	18.0326499939	0.289006024599	4.0	12.0200004578	145.019499779	3.0	13.5200004578	0.989109139471	1.0	1
1.0	1340.41052246	1.0	1.0	819.261962891	2.0	2.0	60.6445789337	0.0	-0.999345302582	0.0346959345043	0.0102577209473	16.8175962304	15.8885349036	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	2.0	12.0200004578	47.4609603882	0.0	15.279999733	0.462884698554	1.0	1
1.0	1351.45129395	6.0	1.0	90.5383987427	1.0	1.0	11.865240097	0.0	-0.999344289303	0.0346990302205	0.0103462515399	17.9588143387	0.0	19.2273006439	78.9302520752	13.1809997559	0.374589443207	1.0	13.5200004578	38.2323989868	1.0	13.5200004578	0.986915981395	1.0	1
1.0	1130.80847168	1.0	1.0	190.659606934	1.0	1.0	30.5859398842	0.0	-0.998023033142	0.0332696922123	-0.0533220395446	3.229923742	4.57548493697	0.0557250082493	83.5926513672	10.012550354	0.506902635098	2.0	10.7399997711	72.773399353	0.0	11.1000003815	-1.0	0.0	1
1.0	3458.16992188	18.0	1.0	180.797897339	3.0	1.0	1.0546900034	3.64861615742	-0.104789339006	0.972827196121	-0.206461757421	26.7173953421	15.001473418	-1.53599452972	96.5800476074	17.9511489868	0.951345801353	0.0	0.0	0.0	0.0	0.0	0.998618917874	1.0	1
