valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	355.528869629	1.0	1.0	2594.69458008	2.0	1.0	17.1387004852	2.8681928239	0.232502743602	-0.188896372914	0.954075813293	0.0	14.6685507749	64.8321533203	63.5418014526	-25.6378498077	0.23795440793	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	892.13494873	5.0	4.0	15448.9414062	20.0	4.0	232.03138113	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	40.7294840274	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	12.0	5.57999992371	336.181617975	7.0	17.6399993896	0.979052219131	1.0	1
1.0	693.391845703	2.0	2.0	5134.1875	16.0	2.0	46.142639637	0.0	0.999348282814	-0.0346076376736	-0.010257769376	2.10728305646	64.8130461947	57.8776512146	73.1848983765	-26.2884502411	0.513867497444	1.0	17.6399993896	67.2362976074	1.0	17.6399993896	0.182502798033	1.0	1
1.0	929.675354004	4.0	4.0	11248.8447266	26.0	4.0	283.447440267	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	40.7294840274	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	12.0	5.57999992371	402.099520922	6.0	17.6399993896	0.996528195943	1.0	1
1.0	114.82900238	1.0	0.0	2917.1003418	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	388.653411865	4.0	4.0	2605.73730469	5.0	1.0	65.9179800749	0.0	-0.999347269535	0.0346106663346	0.010347132571	13.7574952938	5.46802188931	57.9277000427	72.9923019409	-20.8241004944	0.119411230087	4.0	5.57999992371	126.562501907	0.0	14.4399995804	0.987420167934	1.0	1
1.0	1013.58911133	4.0	4.0	6132.31982422	7.0	2.0	201.709103465	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	38.4308746831	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	7.0	5.57999992371	191.162019014	5.0	17.6399993896	0.931250306081	1.0	1
1.0	808.222106934	3.0	1.0	2989.97167969	7.0	1.0	35.5957603455	0.0	0.735115408897	0.665886282921	-0.127282619476	13.8524652263	34.9251816108	57.8881988525	72.9394989014	-24.4355010986	0.719203352928	5.0	3.57999992371	164.794878006	3.0	17.6399993896	0.978777152734	1.0	1
1.0	317.988586426	1.0	1.0	2477.65698242	3.0	1.0	40.8691189289	0.0	0.0334173738956	0.984691441059	-0.17107360065	13.0814007994	22.0468846895	63.2727508545	54.8205490112	-37.6821517944	0.125361263752	1.0	6.13999986649	25.0487995148	1.0	6.13999986649	0.239172377061	1.0	1
1.0	991.506958008	3.0	3.0	5260.05712891	6.0	2.0	117.33404088	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	38.4308746831	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	5.0	5.57999992371	199.072198868	4.0	17.6399993896	0.985471228133	1.0	1
1.0	87.1117019653	1.0	0.0	1834.27661133	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	0.0	1
1.0	2052.87744141	5.0	4.0	4625.13818359	20.0	3.0	275.273383141	0.0	0.0461860597134	0.993750035763	-0.101625263691	1.01755961513	35.7135190696	59.8148002625	73.3359985352	-6.12622499466	0.24766330421	5.0	3.20000004768	224.648445606	5.0	18.3600006104	0.990522821277	1.0	1
1.0	711.685852051	6.0	2.0	5496.25439453	21.0	2.0	49.570400238	0.0	-0.0461935885251	-0.993750751019	0.101615026593	0.0	73.0459441786	73.2066955566	31.2987003326	-14.0436000824	0.166089117527	2.0	19.3999996185	129.726600647	2.0	23.8999996185	0.704102564153	1.0	1
1.0	3159.03149414	7.0	4.0	10410.6699219	22.0	5.0	386.015631199	0.0	-0.998023927212	0.0332690440118	-0.0533036589622	1.77281682248	41.9554541369	60.2816505432	72.9344482422	-4.61837005615	0.797057271004	10.0	3.20000004768	448.242263317	8.0	23.8999996185	0.998085315144	1.0	1
1.0	1061.7767334	3.0	2.0	2450.63256836	5.0	4.0	86.4843893051	0.0	0.0460887923837	0.993754446507	-0.101626187563	3.36359980866	10.5867497094	61.9454498291	72.3727035522	-4.47653484344	0.328137308359	6.0	8.47999954224	333.281323433	4.0	15.9200000763	0.822801627684	1.0	1
1.0	1313.24963379	3.0	1.0	4335.86132812	6.0	2.0	67.5000905991	0.0	0.0461905822158	0.993749916553	-0.101624906063	1.82329717389	43.8814654246	73.137802124	28.1425495148	-15.1593999863	0.253746956587	3.0	23.8999996185	247.851600647	1.0	23.8999996185	0.797461889075	1.0	1
1.0	2118.62207031	2.0	2.0	3392.42529297	6.0	4.0	219.375090599	0.0	0.0461905822158	0.993749916553	-0.101624906063	1.82329717389	46.4684426478	73.137802124	28.1425495148	-15.1593999863	0.253746956587	10.0	8.47999954224	532.617325783	6.0	23.8999996185	0.982957637509	1.0	1
1.0	1441.45202637	3.0	3.0	2375.02612305	6.0	5.0	133.945301056	0.0	0.0461907014251	0.993748724461	-0.101635716856	0.0	17.0657692037	68.0837020874	59.0030517578	-2.77166509628	0.518036603928	6.0	4.13999986649	281.601613641	3.0	10.6199998856	0.711991648527	1.0	1
1.0	815.233581543	2.0	0.0	737.983703613	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	338.718292236	3.0	2.0	11339.2460938	24.0	2.0	69.6093006134	0.0	-0.999277234077	-0.034380145371	-0.0162182562053	22.9209882881	61.6867460535	64.6602935791	63.6982002258	-33.5047988892	0.0628616511822	1.0	18.7199993134	54.1405982971	0.0	18.7199993134	0.153465234411	1.0	1
1.0	27.7922992706	1.0	1.0	5561.92578125	8.0	2.0	45.4393979311	2.59277067885	-0.174012005329	0.691919624805	0.70069038868	0.0	54.5875157431	58.8819007874	69.9317016602	-41.3263015747	0.463695108891	0.0	0.0	0.0	0.0	0.0	0.0241652926543	1.0	1
1.0	145.909301758	2.0	2.0	6487.75537109	9.0	3.0	74.4432806969	0.0	-0.999277234077	-0.034380145371	-0.0162182562053	3.55652746851	61.6867460535	64.6602935791	63.6982002258	-33.5047988892	0.0628616511822	1.0	18.7199993134	54.1405982971	0.0	18.7199993134	0.1297812889	1.0	1
1.0	17.3022003174	1.0	0.0	1503.3671875	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	0.0	1
1.0	1324.57788086	9.0	3.0	6280.69580078	23.0	2.0	56.5844794512	0.0	-0.747719705105	-0.657456874847	0.0930901095271	2.56632180271	20.2788957308	47.0953979492	78.1310424805	-39.2170982361	0.00612363219261	3.0	1.10000002384	57.9003201723	4.0	25.8999996185	0.968405012	1.0	1
1.0	1178.47216797	4.0	1.0	5121.44677734	18.0	4.0	81.5868988037	0.0	0.998985350132	-0.0365989468992	0.0262444522232	16.907821272	63.8188621645	72.7670440674	46.7398986816	-17.9262504578	0.571654736996	3.0	10.0600004196	72.3754997253	1.0	10.0600004196	0.414334250826	1.0	1
1.0	2028.20068359	7.0	4.0	10779.2636719	22.0	6.0	294.765690088	0.0	-0.998985409737	0.0365960337222	-0.0262454245239	2.80488445472	23.71176507	49.5862998962	78.8170928955	-37.9792480469	0.662127733231	9.0	10.0600004196	317.136232972	4.0	28.0	0.998080821482	1.0	1
1.0	176.867202759	2.0	1.0	1334.18994141	1.0	1.0	19.7388000488	0.0	-0.0429125763476	-0.985954999924	0.161403611302	10.5647576983	2.97418550513	75.2176055908	36.6548500061	-7.11358499527	0.0918774008751	1.0	20.5	72.37550354	0.0	20.5	0.0983748006957	1.0	1
1.0	580.583984375	2.0	1.0	2583.79296875	7.0	1.0	23.6865005493	3.4982138572	0.245570063591	-0.942869544029	-0.225149869919	12.0155272164	8.65302930058	70.6389465332	55.1297531128	-19.3499984741	0.785140931606	0.0	0.0	0.0	0.0	0.0	0.117881870264	1.0	1
1.0	128.805206299	2.0	1.0	1509.13452148	4.0	2.0	53.9527015686	0.0	-0.0429189763963	-0.9859547019	0.161403819919	1.28318779644	8.09118281711	77.4272994995	32.3750495911	-2.46311497688	0.833359777927	1.0	20.5	72.37550354	1.0	9.81999969482	0.39229915863	1.0	1
1.0	1038.13098145	2.0	0.0	236.462921143	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	435.62298584	1.0	1.0	2152.19604492	1.0	1.0	29.8827991486	2.66916657531	0.114345647395	0.0445203147829	0.992443025112	0.0	10.828831329	75.8533477783	58.7898483276	-10.8992700577	0.508671998978	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1494.4453125	5.0	4.0	7836.27832031	25.0	6.0	267.187619686	0.0	0.999825954437	0.0	0.018654672429	15.6668584825	73.5895566746	74.9277038574	45.7829017639	-19.3863487244	0.778360784054	9.0	7.57999992371	259.277297974	6.0	19.3999996185	0.990975956523	1.0	1
1.0	507.199005127	3.0	2.0	3491.14916992	7.0	3.0	149.414005041	0.0	0.00372825982049	0.980663001537	-0.195668295026	23.2815645952	57.6821630454	68.2230529785	60.1427497864	-38.6851005554	0.766742110252	2.0	15.9799995422	86.1328010559	0.0	15.9799995422	0.614617493418	1.0	1
1.0	1250.10192871	5.0	3.0	8992.58789062	25.0	4.0	243.457098007	0.0	0.999826014042	0.0	0.0186564922333	24.1699912404	35.4492064824	55.8757019043	68.2436981201	-47.5213508606	0.914805650711	7.0	8.30000019073	202.14850235	1.0	11.9399995804	0.979143117255	1.0	1
1.0	272.726989746	1.0	1.0	2315.09204102	2.0	1.0	20.2148599625	0.0	0.999825954437	0.0	0.0186565555632	11.8821267677	2.26381490024	67.6630020142	61.7937011719	-37.8601493835	0.591388881207	2.0	15.9799995422	83.4961013794	0.0	15.9799995422	0.048302078879	1.0	1
1.0	589.88079834	3.0	3.0	1299.46411133	10.0	3.0	156.445344448	0.0	0.999825954437	0.0	0.018654672429	15.6668584825	37.3856100377	74.9277038574	45.7829017639	-19.3863487244	0.778360784054	2.0	7.73999977112	45.7031002045	2.0	12.4799995422	0.97453007584	1.0	1
1.0	401.069274902	3.0	2.0	2153.43359375	7.0	3.0	123.92579937	0.0	-0.999826014042	0.0	-0.0186564922333	0.0	11.7718335472	59.0929031372	67.6521987915	-45.0135498047	0.338469237089	4.0	7.73999977112	134.472602844	2.0	11.9399995804	0.970992882601	1.0	1
1.0	549.156799316	2.0	2.0	4238.99072266	9.0	2.0	152.929811001	2.1250952531	-0.231146991253	0.536826908588	0.811411142349	17.0116662779	18.8351533174	63.0323982239	82.3682479858	-23.4158992767	0.979074537754	0.0	0.0	0.0	0.0	0.0	0.216257854603	1.0	1
1.0	178.06199646	1.0	0.0	2755.85888672	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	0.0	1
1.0	1340.94543457	6.0	5.0	9500.31445312	29.0	9.0	265.078276157	0.0	-0.0289092287421	0.963119924068	-0.267514824867	1.7187764946	35.8514033214	55.8423500061	78.9339981079	-6.52916002274	0.919003009796	8.0	12.5399999619	377.050806046	9.0	30.0	0.971243109871	1.0	1
1.0	371.191192627	5.0	1.0	9585.23535156	28.0	2.0	47.9882011414	0.0	-0.999506950378	-0.0309877898544	-0.00506546068937	3.11061631158	28.2552625768	51.6259994507	77.0830993652	-42.5780029297	0.85935240984	0.0	0.0	0.0	1.0	8.81999969482	0.520483015115	1.0	1
1.0	1465.58984375	7.0	4.0	6715.69140625	25.0	4.0	141.679802895	0.0	-0.0288038514555	0.963118135929	-0.267532616854	6.88324395861	49.0788512761	65.0495986938	69.2499542236	-9.55840492249	0.856934905052	6.0	11.4600000381	286.78759861	5.0	32.1399993896	0.996789030043	1.0	1
1.0	658.830200195	5.0	4.0	4870.69042969	8.0	2.0	107.402301788	2.00277303142	0.21549962461	0.251596450806	0.943535506725	31.9549071172	26.4211473325	56.6584472656	73.3719024658	-37.8295516968	0.662890076637	3.0	13.3000001907	108.54489994	0.0	18.1200008392	0.473180521481	1.0	1
1.0	1356.01281738	4.0	3.0	2128.53100586	6.0	3.0	159.96099329	0.0	-0.999504029751	-0.031095886603	-0.00496305525303	17.7948411645	15.8018005118	67.2266998291	49.0337486267	-22.9040489197	0.370875239372	0.0	0.0	0.0	1.0	21.0400009155	0.984730680891	1.0	1
1.0	483.507720947	3.0	2.0	5739.08740234	8.0	2.0	43.4179000854	2.00277303142	-0.215497404337	-0.251595765352	-0.943536102772	3.46317854199	50.6892122669	66.6840515137	64.4926986694	-10.4069347382	0.885134518147	0.0	0.0	0.0	0.0	0.0	0.147452199999	1.0	1
1.0	1229.99963379	5.0	1.0	1712.13891602	6.0	1.0	20.5663905144	0.0	-0.0288081075996	0.963131070137	-0.267485886812	27.2640826032	6.83560546069	59.174697876	70.7656555176	-30.5015487671	0.991728186607	1.0	17.2199993134	75.4102020264	0.0	17.2199993134	0.979033995959	1.0	1
1.0	441.046295166	3.0	3.0	1934.03173828	6.0	3.0	147.392602921	0.0	0.999504029751	0.031095886603	0.00496305525303	1.99350374907	30.8582248599	67.2266998291	49.0337486267	-22.9040489197	0.370875239372	0.0	0.0	0.0	2.0	21.0400009155	0.749227633307	1.0	1
1.0	1105.35559082	6.0	4.0	5923.99902344	8.0	4.0	243.369263649	0.0	0.0288009848446	-0.963122844696	0.267516136169	1.71877607846	49.6821980269	68.5679016113	50.9464988708	-5.89402961731	0.921458482742	5.0	12.5399999619	210.234302521	3.0	21.0400009155	0.969918543268	1.0	1
1.0	39.3768997192	1.0	1.0	2217.75854492	2.0	1.0	28.125	2.65997932283	0.0894702151418	0.71288818121	0.695546925068	2.64689478771	12.2549727331	56.7968978882	65.2002487183	-40.3339500427	0.957365036011	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1224.90234375	6.0	4.0	11505.0791016	17.0	4.0	99.3165016174	0.0	0.995683193207	-0.0704780742526	-0.0603976845741	27.978157243	48.8866049801	61.6539497375	47.0127029419	-36.6266517639	0.564822018147	2.0	6.17999982834	32.5194997787	1.0	8.06000041962	0.977834283754	1.0	1
1.0	1099.7401123	4.0	3.0	13746.7441406	17.0	2.0	66.7969007492	0.0	0.995683193207	-0.0704780742526	-0.0603976845741	17.2778502392	48.8866049801	61.6539497375	47.0127029419	-36.6266517639	0.564822018147	1.0	7.28000020981	20.214799881	0.0	7.28000020981	0.466331059982	1.0	1
1.0	198.291000366	1.0	1.0	2466.67651367	5.0	1.0	14.0625	1.72181296955	-0.266208976507	0.930156290531	-0.252867728472	2.68233632665	26.2907259411	61.7696495056	50.3055496216	-38.8739013672	0.44135427475	0.0	0.0	0.0	0.0	0.0	0.139705302828	1.0	1
1.0	212.354095459	3.0	0.0	842.384033203	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	111.099098206	3.0	3.0	2217.75854492	2.0	1.0	61.523399353	0.0	-0.0535349845886	-0.956509053707	0.28674814105	1.07411526268	51.8386968228	69.101852417	36.1666030884	-15.0457000732	0.0342846550047	1.0	6.28000020981	59.7655982971	1.0	6.28000020981	0.0745683241525	1.0	1
1.0	176.960006714	1.0	0.0	2076.49853516	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	0.0	1
1.0	543.256225586	3.0	3.0	4609.62646484	19.0	3.0	59.0	0.0	-0.999845981598	0.0	-0.0175493974239	12.9731496679	33.788927926	60.7742004395	76.8641967773	-19.9617500305	0.834969162941	3.0	10.1000003815	144.0	0.0	25.6800003052	0.987135783066	1.0	1
1.0	387.332580566	4.0	2.0	7226.90478516	26.0	2.0	24.0	0.0	-0.0177754424512	-0.144277215004	0.989377677441	29.901945468	40.3187162116	68.0561523438	53.956199646	-31.4311504364	0.0803927481174	1.0	16.5799999237	51.0	0.0	16.5799999237	0.206966499729	1.0	1
1.0	592.755187988	2.0	1.0	1425.58129883	9.0	1.0	24.0	3.37013345879	-0.175104007125	0.933249473572	-0.313662320375	3.86387822521	66.2778832832	67.0494537354	59.9642028809	-35.9774017334	0.676670014858	0.0	0.0	0.0	0.0	0.0	0.990548574795	1.0	1
1.0	236.359588623	3.0	3.0	3577.56396484	9.0	4.0	146.0	0.0	0.017876226455	0.144380524755	-0.989360690117	0.0	21.1915131766	62.8488998413	68.685546875	-44.5176010132	0.589725613594	5.0	1.0	128.0	0.0	16.5799999237	0.473831791667	1.0	1
1.0	504.893829346	3.0	3.0	3822.58544922	6.0	3.0	77.0	0.0	-0.0178748313338	-0.144276946783	0.989375829697	1.85676185923	46.4552718769	64.3876953125	73.1430969238	-9.04940986633	0.496263325214	2.0	9.42000007629	73.0	0.0	26.5200004578	0.349610545165	1.0	1
1.0	56.7476005554	1.0	1.0	2186.07128906	3.0	1.0	43.0	1.73205080757	0.330392539501	-0.751041173935	0.571644902229	0.0	20.9074330815	71.5122528076	56.334148407	-13.3884506226	0.531995296478	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1481.88647461	6.0	3.0	11187.0146484	23.0	2.0	189.0	0.0	0.0178226642311	0.144347816706	-0.989366412163	5.53680468601	8.83191376802	40.8076019287	73.462348938	-57.0305023193	0.238496392965	5.0	1.0	72.0	1.0	1.0	0.940803791642	1.0	1
1.0	268.26159668	2.0	2.0	3081.13476562	4.0	1.0	96.0	0.0	-0.0178261697292	-0.144347816706	0.989366412163	0.0	21.9919467405	66.6806030273	67.2160491943	-21.1923999786	0.545695602894	1.0	1.0	1.0	1.0	1.0	0.263624835472	1.0	1
1.0	585.531982422	2.0	2.0	3052.76074219	6.0	1.0	198.0	1.73205080757	-0.330392539501	0.751041173935	-0.571644902229	5.30253348348	30.7733373396	71.5122528076	56.334148407	-13.3884506226	0.531995296478	0.0	0.0	0.0	0.0	0.0	0.327477394809	1.0	1
1.0	56.7476005554	1.0	1.0	2659.39746094	4.0	2.0	71.0	0.0	-0.0178261697292	-0.144347816706	0.989366412163	0.0	34.2775144672	66.6806030273	67.2160491943	-21.1923999786	0.545695602894	1.0	1.0	1.0	1.0	1.0	0.143992265863	1.0	1
1.0	51.6803016663	1.0	0.0	1805.11816406	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	0.0	1
1.0	591.862487793	6.0	5.0	3449.04174805	24.0	5.0	271.0	0.0	-0.0188808981329	-0.152886509895	0.988063335419	2.34094008807	38.8307814735	65.5877532959	72.2528533936	-15.2653503418	0.46418774128	6.0	1.0	173.0	3.0	22.1000003815	0.969565757583	1.0	1
1.0	125.509300232	2.0	1.0	1522.10766602	11.0	1.0	32.0	0.0	0.00269271852449	-0.990087747574	-0.140423491597	2.3413606799	42.342223508	72.1039505005	40.2129974365	-8.74898529053	0.01402130723	1.0	15.9399995804	47.0	0.0	15.9399995804	0.158648504297	1.0	1
1.0	837.959472656	8.0	5.0	11688.3486328	28.0	6.0	357.0	0.0	0.999861776829	0.0	0.0166298858821	3.81213652332	43.875653819	65.0248565674	72.1738967896	-14.7643003464	0.727873325348	6.0	7.42000007629	254.0	2.0	22.1000003815	0.979898372233	1.0	1
1.0	145.196990967	2.0	0.0	616.47088623	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	542.643066406	2.0	0.0	1641.46374512	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.65157120249e-08	1.0	1
1.0	541.412719727	3.0	3.0	4003.99047852	7.0	3.0	142.0	0.0	0.0187849029899	0.152886793017	-0.988065183163	0.0	20.0850228302	51.827999115	69.6865539551	-48.1971511841	0.268479585648	5.0	8.64000034332	192.0	1.0	8.64000034332	0.773908339856	1.0	1
1.0	134.122695923	2.0	1.0	1722.67578125	3.0	2.0	32.0	0.0	0.00269271852449	-0.990087747574	-0.140423491597	2.3413606799	33.9045164447	72.1039505005	40.2129974365	-8.74898529053	0.01402130723	2.0	13.1599998474	74.0	0.0	15.9399995804	0.158648504297	1.0	1
1.0	479.916534424	1.0	1.0	1365.44946289	2.0	1.0	10.0	0.0	-0.0181110650301	-0.147287160158	0.988927960396	2.59720216382	0.0	69.8964538574	55.0098495483	-8.28309440613	0.922263085842	1.0	14.6800003052	5.0	2.0	15.1000003815	-1.0	0.0	1
1.0	1231.46166992	8.0	6.0	8620.23144531	23.0	6.0	372.0	0.0	-0.0181108061224	-0.147379130125	0.988914310932	3.33452953492	72.034463052	69.8581542969	54.6990966797	-6.19763469696	0.56881582737	10.0	8.15999984741	310.0	3.0	19.5200004578	0.986209453735	1.0	1
1.0	1565.21032715	6.0	3.0	4442.27587891	22.0	3.0	79.0	0.0	-0.0181110650301	-0.147287160158	0.988927960396	2.59720216382	58.4042728063	69.8964538574	55.0098495483	-8.28309440613	0.922263085842	2.0	14.6800003052	40.0	2.0	15.1000003815	0.677782100847	1.0	1
1.0	1652.91088867	6.0	4.0	7750.53466797	20.0	6.0	324.0	0.0	-0.0181108061224	-0.147379130125	0.988914310932	3.33452953492	72.034463052	69.8581542969	54.6990966797	-6.19763469696	0.56881582737	7.0	8.15999984741	226.0	3.0	19.5200004578	0.978026114739	1.0	1
