valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1174.7911377	1.0	1.0	240.699890137	2.0	2.0	38.2324209213	1.81105220454	0.263278096914	-0.442216098309	-0.857396960258	13.678955198	14.2609767465	-0.673964500427	68.3295516968	-29.9243507385	0.229741930962	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1947.67907715	5.0	5.0	1671.64794922	13.0	9.0	264.990305185	0.0	0.999348461628	-0.0346041843295	-0.010256903246	1.78385908214	44.0221280029	17.0681495667	50.5950012207	10.8791503906	0.806891202927	8.0	8.93999958038	262.353602648	4.0	18.3600006104	0.998029025028	1.0	1
1.0	3305.75732422	9.0	5.0	2044.84289551	13.0	10.0	424.511744499	0.0	0.999341547489	-0.0347864441574	-0.010310638696	6.38386248727	30.6275708423	4.26115512848	104.567497253	-3.68736004829	0.356341183186	21.0	2.25999999046	584.033359289	12.0	15.4399995804	0.999751032604	1.0	1
1.0	3171.05322266	10.0	7.0	3330.046875	9.0	7.0	721.142787099	0.0	-0.999347567558	0.0346030965447	0.0103460531682	16.6632163991	40.8583173859	0.541367709637	97.4584960938	-13.2595996857	0.648132920265	17.0	2.25999999046	407.373101234	12.0	11.8000001907	0.998952739017	1.0	1
1.0	227.450393677	2.0	0.0	401.902008057	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.484151988354	1.0	1
1.0	1042.29589844	2.0	2.0	521.148620605	3.0	2.0	65.9178981781	0.0	-0.999347567558	0.0346030965447	0.0103460531682	18.6064721445	28.5328522449	0.541367709637	97.4584960938	-13.2595996857	0.726108253002	2.0	1.87999999523	38.2324192524	1.0	1.87999999523	0.976749217786	1.0	1
1.0	1656.19104004	5.0	4.0	788.346862793	3.0	2.0	56.6895208359	0.0	-0.999344289303	0.0346983298659	0.0103468941525	38.7071177795	19.5442175702	-0.439346015453	77.4655456543	-38.7521972656	0.851632297039	4.0	8.72000026703	233.349601746	0.0	27.7999992371	0.0395303905228	1.0	1
1.0	1278.57885742	3.0	2.0	278.240203857	3.0	3.0	64.5996413231	0.0	-0.999348402023	0.0346032679081	0.010258491151	25.2999583127	2.38185875988	3.04844999313	82.1889038086	-43.248046875	0.451205641031	4.0	8.72000026703	164.794900894	0.0	25.1000003815	0.251562619347	1.0	1
1.0	1212.98852539	1.0	1.0	317.218322754	2.0	2.0	58.0078010559	2.2200562836	0.150857642293	-0.916884660721	0.36954626441	28.3209989141	1.12710543815	0.582145452499	74.8168029785	-27.2705497742	0.157217383385	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2472.0012207	9.0	7.0	1706.07446289	14.0	9.0	298.476679921	0.0	0.0502797961235	-0.0856134966016	-0.995058894157	16.6469865701	44.4591439247	2.57495999336	51.2624511719	-8.83950042725	0.586598157883	3.0	7.17999982834	47.4609003067	1.0	26.8199996948	0.997916927152	1.0	1
