valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1930.01391602	5.0	1.0	777.305603027	1.0	1.0	55.3711013794	1.22474487139	-0.0162566881627	-0.167168870568	-0.985794246197	0.0	18.410288447	47.4934005737	82.59349823	-32.2743492126	0.429608136415	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	949.549194336	5.0	2.0	262.782592773	3.0	2.0	30.3222999573	0.0	-0.999372243881	0.0338939242065	0.0103103090078	21.7110274602	5.92271526082	25.7309494019	106.408004761	4.69674015045	0.914436101913	2.0	6.78000020981	30.3222007751	0.0	7.63999986649	0.995239125666	1.0	1
1.0	3542.03979492	12.0	8.0	3299.1315918	10.0	6.0	366.503961325	0.0	0.999344289303	-0.0346956253052	-0.0103471018374	13.6142216318	3.73821874744	50.1534004211	61.9381484985	24.6711006165	0.901166141033	12.0	3.0	316.406339169	4.0	14.0200004578	0.977347469752	1.0	1
1.0	2934.77001953	10.0	8.0	3994.73217773	12.0	7.0	628.857650042	0.0	0.999347388744	-0.0346076078713	-0.0103462189436	1.57437148193	13.2264177165	49.9688491821	56.5018997192	25.6152000427	0.212969228625	18.0	3.0	551.07434082	8.0	15.0600004196	0.998600604946	1.0	1
1.0	2983.35107422	8.0	1.0	1115.1685791	1.0	1.0	9.22852039337	2.37565152116	0.131865352392	-0.912076592445	-0.388236761093	15.3599174148	8.43414330293	60.2872009277	73.0730514526	-10.0128955841	0.864044308662	0.0	0.0	0.0	0.0	0.0	0.919938014239	1.0	1
1.0	3628.16162109	7.0	7.0	1737.89575195	9.0	9.0	580.078360319	0.0	-0.999348223209	0.0346106998622	0.0102569749579	43.2782010433	1.10418999245	37.638999939	90.3742980957	18.1418495178	0.532854020596	11.0	3.57999992371	333.544887543	6.0	13.8599996567	0.999997294002	1.0	1
1.0	2223.7121582	6.0	5.0	1517.07067871	5.0	4.0	249.170141459	0.0	-0.999348223209	0.0346106998622	0.0102569749579	4.21323378876	1.10418999245	37.638999939	90.3742980957	18.1418495178	0.532854020596	8.0	2.25999999046	163.476522923	7.0	13.8599996567	0.977347465908	1.0	1
1.0	2153.04736328	6.0	6.0	2157.46435547	7.0	6.0	489.111501455	0.0	-0.999348223209	0.0346106998622	0.0102569749579	38.5990349367	3.73942830536	37.638999939	90.3742980957	18.1418495178	0.0911240503192	8.0	2.25999999046	251.806644917	3.0	13.8599996567	0.991286333481	1.0	1
1.0	3372.00390625	7.0	6.0	1815.18481445	7.0	6.0	349.365564346	0.0	0.0335104689002	0.984701275826	-0.170998752117	31.4488507326	8.59619017203	33.2562026978	76.9196014404	20.5425987244	0.957329630852	6.0	3.0	119.970758915	2.0	8.53999996185	0.994780069844	1.0	1
1.0	3157.8034668	8.0	8.0	2128.75683594	8.0	7.0	446.923861504	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	15.8885349036	15.2408334667	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	14.0	2.25999999046	319.043040991	9.0	13.5200004578	0.999999851166	1.0	1
1.0	1130.80834961	5.0	2.0	285.989013672	1.0	1.0	54.8438014984	1.89116099933	0.555281162262	-0.565615355968	-0.609706640244	29.2627728606	9.48320128266	57.9426002502	79.8607025146	-8.34467506409	0.491828918457	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3297.09545898	12.0	10.0	4049.87231445	11.0	8.0	517.851722598	0.0	0.0461528003216	0.99376064539	-0.1015374735	42.8908982232	1.01835494309	2.97601008415	100.837005615	-20.4960002899	0.918658018112	28.0	5.82000017166	954.492505074	6.0	18.3600006104	0.999982818987	1.0	1
1.0	992.744873047	9.0	2.0	1242.57373047	5.0	2.0	72.7735013962	0.0	0.998023927212	-0.0332690440118	0.0533036589622	33.7534069461	43.9766478559	60.2816505432	72.9344482422	-4.61837005615	0.797057271004	1.0	8.47999954224	16.875	1.0	8.47999954224	0.320519965622	1.0	1
1.0	1906.59606934	16.0	14.0	5637.60498047	9.0	8.0	556.8749336	0.0	0.998022913933	-0.0332701578736	0.0533227920532	44.7533250991	15.0055023274	0.390998989344	86.5996551514	-14.8083496094	0.950715065002	18.0	5.82000017166	494.648440838	7.0	18.3600006104	0.999752341512	1.0	1
1.0	1239.28723145	10.0	7.0	1388.8560791	7.0	7.0	267.890551329	0.0	-0.0461861044168	-0.993750989437	0.101616926491	2.3187403635	13.8046222851	59.0251998901	76.3805007935	-31.0072002411	0.622346282005	8.0	5.92000007629	172.96874094	5.0	18.3600006104	0.928211418652	1.0	1
1.0	1625.53686523	10.0	9.0	2981.52124023	6.0	6.0	285.820302725	0.0	-0.998023927212	0.0332690440118	-0.0533036589622	19.7358293518	16.8005510149	60.2816505432	72.9344482422	-4.61837005615	0.797057271004	8.0	5.36000013351	278.437405586	4.0	11.5600004196	0.990012191048	1.0	1
1.0	954.94140625	6.0	2.0	795.510009766	2.0	2.0	80.1563014984	1.89116099933	0.555281162262	-0.565615355968	-0.609706640244	29.2627728606	9.48320128266	57.9426002502	79.8607025146	-8.34467506409	0.491828918457	0.0	0.0	0.0	0.0	0.0	0.125891039694	1.0	1
1.0	1541.71240234	6.0	5.0	2915.77612305	5.0	4.0	171.914001465	0.0	-0.0460887923837	-0.993754446507	0.101626187563	19.5115510034	14.8098069974	61.9454498291	72.3727035522	-4.47653484344	0.328137308359	6.0	5.36000013351	94.9219403267	5.0	18.3600006104	0.984810162944	1.0	1
1.0	696.893493652	5.0	3.0	946.72277832	3.0	3.0	111.796851158	0.0	0.0461990907788	0.993747293949	-0.101646155119	35.2703443757	19.695440332	34.9737014771	99.721496582	-7.2412853241	0.705270886421	1.0	10.2600002289	29.5312004089	1.0	10.2600002289	0.676512919254	1.0	1
1.0	2928.92480469	8.0	6.0	943.436401367	6.0	6.0	197.226512432	0.0	0.0461943149567	0.993749558926	-0.101626746356	48.9660078205	24.5577273015	40.2251968384	90.6529541016	-27.6686000824	0.53626948595	5.0	5.92000007629	117.07020092	3.0	10.2600002289	0.995869629917	1.0	1
1.0	2609.00097656	12.0	10.0	1580.68566895	16.0	11.0	368.349891663	0.0	-0.031410753727	0.976053595543	-0.215250536799	38.0880135652	6.30170628284	5.7052154541	101.450500488	-15.1461000443	0.0105452761054	11.0	4.92000007629	306.474486589	3.0	11.3000001907	0.99993751696	1.0	1
1.0	1526.83752441	12.0	9.0	1169.01342773	11.0	9.0	250.400591373	0.0	-0.0314130336046	0.976050317287	-0.215264797211	14.1715541412	27.1486746842	63.3185501099	71.7501525879	-1.63305497169	0.439137786627	3.0	5.69999980927	115.048897743	2.0	13.1199998856	0.994626844188	1.0	1
1.0	1585.89782715	8.0	5.0	677.436340332	11.0	3.0	212.695186019	0.0	-0.999276518822	-0.0343800038099	-0.0162637960166	27.4579468055	40.7614505337	61.4802017212	73.3096008301	3.59260511398	0.340099751949	1.0	11.220000267	35.7714996338	1.0	13.1199998856	0.990872722338	1.0	1
1.0	1372.2442627	8.0	8.0	1919.40405273	6.0	6.0	320.97643435	0.0	0.0314093194902	-0.976040959358	0.215307965875	1.11747177882	41.9128705853	36.3226470947	82.9398498535	-44.0214004517	0.906591415405	3.0	6.36000013351	95.7129735947	3.0	11.1400003433	0.992324936783	1.0	1
1.0	1841.23815918	9.0	9.0	1926.35205078	8.0	8.0	380.918016911	0.0	-0.0314130336046	0.976050317287	-0.215264797211	14.1715541412	45.2327072231	63.3185501099	71.7501525879	-1.63305497169	0.439137786627	4.0	6.36000013351	112.148472786	4.0	11.3000001907	0.998622551837	1.0	1
1.0	2621.15844727	11.0	10.0	1174.22412109	4.0	4.0	321.943415403	0.0	-0.999278783798	-0.034292768687	-0.0163090731949	46.3788692372	0.0	40.6488990784	77.1849517822	20.4841499329	0.904306530952	2.0	7.92000007629	26.1034698486	4.0	11.3000001907	0.998568278035	1.0	1
1.0	752.128051758	6.0	5.0	693.070007324	5.0	3.0	148.886598587	2.1869727453	0.0324261337519	-0.553505897522	-0.832213759422	1.13442131768	53.0842214816	7.65391492844	109.42300415	-12.6425495148	0.37954851985	0.0	0.0	0.0	0.0	0.0	0.987220843934	1.0	1
1.0	303.977996826	2.0	1.0	343.929504395	7.0	1.0	16.4354991913	4.02124366577	0.93443274498	-0.275147348642	0.226117864251	0.0	33.4940745109	24.4423484802	108.039505005	6.30133485794	0.527470231056	0.0	0.0	0.0	0.0	0.0	0.985660111266	1.0	1
1.0	1167.27563477	4.0	1.0	1118.6385498	4.0	1.0	27.0702800751	3.23824031422	0.0894586741924	0.341172158718	-0.935734272003	9.9422691945	1.11775390565	0.355708986521	102.320999146	-1.43424487114	0.583555102348	0.0	0.0	0.0	0.0	0.0	0.999090857856	1.0	1
1.0	917.014892578	8.0	0.0	1009.29370117	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.491559289953	0.0	1
1.0	3210.5168457	16.0	13.0	3210.515625	15.0	10.0	334.243266225	0.0	-0.999003827572	0.0361143276095	-0.0262120477855	36.8266698641	3.04487364158	-0.0878905057907	103.404502869	-7.91701984406	0.705679774284	19.0	1.55999994278	418.46194613	14.0	25.8999996185	0.999995827846	1.0	1
1.0	4287.09472656	19.0	14.0	4152.52441406	14.0	12.0	618.48141253	0.0	0.0429129824042	0.985964298248	-0.161347225308	12.1368199575	57.3393475831	54.7187995911	74.9732513428	25.1798992157	0.126791387796	24.0	1.55999994278	618.481578112	14.0	17.7600002289	0.999998804803	1.0	1
1.0	4546.62744141	22.0	17.0	5334.83935547	13.0	10.0	1236.96272874	0.0	-0.998987615108	0.0365960039198	-0.0261627454311	27.4398956991	3.0448341773	36.7314987183	82.2606048584	32.7202987671	0.896198928356	29.0	1.10000002384	971.147421479	17.0	25.8999996185	0.999999999784	1.0	1
1.0	124.960205078	2.0	0.0	51.9066009521	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.491559289953	1.0	1
1.0	2972.13085938	17.0	11.0	4114.07470703	6.0	5.0	780.339399099	0.0	-0.999003827572	0.0361143276095	-0.0262120477855	25.8812678757	3.04487364158	-0.0878905057907	103.404502869	-7.91701984406	0.705679774284	11.0	4.53999996185	278.974707127	7.0	10.9200000763	0.999997535309	1.0	1
1.0	451.77911377	8.0	2.0	920.860900879	5.0	2.0	19.7388000488	0.0	0.0429155752063	0.985951006413	-0.161427542567	27.5976427039	25.9360492347	54.9740982056	79.3463516235	21.8643493652	0.581223368645	1.0	11.5799999237	34.2139015198	1.0	5.71999979019	0.947769530876	1.0	1
1.0	2114.71142578	11.0	7.0	2205.06787109	9.0	7.0	344.770479202	0.0	0.0429482161999	0.985962927341	-0.161346212029	16.7685416921	11.8911376522	2.677079916	89.3668518066	-15.9545993805	0.146591946483	5.0	6.76000022888	161.857898712	2.0	11.6000003815	0.995431999878	1.0	1
1.0	3214.3605957	14.0	5.0	3783.41162109	5.0	4.0	319.768038273	0.0	0.998985409737	-0.0365960337222	0.0262454245239	0.0	51.0278675012	49.5862998962	78.8170928955	-37.9792480469	0.662127733231	8.0	8.02000045776	288.186096191	5.0	16.8799991608	0.999996144598	1.0	1
1.0	2160.8503418	13.0	7.0	1072.7364502	7.0	4.0	243.444728851	0.0	-0.998986303806	0.0365959554911	-0.0262105446309	27.8338686345	48.8831240251	59.9478988647	78.4609985352	-3.89888000488	0.146516859531	4.0	8.02000045776	146.066898346	3.0	16.8799991608	0.999736660213	1.0	1
1.0	1533.93554688	8.0	1.0	855.20300293	1.0	1.0	40.4297008514	2.91330576217	0.474093258381	-0.638661146164	-0.606091916561	39.6737980777	19.1850600291	54.7131996155	93.3330993652	-15.2763004303	0.801344871521	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1541.34069824	9.0	7.0	2164.53955078	11.0	6.0	116.89447093	0.0	-0.999825954437	0.0	-0.0186530370265	13.045143972	20.6560106595	62.314453125	75.6341018677	14.0241498947	0.560068964958	7.0	8.11999988556	191.601600647	6.0	21.3799991608	0.971491044105	1.0	1
1.0	4008.22558594	15.0	11.0	3417.10791016	17.0	11.0	616.992124319	0.0	0.0189034771174	-0.167159885168	-0.985748529434	21.0901516028	1.84661487484	49.5106010437	78.2117004395	28.9957504272	0.970402479172	25.0	3.92000007629	557.226597071	12.0	22.4799995422	0.999988205477	1.0	1
1.0	2761.82397461	15.0	14.0	3866.30761719	17.0	11.0	620.50789237	0.0	0.999826014042	0.0	0.0186565257609	7.28701279126	35.5561801008	13.1902999878	95.631401062	-35.1473503113	0.579456329346	21.0	5.76000022888	529.980368614	12.0	23.5	0.999936798729	1.0	1
1.0	1461.12609863	8.0	7.0	928.012390137	4.0	4.0	261.914026737	0.0	-0.00382553669624	-0.980689406395	0.195534467697	19.6902558835	17.1738004707	17.7978000641	107.741996765	-20.0060997009	0.850540220737	1.0	15.7600002289	48.3398017883	3.0	11.6400003433	0.91891842848	1.0	1
1.0	1979.43103027	9.0	7.0	1457.42382812	7.0	5.0	305.859425783	0.0	0.999824285507	0.0	0.0187441147864	8.86086555335	36.2109787958	15.3127002716	99.1240997314	-32.3104019165	0.707463502884	8.0	4.38000011444	129.199189901	2.0	6.13999986649	0.999730542376	1.0	1
1.0	1533.93554688	8.0	1.0	1011.92797852	2.0	2.0	102.832000732	1.54904485006	0.418419420719	-0.502844512463	-0.756354808807	34.9898823964	18.106277372	43.0595474243	103.410499573	-3.52737998962	0.663282930851	0.0	0.0	0.0	0.0	0.0	0.302265926008	1.0	1
1.0	2945.69921875	13.0	5.0	2074.45288086	4.0	3.0	195.117155194	0.0	-0.00383587717079	-0.980662345886	0.195669606328	21.6026947884	10.9647025006	64.1002960205	80.8150482178	6.03454971313	0.857403695583	2.0	3.92000007629	36.035200119	3.0	16.8999996185	0.997741692687	1.0	1
1.0	2553.26782227	13.0	8.0	2552.03393555	7.0	6.0	364.746141315	0.0	-0.0189034771174	0.167159885168	0.985748529434	31.3603510607	0.0	49.5106010437	78.2117004395	28.9957504272	0.970402479172	7.0	3.92000007629	177.539170265	4.0	10.3599996567	0.997577391625	1.0	1
1.0	2484.16186523	13.0	12.0	2427.39355469	10.0	10.0	556.347540975	0.0	0.999826014042	0.0	0.0186547394842	39.0101007928	8.6799854739	41.3760986328	82.0094985962	27.5034484863	0.931653439999	13.0	3.92000007629	208.30070734	8.0	20.3799991608	0.999935678128	1.0	1
1.0	1584.75402832	10.0	2.0	713.618408203	1.0	1.0	26.2792696953	2.00277303142	0.0187305118889	-0.465333163738	-0.884937465191	31.2967384857	12.0324921995	43.7403488159	89.4528045654	-23.4834499359	0.282296776772	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1649.1307373	12.0	8.0	887.571716309	8.0	6.0	169.101594448	0.0	-0.99950671196	-0.0309955105186	-0.00506545929238	39.7719512404	1.97457206532	44.8474006653	62.6278991699	24.1268997192	0.299037009478	2.0	5.32000017166	51.4160003662	1.0	16.1399993896	0.999717943248	1.0	1
1.0	1067.00390625	9.0	5.0	782.104248047	8.0	4.0	100.547032833	0.0	-0.0288038514555	0.963118135929	-0.267532616854	6.88324395861	45.6314261314	65.0495986938	69.2499542236	-9.55840492249	0.856934905052	2.0	7.69999980927	42.2754001617	3.0	19.6800003052	0.998572049229	1.0	1
1.0	2707.91772461	14.0	12.0	3544.81005859	21.0	17.0	631.845520973	0.0	0.99950671196	0.0309955105186	0.00506545929238	11.8261059105	59.4629570549	36.7472991943	68.7870941162	25.2285003662	0.961667954922	13.0	2.59999990463	365.624979973	6.0	23.3199996948	0.999999685284	1.0	1
1.0	2703.80737305	17.0	14.0	2201.12353516	6.0	6.0	517.587936878	0.0	0.999503552914	0.0310959331691	0.0050635212101	38.9108650626	14.5834344188	27.3344993591	93.8827514648	-30.0465011597	0.116105794907	9.0	3.18000006676	119.97078228	9.0	19.6800003052	0.999915012779	1.0	1
1.0	1827.19299316	13.0	9.0	2009.36462402	6.0	4.0	298.212852001	0.0	0.0124358963221	-0.251135975122	-0.967871904373	5.75179992368	33.1314538966	28.9612503052	80.8356933594	25.4309997559	0.769707381725	3.0	2.59999990463	22.851600647	3.0	15.6199998856	0.999452876366	1.0	1
1.0	2335.35571289	15.0	10.0	1492.98303223	10.0	9.0	452.461040497	0.0	-0.0288038514555	0.963118135929	-0.267532616854	15.8453105933	50.1074894407	65.0495986938	69.2499542236	-9.55840492249	0.856934905052	6.0	3.57999992371	151.962901115	10.0	19.6800003052	0.999628969518	1.0	1
1.0	2931.17871094	16.0	4.0	782.103881836	2.0	2.0	122.25591135	0.0	0.0289092287421	-0.963119924068	0.267514824867	25.3452021586	18.5275813519	55.8423500061	78.9339981079	-6.52916002274	0.919003009796	4.0	3.57999992371	139.394698143	4.0	20.5799999237	0.993780007677	1.0	1
1.0	894.420532227	9.0	3.0	486.246582031	3.0	2.0	55.9863505363	0.0	-0.999503552914	-0.0310958717018	-0.00506351143122	37.7971979627	26.1251074684	49.3264007568	83.9791488647	-19.6987991333	0.947182297707	0.0	0.0	0.0	1.0	16.1399993896	0.974016613064	1.0	1
1.0	1659.45410156	7.0	2.0	423.300994873	1.0	1.0	54.4922008514	1.83853199842	0.511120200157	-0.834763646126	0.204757958651	55.8455905195	14.5389439057	58.292098999	78.0823974609	-10.0832195282	0.447111845016	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4705.53564453	16.0	12.0	3071.39550781	15.0	13.0	520.312582612	0.0	0.995688557625	-0.0703837648034	-0.0604170262814	47.8275890202	1.08116996998	-0.56589448452	90.8027496338	-1.44416999817	0.986866235733	21.0	4.19999980927	486.914090157	8.0	22.7199993134	0.999999676024	1.0	1
1.0	1651.01623535	8.0	3.0	448.614685059	2.0	2.0	111.621100426	0.0	0.0535353198647	0.956511437893	-0.286740154028	36.5034111206	6.14481930746	43.1865501404	97.5054016113	5.66692495346	0.533585071564	2.0	9.53999996185	50.976600647	0.0	10.1400003433	0.278121101916	1.0	1
1.0	5737.77099609	14.0	9.0	1946.34179688	14.0	11.0	345.410147905	0.0	-0.0536272637546	-0.956504404545	0.286746054888	27.0391798791	1.9221193732	34.706199646	77.1598968506	36.4141998291	0.813069760799	26.0	3.03999996185	692.578035593	15.0	26.5400009155	0.999999999959	1.0	1
1.0	1680.54882812	7.0	3.0	480.959991455	2.0	2.0	57.1289207935	1.83853199842	0.511120200157	-0.834763646126	0.204757958651	58.5985456371	14.5389439057	58.292098999	78.0823974609	-10.0832195282	0.447111845016	0.0	0.0	0.0	0.0	0.0	0.148312068344	1.0	1
1.0	2892.79223633	13.0	6.0	1012.54797363	3.0	3.0	135.351609468	0.0	-0.0536445714533	-0.956475317478	0.286840081215	37.2192190094	51.0210922606	21.5183982849	107.601501465	-6.93841505051	0.630309045315	1.0	4.90000009537	7.03125	1.0	4.90000009537	0.989977208295	1.0	1
1.0	2607.31054688	7.0	2.0	644.093261719	4.0	3.0	105.468750954	0.0	0.995688736439	-0.0703831985593	-0.0604165382683	39.1223011	25.249393267	41.5724487305	98.8575515747	4.13360977173	0.513035416603	2.0	9.53999996185	58.0077991486	0.0	12.8599996567	0.914715253533	1.0	1
1.0	3001.07885742	10.0	5.0	604.716491699	3.0	3.0	111.621118069	0.0	0.995689570904	-0.0703867897391	-0.060398068279	0.0	38.1895361824	67.6616516113	60.4983520508	15.8616504669	0.487703353167	1.0	5.42000007629	11.4258003235	1.0	17.9799995422	0.994981969404	1.0	1
1.0	3008.11132812	11.0	5.0	783.317993164	3.0	3.0	142.382769823	0.0	0.995682895184	-0.0704815834761	-0.0603976622224	33.6922502159	3.24349383039	31.3916492462	97.2117004395	-21.1313495636	0.63438397646	4.0	6.90000009537	107.226502419	0.0	12.8599996567	0.977248809202	1.0	1
1.0	3941.90478516	9.0	4.0	777.69342041	3.0	3.0	161.718778849	0.0	0.0535316243768	0.956508874893	-0.286749154329	34.0680507232	13.7389437527	32.9201507568	95.5563964844	-20.7672996521	0.935590088367	4.0	6.40000009537	108.105398178	1.0	17.9799995422	0.995112236433	1.0	1
1.0	1773.31555176	5.0	1.0	456.631622314	1.0	1.0	55.0	2.54572977167	0.170400947332	-0.666714251041	-0.72557258606	31.0227449715	8.93793790585	58.6012496948	82.7752990723	-20.1968002319	0.496472358704	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3636.96777344	17.0	11.0	2596.24267578	13.0	10.0	507.0	0.0	-0.0177789907902	-0.144277200103	0.989377617836	44.7719618115	0.0	12.1777496338	107.563499451	-11.3043498993	0.513308465481	15.0	6.57999992371	329.0	1.0	7.67999982834	0.999954911141	1.0	1
1.0	633.592041016	3.0	2.0	461.582000732	1.0	1.0	79.0	0.0	0.0177772250026	0.14427728951	-0.989377558231	25.7466979641	3.40131545705	27.2461509705	104.074501038	-1.78588986397	0.360168457031	1.0	12.0600004196	36.0	0.0	12.0600004196	0.804062391405	1.0	1
1.0	3386.99536133	17.0	9.0	2410.62084961	11.0	7.0	432.0	0.0	0.0027412858326	-0.988859832287	-0.148824244738	45.8610918546	28.7886480211	29.7594490051	98.7838439941	-20.4665489197	0.844926893711	12.0	6.57999992371	287.0	1.0	10.6800003052	0.999909204263	1.0	1
1.0	2285.63476562	9.0	5.0	584.092773438	4.0	4.0	255.0	0.0	0.0178732313216	0.144278362393	-0.989375710487	31.3021566702	7.89475545513	27.2653007507	104.229499817	-2.84878492355	0.020389765501	4.0	7.84000015259	107.0	0.0	13.4200000763	0.839654175654	1.0	1
1.0	1514.68200684	10.0	6.0	1611.20483398	7.0	7.0	195.0	0.0	-0.0178748313338	-0.144276946783	0.989375829697	27.523112624	41.8131524963	64.3876953125	73.1430969238	-9.04940986633	0.496263325214	8.0	4.57999992371	246.0	2.0	18.6200008392	0.988118955603	1.0	1
1.0	2095.06176758	10.0	5.0	960.287719727	3.0	3.0	281.0	0.0	-0.999845981598	0.0	-0.0175493974239	12.9731496679	13.5406875648	60.7742004395	76.8641967773	-19.9617500305	0.834969162941	5.0	4.57999992371	175.0	1.0	4.57999992371	0.996547237669	1.0	1
1.0	1434.24377441	9.0	7.0	1624.81726074	6.0	6.0	354.0	0.0	0.0177748911083	0.14436507225	-0.989364802837	8.69115607084	37.6339502176	64.0653533936	69.4607543945	8.86242008209	0.34561508894	5.0	7.32000017166	163.0	1.0	7.67999982834	0.99565629251	1.0	1
1.0	2008.43725586	7.0	3.0	680.616638184	2.0	2.0	117.0	2.54572977167	0.170400947332	-0.666714251041	-0.72557258606	0.0	17.556623134	58.6012496948	82.7752990723	-20.1968002319	0.496472358704	0.0	0.0	0.0	0.0	0.0	0.591519395432	1.0	1
1.0	2036.89855957	13.0	8.0	1377.32080078	5.0	4.0	351.0	0.0	0.0177787356079	0.14437456429	-0.989363431931	1.85674889022	40.3307386672	47.502746582	88.1050491333	-38.604347229	0.412448853254	5.0	4.57999992371	103.0	1.0	4.57999992371	0.980486668751	1.0	1
1.0	873.139099121	6.0	2.0	464.29800415	1.0	1.0	58.0	0.0	-0.0178261846304	-0.144347935915	0.989366412163	42.4293501701	1.10476759387	48.8153991699	93.8511505127	-10.893699646	0.875652551651	1.0	650.020019531	36.0	0.0	650.020019531	-1.0	0.0	1
1.0	3043.73266602	14.0	9.0	1604.40856934	14.0	11.0	405.0	0.0	-0.999845802784	0.0	-0.0175595376641	21.1376460219	12.2285828502	0.802189052105	90.904800415	-13.8288002014	0.00965063273907	11.0	5.84000015259	355.0	3.0	650.020019531	0.989027402201	1.0	1
1.0	2434.9855957	16.0	8.0	1199.43737793	11.0	9.0	259.0	0.0	0.0178242009133	0.144430175424	-0.989354372025	34.753108702	24.0159020194	31.775100708	87.054901123	-46.3377990723	0.225043520331	7.0	17.7000007629	175.0	1.0	650.020019531	0.998045909366	1.0	1
1.0	1925.54821777	12.0	10.0	1961.66101074	5.0	5.0	406.0	0.0	-0.00261039868928	0.988878786564	0.148700267076	12.65222737	7.7254908236	32.6829986572	80.3175506592	25.8644504547	0.139507234097	6.0	3.42000007629	161.0	1.0	650.020019531	0.993526864304	1.0	1
1.0	2018.40820312	11.0	9.0	2272.48291016	6.0	6.0	501.0	0.0	-0.00261039868928	0.988878786564	0.148700267076	42.7150064655	7.7254908236	32.6829986572	80.3175506592	25.8644504547	0.139507234097	3.0	13.6800003052	87.0	2.0	650.020019531	0.975502330525	1.0	1
1.0	281.15838623	4.0	2.0	464.29800415	1.0	1.0	43.0	0.0	-0.0178261846304	-0.144347935915	0.989366412163	1.53989980161	1.10476759387	48.8153991699	93.8511505127	-10.893699646	0.875652551651	1.0	650.020019531	36.0	0.0	650.020019531	0.0748596906875	1.0	1
1.0	2398.875	10.0	7.0	1002.11132812	7.0	7.0	384.0	0.0	-0.00261039868928	0.988878786564	0.148700267076	42.7150064655	7.7254908236	32.6829986572	80.3175506592	25.8644504547	0.139507234097	5.0	4.90000009537	124.0	2.0	650.020019531	0.994256741689	1.0	1
1.0	2882.51879883	11.0	7.0	1192.98950195	4.0	4.0	247.0	0.0	0.999846577644	0.0	0.0175150278956	13.6114591455	33.1616174378	64.7277984619	70.2409973145	-4.81060504913	0.244951874018	5.0	3.42000007629	194.0	0.0	650.020019531	0.995295368858	1.0	1
1.0	1528.31530762	7.0	4.0	985.344665527	6.0	6.0	314.0	0.0	-0.00261039868928	0.988878786564	0.148700267076	42.7150064655	7.7254908236	32.6829986572	80.3175506592	25.8644504547	0.139507234097	3.0	650.020019531	127.0	0.0	650.020019531	0.992099355691	1.0	1
1.0	801.045043945	7.0	3.0	898.253295898	1.0	1.0	118.0	0.0	0.018877139315	0.152974620461	-0.988049805164	32.1190621792	3.9716443899	34.177947998	106.878997803	6.86110496521	0.990555226803	1.0	5.26000022888	11.0	1.0	5.26000022888	-1.0	0.0	1
1.0	2232.09667969	18.0	11.0	1253.86364746	11.0	9.0	212.0	0.0	-0.999863266945	0.0	-0.0165370646864	58.9556221311	22.2052250942	23.2385005951	102.574996948	-28.8784503937	0.146009400487	9.0	8.26000022888	272.0	0.0	32.5800018311	0.992099355691	1.0	1
1.0	1699.29748535	14.0	6.0	1464.27563477	6.0	4.0	215.0	0.0	0.00269272434525	-0.990086436272	-0.140433549881	45.7984156172	32.4652157605	53.3157501221	91.5793991089	-10.1189002991	0.494836032391	3.0	5.26000022888	53.0	1.0	5.26000022888	0.886427638382	1.0	1
1.0	2719.36889648	18.0	11.0	2827.65087891	13.0	8.0	506.0	0.0	-0.00269603845663	0.990101516247	0.140326857567	22.0076017251	1.48257224385	37.1704483032	91.6978530884	24.0565490723	0.801652669907	13.0	1.0	305.0	3.0	15.0	0.999884577417	1.0	1
1.0	652.156005859	6.0	0.0	31.9925994873	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.491559289953	1.0	1
1.0	1498.72839355	14.0	8.0	1429.82128906	4.0	3.0	195.0	0.0	0.0188806448132	0.152973115444	-0.988050043583	13.1134662632	9.1514492534	66.4492492676	74.6217956543	-2.39643001556	0.800574302673	6.0	5.26000022888	219.0	2.0	15.0	0.996581534506	1.0	1
1.0	1360.91552734	4.0	2.0	362.992095947	4.0	3.0	44.0	0.0	0.999862968922	0.0	0.0165560208261	0.0	8.96598236233	65.8891983032	73.4767990112	-2.04653000832	0.619420468807	1.0	20.5200004578	51.0	0.0	20.5200004578	0.384219008604	1.0	1
