valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1713.60498047	1.0	1.0	238.491485596	1.0	1.0	29.003900528	3.11583862185	-0.424927353859	-0.891945064068	-0.154501676559	37.7436485758	1.78383803163	61.0846481323	-5.18931293488	-41.7425003052	0.950593292713	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4694.74316406	9.0	3.0	1722.43835449	4.0	3.0	89.6484794617	0.0	-0.0334228016436	-0.984705030918	0.170993864536	62.6666021685	27.7484075416	48.704750061	-2.500674963	-54.6801986694	0.0247522741556	5.0	8.02000045776	179.296979904	0.0	19.7399997711	0.999991479787	1.0	1
1.0	5798.87011719	10.0	2.0	1294.0369873	3.0	2.0	92.2850999832	2.53841685376	-0.886039912701	-0.188543766737	-0.423538029194	50.4059690786	17.6951279654	55.6777000427	4.08803987503	-54.1240005493	0.288748443127	1.0	3.75999999046	14.501999855	0.0	3.75999999046	0.999999365373	1.0	1
1.0	6677.75488281	8.0	3.0	1695.93933105	3.0	3.0	213.574240208	0.0	-0.999348282814	0.0346072986722	0.0102586774155	31.770774953	9.03670054761	57.9014015198	-18.5771999359	-32.1304473877	0.872143805027	7.0	3.75999999046	259.71690464	3.0	13.9399995804	0.999999926966	1.0	1
1.0	1740.10400391	2.0	1.0	501.273498535	1.0	1.0	76.464799881	2.71958822724	-0.543854057789	-0.795556783676	-0.267043620348	44.1215832822	13.4755864683	57.8025512695	-1.07483994961	-47.8330993652	0.863331615925	0.0	0.0	0.0	0.0	0.0	0.441915763425	1.0	1
1.0	3932.89501953	6.0	1.0	70.664100647	1.0	1.0	17.1387004852	3.4819391743	-0.501456856728	-0.859880506992	-0.0956372320652	23.8828086666	1.57272692245	62.1497497559	-10.7513256073	-28.1226997375	0.630202889442	0.0	0.0	0.0	0.0	0.0	0.989800319773	1.0	1
1.0	1746.72851562	6.0	1.0	227.450393677	2.0	2.0	27.6855404377	0.0	-0.999348282814	0.0346072986722	0.0102586774155	31.770774953	4.89983147312	57.9014015198	-18.5771999359	-32.1304473877	0.872143805027	2.0	10.3599996567	81.7383003235	1.0	10.3599996567	0.694674462633	1.0	1
1.0	3966.01904297	7.0	1.0	370.986907959	3.0	1.0	17.1387004852	3.4819391743	-0.501456856728	-0.859880506992	-0.0956372320652	23.8828086666	7.61898165969	62.1497497559	-10.7513256073	-28.1226997375	0.630202889442	0.0	0.0	0.0	0.0	0.0	0.998740583668	1.0	1
1.0	768.473022461	3.0	1.0	940.716308594	2.0	1.0	10.5468997955	3.15658038837	0.558624207973	-0.469685554504	0.683618605137	45.0468993887	0.0	48.9604492188	6.1444849968	-59.8022499084	0.595062971115	0.0	0.0	0.0	0.0	0.0	0.195215865574	1.0	1
1.0	3802.60888672	6.0	1.0	134.703491211	1.0	1.0	17.1387004852	3.4819391743	-0.501456856728	-0.859880506992	-0.0956372320652	23.8828086666	1.57272692245	62.1497497559	-10.7513256073	-28.1226997375	0.630202889442	0.0	0.0	0.0	0.0	0.0	0.999275877903	1.0	1
1.0	1888.51647949	1.0	1.0	506.233825684	1.0	1.0	52.7342996597	2.6393597523	-0.276875972748	-0.689728558064	-0.669039666653	33.0110048382	1.77281130856	68.34375	12.7305355072	-42.6375999451	0.339919388294	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3998.92089844	12.0	4.0	1789.89880371	8.0	3.0	168.749842167	0.0	-0.0462871044874	-0.993746340275	0.101616449654	57.5594758638	2.03502199166	41.6821517944	16.6364002228	-68.900604248	0.335992574692	5.0	9.64000034332	184.570398331	0.0	19.4599990845	0.986462807253	1.0	1
1.0	161.07460022	1.0	0.0	1324.75500488	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.125172400591	1.0	1
1.0	3943.03710938	13.0	5.0	2759.63305664	9.0	5.0	337.499932766	0.0	-0.0462871044874	-0.993746340275	0.101616449654	52.7191575266	2.03502199166	41.6821517944	16.6364002228	-68.900604248	0.335992574692	6.0	16.9599990845	273.16399765	0.0	29.5400009155	0.995998011268	1.0	1
1.0	4148.49072266	7.0	4.0	652.515808105	2.0	2.0	207.773200989	0.0	0.0461883544922	0.993750691414	-0.101618126035	29.2934112536	2.09659804037	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	1.0	19.4599990845	53.789100647	1.0	14.8999996185	0.977406391576	1.0	1
1.0	4153.421875	11.0	5.0	872.760375977	2.0	2.0	127.617090702	0.0	0.0461883544922	0.993750691414	-0.101618126035	29.2934112536	2.09659804037	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	6.0	9.64000034332	197.226611614	0.0	19.4599990845	0.999697399605	1.0	1
1.0	2143.27734375	2.0	2.0	506.233825684	1.0	1.0	66.4451999664	0.0	0.0461883544922	0.993750691414	-0.101618126035	29.2934112536	2.09659804037	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	1.0	19.4599990845	53.789100647	0.0	19.4599990845	0.167166231035	1.0	1
1.0	3043.97851562	10.0	2.0	1296.81359863	3.0	3.0	60.1171603203	0.0	-0.0461881868541	-0.993750691414	0.101617760956	21.2805774375	29.4053637121	62.1805000305	-0.349876016378	-43.0197982788	0.449763059616	2.0	9.89999961853	64.3359084129	0.0	17.7600002289	0.987153747099	1.0	1
1.0	1597.59619141	4.0	1.0	1531.85095215	3.0	2.0	45.3514995575	0.0	-0.0461883768439	-0.993750691414	0.101618178189	3.08001697313	33.8786628122	64.7937011719	-6.80398464203	-33.5589981079	0.742249965668	1.0	23.0200004578	66.4452972412	1.0	14.8999996185	0.212903750854	1.0	1
1.0	3893.73022461	9.0	3.0	1566.36682129	2.0	2.0	163.476391792	0.0	-0.0461883433163	-0.993750452995	0.101619981229	29.2250014202	32.4549924986	65.7994995117	-7.72986507416	-31.9693984985	0.52531850338	2.0	19.4599990845	119.179702759	0.0	19.4599990845	0.996359760923	1.0	1
1.0	1778.70605469	1.0	1.0	607.956481934	1.0	1.0	34.804667592	2.57470967036	-0.690327346325	-0.709906578064	0.139573723078	46.1586513424	2.96677244476	46.5903511047	9.13455963135	-61.2288513184	0.9768846035	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4389.44384766	11.0	4.0	1500.78198242	7.0	3.0	104.414057374	0.0	0.0314109697938	-0.976058006287	0.215230509639	52.3229156298	1.11741321124	38.168548584	9.6830701828	-68.5654449463	0.388047963381	7.0	12.7399997711	243.632781029	0.0	28.9599990845	0.99934547197	1.0	1
1.0	1815.18334961	2.0	1.0	607.956481934	1.0	1.0	34.804667592	2.57470967036	-0.690327346325	-0.709906578064	0.139573723078	46.1586513424	2.96677244476	46.5903511047	9.13455963135	-61.2288513184	0.9768846035	0.0	0.0	0.0	0.0	0.0	0.144011364086	1.0	1
1.0	3083.20629883	10.0	3.0	1738.75317383	9.0	4.0	103.447257161	0.0	-0.0314109697938	0.976058006287	-0.215230509639	53.3498527375	12.4602039851	38.168548584	9.6830701828	-68.5654449463	0.551227331161	7.0	12.7399997711	269.736299515	0.0	27.1000003815	0.978554554188	1.0	1
1.0	2073.99853516	4.0	1.0	934.51574707	3.0	1.0	34.804667592	2.57470967036	-0.690327346325	-0.709906578064	0.139573723078	56.91132511	17.1466488959	46.5903511047	9.13455963135	-61.2288513184	0.9768846035	0.0	0.0	0.0	0.0	0.0	0.573409283618	1.0	1
1.0	3265.59375	8.0	2.0	541.949523926	3.0	3.0	146.95318079	0.0	0.0314098931849	-0.976059615612	0.215223133564	26.3462845385	5.75111577362	60.1384506226	-13.6446495056	-40.4658508301	0.913117706776	4.0	4.73999977112	88.9453778267	2.0	4.76000022888	0.989251031243	1.0	1
1.0	1815.18334961	2.0	1.0	607.956481934	1.0	1.0	34.804667592	2.57470967036	-0.690327346325	-0.709906578064	0.139573723078	46.1586513424	2.96677244476	46.5903511047	9.13455963135	-61.2288513184	0.9768846035	0.0	0.0	0.0	0.0	0.0	0.144011364086	1.0	1
1.0	3442.76953125	8.0	1.0	270.974700928	3.0	3.0	87.9785754681	0.0	0.999277055264	0.0343405678868	0.016307618469	39.7659488567	11.5954713597	57.1263504028	-5.54370975494	-47.9303512573	0.846664845943	2.0	14.779999733	95.7128982544	0.0	17.8400001526	0.983281238517	1.0	1
1.0	1801.28710938	2.0	1.0	607.956481934	1.0	1.0	34.804667592	2.57470967036	-0.690327346325	-0.709906578064	0.139573723078	46.1586513424	2.96677244476	46.5903511047	9.13455963135	-61.2288513184	0.9768846035	0.0	0.0	0.0	0.0	0.0	0.237099891045	1.0	1
1.0	3442.76953125	8.0	2.0	408.198699951	4.0	4.0	171.123176336	0.0	0.999277055264	0.0343405678868	0.016307618469	39.7659488567	11.5954713597	57.1263504028	-5.54370975494	-47.9303512573	0.846664845943	3.0	14.4799995422	128.583999634	0.0	17.8400001526	0.973790312099	1.0	1
1.0	2145.47094727	1.0	1.0	820.892028809	1.0	1.0	80.2709960938	0.0	-0.0430010519922	-0.985946774483	0.16143001616	25.0737705526	23.1410694273	66.9971466064	22.21875	-50.4204483032	0.139352709055	1.0	1.10000002384	1.31591999531	1.0	1.10000002384	-1.0	0.0	1
1.0	2420.38354492	8.0	3.0	1318.81201172	7.0	2.0	122.380326509	0.0	-0.0430010519922	-0.985946774483	0.16143001616	43.7676443215	1.2831677297	66.9971466064	22.21875	-50.4204483032	0.139352709055	4.0	1.10000002384	81.5870181322	3.0	10.8000001907	0.966725909016	1.0	1
1.0	1649.47497559	7.0	2.0	609.421386719	4.0	2.0	23.6865005493	0.0	0.0429130494595	0.985964238644	-0.161347478628	37.278659932	2.49202371376	33.6679000854	13.4638500214	-78.2636032104	0.666785061359	3.0	9.53999996185	61.8481521606	1.0	22.1000003815	0.97803568002	1.0	1
1.0	4573.54394531	12.0	6.0	3322.02026367	10.0	6.0	292.133896351	0.0	-0.0429948121309	-0.985947668552	0.161427244544	52.3012327322	2.98112110683	32.5564498901	18.8049507141	-75.2636566162	0.678151190281	15.0	7.21999979019	526.367128372	5.0	30.5400009155	0.999999505077	1.0	1
1.0	3500.80883789	6.0	3.0	613.266357422	3.0	3.0	261.86767602	0.0	-0.998987138271	0.0366062857211	-0.0261648967862	52.8728552129	15.1477444723	54.7435493469	4.6182346344	-62.0765991211	0.284383386374	7.0	1.10000002384	290.817918897	3.0	23.2199993134	0.986266443434	1.0	1
