valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1713.60498047	1.0	1.0	181.076797485	1.0	1.0	76.4647979736	2.2184791937	-0.555878400803	0.714399456978	-0.425009042025	23.0542519973	1.1211346343	31.2157020569	32.816947937	-77.7098007202	0.443729519844	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2482.07177734	5.0	2.0	1614.22998047	2.0	2.0	168.750040531	2.60057878654	0.314108371735	0.781796038151	0.538638055325	50.3932460559	41.1894204787	53.6305999756	43.1962966919	-61.7662506104	0.770650863647	0.0	0.0	0.0	0.0	0.0	0.999019503206	1.0	1
1.0	5423.46679688	10.0	3.0	1693.72631836	3.0	3.0	174.023459077	0.0	0.999344289303	-0.0346990302205	-0.010343699716	24.2323613465	28.6747103503	29.4664993286	44.3200492859	-69.714302063	0.777287125587	3.0	8.26000022888	88.3300018311	1.0	15.5399999619	0.990936333633	1.0	1
1.0	2402.58081055	9.0	4.0	1662.81079102	8.0	4.0	192.480519772	0.0	-0.99934732914	0.0346106551588	0.0103437267244	25.6446606647	24.913323866	2.57392001152	42.3941001892	-59.888999939	0.275143146515	3.0	8.26000022888	116.015600204	2.0	15.5399999619	0.988371352021	1.0	1
1.0	94.9549026489	1.0	0.0	446.067321777	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
1.0	3820.27490234	4.0	3.0	324.613006592	3.0	3.0	245.215021253	0.0	0.0334203839302	0.984688639641	-0.171089023352	59.2957859748	2.10118082544	55.4720535278	30.5190010071	-56.8857498169	0.229870095849	3.0	13.8599996567	118.652299881	2.0	15.5399999619	0.993386604375	1.0	1
1.0	3643.61352539	7.0	3.0	125.870498657	2.0	2.0	200.390637517	0.0	-0.0334173925221	-0.984691977501	0.171070232987	25.5553550528	10.5010498975	28.8667507172	44.2866516113	-73.3199462891	0.0310802459717	4.0	8.26000022888	143.701101303	4.0	15.5399999619	0.983002120757	1.0	1
1.0	3497.86987305	6.0	1.0	1046.70861816	2.0	2.0	105.468799591	2.11018480368	-0.392637461424	0.89873623848	0.195215091109	30.0850986234	17.4246511942	33.9482002258	59.8529510498	-69.7605438232	0.439557015896	0.0	0.0	0.0	0.0	0.0	0.969840123817	1.0	1
1.0	3047.38574219	5.0	4.0	1801.93164062	4.0	4.0	411.327860475	0.0	0.0334203839302	0.984688639641	-0.171089023352	52.8995099627	2.10118082544	55.4720535278	30.5190010071	-56.8857498169	0.229870095849	2.0	13.8599996567	75.1464004517	3.0	15.5399999619	0.972462415866	1.0	1
1.0	2775.77050781	5.0	3.0	1521.48364258	3.0	3.0	226.757794499	0.0	0.999344289303	-0.0346990302205	-0.010343699716	13.1805453652	26.7188493693	29.4664993286	44.3200492859	-69.714302063	0.777287125587	2.0	8.26000022888	56.6894016266	2.0	15.5399999619	0.995657901957	1.0	1
1.0	1888.51647949	1.0	1.0	256.404693604	1.0	1.0	74.8827972412	2.33181685032	0.738944232464	0.643218278885	0.200578331947	17.9484532107	0.0	19.676700592	44.6772499084	-79.4237060547	0.717545628548	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4667.87207031	9.0	2.0	389.537658691	3.0	1.0	92.8124980927	2.33181685032	0.738944232464	0.643218278885	0.200578331947	24.6782122561	0.0	19.676700592	44.6772499084	-79.4237060547	0.717545628548	0.0	0.0	0.0	0.0	0.0	0.988790441655	1.0	1
1.0	5032.75585938	14.0	7.0	1817.83996582	9.0	7.0	740.390404224	0.0	-0.0461898557842	-0.993751108646	0.1016131863	62.3854966744	2.07937263381	52.614402771	21.1655006409	-58.7305984497	0.880073547363	10.0	5.07999992371	276.328010082	1.0	5.07999992371	0.99993231415	1.0	1
1.0	841.531982422	1.0	1.0	174.223495483	1.0	1.0	27.4218997955	0.0	-0.0461944192648	-0.993749916553	0.101623222232	0.0	2.03501894555	51.9406967163	25.8905487061	-63.5860977173	0.625521957874	0.0	0.0	0.0	1.0	20.2399997711	0.746516275201	1.0	1
1.0	3668.55371094	10.0	7.0	1324.75585938	3.0	3.0	420.820413113	0.0	0.0461944192648	0.993749916553	-0.101623222232	58.424706153	0.0	51.9406967163	25.8905487061	-63.5860977173	0.625521957874	7.0	3.29999995232	152.929599881	2.0	20.2399997711	0.994848224959	1.0	1
1.0	1998.63916016	3.0	2.0	146.281997681	1.0	1.0	46.4062995911	0.0	-0.0461944192648	-0.993749916553	0.101623222232	55.4146919683	2.03501894555	51.9406967163	25.8905487061	-63.5860977173	0.625521957874	3.0	9.64000034332	103.359399796	1.0	20.2399997711	0.0684478152206	1.0	1
1.0	1032.19213867	5.0	1.0	27.9414997101	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	9.64000034332	49.5702991486	0.0	18.1200008392	0.986743510516	1.0	1
1.0	1290.24023438	2.0	2.0	841.531982422	1.0	1.0	106.523447037	0.0	0.0461944192648	0.993749916553	-0.101623222232	39.7826753108	0.0	51.9406967163	25.8905487061	-63.5860977173	0.625521957874	0.0	0.0	0.0	1.0	20.2399997711	0.353239905824	1.0	1
1.0	4143.55957031	9.0	4.0	667.30871582	2.0	2.0	259.453107834	0.0	-0.0461943335831	-0.993749916553	0.101623035967	44.8728387254	14.4599197499	49.1426010132	50.1183509827	-56.1621017456	0.685138165951	5.0	9.57999992371	163.476499557	0.0	17.7000007629	0.99545929	1.0	1
1.0	1778.70605469	1.0	1.0	647.907165527	1.0	1.0	67.6757011414	2.32726881426	0.672051906586	0.737179756165	0.0700867474079	20.1282281597	29.539187508	25.9120502472	38.8854980469	-77.380355835	0.212989866734	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4474.55566406	8.0	3.0	757.339355469	5.0	2.0	151.787073135	0.0	0.999280273914	0.0342894010246	0.0162216406316	31.0010592372	8.35241112532	5.29141998291	47.5090484619	-48.198299408	0.484398812056	3.0	7.13999986649	84.1113014221	0.0	11.6599998474	0.966105195974	1.0	1
1.0	1801.28710938	2.0	2.0	625.32598877	1.0	1.0	62.8418006897	0.0	-0.031409367919	0.97604238987	-0.215301468968	24.4107985318	22.4059237958	31.2565498352	45.4631500244	-70.9817962646	0.0247561559081	1.0	7.13999986649	23.2031002045	0.0	7.13999986649	0.0241647970333	1.0	1
