valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1457.4473877	1.0	1.0	105.996002197	1.0	1.0	48.7793006897	0.0	0.999348223209	-0.0346106998622	-0.0102569749579	11.8315521476	0.0	44.5117988586	-51.7490997314	-18.9268493652	0.419434756041	1.0	9.19999980927	31.6406002045	0.0	9.19999980927	-1.0	0.0	1
1.0	2610.15600586	9.0	3.0	923.049804688	3.0	3.0	38.2324991226	0.0	-0.0334208570421	-0.984704315662	0.170998156071	44.8656849664	28.4061157089	39.947052002	-28.6210002899	-51.8260002136	0.645511031151	3.0	18.2199993134	158.203201294	1.0	20.7999992371	0.990572438287	1.0	1
1.0	4277.38818359	13.0	9.0	2157.46337891	6.0	6.0	403.418259025	0.0	-0.0334208570421	-0.984704315662	0.170998156071	46.9602895948	3.91941300279	39.947052002	-28.6210002899	-51.8260002136	0.645511031151	11.0	0.939999997616	301.904376864	4.0	9.53999996185	0.999877823478	1.0	1
1.0	4705.79003906	12.0	7.0	2594.69726562	7.0	7.0	713.232698798	0.0	0.0334177166224	0.984702408314	-0.171010166407	60.2779552139	2.09472428613	57.881652832	-12.6462497711	-0.565895020962	0.333549708128	16.0	0.939999997616	527.343816042	8.0	13.9399995804	0.999991018427	1.0	1
1.0	735.348510742	4.0	3.0	1274.16296387	2.0	2.0	22.4121000767	0.0	-0.0334208495915	-0.984704077244	0.170999839902	40.4037605575	31.3378267786	56.120552063	-22.0261001587	-29.6936988831	0.215719074011	4.0	9.64000034332	125.244217873	1.0	9.64000034332	0.800797325615	1.0	1
1.0	3120.26293945	4.0	4.0	1408.86560059	5.0	5.0	424.511901617	0.0	0.0334208384156	0.984703779221	-0.171001508832	17.7495839245	0.0	41.1333465576	-27.2744007111	-50.2678985596	0.861549735069	8.0	0.939999997616	210.937540293	4.0	9.64000034332	0.997331806339	1.0	1
1.0	3224.05175781	4.0	4.0	1305.07666016	3.0	3.0	358.593840837	0.0	-0.0334208570421	-0.984704315662	0.170998156071	15.9600684648	3.91941300279	39.947052002	-28.6210002899	-51.8260002136	0.645511031151	5.0	0.939999997616	183.251959443	2.0	2.94000005722	0.998723889724	1.0	1
1.0	3146.76220703	5.0	5.0	1309.49414062	3.0	3.0	334.86348033	0.0	-0.99934732914	0.0346072651446	0.0103471335024	49.1915847653	3.73821836476	28.2908000946	-63.0782012939	-29.3752002716	0.261212944984	6.0	0.939999997616	101.513639688	4.0	9.64000034332	0.999549444311	1.0	1
1.0	4014.60595703	4.0	4.0	154.577606201	2.0	2.0	195.117242098	0.0	0.0334208384156	0.984703779221	-0.171001508832	36.8254417377	1.10418621382	34.9091491699	-47.6323013306	-39.399597168	0.291529327631	2.0	9.19999980927	60.6445007324	0.0	9.52000045776	0.999057519516	1.0	1
1.0	1408.86645508	5.0	5.0	2440.11987305	4.0	4.0	315.08799696	0.0	0.0334208384156	0.984703779221	-0.171001508832	17.7495839245	2.49837059327	41.1333465576	-27.2744007111	-50.2678985596	0.861549735069	9.0	0.939999997616	300.586013079	3.0	13.9399995804	0.985085965278	1.0	1
1.0	913.851013184	1.0	1.0	350.090209961	2.0	1.0	33.7499990463	0.0	-0.998026013374	0.0331811159849	-0.0533219613135	1.12712579789	17.4076087189	58.6523513794	-34.0181007385	-13.7088499069	0.469294309616	2.0	10.0399999619	61.1717987061	0.0	13.0399999619	-1.0	0.0	1
1.0	3477.89331055	14.0	5.0	992.744140625	5.0	3.0	101.249960661	0.0	0.046189840883	0.993750751019	-0.101616896689	54.1042333501	5.78460991628	40.4601974487	-39.7242012024	-47.1987991333	0.902332127094	4.0	6.30000019073	104.414078951	2.0	13.6199998856	0.998144888861	1.0	1
1.0	3487.75537109	14.0	6.0	940.148376465	8.0	7.0	266.835947514	0.0	-0.0461943335831	-0.993749916553	0.101623035967	62.5479464529	1.82330691565	41.0523986816	-32.0031509399	-52.304397583	0.433960974216	10.0	3.59999990463	253.124898911	1.0	3.59999990463	0.999131455391	1.0	1
