valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	587.39440918	3.0	0.0	1256.4967041	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.470632628107	0.0	1
1.0	2649.90307617	8.0	6.0	5162.8984375	15.0	7.0	544.482463837	0.0	0.999347746372	-0.0346106253564	-0.0103020370007	36.1433641688	9.18121288856	31.7997016907	-66.6304016113	-3.4689450264	0.0480227172375	7.0	3.20000004768	118.652281046	4.0	10.1000003815	0.999978274878	1.0	1
1.0	446.066375732	2.0	1.0	1397.82470703	3.0	1.0	52.7343997955	2.73903994858	0.634035170078	0.365035951138	-0.681724309921	14.6140915055	2.37661587808	11.1958599091	-71.8336029053	-24.8645992279	0.478488564491	0.0	0.0	0.0	0.0	0.0	0.257726857817	1.0	1
1.0	2018.34375	7.0	4.0	3886.52709961	10.0	3.0	148.974579573	0.0	-0.0334208384156	-0.984703779221	0.171001508832	36.6328383251	20.2024029502	34.6270523071	-57.6100997925	-32.2358016968	0.0272535681725	5.0	6.63999986649	77.783241272	5.0	10.1000003815	0.999662860091	1.0	1
1.0	1172.58129883	4.0	1.0	463.733703613	3.0	2.0	64.5995998383	0.0	0.0334177687764	0.984706580639	-0.170985803008	29.5667527993	11.1845180864	33.6120529175	-52.240650177	-40.3911972046	0.865715563297	1.0	9.52000045776	29.003900528	1.0	9.53999996185	0.58219182488	1.0	1
1.0	1704.77148438	5.0	4.0	2373.87353516	11.0	6.0	424.511739016	0.0	-0.0334209613502	-0.984703958035	0.171000406146	28.9490255716	5.91011881391	29.8685493469	-69.5014953613	-17.4253005981	0.98138409853	7.0	3.75999999046	159.521442413	6.0	17.0599994659	0.997260618408	1.0	1
1.0	916.424316406	6.0	4.0	3738.57592773	5.0	2.0	137.109400749	0.0	-0.999347448349	0.0346072427928	0.0103471260518	1.10418556605	37.6769684964	13.7068996429	-59.2247009277	-42.4785995483	0.96316587925	7.0	3.20000004768	152.929600596	3.0	13.8000001907	0.754007069984	1.0	1
1.0	2362.83056641	8.0	7.0	2040.42822266	8.0	6.0	487.792975426	0.0	0.735057294369	0.66595262289	-0.127271145582	29.4498568313	0.0	29.5113487244	-67.3945465088	-5.10992002487	0.194244921207	11.0	3.20000004768	313.769501567	5.0	17.0599994659	0.999246679932	1.0	1
1.0	1150.49914551	4.0	3.0	432.817993164	3.0	2.0	72.5097999573	0.0	0.999347448349	-0.0346072427928	-0.0103471260518	38.8640364615	18.8041162408	13.7068996429	-59.2247009277	-42.4785995483	0.96316587925	2.0	8.80000019073	71.1914024353	0.0	19.2399997711	0.868010170609	1.0	1
1.0	1417.69848633	6.0	2.0	3148.97167969	5.0	2.0	141.064543009	0.0	-0.99934732914	0.0346072651446	0.0103471335024	38.9611623026	20.980702571	28.2908000946	-63.0782012939	-29.3752002716	0.261212944984	2.0	7.76000022888	29.0039205551	2.0	9.64000034332	0.997534483476	1.0	1
1.0	123.328201294	3.0	1.0	1486.88647461	1.0	1.0	30.9375	0.0	-0.0314995869994	0.976038336754	-0.215306639671	1.11747871285	0.0	21.992099762	-60.5310516357	-35.2793006897	0.805554032326	1.0	1.10000002384	0.966796994209	1.0	1.10000002384	-1.0	0.0	1
1.0	442.939605713	4.0	2.0	1358.34765625	5.0	2.0	38.6719017029	3.04967866674	-0.011472296901	0.6496270895	-0.760166347027	6.46962949514	12.4041663277	0.81721496582	-37.648147583	-40.1117477417	0.641405105591	1.0	13.1800003052	7.73437976837	0.0	13.1800003052	0.977070222803	1.0	1
1.0	298.766998291	7.0	2.0	2181.69433594	5.0	1.0	84.1112995148	0.0	-0.0314995869994	0.976038336754	-0.215306639671	35.4746467428	33.2307807618	21.992099762	-60.5310516357	-35.2793006897	0.805554032326	1.0	1.10000002384	0.966796994209	1.0	1.10000002384	0.0627592070458	1.0	1
1.0	1170.74963379	5.0	4.0	2195.58935547	13.0	6.0	319.043059587	0.0	-0.0314116254449	0.976059556007	-0.215223327279	2.50779424643	49.5715136035	27.168548584	-40.3993492126	-49.4019508362	0.825665891171	7.0	5.01999998093	107.314425588	2.0	12.9200000763	0.986592194119	1.0	1
1.0	488.102203369	4.0	2.0	1122.11254883	2.0	2.0	68.6424999237	0.0	-0.0314995869994	0.976038336754	-0.215306639671	26.9394360619	0.0	21.992099762	-60.5310516357	-35.2793006897	0.805554032326	2.0	1.10000002384	23.203096509	2.0	12.9200000763	0.330342357472	1.0	1
1.0	965.781433105	8.0	5.0	1203.75366211	8.0	4.0	185.624857426	0.0	-0.0314132757485	0.976059496403	-0.215222924948	26.7435317731	61.6410349321	32.5055503845	-27.9206504822	-56.2265510559	0.937818050385	0.0	0.0	0.0	3.0	12.9200000763	0.970332318083	1.0	1
1.0	892.827514648	5.0	5.0	1294.07800293	6.0	4.0	143.086069107	0.0	-0.0314132757485	0.976059496403	-0.215222924948	4.05063339743	39.9794472344	32.5055503845	-27.9206504822	-56.2265510559	0.937818050385	2.0	1.10000002384	38.6718980074	2.0	11.4799995422	0.879340380938	1.0	1
1.0	1401.77319336	7.0	3.0	1620.63684082	10.0	5.0	187.558558702	0.0	-0.0314132757485	0.976059496403	-0.215222924948	4.05063339743	55.1469074063	32.5055503845	-27.9206504822	-56.2265510559	0.937818050385	2.0	15.720000267	80.2442016602	1.0	11.4799995422	0.965454876658	1.0	1
1.0	347.403106689	4.0	1.0	1368.77050781	8.0	1.0	25.1366996765	3.53871446123	0.0178506914526	-0.774094641209	0.632818162441	17.9240323326	47.4284205738	24.8486499786	-36.507598877	-55.2233009338	0.962964177132	0.0	0.0	0.0	0.0	0.0	0.246203220386	1.0	1
1.0	336.941314697	5.0	2.0	941.792419434	2.0	2.0	129.726551056	0.0	0.998030781746	-0.0331813320518	0.0532309263945	11.6517492201	16.8436920222	21.1838493347	-40.3106994629	-56.7551994324	0.128021046519	2.0	3.03999996185	23.2031607628	0.0	6.28000020981	-1.0	0.0	1
1.0	810.303161621	11.0	7.0	1896.73461914	10.0	7.0	487.265699267	0.0	-0.0461881384254	-0.993750751019	0.101617284119	33.4586564203	10.0347681264	27.0526008606	-64.0442962646	-26.5715999603	0.956019341946	9.0	0.939999997616	144.492379427	6.0	8.27999973297	0.993156790653	1.0	1
1.0	811.947143555	9.0	7.0	3185.32910156	17.0	10.0	483.046943188	0.0	0.998030781746	-0.0331813320518	0.0532309263945	11.6517492201	56.1510588168	21.1838493347	-40.3106994629	-56.7551994324	0.128021046519	7.0	6.28000020981	184.570302963	3.0	13.6199998856	0.981079899744	1.0	1
1.0	719.904418945	8.0	6.0	2961.7980957	16.0	6.0	408.164232492	0.0	0.046189840883	0.993750751019	-0.101616896689	30.6173828617	1.823227607	36.8630981445	-62.7565994263	-19.0037002563	0.549583733082	8.0	3.03999996185	136.054661274	3.0	8.27999973297	0.99383968435	1.0	1
1.0	304.069000244	4.0	1.0	903.989196777	3.0	3.0	133.94524765	0.0	-0.0461945049465	-0.993749856949	0.101623415947	17.5032607174	8.07134949926	22.3024997711	-47.5823516846	-51.6111984253	0.864569842815	3.0	6.28000020981	51.6797008514	0.0	8.42000007629	0.433389467726	1.0	1
1.0	622.931091309	7.0	7.0	2220.52612305	12.0	7.0	506.250174761	0.0	0.0461898520589	0.993750989437	-0.101615048945	43.6582995448	16.26649741	36.0484008789	-61.0649986267	-23.5489006042	0.114868044853	7.0	0.939999997616	82.2655804157	4.0	7.44000005722	0.968150545326	1.0	1
1.0	775.78692627	10.0	5.0	1595.95117188	7.0	5.0	252.070293188	0.0	0.046189840883	0.993750751019	-0.101616896689	41.906669461	1.823227607	36.8630981445	-62.7565994263	-19.0037002563	0.549583733082	5.0	3.03999996185	83.3203597069	1.0	6.30000019073	0.840665430175	1.0	1
1.0	336.941314697	5.0	2.0	734.696350098	3.0	3.0	141.328150749	0.0	0.998030781746	-0.0331813320518	0.0532309263945	11.6517492201	16.8436920222	21.1838493347	-40.3106994629	-56.7551994324	0.128021046519	2.0	3.03999996185	23.2031607628	0.0	6.28000020981	0.0579430216781	1.0	1
1.0	509.521392822	5.0	1.0	144.638198853	3.0	1.0	8.4375	0.0	-0.0461835674942	-0.993740141392	0.101723261178	34.7200086968	9.53063362505	5.52969503403	-56.529548645	-19.7770500183	0.637071013451	1.0	7.90000009537	25.3125	0.0	7.90000009537	0.986881714939	1.0	1
1.0	226.850906372	3.0	1.0	1459.15014648	2.0	1.0	71.0596008301	2.78497938796	0.455832004547	0.413208544254	-0.788337469101	11.4595700978	2.80488445472	22.0234985352	-56.2896499634	-46.8614997864	0.250873118639	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
