valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	276.032012939	1.0	1.0	448.274902344	1.0	1.0	48.7792987823	1.92303927752	-0.54386305809	-0.795551002026	-0.267042458057	12.977559602	0.0	41.0055007935	5.61794471741	-67.7290496826	0.710964739323	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1126.2097168	8.0	4.0	744.181945801	2.0	2.0	141.064438462	0.0	0.99934732914	-0.0346089676023	-0.010343731381	34.3627037667	1.12113112544	41.2084999084	27.2859992981	-68.7676010132	0.757056295872	1.0	11.8599996567	3.95508003235	1.0	15.2600002289	0.96904678167	1.0	1
1.0	220.825897217	3.0	1.0	777.305053711	3.0	1.0	19.7754001617	3.11088732263	0.166569933295	-0.933491051197	0.317567259073	3.73932871399	1.57441108229	29.0025501251	16.0757484436	-71.1542510986	0.660404086113	0.0	0.0	0.0	0.0	0.0	0.163319245149	1.0	1
1.0	1804.14453125	9.0	3.0	441.650115967	2.0	2.0	125.244179249	0.0	-0.0334203839302	-0.984688639641	0.171089023352	5.38169337627	1.78384304368	55.4720535278	30.5190010071	-56.8857498169	0.64510345459	3.0	9.15999984741	83.0566825867	0.0	14.220000267	0.998382380492	1.0	1
1.0	276.032012939	1.0	1.0	322.404907227	1.0	1.0	10.5468997955	3.15658038837	0.558624207973	-0.469685554504	0.683618605137	8.38318928266	10.4259674867	48.9604492188	6.1444849968	-59.8022499084	0.595062971115	0.0	0.0	0.0	0.0	0.0	0.188866997047	1.0	1
1.0	276.032012939	1.0	1.0	59.6228981018	1.0	1.0	10.5468997955	3.15658038837	0.558624207973	-0.469685554504	0.683618605137	8.38318928266	0.0	48.9604492188	6.1444849968	-59.8022499084	0.595062971115	0.0	0.0	0.0	0.0	0.0	0.188866997047	1.0	1
1.0	307.356018066	1.0	1.0	471.717987061	1.0	1.0	30.585899353	2.19794444809	-0.779157340527	-0.37088355422	-0.505330741405	7.46581565004	2.67119103316	46.9540023804	8.86549949646	-67.8245544434	0.846607029438	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	992.744628906	6.0	2.0	968.090332031	5.0	3.0	75.9374008179	0.0	0.998030424118	-0.0331813767552	0.0532377660275	17.65286714	2.46742570342	39.9713516235	16.1870002747	-68.9389953613	0.266778975725	4.0	9.64000034332	109.68750906	0.0	16.9599990845	0.921344502635	1.0	1
1.0	146.281997681	1.0	1.0	548.968017578	2.0	2.0	67.5	2.0360672389	0.411174237728	-0.599155783653	0.686984717846	0.0	15.2534951129	54.2562484741	4.6667547226	-59.8081016541	0.0631358399987	0.0	0.0	0.0	0.0	0.0	0.182502798033	1.0	1
1.0	137.223999023	1.0	1.0	286.608001709	1.0	1.0	13.535200119	0.0	0.0314109697938	-0.976058006287	0.215230509639	1.7847467199	2.88477339385	38.168548584	9.6830701828	-68.5654449463	0.551227331161	1.0	14.4799995422	32.8711013794	0.0	14.4799995422	-1.0	0.0	1
