valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1121.79211426	2.0	1.0	353.320800781	1.0	1.0	14.501999855	0.0	-0.735115408897	-0.665886282921	0.127282619476	1.57444432159	1.57444432159	57.8881988525	72.9394989014	-24.4355010986	0.719203352928	1.0	3.57999992371	3.95508003235	1.0	3.57999992371	-1.0	0.0	1
1.0	3943.93896484	7.0	3.0	1625.27514648	9.0	5.0	117.334042192	0.0	0.0334207303822	0.984704017639	-0.171000093222	51.1609482609	2.84350215964	57.6496505737	71.3125	12.0622005463	0.841888189316	6.0	5.57999992371	280.810501099	2.0	28.5400009155	0.99951875083	1.0	1
1.0	1976.3873291	6.0	2.0	627.143859863	5.0	2.0	17.1386804581	0.0	-0.999347448349	0.0346038676798	0.010347135365	56.6780759807	27.3190111304	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	6.0	6.84000015259	247.851499557	1.0	6.84000015259	0.733395089217	1.0	1
1.0	134.703491211	3.0	1.0	715.473815918	2.0	1.0	18.4570598602	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	7.99432386258	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	2.0	6.01999998093	46.1426010132	2.0	6.84000015259	0.98566018472	1.0	1
1.0	1309.49401855	2.0	1.0	481.399810791	2.0	1.0	14.501999855	0.0	-0.735115408897	-0.665886282921	0.127282619476	1.57444432159	1.57444432159	57.8881988525	72.9394989014	-24.4355010986	0.719203352928	1.0	3.57999992371	3.95508003235	1.0	3.57999992371	0.522722193785	1.0	1
1.0	2976.72338867	6.0	4.0	1411.07409668	4.0	3.0	197.753964663	0.0	0.0334238894284	0.984688401222	-0.171089276671	30.1369888699	9.66733031352	60.6786499023	69.1954956055	-12.9692497253	0.872012019157	12.0	5.57999992371	404.736103058	6.0	17.6399993896	0.995423316584	1.0	1
1.0	399.693603516	3.0	3.0	1075.41931152	2.0	1.0	36.9140605927	0.0	0.999344885349	-0.0346922464669	-0.0103020248935	2.1071877902	11.031892493	60.4637985229	73.8279495239	4.33840513229	0.0974777340889	9.0	8.10000038147	307.177818537	4.0	15.0600004196	0.691248042492	1.0	1
1.0	2005.0916748	6.0	4.0	2468.82470703	4.0	2.0	92.2851614952	0.0	0.999344885349	-0.0346922464669	-0.0103020248935	28.9546216896	11.031892493	60.4637985229	73.8279495239	4.33840513229	0.51032346487	6.0	5.57999992371	220.165999413	4.0	17.6399993896	0.973169366355	1.0	1
1.0	2948.01538086	3.0	2.0	2221.5	4.0	3.0	147.656362057	0.0	-0.0334177687764	-0.984706580639	0.170985803008	26.8027371503	4.35915929336	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	7.0	3.57999992371	195.117099047	7.0	17.6399993896	0.991839905293	1.0	1
1.0	3001.01342773	2.0	1.0	2349.57861328	5.0	3.0	75.1465601921	0.0	-0.0334177687764	-0.984706580639	0.170985803008	46.2291232443	4.35915929336	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	12.0	3.57999992371	366.50372076	8.0	17.6399993896	0.985471226104	1.0	1
