valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.8283004761	16.7467002869	-16.4895992279	1.0	-0.135051935911	0.960120558739	0.244804888964	0.0	0.0	0.0	81.7053985596	31.3400001526	8.72000026703	1.0	1.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.8731498718	17.4188137054	-16.4541568756	1.0	-0.189142599702	0.979772210121	0.0653567016125	0.0	0.0	0.0	165.619094849	31.3400001526	6.26000022888	3.0	3.0	0.0	30.0	0.0	0.0	1.0	1.0	1
1.0	1.0	-70.2518005371	22.8740997314	-37.2154006958	-71.514503479	16.4951000214	-28.8479995728	-64.9402999878	19.9517993927	-32.5577011108	1.0	-0.317387849092	0.524810731411	0.789834558964	-0.140695020556	-0.682548105717	0.717170119286	154.57800293	14.3400001526	0.0	1.0	1.0	0.0	0.0	0.0	25.0487995148	0.827897903646	1.0	1
1.0	1.0	-70.2518005371	22.8740997314	-37.2154006958	-74.4592971802	24.433599472	-15.6893997192	-53.9192352295	15.3532943726	-17.4465293884	1.0	-0.765164971352	0.543162703514	-0.345683157444	-0.124645233154	-0.248580366373	0.960557818413	940.715881348	39.9000015259	0.0	3.0	3.0	0.0	30.0	1.0	87.01171875	1.0	1.0	1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.9160919189	19.7221813202	-13.56092453	1.0	-0.408769607544	0.868711173534	0.279728919268	0.0	0.0	0.0	170.035598755	39.9000015259	8.72000026703	1.0	1.0	0.0	0.0	0.0	0.0	0.415012018851	1.0	1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.7593574524	13.8027486801	-14.0448455811	1.0	-0.778402328491	0.208560094237	-0.592108547688	0.0	0.0	0.0	521.147583008	39.9000015259	8.72000026703	1.0	1.0	0.0	0.0	0.0	0.0	0.975609101786	1.0	1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.7593574524	13.8027486801	-14.0448455811	1.0	-0.778402328491	0.208560094237	-0.592108547688	0.0	0.0	0.0	521.147583008	39.9000015259	8.72000026703	1.0	1.0	0.0	0.0	0.0	0.0	0.975609101786	1.0	1
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.4071998596	16.8138008118	-19.9137001038	1.0	-0.396099984646	0.917128920555	0.0444903969765	0.0	0.0	0.0	106.834999084	31.9599990845	6.86000013351	1.0	1.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1.0	-70.236000061	22.6233997345	-41.9369010925	-70.6872024536	12.9623003006	0.884651005268	-51.9442024231	13.4849414825	-13.354180336	1.0	-0.391645848751	0.879359126091	0.270815521479	-0.117731012404	-0.00665141642094	0.993023276329	1005.89434814	36.4199981689	0.0	4.0	4.0	0.0	30.0	0.0	95.976600647	1.0	1.0	1
1.0	1.0	-70.236000061	22.6233997345	-41.9369010925	-75.008102417	29.4801006317	-11.1564998627	-54.1247711182	13.5499820709	-13.8636703491	1.0	-0.477003097534	0.862165272236	0.170701935887	-0.135619863868	0.0154033638537	0.990641236305	849.750183105	36.0400009155	0.0	4.0	4.0	0.0	30.0	0.0	82.2657012939	1.0	1.0	1
