valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-70.2596969604	22.085100174	-35.2680015564	-36.504901886	35.1226997375	-70.6669006348	-52.2800712585	31.3040828705	-49.0063667297	1.0	-0.212784424424	0.967912137508	0.133674651384	-0.713407158852	-0.268884241581	0.647110164165	828.095031738	22.7600002289	0.0	1.0	1.0	0.0	0.0	1.0	188.525802612	-1.0	0.0	1
1.0	1.0	-71.514503479	16.4951000214	-28.8479995728	-23.4764003754	81.8029022217	-57.2332992554	-53.8364906311	36.8550033569	-40.1198158264	1.0	-0.571911513805	0.631597220898	0.523452222347	-0.257465213537	-0.897244691849	0.358697026968	264.990722656	14.3400001526	0.0	2.0	2.0	0.0	30.0	0.0	81.7382202148	1.0	1.0	1
1.0	1.0	-70.2596969604	22.085100174	-35.2680015564	-29.6926994324	38.6422996521	-75.0084991455	-47.5382766724	30.3859195709	-53.0242080688	1.0	-0.246135309339	0.947865486145	0.202406704426	-0.765411436558	-0.344698339701	0.543441176414	1108.54296875	22.7600002289	0.0	1.0	2.0	1.0	5.56531000137	1.0	278.174194336	1.0	1.0	1
1.0	1.0	-67.5785980225	0.820114016533	-28.0091991425	-7.87758016586	80.3646011353	-62.6707000732	-48.4957237244	32.7580718994	-47.7409934998	1.0	-0.394998013973	0.842722654343	0.365780025721	-0.617362082005	-0.519816458225	0.590470135212	3464.75244141	24.4599990845	0.0	5.0	11.0	7.0	7.29565000534	2.0	997.999145508	1.0	1.0	1
1.0	1.0	-71.514503479	16.4951000214	-28.8479995728	-21.7233009338	43.2103004456	-79.5505981445	-46.1455497742	42.0954017639	-51.4937744141	1.0	-0.545599460602	0.739504873753	0.394276171923	-0.692668616772	-0.545384585857	0.471980929375	1444.19775391	24.4599990845	0.0	1.0	5.0	4.0	7.27635002136	1.0	425.830230713	1.0	1.0	1
1.0	1.0	-67.5785980225	0.820114016533	-28.0091991425	-44.7168998718	24.5221004486	-68.6977005005	-53.6777000427	15.7944002151	-43.0755996704	1.0	-0.367712050676	0.890113115311	0.26923301816	-0.501475036144	-0.393595069647	0.770458102226	1090.88000488	23.3400001526	0.0	1.0	1.0	0.0	0.0	0.0	200.39100647	0.999999990731	1.0	1
1.0	1.0	-47.5850982666	37.4929008484	-65.4645996094	-36.504901886	35.1226997375	-70.6669006348	-42.1912994385	37.2382011414	-59.0784988403	1.0	0.394810080528	0.902802169323	-0.170509025455	-0.909265458584	0.33998978138	0.240089863539	158.994003296	19.0200004578	0.0	1.0	1.0	0.0	0.0	0.0	39.5508003235	0.997519026382	1.0	1
1.0	1.0	-67.5785980225	0.820114016533	-28.0091991425	-21.7233009338	43.2103004456	-79.5505981445	-48.8243637085	30.6585121155	-49.4390449524	1.0	-0.40258654952	0.864913463593	0.299747765064	-0.664602518082	-0.442305237055	0.602220475674	3643.62060547	24.4599990845	0.0	1.0	5.0	6.0	7.27635002136	4.0	904.395507812	1.0	1.0	1
1.0	1.0	-67.5785980225	0.820114016533	-28.0091991425	-21.7233009338	43.2103004456	-79.5505981445	-48.3167304993	26.3883342743	-50.1486282349	1.0	-0.375511288643	0.907872676849	0.186436235905	-0.665362894535	-0.353788048029	0.657363057137	2755.90283203	23.3400001526	0.0	1.0	5.0	5.0	7.27635002136	3.0	715.869628906	1.0	1.0	1
1.0	1.0	-69.3022994995	21.8201999664	-38.9211997986	-53.2156982422	21.02409935	-65.4429016113	-57.6284255981	29.6386260986	-48.5116500854	1.0	-0.318467199802	0.913516998291	0.253111332655	-0.538696885109	-0.442093282938	0.717188417912	465.143981934	18.2800006866	0.0	1.0	1.0	0.0	0.0	0.0	163.476501465	-1.0	0.0	1
