valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-72.8643035889	40.5978012085	-25.7562007904	-68.9653015137	31.6201992035	-51.4248008728	-67.2344665527	37.8202171326	-38.8496704102	1.0	0.866806507111	-0.487474679947	-0.104952543974	-0.00290856254287	-0.791057348251	-0.611735105515	108.204399109	10.3400001526	0.0	1.0	2.0	1.0	7.27635002136	0.0	94.9219055176	-1.0	0.0	1
1.0	1.0	-65.9414978027	70.9708023071	-3.96810007095	-68.9653015137	31.6201992035	-51.4248008728	-63.2863769531	33.5055236816	-30.4844799042	1.0	0.435374647379	-0.393224775791	-0.809829056263	-0.13757199049	-0.92377269268	0.357376366854	388.653015137	14.3400001526	0.0	6.0	6.0	0.0	30.0	0.0	90.9668197632	1.0	1.0	1
1.0	1.0	-72.8643035889	40.5978012085	-25.7562007904	-73.4865036011	27.8304004669	-41.6417999268	-70.0735015869	35.0497016907	-33.5606994629	1.0	-0.00284783844836	-0.783511579037	0.62137067318	0.00014150395873	-0.527013838291	-0.849856674671	46.373298645	7.71999979019	0.0	1.0	1.0	0.0	0.0	0.0	52.7344017029	1.0	1.0	1
1.0	1.0	-65.9414978027	70.9708023071	-3.96810007095	-51.5527000427	50.0117988586	-58.513999939	-58.9956169128	52.6458740234	-33.2610092163	1.0	-0.53395408392	-0.797819495201	-0.279959142208	-0.278858959675	0.0943976938725	0.9556812644	969.423950195	20.1599998474	0.0	4.0	4.0	0.0	30.0	1.0	226.757598877	1.0	1.0	1
1.0	1.0	-68.4512023926	67.5755004883	-17.8241996765	-68.9653015137	31.6201992035	-51.4248008728	-59.1842269897	55.4100608826	-34.8137893677	1.0	-0.618144571781	-0.784537374973	-0.048972774297	-0.301378041506	0.193344295025	0.933696568012	845.761413574	20.1599998474	0.0	1.0	3.0	2.0	12.2795000076	0.0	275.53692627	1.0	1.0	1
1.0	1.0	-72.8643035889	40.5978012085	-25.7562007904	-73.4865036011	27.8304004669	-41.6417999268	-70.0735015869	35.0497016907	-33.5606994629	1.0	-0.00284783844836	-0.783511579037	0.62137067318	0.00014150395873	-0.527013838291	-0.849856674671	46.373298645	7.71999979019	0.0	1.0	1.0	0.0	0.0	0.0	52.7344017029	1.0	1.0	1
1.0	1.0	-68.4512023926	67.5755004883	-17.8241996765	-68.9653015137	31.6201992035	-51.4248008728	-59.1842269897	55.4100608826	-34.8137893677	1.0	-0.618144571781	-0.784537374973	-0.048972774297	-0.301378041506	0.193344295025	0.933696568012	845.761413574	20.1599998474	0.0	1.0	3.0	2.0	12.2795000076	0.0	275.53692627	1.0	1.0	1
1.0	1.0	-68.4512023926	67.5755004883	-17.8241996765	-71.514503479	16.4951000214	-28.8479995728	-59.5875816345	50.6542396545	-34.5091323853	1.0	-0.52848649025	-0.812402248383	-0.246383100748	-0.276161044836	0.0581698194146	0.959349453449	953.966125488	20.1599998474	0.0	2.0	3.0	1.0	12.2795000076	0.0	247.851303101	1.0	1.0	1
1.0	1.0	-69.5636978149	44.8116989136	-46.456199646	-68.9653015137	31.6201992035	-51.4248008728	-65.1052017212	39.8981018066	-42.8163986206	1.0	0.815088629723	0.130444943905	-0.564459681511	-0.00495627196506	-0.923859357834	-0.382700145245	61.8311004639	10.3400001526	0.0	1.0	1.0	0.0	0.0	0.0	42.1875	1.0	1.0	1
1.0	1.0	-69.5636978149	44.8116989136	-46.456199646	-68.9653015137	31.6201992035	-51.4248008728	-65.1052017212	39.8981018066	-42.8163986206	1.0	0.815088629723	0.130444943905	-0.564459681511	-0.00495627196506	-0.923859357834	-0.382700145245	61.8311004639	10.3400001526	0.0	1.0	1.0	0.0	0.0	0.0	42.1875	1.0	1.0	1
1.0	1.0	-70.0134963989	10.7239999771	-13.2729997635	-51.0317993164	67.1951980591	-49.9674987793	-57.8166465759	32.94972229	-26.6011390686	1.0	0.119423955679	-0.733318567276	-0.669314444065	-0.124557800591	-0.76315933466	0.634092450142	1605.81201172	37.2799987793	0.0	4.0	5.0	1.0	2.57661008835	0.0	313.241699219	1.0	1.0	1
