valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-28.5300998688	-72.0766983032	-14.2159996033	-42.270401001	-1.98655998707	-65.9590988159	-37.7590942383	-35.7319641113	-32.2862281799	1.0	-0.891956090927	0.445468455553	0.0772808939219	-0.475701749325	-0.432621330023	0.765863358974	1380.15917969	20.1200008392	0.0	2.0	2.0	0.0	30.0	4.0	544.482177734	-1.0	0.0	1
1.0	1.0	-24.5573005676	-63.0727005005	13.130200386	-22.0634002686	1.25966000557	-75.9038009644	-29.7315979004	-24.7115268707	-22.7838573456	1.0	-0.712476611137	0.494963765144	0.497381240129	-0.157924070954	-0.466582506895	0.870264828205	10109.3876953	39.9000015259	0.0	2.0	17.0	24.0	15.2902002335	29.0	3740.18530273	1.0	1.0	1
1.0	1.0	-43.9233016968	-65.6930007935	-6.0168800354	-2.1463201046	17.3306999207	-50.0411987305	-36.1549568176	-24.5642967224	-33.2532348633	1.0	-0.780008494854	0.51978880167	0.348434090614	-0.108919009566	-0.674448251724	0.73024392128	2687.44433594	39.9000015259	0.0	10.0	12.0	2.0	2.96463990211	5.0	892.529296875	1.0	1.0	1
1.0	1.0	-24.5573005676	-63.0727005005	13.130200386	-22.0634002686	1.25966000557	-75.9038009644	-27.7624855042	-21.8432579041	-23.2120723724	1.0	-0.645746529102	0.493321031332	0.582791388035	-0.124604299664	-0.47289904952	0.872261583805	9217.25292969	39.9000015259	0.0	3.0	20.0	27.0	15.8268003464	22.0	3363.13476562	1.0	1.0	1
1.0	1.0	-25.0317993164	-71.4910964966	-3.51076006889	-55.1063995361	12.526599884	-55.5878982544	-39.2306480408	-22.5343799591	-39.8062934875	1.0	-0.815211653709	0.31622338295	0.485214173794	-0.470105886459	-0.435513019562	0.767677485943	2338.54101562	23.3799991608	0.0	2.0	8.0	8.0	13.9672002792	1.0	1000.63476562	1.0	1.0	1
1.0	1.0	-28.5300998688	-72.0766983032	-14.2159996033	-42.270401001	-1.98655998707	-65.9590988159	-36.6541404724	-35.7600250244	-32.6167602539	1.0	-0.945640206337	0.288325041533	0.150443643332	-0.427523314953	-0.536037445068	0.727933824062	1042.29650879	20.1200008392	0.0	2.0	3.0	1.0	10.649600029	0.0	373.095611572	1.0	1.0	1
1.0	1.0	-43.9233016968	-65.6930007935	-6.0168800354	-36.336101532	7.60450983047	-67.7163009644	-34.8157997131	-39.3519744873	-35.2971191406	1.0	-0.430938452482	-0.621195197105	0.654529213905	-0.734180569649	0.605648338795	0.306869536638	245.116394043	16.8199996948	0.0	3.0	3.0	0.0	30.0	0.0	119.970695496	1.0	1.0	1
1.0	1.0	-25.0317993164	-71.4910964966	-3.51076006889	-55.1063995361	12.526599884	-55.5878982544	-39.0127105713	-21.2540225983	-40.264591217	1.0	-0.827591836452	0.273534357548	0.490174204111	-0.269078522921	-0.590822219849	0.76060885191	2206.04589844	23.3799991608	0.0	2.0	9.0	8.0	13.9672002792	2.0	885.93737793	1.0	1.0	1
1.0	1.0	-28.5300998688	-72.0766983032	-14.2159996033	-42.270401001	-1.98655998707	-65.9590988159	-39.0175209045	-32.9564437866	-33.2617111206	1.0	-0.906533479691	0.345224767923	0.242934137583	-0.405319035053	-0.625052750111	0.667102336884	1587.73510742	20.6599998474	0.0	2.0	3.0	1.0	11.1305999756	4.0	572.167724609	1.0	1.0	1
1.0	1.0	-43.9233016968	-65.6930007935	-6.0168800354	-35.2816009521	6.18021011353	-69.2975006104	-39.2241172791	-24.3002662659	-40.2344970703	1.0	-0.851963996887	0.312993437052	0.41975286603	-0.43599742651	-0.483335614204	0.759139537811	3272.63232422	23.3799991608	0.0	2.0	6.0	4.0	7.13979005814	9.0	1233.98413086	1.0	1.0	1
