valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-22.0634002686	1.25966000557	-75.9038009644	-11.6500997543	-62.7000007629	-41.4631996155	-21.7714233398	-44.6279449463	-47.9028511047	1.0	0.212357908487	-0.638541579247	0.739708542824	-0.87584733963	0.481166660786	-0.0370142497122	311.36340332	11.3999996185	0.0	2.0	3.0	1.0	8.62092018127	0.0	235.986297607	-1.0	0.0	1
1.0	1.0	-26.4869995117	33.3877983093	-72.3405990601	-20.6608009338	-67.1234970093	-29.6867008209	-19.5064601898	-13.4062843323	-55.4029846191	1.0	-0.0558057539165	-0.771702706814	0.633530318737	-0.922092318535	0.374653309584	0.0968532264233	1740.10302734	16.9599990845	0.0	3.0	12.0	13.0	18.4484996796	1.0	818.701049805	1.0	1.0	1
1.0	1.0	-19.7224006653	-30.5795993805	-64.9981994629	-11.6500997543	-62.7000007629	-41.4631996155	-21.8722076416	-46.8248519897	-46.6620445251	1.0	0.286747395992	-0.620133638382	0.730212450027	-0.894142329693	0.447669178247	-0.0100922826678	295.905609131	11.3999996185	0.0	1.0	2.0	1.0	8.62092018127	0.0	199.07220459	1.0	1.0	1
1.0	1.0	-36.336101532	7.60450983047	-67.7163009644	-20.6608009338	-67.1234970093	-29.6867008209	-22.6958217621	-22.6624965668	-49.9874191284	1.0	0.0856767892838	-0.810054719448	0.580061078072	-0.819301128387	0.561497867107	0.116042815149	574.145507812	16.9599990845	0.0	5.0	6.0	1.0	1.32582998276	1.0	264.990081787	1.0	1.0	1
1.0	1.0	-16.2028999329	8.67621994019	-77.2834014893	-20.6608009338	-67.1234970093	-29.6867008209	-21.3348293304	-15.2198648453	-57.5380783081	1.0	-0.149945482612	-0.857362747192	0.492387473583	-0.799149513245	0.479938209057	0.361966013908	803.804260254	16.4400005341	0.0	3.0	8.0	5.0	18.4484996796	0.0	387.597717285	1.0	1.0	1
1.0	1.0	-16.2028999329	8.67621994019	-77.2834014893	-20.6608009338	-67.1234970093	-29.6867008209	-21.4567279816	-23.4308261871	-54.8478431702	1.0	-0.060306712985	-0.82116574049	0.567494511604	-0.837520420551	0.488976061344	0.243848234415	1115.16772461	16.4400005341	0.0	1.0	10.0	15.0	18.4484996796	0.0	623.583984375	1.0	1.0	1
1.0	1.0	-6.21144008636	-37.4448013306	-36.8709983826	-4.46096992493	-47.518901825	-49.640499115	-7.52688980103	-42.1635017395	-42.5069999695	1.0	0.051619771868	-0.854811549187	0.516364693642	-0.0239236056805	0.606048107147	0.795068144798	55.2062988281	7.07999992371	0.0	1.0	1.0	0.0	0.0	0.0	30.3222999573	1.0	1.0	1
1.0	1.0	-16.2028999329	8.67621994019	-77.2834014893	-20.6608009338	-67.1234970093	-29.6867008209	-21.4567279816	-23.4308261871	-54.8478431702	1.0	-0.060306712985	-0.82116574049	0.567494511604	-0.837520420551	0.488976061344	0.243848234415	1115.16772461	16.4400005341	0.0	1.0	10.0	15.0	18.4484996796	0.0	623.583984375	1.0	1.0	1
1.0	1.0	-19.7224006653	-30.5795993805	-64.9981994629	-17.7266998291	-39.5477981567	-58.0463981628	-17.3822002411	-32.8763999939	-58.1291999817	1.0	0.992782771587	0.00888148788363	-0.11959797889	-0.114984989166	0.733360886574	-0.670044898987	64.0393981934	9.73999977112	0.0	1.0	1.0	0.0	0.0	0.0	38.2323989868	1.0	1.0	1
1.0	1.0	-35.2526016235	6.47841978073	-67.5390014648	-4.02596998215	-35.2610015869	-49.9589996338	-19.1384029388	0.466603428125	-62.9282264709	1.0	0.058640088886	-0.955522179604	0.289030432701	-0.826547086239	0.308927178383	0.470514595509	342.279388428	16.4400005341	0.0	2.0	4.0	2.0	8.13197040558	0.0	148.974716187	1.0	1.0	1
