valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-42.5444984436	-50.3363990784	-34.0463981628	-28.941400528	-3.64539003372	-73.1317977905	-31.6363582611	-32.0315628052	-46.533618927	1.0	0.800958693027	-0.124490074813	-0.585634231567	0.251791924238	-0.92070710659	0.298159658909	1101.91833496	21.8600006104	0.0	1.0	2.0	1.0	8.00780963898	1.0	415.283203125	-1.0	0.0	1
1.0	1.0	-43.9233016968	-65.6930007935	-6.0168800354	-16.2028999329	8.67621994019	-77.2834014893	-30.9399280548	-26.005197525	-48.937046051	1.0	0.740471422672	0.137110367417	-0.657953500748	0.508793354034	-0.840402245522	0.186690598726	1347.03466797	21.8600006104	0.0	3.0	4.0	1.0	8.00780963898	1.0	512.841796875	1.0	1.0	1
1.0	1.0	-15.8259000778	-50.1996994019	-54.4227981567	-52.2459983826	-40.3942985535	-30.1774997711	-34.3197593689	-44.5111732483	-39.611164093	1.0	-0.300600379705	0.723928391933	-0.620940506458	0.823852181435	-0.11224514246	-0.555579602718	245.115997314	11.5200004578	0.0	2.0	2.0	0.0	30.0	0.0	141.064407349	1.0	1.0	1
1.0	1.0	-43.9233016968	-65.6930007935	-6.0168800354	-2.94775009155	28.4346008301	-57.3823013306	-28.8129692078	-23.8401565552	-42.9646224976	1.0	0.327516943216	0.47978669405	-0.81396406889	0.672497689724	-0.732631862164	-0.104868449271	3826.90332031	20.6599998474	0.0	1.0	16.0	23.0	19.5081005096	7.0	1799.56005859	1.0	1.0	1
1.0	1.0	-39.4812011719	-62.0088005066	-23.0226993561	-36.336101532	7.60450983047	-67.7163009644	-34.8382301331	-38.521572113	-40.501335144	1.0	0.870738565922	-0.0226686801761	-0.491223484278	0.164971381426	-0.931041896343	0.325492501259	675.726196289	17.8799991608	0.0	3.0	4.0	1.0	3.86541008949	1.0	291.357391357	1.0	1.0	1
1.0	1.0	-32.1155014038	-34.3958015442	-56.8928985596	-22.0634002686	1.25966000557	-75.9038009644	-32.1831741333	-16.1596393585	-54.1377944946	1.0	0.760617733002	0.19863653183	-0.618064939976	0.413123488426	-0.910572588444	-0.0136544154957	658.059814453	19.6599998474	0.0	1.0	3.0	2.0	12.1888999939	0.0	253.124801636	1.0	1.0	1
1.0	1.0	-20.6608009338	-67.1234970093	-29.6867008209	-36.336101532	7.60450983047	-67.7163009644	-31.0209197998	-29.7399787903	-46.5244255066	1.0	0.699048638344	0.213380813599	-0.682495117188	0.521068811417	-0.853507220745	0.00356612354517	1623.06616211	21.8600006104	0.0	2.0	7.0	6.0	18.4484996796	4.0	789.697021484	1.0	1.0	1
1.0	1.0	-20.6608009338	-67.1234970093	-29.6867008209	-43.5251998901	-7.57655000687	-59.5390014648	-34.269203186	-22.7345466614	-47.1018486023	1.0	0.77876585722	0.115214310586	-0.616643726826	0.389024496078	-0.917716443539	0.080351524055	501.273895264	19.6599998474	0.0	2.0	2.0	0.0	30.0	0.0	176.659912109	1.0	1.0	1
1.0	1.0	-20.6608009338	-67.1234970093	-29.6867008209	-36.336101532	7.60450983047	-67.7163009644	-30.633102417	-27.3338985443	-49.4184303284	1.0	0.800208091736	0.0945891067386	-0.592216074467	0.304450184107	-0.92073237896	0.244053035975	1903.51489258	19.6599998474	0.0	2.0	9.0	8.0	18.4484996796	2.0	965.038818359	1.0	1.0	1
1.0	1.0	-11.6500997543	-62.7000007629	-41.4631996155	-22.0634002686	1.25966000557	-75.9038009644	-33.104057312	-37.2724685669	-42.2632637024	1.0	0.784194231033	-0.0642240345478	-0.617182731628	0.320796906948	-0.901129245758	0.291642487049	1106.33532715	21.8600006104	0.0	2.0	4.0	2.0	6.64502000809	1.0	500.976593018	1.0	1.0	1
