valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-68.6383972168	51.4967002869	19.363899231	-50.4348983765	55.1374015808	31.1109008789	-55.7105407715	50.7359962463	21.4146633148	1.0	0.278553277254	-0.777391016483	0.563978075981	0.707158267498	0.465725302696	0.532002985477	362.153320312	19.0400009155	0.0	1.0	1.0	0.0	0.0	2.0	139.746307373	-1.0	0.0	1
1.0	1.0	-73.3625030518	14.2428998947	16.8372993469	-47.3953018188	80.2590026855	21.280500412	-52.3877296448	48.3072814941	16.1820163727	1.0	0.752069294453	-0.425683110952	0.50317543745	0.41226619482	0.883227527142	-0.223485410213	2376.08105469	35.2400016785	0.0	1.0	5.0	4.0	15.2889995575	11.0	1007.22662354	1.0	1.0	1
1.0	1.0	-73.3625030518	14.2428998947	16.8372993469	-52.0008010864	78.4324035645	16.2399997711	-49.6847724915	45.681552887	15.4961099625	1.0	0.894960105419	-0.372240841389	0.245932996273	0.343289762735	0.870301961899	-0.353166610003	1088.66967773	21.4200000763	0.0	3.0	5.0	2.0	8.74643039703	0.0	473.290985107	1.0	1.0	1
1.0	1.0	-73.3625030518	14.2428998947	16.8372993469	-47.3953018188	80.2590026855	21.280500412	-50.9449234009	49.4410095215	14.3860244751	1.0	0.858589112759	-0.349061965942	0.375473707914	0.35214933753	0.892977535725	-0.280324906111	1786.47851562	35.2400016785	0.0	3.0	7.0	4.0	12.1239004135	5.0	671.04498291	1.0	1.0	1
1.0	1.0	-52.4674987793	31.6420001984	24.3479003906	-60.0256996155	76.1259002686	7.71718978882	-54.5082130432	56.0632362366	17.1550827026	1.0	0.63951832056	-0.402981251478	0.654692590237	0.704187750816	0.69226449728	-0.157763794065	772.888244629	21.4200000763	0.0	1.0	3.0	2.0	10.3991003036	3.0	313.769714355	1.0	1.0	1
1.0	1.0	-73.8924026489	31.6777000427	13.8276996613	-66.2947006226	53.8917007446	20.7217006683	-67.4804992676	41.6022987366	13.4402008057	1.0	0.354151189327	-0.255640119314	0.899569392204	0.305767923594	0.910565674305	0.278165906668	309.156005859	15.279999733	0.0	1.0	1.0	0.0	0.0	0.0	71.1913986206	0.99757314741	1.0	1
1.0	1.0	-68.6383972168	51.4967002869	19.363899231	-50.4348983765	55.1374015808	31.1109008789	-56.9580841064	51.4142341614	20.6543960571	1.0	-0.00821548327804	-0.823854386806	0.56674182415	0.758698940277	0.179884985089	0.626112937927	289.280914307	19.0400009155	0.0	1.0	1.0	0.0	0.0	1.0	109.424003601	0.349050394337	1.0	1
1.0	1.0	-70.6604003906	23.8635005951	27.8020000458	-33.1831016541	70.4598007202	19.1238002777	-58.1164894104	49.5471763611	17.7799224854	1.0	0.701514363289	-0.224041312933	0.67652285099	0.435263633728	0.896686255932	-0.0806193053722	1543.56860352	21.4200000763	0.0	1.0	5.0	5.0	12.1239004135	5.0	598.535339355	1.0	1.0	1
1.0	1.0	-65.8149032593	68.0259017944	18.2670001984	-60.0256996155	76.1259002686	7.71718978882	-57.8623008728	65.091003418	8.55762004852	1.0	0.706672310829	0.0494141206145	0.705813348293	0.492564231157	0.569611310959	-0.657969295979	258.365997314	21.4200000763	0.0	1.0	1.0	0.0	0.0	0.0	46.1426010132	0.995970297499	1.0	1
1.0	1.0	-70.6604003906	23.8635005951	27.8020000458	-50.4348983765	55.1374015808	31.1109008789	-59.0699729919	42.5970916748	21.9177360535	1.0	0.428991287947	-0.596041798592	0.678749263287	0.634672999382	0.707282304764	0.311355173588	554.270996094	19.0400009155	0.0	2.0	3.0	1.0	9.49423980713	1.0	225.439605713	1.0	1.0	1
1.0	1.0	-62.9886016846	45.7344017029	29.5771999359	-53.3254013062	53.0331001282	23.5261993408	-57.0171012878	48.7070007324	21.6697998047	1.0	0.553234875202	-0.677541911602	0.484631925821	0.713805139065	0.554282128811	-0.428081095219	67.3882980347	10.5600004196	0.0	1.0	1.0	0.0	0.0	0.0	45.351600647	-1.0	0.0	1
1.0	1.0	-55.9291992188	77.2344970703	6.43947982788	-50.5242004395	80.6942977905	13.5601997375	-38.670135498	53.6469192505	10.0384979248	1.0	-0.251293063164	0.159856587648	0.954619169235	0.520904004574	0.36148199439	0.773298025131	105.191497803	16.2800006866	0.0	2.0	2.0	0.0	30.0	0.0	30.585899353	1.0	1.0	1
1.0	1.0	-74.9265975952	14.5472002029	17.8176002502	-41.0457992554	78.182800293	24.3938999176	-56.3237037659	42.9526062012	16.9341850281	1.0	0.695153176785	-0.0332480221987	0.718092381954	0.321248739958	0.878442764282	-0.353747725487	1081.50036621	16.4200000763	0.0	5.0	8.0	3.0	7.55837011337	0.0	494.648986816	1.0	1.0	1
1.0	1.0	-71.0444030762	35.3941993713	24.4862995148	-53.0121002197	78.9923019409	16.4990997314	-56.7424850464	53.0608940125	14.7464809418	1.0	0.6481975317	0.191759392619	0.736931622028	0.138551652431	0.922772884369	-0.35957428813	997.676025391	16.4200000763	0.0	1.0	2.0	1.0	1.20000004768	1.0	360.70300293	1.0	1.0	1
1.0	1.0	-71.0444030762	35.3941993713	24.4862995148	-53.0121002197	78.9923019409	16.4990997314	-56.870967865	53.4446182251	14.3586473465	1.0	0.631663024426	0.229152202606	0.740601837635	0.0704075619578	0.930413305759	-0.359685778618	953.298278809	16.4200000763	0.0	1.0	4.0	4.0	7.41978979111	0.0	343.82800293	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-35.5987014771	67.4750976562	17.9948997498	-55.3433418274	47.2184562683	20.8926448822	1.0	0.540946900845	-0.625001132488	0.562805593014	0.813089430332	0.572534739971	-0.105306826532	555.846008301	16.7600002289	0.0	1.0	1.0	0.0	0.0	0.0	203.993911743	-1.0	0.0	1
1.0	1.0	-43.3833999634	24.6082000732	32.8429985046	-60.5178985596	72.6623001099	2.23035001755	-53.8577919006	54.439781189	15.7879228592	1.0	0.678411662579	-0.330478936434	0.656156420708	0.60925167799	0.734766364098	-0.298212617636	1243.70495605	18.8999996185	0.0	1.0	3.0	2.0	7.5802397728	1.0	397.353240967	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-61.4258003235	68.2787017822	-2.44006991386	-52.5485839844	52.4756546021	16.3044719696	1.0	0.494432240725	-0.569200992584	0.656922340393	0.793661534786	0.608259856701	0.0110226171091	654.85559082	18.8999996185	0.0	3.0	3.0	0.0	30.0	0.0	201.093399048	1.0	1.0	1
1.0	1.0	-43.3833999634	24.6082000732	32.8429985046	-60.5178985596	72.6623001099	2.23035001755	-53.8577919006	54.439781189	15.7879228592	1.0	0.678411662579	-0.330478936434	0.656156420708	0.60925167799	0.734766364098	-0.298212617636	1243.70495605	18.8999996185	0.0	1.0	3.0	2.0	7.5802397728	1.0	397.353240967	1.0	1.0	1
1.0	1.0	-43.3833999634	24.6082000732	32.8429985046	-44.8982009888	72.3307037354	20.9151992798	-54.281627655	48.3203315735	21.0807857513	1.0	0.700299501419	-0.536247074604	0.471189618111	0.688714623451	0.699445128441	-0.19091527164	778.184326172	16.7600002289	0.0	1.0	4.0	4.0	7.5802397728	0.0	303.574005127	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-35.5987014771	67.4750976562	17.9948997498	-54.8656311035	46.3932304382	21.5040607452	1.0	0.689912796021	-0.537530243397	0.484852164984	0.678373038769	0.708550453186	-0.194335520267	713.914611816	16.7600002289	0.0	1.0	3.0	2.0	7.5802397728	0.0	277.47052002	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-35.5987014771	67.4750976562	17.9948997498	-54.5475845337	45.0104408264	21.8718509674	1.0	0.665984213352	-0.574269294739	0.476109027863	0.702749609947	0.697697281837	-0.139146283269	644.433898926	16.7600002289	0.0	1.0	2.0	1.0	7.5802397728	0.0	246.53302002	1.0	1.0	1
1.0	1.0	-60.3474006653	58.6969985962	23.5435009003	-44.8982009888	72.3307037354	20.9151992798	-53.0002098083	64.2679977417	17.269285202	1.0	0.82415419817	-0.360626548529	0.436713039875	0.610935688019	0.685582876205	-0.395896077156	133.750396729	12.6400003433	0.0	1.0	2.0	1.0	2.17385005951	0.0	57.0410003662	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-35.5987014771	67.4750976562	17.9948997498	-54.5475845337	45.0104408264	21.8718509674	1.0	0.665984213352	-0.574269294739	0.476109027863	0.702749609947	0.697697281837	-0.139146283269	644.433898926	16.7600002289	0.0	1.0	2.0	1.0	7.5802397728	0.0	246.53302002	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-35.5987014771	67.4750976562	17.9948997498	-54.5609664917	49.5512542725	20.4248428345	1.0	0.570774376392	-0.617122471333	0.54164236784	0.80922627449	0.576882183552	-0.111175023019	620.115722656	16.7600002289	0.0	1.0	2.0	1.0	6.84931993484	0.0	230.097412109	1.0	1.0	1
1.0	1.0	-47.6744003296	14.0103998184	33.143699646	-39.9533996582	79.7693023682	27.6790008545	-51.5305290222	54.497253418	19.5864009857	1.0	0.823940813541	-0.492193073034	0.280833512545	0.486637502909	0.858415961266	0.162191554904	984.301269531	17.8600006104	0.0	6.0	7.0	1.0	5.99185991287	3.0	482.942108154	1.0	1.0	1
1.0	1.0	-35.4118995667	38.6803016663	30.6319007874	-38.6814994812	49.4868011475	28.7872009277	-37.8238983154	44.1916999817	26.0347003937	1.0	0.926348745823	0.175188958645	-0.333446919918	-0.219778940082	0.957071781158	-0.188972949982	24.9920005798	6.42000007629	0.0	1.0	1.0	0.0	0.0	0.0	43.4253005981	1.0	1.0	1
1.0	1.0	-71.8520965576	28.4106006622	25.0832004547	-39.9533996582	79.7693023682	27.6790008545	-57.7240371704	57.1581840515	19.5699138641	1.0	0.314646631479	-0.846052765846	0.430339545012	0.635562002659	0.713703274727	0.294429183006	497.918304443	14.9799995422	0.0	4.0	5.0	1.0	2.1875	0.0	275.026916504	1.0	1.0	1
1.0	1.0	-71.0699005127	43.3237991333	16.8176002502	-31.8227996826	63.7634010315	13.4708995819	-54.3907203674	62.9664459229	10.3519535065	1.0	0.680717110634	0.131880998611	0.7205773592	0.61441642046	0.669972479343	-0.41668856144	481.282592773	18.6200008392	0.0	2.0	7.0	5.0	7.30715990067	0.0	350.683227539	1.0	1.0	1
1.0	1.0	-63.676399231	49.317401886	28.5725002289	-31.8227996826	63.7634010315	13.4708995819	-54.5647010803	64.3083648682	19.3431072235	1.0	0.550008833408	-0.771192729473	0.320549756289	0.557798266411	0.798035681248	0.228035151958	177.704208374	9.46000003815	0.0	2.0	2.0	0.0	30.0	0.0	217.089492798	1.0	1.0	1
1.0	1.0	-71.0699005127	43.3237991333	16.8176002502	-53.6204986572	83.2109985352	15.0066003799	-51.8303070068	58.5169181824	13.3280353546	1.0	0.811641573906	-0.202323541045	0.54799926281	0.252795994282	0.812924146652	-0.524641275406	610.859313965	21.2399997711	0.0	2.0	6.0	5.0	10.6891002655	0.0	266.30859375	1.0	1.0	1
1.0	1.0	-62.5466995239	37.676399231	26.662399292	-54.2846984863	59.0854988098	17.9167003632	-56.831199646	48.1888999939	18.8083000183	1.0	0.913932681084	-0.120159961283	0.387670874596	0.371742099524	0.908306241035	-0.191801041365	245.177993774	16.2000007629	0.0	1.0	1.0	0.0	0.0	0.0	106.260002136	-1.0	0.0	1
1.0	1.0	-48.4119987488	27.9025993347	26.6455993652	-68.3187026978	67.577796936	5.14865016937	-59.0652084351	49.6572990417	12.878783226	1.0	0.31578323245	-0.56883007288	0.759416341782	-0.797303378582	0.460156232119	-0.390593856573	321.882385254	22.5	0.0	5.0	5.0	0.0	30.0	0.0	278.789306641	1.0	1.0	1
1.0	1.0	-65.2555007935	29.8773002625	24.408000946	-34.2072982788	48.3031997681	21.1811008453	-56.5400505066	44.7959251404	20.095746994	1.0	0.797491967678	-0.23955501616	0.553732872009	0.430345118046	0.896023988724	-0.109289497137	345.166900635	16.2000007629	0.0	2.0	2.0	0.0	30.0	1.0	209.091995239	1.0	1.0	1
1.0	1.0	-48.4119987488	27.9025993347	26.6455993652	-54.2846984863	59.0854988098	17.9167003632	-55.9140090942	47.5081748962	19.6910324097	1.0	0.937078714371	-0.0672718584538	0.342575669289	0.296184211969	0.940873205662	-0.164415672421	276.681304932	16.2000007629	0.0	1.0	2.0	1.0	1.875	0.0	269.649017334	1.0	1.0	1
1.0	1.0	-65.2555007935	29.8773002625	24.408000946	-47.4864997864	62.2592010498	21.5097999573	-56.9261817932	46.1038246155	17.6105594635	1.0	0.643164753914	-0.205089136958	0.737751603127	0.345910966396	0.921004593372	0.179154083133	141.080200195	13.5200004578	0.0	2.0	2.0	0.0	30.0	0.0	74.2675018311	1.0	1.0	1
1.0	1.0	-65.2555007935	29.8773002625	24.408000946	-47.4864997864	62.2592010498	21.5097999573	-56.2558250427	47.0339164734	18.988445282	1.0	0.883810758591	-0.105408385396	0.455815404654	0.310131579638	0.946322858334	-0.0910570248961	417.761535645	16.2000007629	0.0	1.0	3.0	2.0	5.6189699173	1.0	343.916534424	1.0	1.0	1
1.0	1.0	-48.4119987488	27.9025993347	26.6455993652	-54.2846984863	59.0854988098	17.9167003632	-55.9140090942	47.5081748962	19.6910324097	1.0	0.937078714371	-0.0672718584538	0.342575669289	0.296184211969	0.940873205662	-0.164415672421	276.681304932	16.2000007629	0.0	1.0	2.0	1.0	1.875	0.0	269.649017334	1.0	1.0	1
1.0	1.0	-54.898601532	26.2541999817	33.4337005615	-53.1189002991	50.6754989624	33.6736984253	-55.2049179077	39.9978294373	28.1963977814	1.0	0.90433126688	-0.172105610371	0.390595197678	0.237098783255	0.971456587315	0.00750029692426	265.7940979	14.6599998474	0.0	1.0	1.0	0.0	0.0	0.0	105.468795776	-1.0	0.0	1
1.0	1.0	-55.0163002014	19.2472000122	40.5749015808	-56.354801178	81.1294021606	13.5553998947	-55.2513504028	53.4741821289	20.5957527161	1.0	0.667130231857	-0.0833524912596	0.740263223648	0.23181271553	0.963410496712	-0.134547710419	1627.10644531	28.3199996948	0.0	2.0	8.0	7.0	9.49382972717	3.0	778.711242676	1.0	1.0	1
1.0	1.0	-54.898601532	26.2541999817	33.4337005615	-51.9631996155	81.1279983521	14.4635000229	-53.6371688843	47.8341369629	24.3036270142	1.0	0.78847360611	-0.262826710939	0.556085884571	0.44226244092	0.885407567024	0.14302919805	344.547790527	16.8199996948	0.0	2.0	2.0	0.0	30.0	0.0	116.894592285	1.0	1.0	1
1.0	1.0	-74.9621963501	22.7234992981	28.5174999237	-16.3400993347	61.0746002197	17.4785003662	-54.2932548523	55.3005180359	20.2467269897	1.0	0.674468994141	-0.125439763069	0.727568805218	0.255883067846	0.96579605341	-0.0419743768871	2032.12561035	28.3199996948	0.0	4.0	8.0	5.0	9.49382972717	6.0	1094.23864746	1.0	1.0	1
1.0	1.0	-55.0163002014	19.2472000122	40.5749015808	-40.1727981567	49.0378990173	34.3671989441	-47.7060775757	33.0536575317	33.9209861755	1.0	0.521574616432	-0.678076386452	0.517853498459	0.871803045273	0.471876084805	-0.131500303745	68.9095001221	7.80000019073	0.0	2.0	2.0	0.0	30.0	0.0	65.9179992676	1.0	1.0	1
1.0	1.0	-74.9621963501	22.7234992981	28.5174999237	-40.1727981567	49.0378990173	34.3671989441	-58.477191925	37.8626441956	28.2328395844	1.0	0.734826624393	-0.27790749073	0.618706166744	0.346802324057	0.937900900841	0.00837281346321	506.273864746	14.6599998474	0.0	1.0	4.0	3.0	7.05003976822	1.0	290.03918457	1.0	1.0	1
1.0	1.0	-54.898601532	26.2541999817	33.4337005615	-66.237701416	49.2308998108	33.9042015076	-56.1003608704	40.5041770935	28.3238430023	1.0	0.880711078644	-0.242648735642	0.406779557467	0.268290996552	0.960490822792	0.074008949101	289.701477051	14.6599998474	0.0	1.0	2.0	1.0	7.05003976822	0.0	132.714904785	1.0	1.0	1
1.0	1.0	-67.300201416	33.9379997253	34.7081985474	-50.1323013306	64.1827011108	30.7084999084	-54.2851676941	52.6740379333	28.3838920593	1.0	0.981984198093	-0.124195508659	0.142416894436	0.205985218287	0.970751881599	-0.123332470655	156.100997925	14.220000267	0.0	3.0	3.0	0.0	30.0	0.0	95.8007965088	1.0	1.0	1
1.0	1.0	-74.9621963501	22.7234992981	28.5174999237	-50.1323013306	64.1827011108	30.7084999084	-58.290763855	41.2448043823	27.8771457672	1.0	0.835381388664	-0.166832223535	0.52374124527	0.24093554914	0.970283865929	-0.0223429277539	600.496948242	14.6599998474	0.0	1.0	4.0	3.0	8.49654960632	1.0	299.707092285	1.0	1.0	1
1.0	1.0	-55.0163002014	19.2472000122	40.5749015808	-53.1189002991	50.6754989624	33.6736984253	-54.6564826965	37.6640853882	29.1054344177	1.0	0.894082188606	-0.195733010769	0.402871698141	0.285149335861	0.957636773586	-0.0402690730989	299.545684814	14.6599998474	0.0	1.0	2.0	1.0	5.56531000137	0.0	133.593795776	1.0	1.0	1
1.0	1.0	-67.9498977661	26.0478992462	25.5464992523	-50.646900177	44.4207992554	31.8750991821	-52.2039604187	35.0318870544	24.8177280426	1.0	0.777895331383	-0.321734875441	0.539782881737	0.437658816576	0.871696293354	0.220454618335	305.658203125	17.2600002289	0.0	1.0	1.0	0.0	0.0	0.0	128.0	-1.0	0.0	1
1.0	1.0	-73.3711013794	18.7220001221	24.3488006592	-55.8923988342	87.7173995972	20.9144001007	-46.7103767395	59.2292480469	18.1951389313	1.0	0.918124496937	0.0936522558331	0.385067105293	-0.028109986335	0.999048709869	-0.0333383567631	754.865539551	19.5799999237	0.0	6.0	7.0	1.0	4.1231098175	0.0	359.0	1.0	1.0	1
