valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-51.5843009949	54.8779983521	29.3640003204	-51.8348007202	87.2173995972	2.04219007492	-50.0681800842	69.6057739258	13.4169464111	1.0	-0.847654879093	-0.282101780176	-0.449332594872	-0.134105220437	0.689848065376	-0.71142500639	543.229980469	18.7999992371	0.0	1.0	1.0	0.0	0.0	5.0	257.080078125	-1.0	0.0	1
1.0	1.0	-78.1130981445	42.301700592	3.00426006317	-12.0032997131	100.694999695	9.92278003693	-32.586730957	68.9365539551	4.13555717468	1.0	-0.418571710587	0.352251082659	-0.837088286877	0.355529248714	0.891851961613	-0.279640614986	4085.26928711	35.2400016785	0.0	7.0	14.0	9.0	10.0080003738	15.0	1572.8026123	1.0	1.0	1
1.0	1.0	-46.0797996521	18.7658996582	35.5257987976	-40.0611991882	104.716003418	-4.80044984818	-45.4109344482	65.3702926636	10.0333156586	1.0	-0.746817827225	0.150152519345	-0.647855997086	0.368369936943	0.783638775349	-0.50021392107	1881.43200684	35.2400016785	0.0	6.0	7.0	1.0	18.2569999695	9.0	805.51776123	1.0	1.0	1
1.0	1.0	-54.6792984009	63.3942985535	26.1294994354	-1.83259999752	77.6481018066	-11.6019001007	-24.7731437683	63.0288314819	0.650624752045	1.0	-0.629293859005	-0.497327029705	-0.597206234932	0.0831109657884	0.944172143936	-0.318796873093	1576.69287109	35.2400016785	0.0	5.0	6.0	1.0	9.65032958984	2.0	411.327972412	1.0	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-51.8638000488	86.9191970825	0.283675998449	-51.4687576294	63.3745956421	16.5149440765	1.0	-0.814610481262	0.141920939088	-0.562377274036	0.37342017889	0.854048967361	-0.362157046795	976.04699707	18.7999992371	0.0	1.0	1.0	0.0	0.0	7.0	515.478820801	0.989151882273	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-40.0611991882	104.716003418	-4.80044984818	-50.3486557007	70.13230896	10.5322475433	1.0	-0.480533182621	0.238848924637	-0.843824088573	0.455888599157	0.844048917294	-0.282395035028	1441.98937988	21.4200000763	0.0	2.0	4.0	2.0	9.42175960541	4.0	598.535949707	1.0	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-40.0611991882	104.716003418	-4.80044984818	-45.6997680664	72.8441238403	11.1631946564	1.0	-0.699077367783	0.0925813764334	-0.70902723074	0.183887884021	0.880386352539	-0.437155723572	1037.87817383	19.0400009155	0.0	1.0	3.0	2.0	9.42175960541	3.0	573.486816406	1.0	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-40.0611991882	104.716003418	-4.80044984818	-48.9569664001	71.6531600952	8.56287288666	1.0	-0.222773239017	0.300375819206	-0.92744076252	0.732120215893	0.6796875	-0.044998832047	836.927734375	19.0400009155	0.0	3.0	3.0	0.0	30.0	3.0	293.994598389	1.0	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-40.0611991882	104.716003418	-4.80044984818	-49.5603599548	70.3075561523	11.1009187698	1.0	-0.587241232395	0.178533434868	-0.789476692677	0.368343561888	0.809724748135	-0.456802964211	1914.55493164	21.4200000763	0.0	1.0	2.0	1.0	6.62912988663	14.0	854.297668457	1.0	1.0	1
1.0	1.0	-51.8427009583	47.2672996521	30.6856994629	-40.0611991882	104.716003418	-4.80044984818	-49.7130050659	69.2086257935	11.5024595261	1.0	-0.523340940475	0.291877448559	-0.800575911999	0.452888995409	0.826352953911	-0.334712386131	1640.73168945	21.4200000763	0.0	1.0	3.0	2.0	9.42175960541	8.0	746.192138672	1.0	1.0	1
1.0	1.0	-44.0976982117	36.7630996704	28.5736999512	-55.9291992188	77.2344970703	6.43947982788	-47.2148933411	65.0638427734	17.311416626	1.0	-0.804820775986	0.281769037247	-0.522369384766	0.171057850122	0.978993833065	0.110951706767	576.909973145	15.0200004578	0.0	1.0	2.0	1.0	2.09630990028	0.0	244.687011719	-1.0	0.0	1
1.0	1.0	-51.2354011536	14.4301996231	39.2084007263	-22.6625003815	105.906997681	-2.11099004745	-35.8036956787	62.4656982422	10.0386962891	1.0	-0.956793129444	0.11030485481	-0.269034802914	0.363672316074	0.852722048759	-0.374976783991	3964.40283203	31.8199996948	0.0	4.0	14.0	13.0	7.78646993637	18.0	1722.30566406	1.0	1.0	1
1.0	1.0	-44.0976982117	36.7630996704	28.5736999512	-1.43728995323	83.6223983765	-14.5882997513	-35.9816474915	59.6402359009	14.1850442886	1.0	-0.956427752972	0.269644916058	0.111971497536	0.0768760219216	0.995139122009	0.0615475513041	1278.73388672	16.2800006866	0.0	3.0	4.0	1.0	2.09630990028	1.0	442.968688965	1.0	1.0	1
1.0	1.0	-44.6304016113	14.4509000778	42.4211006165	-15.8192996979	77.6336975098	17.0557994843	-46.4535369873	57.5270881653	14.905667305	1.0	-0.835416018963	0.0695028454065	-0.545205950737	0.00468475744128	0.999601125717	0.0278496798128	576.909606934	19.1800003052	0.0	5.0	5.0	0.0	30.0	0.0	245.741699219	1.0	1.0	1
1.0	1.0	-55.9291992188	77.2344970703	6.43947982788	-35.3996009827	80.1406021118	25.9136009216	-44.1537246704	81.7199020386	14.381526947	1.0	-0.0116509916261	0.921347200871	-0.388566017151	0.736901521683	0.0557179972529	0.673699975014	185.729003906	13.1800003052	0.0	1.0	1.0	0.0	0.0	0.0	104.414001465	1.0	1.0	1
1.0	1.0	-44.0976982117	36.7630996704	28.5736999512	-53.8266983032	83.1707000732	-7.05925989151	-50.0229568481	63.5938568115	11.593670845	1.0	-0.687024414539	-0.208062812686	-0.696209251881	0.0766873061657	0.967981338501	-0.23902143538	621.286987305	16.8400001526	0.0	1.0	3.0	2.0	5.87075996399	0.0	236.249481201	1.0	1.0	1
1.0	1.0	-51.2354011536	14.4301996231	39.2084007263	-45.1974983215	93.3212966919	8.17786979675	-48.5964279175	57.6744041443	15.3027696609	1.0	-0.824847817421	0.0504750236869	-0.563097119331	0.361573219299	0.861756443977	-0.35586592555	1469.39343262	20.3799991608	0.0	1.0	6.0	7.0	9.49787044525	2.0	642.304443359	1.0	1.0	1
1.0	1.0	-51.2354011536	14.4301996231	39.2084007263	-16.2893009186	95.1062011719	18.0898990631	-46.3943710327	58.5556144714	15.820857048	1.0	-0.82580691576	0.184647724032	-0.532867848873	0.539318501949	0.724119603634	-0.42986792326	1270.51574707	20.3799991608	0.0	2.0	7.0	5.0	8.48941993713	2.0	669.726745605	1.0	1.0	1
1.0	1.0	-44.0976982117	36.7630996704	28.5736999512	-45.1974983215	93.3212966919	8.17786979675	-47.1376800537	66.1278305054	16.9239635468	1.0	-0.777582943439	0.270709365606	-0.56752204895	0.204869151115	0.973543584347	0.10120087117	603.207885742	15.0200004578	0.0	1.0	3.0	2.0	5.34897994995	0.0	277.382324219	1.0	1.0	1
1.0	1.0	-51.2354011536	14.4301996231	39.2084007263	-16.2893009186	95.1062011719	18.0898990631	-45.701965332	59.3173370361	15.3481655121	1.0	-0.854531526566	0.180658638477	-0.486968636513	0.525218546391	0.716193258762	-0.459578871727	1217.92016602	20.3799991608	0.0	3.0	8.0	5.0	8.48941993713	1.0	616.99230957	1.0	1.0	1
1.0	1.0	-60.3474006653	58.6969985962	23.5435009003	-29.1732006073	78.0614013672	18.6275005341	-45.9727325439	74.6945724487	14.6651668549	1.0	-0.434125840664	0.887963533401	-0.151840671897	0.978554010391	0.205792069435	-0.00904045440257	427.305999756	14.5600004196	0.0	1.0	2.0	1.0	7.80869007111	1.0	148.886703491	-1.0	0.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	2.0962600708	73.2141036987	-10.4292001724	-34.2584457397	66.0005722046	5.75600814819	1.0	-0.577268779278	0.116443149745	-0.808208942413	0.787873029709	0.532144010067	-0.309965908527	3324.65185547	31.0200004578	0.0	4.0	11.0	9.0	15.6141004562	1.0	865.282714844	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-23.2343006134	107.762001038	6.6290397644	-39.0872344971	58.1754341125	14.2621669769	1.0	-0.840126574039	0.534082591534	0.0945678800344	0.690138399601	0.684772133827	-0.234085872769	2315.4440918	18.8999996185	0.0	2.0	11.0	12.0	15.6141004562	0.0	734.765380859	1.0	1.0	1
1.0	1.0	-60.3474006653	58.6969985962	23.5435009003	-29.1732006073	78.0614013672	18.6275005341	-44.3254623413	78.2936401367	14.145316124	1.0	-0.285341560841	0.955697953701	0.0722612962127	0.995109915733	0.0761253163218	-0.0629386082292	300.503692627	14.5600004196	0.0	2.0	2.0	0.0	30.0	0.0	104.414100647	1.0	1.0	1
1.0	1.0	-74.5876998901	46.765499115	17.4081001282	-6.86725997925	92.2151031494	11.839099884	-29.3781757355	79.5284729004	10.3129339218	1.0	-0.59746915102	0.79955971241	0.061113961041	0.747357189655	0.658429443836	0.089037977159	797.290405273	17.9799995422	0.0	2.0	4.0	2.0	9.25187015533	0.0	203.027404785	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-6.86725997925	92.2151031494	11.839099884	-41.4396514893	69.1412506104	13.4758863449	1.0	-0.697292625904	0.65631633997	-0.288152694702	0.763626039028	0.584532618523	-0.274220466614	1822.13110352	17.9799995422	0.0	1.0	5.0	6.0	10.2056999207	0.0	530.771362305	1.0	1.0	1
1.0	1.0	-60.3474006653	58.6969985962	23.5435009003	-28.6566009521	95.2651977539	19.0678005219	-48.0262374878	72.1314926147	12.4439172745	1.0	-0.797628700733	0.34674924612	-0.49351131916	0.666235148907	0.438645929098	-0.603092491627	733.02142334	17.0	0.0	1.0	3.0	2.0	8.64332008362	1.0	221.396514893	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-29.1732006073	78.0614013672	18.6275005341	-49.6097068787	60.5918273926	18.131155014	1.0	-0.562832951546	0.736180484295	-0.375842273235	0.886126041412	0.438731044531	-0.149317696691	884.142028809	16.7600002289	0.0	1.0	3.0	2.0	7.80869007111	1.0	314.208709717	1.0	1.0	1
1.0	1.0	-66.3965988159	33.0909996033	33.2363014221	-6.86725997925	92.2151031494	11.839099884	-41.656162262	69.1612014771	13.5747966766	1.0	-0.702469944954	0.649673044682	-0.290621399879	0.764508545399	0.58602565527	-0.268515527248	1886.40087891	17.9799995422	0.0	1.0	6.0	9.0	10.2056999207	0.0	556.87487793	1.0	1.0	1
1.0	1.0	-60.3474006653	58.6969985962	23.5435009003	-28.6566009521	95.2651977539	19.0678005219	-42.3120002747	79.9743347168	14.1361074448	1.0	-0.423874169588	0.904519081116	0.04664606601	0.974325537682	0.207240849733	-0.0879823192954	338.718078613	14.5600004196	0.0	2.0	3.0	1.0	8.64332008362	0.0	118.916099548	1.0	1.0	1
1.0	1.0	-47.7289009094	42.8773002625	30.9925994873	-61.0465011597	76.8820037842	18.6245994568	-50.2277679443	63.7646598816	22.7172698975	1.0	-0.81267952919	0.420602142811	-0.403293579817	0.171151310205	0.956384778023	0.236717864871	492.150512695	16.7600002289	0.0	3.0	3.0	0.0	30.0	0.0	165.80569458	-1.0	0.0	1
1.0	1.0	-62.1711006165	25.411699295	32.2747993469	-24.3059005737	107.033996582	-6.40282011032	-36.3759803772	65.081161499	10.0080270767	1.0	-0.663400173187	-0.0831372886896	-0.743631899357	0.261855065823	0.919761180878	-0.292354553938	2518.4284668	25.0799999237	0.0	14.0	18.0	4.0	10.3350000381	7.0	1048.78637695	1.0	1.0	1
1.0	1.0	-64.1715011597	35.9879989624	29.1931991577	-25.6023006439	105.893997192	-6.24141979218	-48.3256835938	64.0609817505	16.5126228333	1.0	-0.707135260105	-0.113281726837	-0.697944819927	0.181180164218	0.870556294918	-0.457499206066	1505.28955078	20.8799991608	0.0	2.0	6.0	4.0	11.4245004654	5.0	786.919250488	1.0	1.0	1
1.0	1.0	-47.6744003296	14.0103998184	33.143699646	-19.1963996887	110.592002869	-5.58476018906	-38.6815719604	68.3774337769	10.9533424377	1.0	-0.658107995987	-0.00672041950747	-0.752893567085	0.349527299404	0.925535678864	-0.145651400089	5096.45361328	25.0799999237	0.0	4.0	17.0	17.0	11.2173995972	28.0	2546.30175781	1.0	1.0	1
1.0	1.0	-74.8202972412	41.6666984558	15.038599968	-71.702796936	60.4650993347	19.8106002808	-62.9203491211	52.2622642517	15.9722042084	1.0	-0.376841843128	0.360528379679	-0.853234767914	0.132963955402	0.968772649765	0.209284931421	211.471405029	14.9799995422	0.0	2.0	2.0	0.0	30.0	0.0	61.8480987549	1.0	1.0	1
1.0	1.0	-47.6744003296	14.0103998184	33.143699646	-21.1030006409	82.4573974609	26.3171005249	-51.3811073303	57.6755180359	20.6238079071	1.0	-0.906602561474	0.265520423651	-0.327979654074	0.293433248997	0.943125426769	-0.156241714954	1343.80285645	20.8799991608	0.0	2.0	5.0	3.0	11.2173995972	3.0	629.009643555	1.0	1.0	1
