valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-37.6833000183	105.339996338	5.91631984711	-1.74032998085	84.2584991455	-25.4221000671	-21.7710437775	97.1053771973	-0.537302315235	1.0	-0.0735839828849	0.996811628342	0.0308567974716	-0.256792783737	-0.270504802465	0.927838683128	605.062194824	13.7600002289	0.0	4.0	5.0	1.0	6.44356012344	0.0	398.144195557	1.0	1.0	1
1.0	1.0	-11.6710996628	79.1034011841	8.22336006165	-5.40471982956	98.4796981812	4.76671981812	-10.3684997559	87.0680007935	4.66134977341	1.0	-0.824453651905	0.344030857086	0.449353814125	-0.276526898146	-0.947033703327	0.163278952241	253.949005127	12.220000267	0.0	1.0	1.0	0.0	0.0	0.0	98.8769989014	1.0	1.0	1
1.0	1.0	-37.6833000183	105.339996338	5.91631984711	-1.74032998085	84.2584991455	-25.4221000671	-18.9022121429	94.6432037354	0.696567595005	1.0	-0.404285341501	0.884458482265	0.232994943857	-0.260553091764	-0.700090527534	0.664819777012	894.343322754	13.7600002289	0.0	3.0	7.0	5.0	9.51642990112	0.0	543.163757324	1.0	1.0	1
1.0	1.0	-26.6856994629	107.124000549	10.5437002182	-9.90357971191	103.747001648	-9.9032497406	-19.6476097107	100.420654297	2.15490317345	1.0	-0.48364174366	0.677287101746	-0.554412186146	-0.701063454151	0.179667785764	0.690093815327	192.30279541	15.5799999237	0.0	1.0	1.0	0.0	0.0	1.0	84.375	-1.0	0.0	1
1.0	1.0	-33.738899231	101.623001099	-9.42872047424	-17.4894008636	103.518997192	-16.0282993317	-23.6750221252	102.271453857	-7.20568943024	1.0	-0.901171803474	-0.120782107115	0.416294395924	0.486362427473	0.359479784966	0.796382963657	90.3988952637	9.26000022888	0.0	1.0	2.0	1.0	4.54988002777	0.0	64.335899353	1.0	1.0	1
1.0	1.0	-26.6856994629	107.124000549	10.5437002182	-3.66195988655	82.5634002686	-16.0310993195	-15.6356258392	95.0904693604	3.15742826462	1.0	-0.565566062927	0.798432350159	-0.206496492028	-0.366150707006	0.149744093418	0.918428122997	542.39276123	15.9799995422	0.0	2.0	4.0	2.0	8.48735046387	3.0	237.304595947	1.0	1.0	1
1.0	1.0	-18.5860996246	94.1698989868	18.0732002258	-17.4894008636	103.518997192	-16.0282993317	-20.4256000519	100.333869934	1.08935630322	1.0	-0.771620988846	0.598723590374	-0.214781299233	-0.392118096352	0.125216707587	0.911352932453	333.653808594	15.5799999237	0.0	1.0	4.0	4.0	7.78646993637	1.0	181.406204224	1.0	1.0	1
1.0	1.0	-12.942899704	101.892997742	3.12174010277	-17.4894008636	103.518997192	-16.0282993317	-17.1654586792	100.520088196	-6.28811311722	1.0	-0.865156531334	0.43540045619	-0.248858451843	-0.14889061451	0.057219427079	0.987196803093	101.904205322	15.5799999237	0.0	1.0	2.0	1.0	6.760409832	0.0	63.2812995911	1.0	1.0	1
1.0	1.0	-28.8101005554	99.0423965454	22.8230991364	-17.4894008636	103.518997192	-16.0282993317	-28.5730342865	98.7423706055	2.32053351402	1.0	0.104360856116	0.942838907242	-0.316486239433	-0.10455365479	0.209210604429	0.972265064716	460.211914062	15.5200004578	0.0	1.0	4.0	4.0	10.9329996109	0.0	202.499893188	1.0	1.0	1
1.0	1.0	-5.9242401123	93.2670974731	13.0297002792	-38.1380996704	97.2375030518	-14.9597997665	-25.031042099	96.751411438	2.98851275444	1.0	-0.192307114601	0.87522405386	0.443847805262	0.267885178328	-0.160224765539	0.950034499168	547.323974609	15.9799995422	0.0	2.0	5.0	3.0	4.6875	0.0	245.742095947	1.0	1.0	1
1.0	1.0	-28.8101005554	99.0423965454	22.8230991364	-17.4894008636	103.518997192	-16.0282993317	-27.0473232269	98.4501113892	2.28640842438	1.0	0.0474458411336	0.908604502678	-0.414954036474	-0.221052765846	0.134570240974	0.965932965279	471.717193604	15.5799999237	0.0	1.0	3.0	2.0	10.9329996109	1.0	201.445297241	1.0	1.0	1
1.0	1.0	-5.9242401123	93.2670974731	13.0297002792	-38.1380996704	97.2375030518	-14.9597997665	-23.6313476562	97.705406189	2.77177381516	1.0	-0.350807279348	0.932851672173	0.0819876790047	0.0115349795669	-0.0790183097124	0.996806442738	739.626831055	15.9799995422	0.0	1.0	5.0	6.0	10.9329996109	3.0	330.117095947	1.0	1.0	1
1.0	1.0	-16.1317005157	95.9800033569	15.0001001358	-9.45048999786	106.621002197	-1.20992994308	-14.7140169144	101.13054657	4.53814506531	1.0	-0.431514769793	0.808139562607	0.400880843401	-0.498384028673	-0.465076059103	0.731654047966	109.432098389	11.1199998856	0.0	1.0	1.0	0.0	0.0	0.0	57.0409698486	-1.0	0.0	1
1.0	1.0	-37.5950012207	101.569999695	-4.97989988327	-0.833060979843	88.3695983887	-2.60550999641	-17.9140834808	94.1851043701	3.27556657791	1.0	-0.131354391575	0.895712375641	-0.424788534641	-0.560503363609	0.476411044598	0.677398264408	408.199493408	17.9200000763	0.0	3.0	4.0	1.0	8.03139019012	2.0	135.351593018	1.0	1.0	1
1.0	1.0	-29.1781997681	78.8839035034	17.0435009003	0.43094599247	90.3581008911	-15.6399002075	-16.9137039185	92.3355102539	2.40529584885	1.0	-0.377390742302	0.903236985207	-0.204301685095	-0.912010252476	0.109345965087	0.395323723555	1016.15600586	17.9799995422	0.0	2.0	5.0	4.0	10.3290996552	3.0	333.54498291	1.0	1.0	1
1.0	1.0	-29.1781997681	78.8839035034	17.0435009003	0.43094599247	90.3581008911	-15.6399002075	-17.5767326355	92.6724319458	2.30420637131	1.0	-0.395533978939	0.901369571686	-0.176311612129	-0.886115789413	0.115950398147	0.448725193739	1054.37036133	17.9799995422	0.0	1.0	6.0	8.0	14.6878995895	2.0	370.283203125	1.0	1.0	1
1.0	1.0	-28.6566009521	95.2651977539	19.0678005219	0.43094599247	90.3581008911	-15.6399002075	-14.0551233292	97.2345275879	-5.17011928558	1.0	-0.177763581276	0.475258052349	-0.861701726913	-0.593275904655	0.786439955235	0.171860054135	246.656997681	11.3999996185	0.0	2.0	3.0	1.0	10.6690998077	1.0	108.28137207	1.0	1.0	1
1.0	1.0	-9.40534973145	103.885002136	2.19853997231	-9.45048999786	106.621002197	-1.20992994308	-11.6803998947	105.384002686	-0.991257071495	1.0	-0.340085983276	0.651036918163	0.67859596014	0.0	0.0	0.0	17.3701992035	6.63999986649	0.0	1.0	1.0	0.0	0.0	0.0	8.70116996765	0.430336417764	1.0	1
1.0	1.0	-16.1317005157	95.9800033569	15.0001001358	-26.1637001038	105.0	-18.0888004303	-16.3544406891	102.035758972	1.5236530304	1.0	-0.583694219589	0.663252353668	0.468398720026	-0.350483596325	-0.320090591908	0.880172252655	137.224395752	11.1199998856	0.0	1.0	2.0	1.0	10.3290996552	0.0	90.8788757324	1.0	1.0	1
1.0	1.0	-29.1781997681	78.8839035034	17.0435009003	0.43094599247	90.3581008911	-15.6399002075	-15.9474868774	93.4976959229	2.31894397736	1.0	-0.333845019341	0.928148806095	-0.164581730962	-0.901146352291	0.123614989221	0.415517389774	970.993530273	17.9799995422	0.0	1.0	5.0	7.0	14.6878995895	3.0	350.947265625	1.0	1.0	1
1.0	1.0	-22.9916992188	100.068000793	29.882900238	-9.46382045746	108.778999329	1.41277003288	-18.6913986206	101.094718933	14.4607057571	1.0	-0.406646728516	0.913265824318	-0.0241651386023	-0.467785209417	-0.200518324971	0.860795795918	267.222412109	15.8199996948	0.0	1.0	1.0	0.0	0.0	0.0	136.855804443	-1.0	0.0	1
1.0	1.0	-31.0580997467	84.3766021729	28.4009990692	-2.63181996346	84.9523010254	-10.1333999634	-11.3578042984	91.2787322998	3.42135763168	1.0	-0.00740952976048	0.897421777248	-0.441111445427	-0.374299287796	0.520139992237	0.767694234848	230.695800781	11.6199998856	0.0	2.0	2.0	0.0	30.0	0.0	115.800796509	1.0	1.0	1
1.0	1.0	-12.4095001221	102.863998413	10.1295995712	-9.46382045746	108.778999329	1.41277003288	-13.1644001007	103.727996826	5.22039985657	1.0	-0.557125031948	0.695360064507	0.453967064619	-0.105527974665	-0.637850821018	0.762895822525	34.6044006348	9.38000011444	0.0	1.0	1.0	0.0	0.0	0.0	35.529800415	0.82204433463	1.0	1
1.0	1.0	-31.0580997467	84.3766021729	28.4009990692	-5.42078018188	101.580001831	-22.029800415	-14.3132181168	94.8206481934	0.669064939022	1.0	-0.496462792158	0.772049605846	-0.39681750536	-0.678966164589	0.442378640175	0.58592325449	665.172607422	16.4799995422	0.0	4.0	6.0	2.0	13.9289999008	2.0	380.300231934	1.0	1.0	1
1.0	1.0	-12.4095001221	102.863998413	10.1295995712	-9.46382045746	108.778999329	1.41277003288	-13.1644001007	103.727996826	5.22039985657	1.0	-0.557125031948	0.695360064507	0.453967064619	-0.105527974665	-0.637850821018	0.762895822525	34.6044006348	9.38000011444	0.0	1.0	1.0	0.0	0.0	0.0	35.529800415	0.82204433463	1.0	1
1.0	1.0	-24.6823005676	86.1507034302	25.6368999481	-5.42078018188	101.580001831	-22.029800415	-14.4288425446	96.2198638916	3.40050935745	1.0	-0.336361914873	0.867316067219	-0.366910666227	-0.781945705414	0.185739353299	0.595031023026	622.878295898	15.5	0.0	2.0	4.0	2.0	13.9289999008	1.0	344.770507812	1.0	1.0	1
1.0	1.0	-12.4095001221	102.863998413	10.1295995712	-5.42078018188	101.580001831	-22.029800415	-14.6283807755	102.70401001	-4.1287727356	1.0	-0.79252821207	0.320075333118	-0.51908659935	-0.89307564497	0.123707637191	0.432564795017	265.300079346	10.3999996185	0.0	1.0	2.0	1.0	10.3927001953	0.0	190.807998657	1.0	1.0	1
1.0	1.0	-24.6823005676	86.1507034302	25.6368999481	-5.42078018188	101.580001831	-22.029800415	-14.4288425446	96.2198638916	3.40050935745	1.0	-0.336361914873	0.867316067219	-0.366910666227	-0.781945705414	0.185739353299	0.595031023026	622.878295898	15.5	0.0	2.0	4.0	2.0	13.9289999008	1.0	344.770507812	1.0	1.0	1
1.0	1.0	-10.0422000885	109.872001648	12.8287000656	6.30649995804	105.597000122	11.657500267	-3.67068004608	105.776000977	10.8002004623	1.0	0.178228974342	0.463955909014	-0.867743849754	-0.964450716972	0.247952923179	0.091401271522	56.7667007446	7.46000003815	0.0	1.0	1.0	0.0	0.0	0.0	47.460899353	-1.0	0.0	1
