valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-14.6738996506	-7.68373012543	17.8649997711	-16.9568996429	-69.3771972656	10.4764003754	-14.6032266617	-35.1726608276	15.3624944687	1.0	-0.796943187714	-0.0840345844626	0.598180472851	0.0751669183373	0.996234416962	0.0432079136372	474.775024414	12.1999998093	0.0	1.0	1.0	0.0	0.0	0.0	300.585510254	-1.0	0.0	1
1.0	1.0	-17.5499992371	4.4981098175	23.0454006195	-13.8486995697	-47.7969017029	19.3640003204	-20.505815506	-18.9592323303	18.2236747742	1.0	-0.783839643002	0.0128870755434	0.620829582214	0.0908485502005	0.944644451141	0.315267056227	353.321105957	15.5600004196	0.0	3.0	3.0	0.0	30.0	0.0	117.333999634	1.0	1.0	1
1.0	1.0	-14.6738996506	-7.68373012543	17.8649997711	-16.9568996429	-69.3771972656	10.4764003754	-14.2311258316	-35.5700263977	14.6014518738	1.0	-0.707239031792	-0.165187731385	0.687405288219	0.0761571973562	0.995709776878	0.0525556765497	295.906005859	12.1999998093	0.0	2.0	2.0	0.0	30.0	0.0	216.210494995	1.0	1.0	1
1.0	1.0	-14.6738996506	-7.68373012543	17.8649997711	-16.9568996429	-69.3771972656	10.4764003754	-14.2311258316	-35.5700263977	14.6014518738	1.0	-0.707239031792	-0.165187731385	0.687405288219	0.0761571973562	0.995709776878	0.0525556765497	295.906005859	12.1999998093	0.0	2.0	2.0	0.0	30.0	0.0	216.210494995	1.0	1.0	1
1.0	1.0	-14.6738996506	-7.68373012543	17.8649997711	-13.8486995697	-47.7969017029	19.3640003204	-15.163225174	-25.8224716187	15.7426767349	1.0	-0.891381621361	-0.0599091611803	0.449276775122	0.0197893492877	0.996346890926	-0.0830733925104	337.863006592	12.1999998093	0.0	1.0	1.0	0.0	0.0	0.0	141.064498901	0.982806720785	1.0	1
1.0	1.0	-12.9207000732	-22.6846008301	22.2439002991	-16.9568996429	-69.3771972656	10.4764003754	-14.3527507782	-44.8043441772	15.6688671112	1.0	-0.749507427216	-0.0314349867404	0.661249101162	0.132426559925	0.976516783237	0.169935628772	315.781005859	11.6999998093	0.0	1.0	1.0	0.0	0.0	0.0	243.895996094	0.661215331913	1.0	1
1.0	1.0	-12.9207000732	-22.6846008301	22.2439002991	-16.9568996429	-69.3771972656	10.4764003754	-14.3527507782	-44.8043441772	15.6688671112	1.0	-0.749507427216	-0.0314349867404	0.661249101162	0.132426559925	0.976516783237	0.169935628772	315.781005859	11.6999998093	0.0	1.0	1.0	0.0	0.0	0.0	243.895996094	0.661215331913	1.0	1
1.0	1.0	-15.9351997375	-9.2853603363	16.0433006287	-5.69547986984	-60.6230010986	17.5965003967	-12.2223758698	-34.480506897	12.8804750443	1.0	-0.991135239601	0.0509955883026	0.122680202127	0.00606944365427	0.998195409775	0.059741999954	465.143127441	13.220000267	0.0	1.0	1.0	0.0	0.0	3.0	220.429290771	-1.0	0.0	1
1.0	1.0	-20.9925003052	-0.243194997311	11.9600000381	-1.24927997589	-52.7393989563	4.01116991043	-22.2059555054	-11.2131004333	13.373916626	1.0	-0.677374839783	-0.0704646706581	0.732255518436	0.456583738327	0.843607723713	-0.282590448856	371.457397461	22.8799991608	0.0	3.0	3.0	0.0	30.0	1.0	203.554595947	1.0	1.0	1
1.0	1.0	-15.9351997375	-9.2853603363	16.0433006287	-5.69547986984	-60.6230010986	17.5965003967	-12.249912262	-33.1740036011	12.9559955597	1.0	-0.991509318352	-0.0177332255989	0.128821134567	-0.048365239054	0.998820722103	0.00425033969805	422.409118652	13.220000267	0.0	2.0	2.0	0.0	30.0	0.0	195.116790771	1.0	1.0	1
