valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-2.16476011276	75.6474990845	-36.5987014771	-14.1757001877	65.616897583	-78.1209030151	-7.07329940796	61.2543640137	-55.6251144409	1.0	-0.196768254042	-0.934824764729	-0.295609682798	0.147077977657	-0.313629120588	0.93808567524	560.895690918	10.4600000381	0.0	1.0	2.0	1.0	4.69124984741	1.0	291.357849121	-1.0	0.0	1
1.0	1.0	-5.83710002899	57.7033004761	-4.46257019043	-14.1757001877	65.616897583	-78.1209030151	-16.9694252014	63.2858352661	-46.9579544067	1.0	0.0637009441853	-0.669576644897	-0.74000620842	-0.308617204428	-0.497664093971	0.810608386993	2773.56518555	25.8199996948	0.0	4.0	9.0	5.0	10.3107995987	2.0	878.027587891	1.0	1.0	1
1.0	1.0	-5.83710002899	57.7033004761	-4.46257019043	-14.1757001877	65.616897583	-78.1209030151	-19.3145065308	71.617401123	-40.6841926575	1.0	0.0439644865692	-0.764559209347	-0.643052279949	-0.0198300294578	-0.399609774351	0.916470885277	4507.046875	34.1399993896	0.0	5.0	7.0	3.0	10.3107995987	7.0	1121.92370605	1.0	1.0	1
1.0	1.0	-2.32556009293	64.7937011719	-14.8003997803	-14.1757001877	65.616897583	-78.1209030151	-10.7886343002	65.5099563599	-38.0638313293	1.0	-0.0373770780861	-0.762097656727	-0.646382391453	0.0863135233521	-0.618901431561	0.780711829662	1753.35266113	26.2399997711	0.0	1.0	3.0	2.0	4.69124984741	2.0	481.201293945	1.0	1.0	1
1.0	1.0	-3.45391988754	40.4518013	-39.5377006531	-14.1757001877	65.616897583	-78.1209030151	-7.72753143311	56.2888298035	-50.0566596985	1.0	-0.262164026499	-0.781476557255	-0.566184103489	0.0880183577538	-0.61943334341	0.780099332333	808.219726562	14.9799995422	0.0	1.0	3.0	2.0	4.69124984741	1.0	344.092285156	1.0	1.0	1
1.0	1.0	-1.89060997963	53.4598999023	-41.8152008057	-14.1757001877	65.616897583	-78.1209030151	-7.40816259384	58.5081748962	-58.9349365234	1.0	-0.168810963631	-0.935499489307	-0.310392379761	0.214360028505	-0.323960453272	0.921465873718	443.858703613	10.4600000381	0.0	2.0	3.0	1.0	4.69124984741	0.0	200.391067505	1.0	1.0	1
1.0	1.0	-2.98992991447	53.007900238	-38.0978012085	-44.4241981506	61.7384986877	-60.6604003906	-20.0459880829	60.6471633911	-57.0005760193	1.0	0.0854550823569	-0.862733960152	-0.498384803534	-0.676011025906	-0.518538236618	0.52357172966	1402.24047852	25.8199996948	0.0	2.0	4.0	2.0	10.3107995987	1.0	357.275787354	1.0	1.0	1
1.0	1.0	-2.98992991447	53.007900238	-38.0978012085	-14.7687997818	76.739402771	-65.551902771	-10.8040618896	58.7014656067	-45.1538658142	1.0	0.168335080147	-0.772659897804	-0.612094759941	0.24296861887	-0.178284674883	0.953509747982	121.453994751	15.0600004196	0.0	2.0	2.0	0.0	30.0	0.0	46.1426010132	1.0	1.0	1
1.0	1.0	-2.27077007294	54.7929000854	-41.9077987671	-2.00130009651	76.462097168	-51.373500824	-4.50866222382	62.7824554443	-44.6238937378	1.0	0.154227927327	-0.494867414236	-0.855172514915	-0.0432776883245	-0.840066313744	0.540754616261	187.372802734	9.97999954224	0.0	1.0	1.0	0.0	0.0	0.0	145.546798706	-1.0	0.0	1
1.0	1.0	-0.237228006124	27.502199173	-37.5093002319	-15.5906000137	96.7074966431	-35.4165992737	-14.0117387772	68.2869949341	-47.1710319519	1.0	0.190112516284	-0.644798874855	-0.740332007408	0.232701137662	-0.367417514324	0.900474607944	1425.01647949	24.7000007629	0.0	5.0	8.0	3.0	8.7316198349	3.0	508.359313965	1.0	1.0	1
1.0	1.0	-0.237228006124	27.502199173	-37.5093002319	-15.5906000137	96.7074966431	-35.4165992737	-13.0232257843	66.4753417969	-40.3205108643	1.0	0.131861269474	-0.718133866787	-0.683298051357	0.0155222276226	-0.549969434738	0.835040569305	2698.82006836	31.8199996948	0.0	3.0	10.0	8.0	11.6325998306	1.0	805.780700684	1.0	1.0	1
1.0	1.0	-0.237228006124	27.502199173	-37.5093002319	-32.6954994202	88.9346008301	-38.3428001404	-13.5359125137	70.0833129883	-42.3111343384	1.0	0.286517947912	-0.751270949841	-0.594558000565	0.266004234552	-0.388577848673	0.882184207439	2531.17114258	31.8199996948	0.0	2.0	8.0	6.0	14.0399999619	5.0	751.991638184	1.0	1.0	1
1.0	1.0	-1.14901995659	58.0343017578	-39.3058013916	-2.00130009651	76.462097168	-51.373500824	-3.71527004242	66.0967025757	-42.8103981018	1.0	-0.25852894783	-0.429649919271	-0.865195810795	-0.0335329025984	-0.879080116749	0.475493043661	73.9627990723	8.27999973297	0.0	1.0	1.0	0.0	0.0	0.0	80.1561965942	0.513189504839	1.0	1
1.0	1.0	-1.27750003338	64.4957962036	-11.1372003555	-3.50529003143	74.1760025024	-67.0774002075	-10.3342466354	68.379524231	-37.4346961975	1.0	0.371927917004	-0.752857267857	-0.543024480343	0.214498013258	-0.332043230534	0.918552100658	1523.63439941	25.8999996185	0.0	1.0	3.0	2.0	8.7316198349	1.0	439.804168701	1.0	1.0	1
