valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-37.6332015991	34.3725013733	-68.7080001831	-11.3152999878	51.8569984436	-79.4067001343	-28.0193977356	40.7935371399	-66.4292602539	1.0	0.577344357967	-0.815857052803	0.0324155017734	-0.827530920506	-0.154309749603	0.539797246456	441.650604248	18.5200004578	0.0	1.0	1.0	0.0	0.0	0.0	154.247695923	-1.0	0.0	1
1.0	1.0	-15.538599968	28.2467002869	-80.6821975708	-2.59712004662	66.2474975586	-45.827999115	-23.4318828583	41.1756057739	-66.6333084106	1.0	0.388152778149	-0.920515477657	0.0445954352617	-0.787152171135	-0.0627785921097	0.613555550575	664.683959961	18.5200004578	0.0	2.0	3.0	1.0	4.03886985779	0.0	274.218383789	1.0	1.0	1
1.0	1.0	-52.7864990234	75.3074035645	-48.3880996704	-15.538599968	28.2467002869	-80.6821975708	-26.9982681274	51.8251457214	-60.8419570923	1.0	0.150945305824	-0.934105396271	-0.323516070843	-0.842144489288	-0.289611577988	0.454882234335	2676.40136719	25.8199996948	0.0	2.0	9.0	10.0	10.7285003662	1.0	862.206970215	1.0	1.0	1
1.0	1.0	-52.7864990234	75.3074035645	-48.3880996704	-15.538599968	28.2467002869	-80.6821975708	-27.5131397247	53.6740608215	-59.8905296326	1.0	0.0562170557678	-0.919321119785	-0.389471888542	-0.861748278141	-0.315168052912	0.397566229105	2161.87866211	25.8199996948	0.0	2.0	8.0	7.0	10.3107995987	0.0	639.404602051	1.0	1.0	1
1.0	1.0	-43.6043014526	55.0705986023	-66.7619018555	-15.538599968	28.2467002869	-80.6821975708	-26.2112617493	38.8116836548	-67.9585952759	1.0	0.400288999081	-0.909377992153	0.113138481975	-0.845214486122	0.00962223671377	0.534340620041	616.102416992	18.5200004578	0.0	1.0	3.0	2.0	6.92481994629	0.0	245.214508057	1.0	1.0	1
1.0	1.0	-1.89060997963	53.4598999023	-41.8152008057	-14.1757001877	65.616897583	-78.1209030151	-7.73070001602	56.9986000061	-60.7650985718	1.0	-0.2082529217	-0.940633654594	-0.268027901649	0.228288993239	-0.331173986197	0.915536999702	351.111999512	10.4600000381	0.0	1.0	1.0	0.0	0.0	0.0	130.518005371	0.999278976909	1.0	1
1.0	1.0	-45.9031982422	23.1753997803	-70.2557983398	-11.3152999878	51.8569984436	-79.4067001343	-30.1622848511	35.6984939575	-65.8306350708	1.0	0.495635479689	-0.857937216759	-0.135237440467	-0.854300439358	-0.306481510401	0.419809192419	722.098571777	18.5200004578	0.0	1.0	2.0	1.0	2.57769989967	0.0	243.896102905	1.0	1.0	1
1.0	1.0	-45.9031982422	23.1753997803	-70.2557983398	-1.89060997963	53.4598999023	-41.8152008057	-19.0006332397	44.2308120728	-63.576335907	1.0	0.065810829401	-0.941111624241	-0.331628918648	-0.366864323616	-0.556373298168	0.745559632778	680.141601562	16.2999992371	0.0	2.0	3.0	1.0	10.7285003662	0.0	274.219116211	1.0	1.0	1
1.0	1.0	-43.6043014526	55.0705986023	-66.7619018555	-11.3152999878	51.8569984436	-79.4067001343	-24.4372673035	48.0810012817	-72.8693084717	1.0	0.109012581408	-0.993601918221	0.0295215863734	-0.907331883907	-0.123720392585	0.401798725128	72.8723983765	8.22000026703	0.0	2.0	2.0	0.0	30.0	0.0	93.6035003662	1.0	1.0	1
1.0	1.0	-45.9031982422	23.1753997803	-70.2557983398	-1.89060997963	53.4598999023	-41.8152008057	-23.513792038	42.3397293091	-64.34400177	1.0	-0.0841309502721	-0.985277891159	-0.148826807737	-0.689718127251	-0.173175528646	0.703064143658	1055.54418945	19.0200004578	0.0	1.0	5.0	4.0	6.73175001144	0.0	433.740631104	1.0	1.0	1
