valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	733.141235352	1.0	1.0	404.109985352	1.0	1.0	22.4120998383	0.0	-0.0334177352488	-0.984702050686	0.171011954546	0.0	5.00441566036	-55.7021484375	-22.2621498108	6.57334518433	0.0583775192499	1.0	2.25999999046	3.95508003235	0.0	2.25999999046	-1.0	0.0	1
1.0	2753.69262695	10.0	3.0	984.881347656	3.0	2.0	38.232460022	0.0	-0.999348282814	0.0346072986722	0.010257827118	26.7578067974	3.54111271434	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	17.0	2.94000005722	392.870940804	2.0	11.4799995422	0.972462381807	1.0	1
1.0	2210.46240234	7.0	2.0	1203.49780273	3.0	2.0	102.83212018	0.0	-0.999348282814	0.0346072986722	0.010257827118	32.5073384143	3.54111271434	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	10.0	2.25999999046	171.386781693	0.0	18.0400009155	0.742402608762	1.0	1
1.0	3073.89013672	8.0	2.0	1088.66870117	2.0	2.0	106.787200212	0.0	-0.999348282814	0.0346072986722	0.010257827118	26.7578067974	3.54111271434	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	19.0	2.25999999046	424.511721849	0.0	19.9200000763	0.99991664044	1.0	1
1.0	545.439086914	3.0	1.0	596.227966309	1.0	1.0	22.4120998383	0.0	-0.0334177352488	-0.984702050686	0.171011954546	12.7760360268	5.00441566036	-55.7021484375	-22.2621498108	6.57334518433	0.0583775192499	2.0	2.25999999046	46.1425800323	0.0	14.5399999619	0.0789369317724	1.0	1
1.0	1726.85534668	5.0	3.0	1013.58843994	2.0	2.0	88.3301804066	0.0	-0.999348282814	0.0346072986722	0.010257827118	26.7578067974	3.54111271434	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	18.0	2.70000004768	378.369123459	0.0	22.1200008392	0.984488943575	1.0	1
1.0	1510.44592285	5.0	3.0	832.511169434	2.0	2.0	30.3222999573	0.0	-0.999348282814	0.0346072986722	0.010257827118	26.7578067974	3.54111271434	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	12.0	2.94000005722	232.031241059	1.0	11.4799995422	0.992051442562	1.0	1
1.0	1430.94897461	4.0	1.0	1093.08520508	1.0	1.0	32.9589996338	0.0	-0.0334177352488	-0.984702050686	0.171011954546	31.9423060076	13.44042653	-55.7021484375	-22.2621498108	6.57334518433	0.0583775192499	12.0	2.25999999046	297.949239016	0.0	19.7800006866	0.979052256023	1.0	1
1.0	376.388305664	1.0	1.0	238.324005127	1.0	1.0	23.2031002045	1.65585624765	0.378982365131	-0.401311486959	-0.83385938406	6.31673719758	3.80453697706	-54.7039985657	-23.8822002411	1.20879149437	0.448508679867	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1755.3840332	8.0	2.0	731.408630371	5.0	3.0	102.304658413	0.0	-0.998023927212	0.0332707352936	-0.0533036589622	2.07935967731	27.4912983392	-52.0485496521	-21.9200515747	-4.63397979736	0.299984812737	8.0	5.76000022888	185.625020027	3.0	10.9200000763	0.976688592354	1.0	1
1.0	1768.53173828	10.0	4.0	1452.95690918	4.0	1.0	42.1875	0.0	-0.0461898446083	-0.993750870228	0.101615972817	17.5180867054	13.4310315554	-47.9908981323	-25.2889003754	11.7889003754	0.515667378902	4.0	8.02000045776	84.3749881983	0.0	22.7000007629	0.950836356813	1.0	1
1.0	2547.60717773	9.0	2.0	1400.36132812	4.0	1.0	5.27343988419	0.0	-0.0461942739785	-0.993748605251	0.101635321975	5.52062312272	9.42465933025	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	17.0	4.5	494.648400307	6.0	10.9200000763	0.986881695473	1.0	1
1.0	443.776611328	2.0	1.0	238.324005127	1.0	1.0	23.2031002045	1.65585624765	0.378982365131	-0.401311486959	-0.83385938406	12.0874095136	3.80453697706	-54.7039985657	-23.8822002411	1.20879149437	0.448508679867	0.0	0.0	0.0	0.0	0.0	0.0158189808662	1.0	1
1.0	1374.06323242	5.0	3.0	424.05291748	3.0	3.0	147.656189442	0.0	0.0461943224072	0.993749678135	-0.101624883711	30.4273877902	6.63642157865	-36.7483978271	-19.1056499481	17.4737014771	0.0558350980282	11.0	5.17999982834	260.507853031	6.0	10.9200000763	0.982597458716	1.0	1
1.0	1895.0904541	3.0	1.0	613.068359375	2.0	1.0	45.3515405655	0.0	0.998023927212	-0.0332707352936	0.0533036589622	5.81490579675	2.07935967731	-52.0485496521	-21.9200515747	-4.63397979736	0.299984812737	10.0	5.07999992371	203.554753065	4.0	6.96000003815	0.953781528223	1.0	1
1.0	1684.7064209	3.0	2.0	941.792724609	3.0	3.0	138.16393137	0.0	-0.0461898446083	-0.993750870228	0.101615972817	17.3298904717	1.82330848479	-47.9908981323	-25.2889003754	11.7889003754	0.515667378902	14.0	4.5	395.507791042	8.0	14.279999733	0.99457002546	1.0	1
