valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	733.141235352	1.0	1.0	474.775024414	1.0	1.0	35.5956993103	2.3590909269	0.478997826576	-0.768363833427	-0.424473851919	13.0999499371	3.0572090376	-17.4169006348	-6.99022006989	21.410900116	0.822883188725	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3884.31835938	7.0	2.0	649.227111816	3.0	3.0	89.6483985186	0.0	-0.0334193482995	-0.984705090523	0.170993894339	10.3338180756	3.04666559527	-16.5139503479	2.53018498421	21.558599472	0.779589653015	8.0	7.28000020981	280.810503006	10.0	15.5600004196	0.999019512641	1.0	1
1.0	942.924133301	4.0	3.0	419.569030762	2.0	2.0	39.5508003235	0.0	-0.0334178842604	-0.984706521034	0.170986399055	26.7617674997	21.6940922021	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	2.0	10.0200004578	36.9140014648	2.0	13.9399995804	0.899572494274	1.0	1
1.0	2850.85571289	7.0	2.0	649.227111816	3.0	3.0	84.3749586344	0.0	0.0334189645946	0.984689950943	-0.171081736684	12.269779974	3.04881451816	-18.7917499542	1.52059698105	21.7705497742	0.258772611618	7.0	7.28000020981	203.027299881	9.0	15.5600004196	0.999129165964	1.0	1
1.0	892.135192871	2.0	1.0	315.781005859	1.0	1.0	39.5508003235	0.0	-0.0334178842604	-0.984706521034	0.170986399055	29.280124378	3.56769744797	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	1.0	10.0200004578	18.4570007324	0.0	10.0200004578	0.0197729275962	1.0	1
1.0	1779.85339355	3.0	2.0	545.439147949	2.0	2.0	89.6483985186	0.0	-0.0334193482995	-0.984705090523	0.170993894339	21.7964570692	3.04666559527	-16.5139503479	2.53018498421	21.558599472	0.779589653015	3.0	7.28000020981	162.158202171	3.0	15.2600002289	0.967818269808	1.0	1
1.0	1486.15551758	2.0	2.0	474.775024414	1.0	1.0	83.0565986633	2.3590909269	0.478997826576	-0.768363833427	-0.424473851919	22.001352442	3.0572090376	-17.4169006348	-6.99022006989	21.410900116	0.822883188725	0.0	0.0	0.0	0.0	0.0	0.615983216995	1.0	1
1.0	2574.82397461	4.0	3.0	419.569030762	2.0	2.0	75.1464996338	0.0	-0.0334178842604	-0.984706521034	0.170986399055	35.9689383547	21.6940922021	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	3.0	10.0200004578	59.3261013031	4.0	14.6199998856	0.998272264124	1.0	1
1.0	357.737426758	3.0	0.0	103.788002014	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.407578277838	1.0	1
1.0	1976.38684082	5.0	2.0	315.781005859	1.0	1.0	75.1464996338	0.0	-0.0334178842604	-0.984706521034	0.170986399055	35.9689383547	3.56769744797	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	1.0	10.0200004578	18.4570007324	0.0	10.0200004578	0.968233061914	1.0	1
1.0	376.388305664	1.0	1.0	465.143127441	1.0	1.0	15.8203001022	2.29481590513	0.558427095413	-0.738105714321	-0.378628045321	4.44362443406	1.77281648627	-17.7196502686	-7.97261047363	18.7019500732	0.603509426117	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2943.71826172	7.0	1.0	570.334411621	4.0	2.0	18.9843701124	0.0	-0.0461906827986	-0.993750154972	0.101621940732	14.4117773214	4.22552759612	-21.2541007996	-2.52564001083	15.0706996918	0.038646787405	3.0	12.9799995422	150.820416927	3.0	13.5600004196	0.991556573737	1.0	1
1.0	854.680603027	8.0	3.0	287.632995605	1.0	1.0	34.8046998978	0.0	0.0461898520589	0.993750989437	-0.101615048945	30.7279291108	0.0	-32.1330032349	-15.0881004333	18.7265014648	0.937566936016	1.0	13.1999998093	7.38281011581	2.0	13.1999998093	0.362436572256	1.0	1
1.0	2802.36767578	6.0	2.0	548.967529297	3.0	1.0	68.5547018051	2.29481590513	0.558427095413	-0.738105714321	-0.378628045321	25.6582339748	1.77281648627	-17.7196502686	-7.97261047363	18.7019500732	0.603509426117	0.0	0.0	0.0	0.0	0.0	0.969127207412	1.0	1
1.0	2444.05737305	6.0	1.0	506.233520508	4.0	1.0	52.7344017029	2.47297596484	0.899263203144	0.00281830038875	0.437398761511	30.1148173111	7.72640747285	-19.7109489441	-16.1283493042	18.0130500793	0.73866724968	0.0	0.0	0.0	0.0	0.0	0.990621792951	1.0	1
1.0	1171.89880371	2.0	1.0	624.573791504	3.0	2.0	20.0390601158	0.0	-0.0461900047958	-0.993750333786	0.101620450616	29.7881660877	1.01751404193	-21.0159988403	-0.748772501945	12.0116996765	0.2681838274	4.0	6.23999977112	190.898607254	4.0	13.9399995804	0.973308644348	1.0	1
1.0	2425.9777832	4.0	1.0	677.169494629	4.0	2.0	20.0390601158	0.0	-0.0461900047958	-0.993750333786	0.101620450616	15.328383324	1.01751404193	-21.0159988403	-0.748772501945	12.0116996765	0.2681838274	4.0	6.23999977112	190.898607254	4.0	13.9399995804	0.988432192973	1.0	1
1.0	2253.39819336	6.0	1.0	212.026397705	3.0	1.0	3.16407001019	0.0	-0.0461900047958	-0.993750333786	0.101620450616	15.328383324	1.01751404193	-21.0159988403	-0.748772501945	12.0116996765	0.2681838274	3.0	6.23999977112	119.179803848	3.0	13.9399995804	0.969446152558	1.0	1
1.0	254.7605896	3.0	2.0	361.595825195	3.0	1.0	44.2968702316	0.0	-0.046190045774	-0.993750333786	0.101619593799	13.925275565	5.57349500656	-21.2322006226	-0.380623012781	16.2900009155	0.716154396534	1.0	8.85999965668	25.3125	2.0	9.38000011444	0.334642430544	1.0	1
1.0	1595.95129395	4.0	1.0	180.797698975	2.0	1.0	4.21876001358	0.0	-0.0461900047958	-0.993750333786	0.101620450616	15.328383324	1.01751404193	-21.0159988403	-0.748772501945	12.0116996765	0.2681838274	4.0	6.23999977112	190.898607254	4.0	13.9399995804	0.99396787054	1.0	1
1.0	1057.84301758	1.0	1.0	229.286102295	1.0	1.0	28.0370697975	0.0	-0.999278485775	-0.0343435630202	-0.0162199307233	21.5889889096	1.37023037846	-17.6414985657	-7.75708961487	20.9271011353	0.415208637714	2.0	4.59999990463	11.6015969515	1.0	4.59999990463	-1.0	0.0	1
