valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	733.141235352	1.0	1.0	3720.90869141	3.0	1.0	34.2773596048	0.0	0.0334189645946	0.984689950943	-0.171081736684	12.8845108606	19.1801958627	-18.7917499542	1.52059698105	21.7705497742	0.258772611618	4.0	2.94000005722	171.38667798	4.0	15.220000267	-1.0	0.0	1
1.0	2784.6081543	5.0	4.0	9563.94921875	23.0	9.0	250.48830092	0.0	-0.999347686768	0.0346251428127	0.0102586708963	3.06720481242	60.8489661349	-25.6763000488	9.05134963989	35.0640487671	0.216362506151	51.0	2.94000005722	1406.68942714	18.0	21.6800003052	0.999339697326	1.0	1
1.0	1115.16845703	9.0	7.0	5182.76904297	27.0	7.0	142.382880211	0.0	0.999346375465	-0.0346372388303	-0.010347106494	11.2206886763	46.0520945252	-23.7387008667	-0.513328492641	38.4989013672	0.566300749779	21.0	2.94000005722	622.265564442	5.0	15.5600004196	0.998820882963	1.0	1
1.0	2338.5402832	10.0	9.0	9557.32519531	22.0	6.0	548.437481999	0.0	-0.999347686768	0.0346251428127	0.0102586708963	3.06720481242	60.8489661349	-25.6763000488	9.05134963989	35.0640487671	0.216362506151	43.0	2.70000004768	1207.61729741	11.0	21.6800003052	0.985846645881	1.0	1
1.0	2477.66064453	8.0	7.0	5500.76171875	10.0	3.0	220.166142583	0.0	-0.999348282814	0.0346072986722	0.010257827118	22.7335212469	10.7633257931	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	23.0	2.94000005722	893.84754622	9.0	21.6800003052	0.971737022	1.0	1
1.0	2119.92358398	5.0	4.0	5642.08984375	10.0	4.0	254.443279743	0.0	0.0334202349186	0.984705448151	-0.170992270112	9.13931238906	59.774335558	-15.3118495941	5.45487499237	19.2220993042	0.150055199862	22.0	2.70000004768	673.681803346	7.0	21.6800003052	0.994201145213	1.0	1
1.0	1556.81860352	2.0	2.0	5626.63378906	8.0	4.0	340.13666153	0.0	0.0334202349186	0.984705448151	-0.170992270112	9.13931238906	47.826157159	-15.3118495941	5.45487499237	19.2220993042	0.524156928062	9.0	2.94000005722	255.761720419	6.0	14.4600000381	0.987583961317	1.0	1
1.0	1812.97570801	7.0	6.0	5642.08935547	13.0	8.0	353.32034266	0.0	0.0334202349186	0.984705448151	-0.170992270112	9.13931238906	48.9829769537	-15.3118495941	5.45487499237	19.2220993042	0.524156928062	30.0	2.94000005722	933.398568511	9.0	21.6800003052	0.999653855052	1.0	1
1.0	839.13659668	3.0	3.0	4178.01757812	4.0	1.0	80.4199014902	0.0	0.999345242977	-0.0346973612905	-0.0102569442242	30.4440845676	1.12113357101	-30.1844005585	-19.6100502014	23.8039512634	0.465574324131	16.0	3.57999992371	569.531319618	9.0	15.220000267	0.568968482882	1.0	1
1.0	1152.7088623	5.0	5.0	3813.65576172	14.0	5.0	79.101600647	0.0	0.999348282814	-0.0346072986722	-0.010257827118	10.7633257931	2.09473475741	-36.4612998962	-34.8486022949	12.0595493317	0.206939041615	14.0	2.94000005722	366.503882766	6.0	21.6800003052	0.986916032095	1.0	1
1.0	376.388305664	1.0	1.0	3471.31884766	2.0	1.0	22.1484104395	0.0	0.046190045774	0.993750333786	-0.101619593799	5.57349500656	40.6999443935	-21.2322006226	-0.380623012781	16.2900009155	0.463255465031	3.0	8.85999965668	102.30474329	3.0	13.5600004196	-1.0	0.0	1
1.0	1587.7355957	10.0	7.0	5266.14941406	23.0	6.0	160.312576532	0.0	0.0461925528944	0.993750035763	-0.101622864604	13.8298760809	41.7361182245	-28.9463996887	5.85212993622	38.3334999084	0.884818434715	17.0	5.17999982834	380.742071152	6.0	14.279999733	0.999140565398	1.0	1
1.0	216.957305908	1.0	0.0	3400.64331055	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.484151988354	1.0	1
1.0	1715.93554688	8.0	7.0	5869.35791016	28.0	9.0	145.546839237	0.0	-0.0461879707873	-0.993750870228	0.10161691159	0.0	48.4443291557	-17.3907012939	12.8973999023	17.978099823	0.90374314785	19.0	4.76000022888	435.585808516	4.0	14.279999733	0.999990481996	1.0	1
1.0	1444.73901367	1.0	1.0	4920.98779297	5.0	3.0	99.1406093836	0.0	0.046190045774	0.993750333786	-0.101619593799	5.57349500656	38.995835302	-21.2322006226	-0.380623012781	16.2900009155	0.463255465031	3.0	8.85999965668	102.30474329	3.0	13.5600004196	0.424784620085	1.0	1
1.0	1152.17492676	4.0	4.0	6285.19287109	7.0	4.0	242.578100562	0.0	-0.0461879707873	-0.993750870228	0.10161691159	0.0	50.233983766	-17.3907012939	12.8973999023	17.978099823	0.90374314785	34.0	4.03999996185	914.41414547	13.0	22.9799995422	0.994276838139	1.0	1
1.0	961.51574707	6.0	5.0	2255.04174805	5.0	4.0	183.515648961	0.0	-0.0461879707873	-0.993750870228	0.10161691159	0.0	32.6768195535	-17.3907012939	12.8973999023	17.978099823	0.90374314785	14.0	1.77999997139	377.578219414	3.0	13.5600004196	0.996321231959	1.0	1
1.0	466.78729248	5.0	3.0	2250.11157227	8.0	4.0	55.8983806372	0.0	0.0461924411356	0.993749558926	-0.101626746356	2.51045463396	40.1994068311	-19.8064994812	11.0727500916	19.4909000397	0.972504675388	17.0	1.77999997139	433.476714849	6.0	13.5600004196	0.989584063891	1.0	1
1.0	590.058105469	4.0	3.0	4751.69775391	11.0	3.0	71.7187303305	0.0	0.046190045774	0.993750333786	-0.101619593799	5.57349500656	43.8778948141	-21.2322006226	-0.380623012781	16.2900009155	0.716154396534	8.0	4.23999977112	220.429704666	4.0	13.1999998093	0.991903935808	1.0	1
1.0	1254.07946777	8.0	6.0	959.872314453	7.0	6.0	186.679768682	0.0	-0.0461920872331	-0.993750333786	0.101619966328	4.49157349744	37.1040259303	-18.7756004333	9.01297473907	19.7578010559	0.597119033337	21.0	5.17999982834	459.843771935	11.0	14.279999733	0.999890051758	1.0	1
1.0	1057.84301758	1.0	1.0	3533.09326172	1.0	1.0	23.2031297684	0.0	0.999277234077	0.0343399979174	0.0163073390722	21.1344659127	38.3220923707	-19.1111984253	0.643257021904	23.2549514771	0.768949568272	10.0	3.81999993324	125.683479548	10.0	15.2399997711	-1.0	0.0	1
1.0	1577.21142578	3.0	2.0	3505.30102539	2.0	1.0	88.9454088211	0.0	0.999277234077	0.0343784056604	0.0162199102342	21.6012234377	5.98751676872	-29.6146011353	-24.2779006958	25.6758003235	0.832871317863	24.0	4.09999990463	502.734477997	18.0	18.1000003815	0.970892232498	1.0	1
1.0	1023.10302734	2.0	2.0	2680.21777344	2.0	1.0	3.86718988419	0.0	-0.999276995659	-0.0343435108662	-0.0163073353469	8.5773805389	34.8560516401	-17.7769012451	-4.21685028076	21.5488510132	0.672768473625	18.0	3.98000001907	320.009684563	12.0	18.1000003815	0.691477494498	1.0	1
1.0	2084.41992188	7.0	6.0	9748.14160156	19.0	3.0	305.50778532	0.0	0.0315002426505	-0.976056933403	0.215222358704	9.88145911558	49.7511041413	-24.7466011047	6.3942399025	44.3056488037	0.610775887966	48.0	0.939999997616	750.234215975	30.0	25.7999992371	0.999537813401	1.0	1
1.0	1448.6730957	7.0	5.0	3241.27392578	5.0	2.0	151.787160397	0.0	-0.999277234077	-0.0343399979174	-0.0163073390722	13.4284592134	54.2489604235	-19.1111984253	0.643257021904	23.2549514771	0.768949568272	14.0	6.59999990463	286.171828389	11.0	24.4799995422	0.999946471576	1.0	1
1.0	1507.73059082	5.0	4.0	1262.81103516	9.0	5.0	91.845700264	0.0	0.0314092710614	-0.976041078568	0.215307623148	26.2701280718	24.2226571949	-25.0074501038	-10.7551498413	27.0226993561	0.428787350655	17.0	4.09999990463	214.629089475	7.0	16.1599998474	0.999905310299	1.0	1
1.0	1174.22338867	4.0	4.0	2037.52038574	11.0	6.0	93.7793798447	0.0	-0.999278783798	-0.0343347750604	-0.0162199493498	6.96279858372	40.2368991927	-14.6870994568	4.89371490479	21.0232009888	0.713490247726	17.0	3.81999993324	285.205136895	6.0	24.4799995422	0.999703714902	1.0	1
1.0	345.666290283	3.0	3.0	722.598999023	4.0	3.0	9.66796970367	0.0	0.999280273914	0.0342927612364	0.016219958663	8.72096973452	1.77830221302	-28.054599762	-33.4826507568	19.3176994324	0.236250311136	5.0	4.26000022888	90.8789887428	1.0	16.5	0.986462696159	1.0	1
1.0	1474.72790527	6.0	5.0	3698.109375	4.0	2.0	106.347877502	0.0	-0.0314280353487	0.976040780544	-0.21530584991	0.0	36.8157097497	-9.68369960785	9.44087028503	17.3368988037	0.250619292259	31.0	0.939999997616	565.576099396	13.0	16.4799995422	0.996777714971	1.0	1
1.0	2727.11743164	8.0	8.0	6433.91210938	4.0	2.0	303.574179173	0.0	-0.0314280353487	0.976040780544	-0.21530584991	0.0	50.3960777089	-9.68369960785	9.44087028503	17.3368988037	0.250619292259	45.0	0.939999997616	872.050927043	18.0	18.1000003815	0.999910646287	1.0	1
1.0	709.389160156	1.0	1.0	2454.98876953	3.0	1.0	32.8979187012	0.0	-0.998985350132	0.0365981273353	-0.0262451786548	13.3942213893	38.4890913929	-21.117149353	-4.33223009109	14.5912494659	0.769016504288	4.0	3.07999992371	77.6391601562	1.0	10.1800003052	-1.0	0.0	1
1.0	1620.63781738	9.0	9.0	7140.03466797	28.0	11.0	368.456918836	0.0	0.0429133214056	0.98595148325	-0.161425024271	2.85092900176	59.4488315631	-29.2084007263	9.36161994934	35.5825500488	0.793643772602	31.0	3.07999992371	960.620375156	14.0	22.8400001526	0.997662512686	1.0	1
1.0	1234.22253418	4.0	4.0	5323.30615234	26.0	6.0	109.22111702	0.0	0.0429183803499	0.985955059528	-0.16140177846	5.24966665754	50.894815321	-67.3917999268	1.42114198208	3.60577487946	0.362983524799	14.0	3.07999992371	282.922359705	7.0	22.8400001526	0.76710547587	1.0	1
1.0	1447.61682129	7.0	7.0	5723.17675781	32.0	10.0	357.929619908	0.0	0.0429158769548	0.985954761505	-0.16140447557	17.6768175629	7.91712655857	-32.6667022705	-33.6490478516	6.17806529999	0.674892783165	18.0	1.10000002384	463.203179121	11.0	22.8400001526	0.999883528325	1.0	1
1.0	392.182922363	6.0	6.0	2280.04418945	9.0	6.0	111.852928162	0.0	-0.998987436295	0.0365989431739	-0.026164079085	13.2843930105	27.6994994191	-11.0315494537	-34.117401123	13.1947994232	0.154644295573	6.0	1.10000002384	110.537119031	5.0	17.0200004578	0.93342688597	1.0	1
1.0	1376.48474121	8.0	6.0	3100.93798828	10.0	5.0	317.136182904	0.0	-0.998987615108	0.0365952663124	-0.0261612329632	2.13871880745	50.5345667008	-15.4340991974	15.3759994507	17.9649009705	0.671953499317	17.0	3.0	552.685516477	6.0	14.220000267	0.996999533157	1.0	1
1.0	1136.17663574	3.0	2.0	3933.36474609	10.0	5.0	293.449591637	0.0	-0.998986184597	0.0365973375738	-0.0262126307935	37.7552219846	10.7985230884	-30.6949501038	-30.5691986084	7.01150035858	0.68314242363	5.0	3.07999992371	100.009759903	1.0	10.1800003052	0.929059909485	1.0	1
1.0	1176.54870605	6.0	6.0	4177.51757812	13.0	9.0	363.193237424	0.0	0.998987913132	-0.0365872122347	0.0261627528816	11.1470858337	55.1889200341	-21.3010997772	3.36146497726	34.1288986206	0.0262059792876	11.0	1.10000002384	181.59668982	8.0	16.8400001526	0.995371632768	1.0	1
1.0	655.561279297	4.0	3.0	736.303894043	5.0	4.0	122.380300522	0.0	-0.0190160367638	0.143768772483	0.989428520203	16.7849857995	46.2211665824	-16.5905990601	0.526962518692	15.8337001801	0.528488337994	5.0	4.53999996185	146.066968918	0.0	14.3599996567	0.995994109913	1.0	1
1.0	1624.48376465	6.0	5.0	1436.08081055	12.0	7.0	234.233165741	0.0	0.998987436295	-0.0365989431739	0.026164079085	1.24596205826	25.4815259846	-11.0315494537	-34.117401123	13.1947994232	0.154644295573	12.0	2.66000008583	219.758369923	5.0	16.8400001526	0.999204834861	1.0	1
1.0	884.820251465	1.0	1.0	2303.98852539	2.0	1.0	9.6679700613	0.0	-0.00372818554752	-0.980663478374	0.195666328073	0.0	33.3812775727	-15.5050497055	-1.1155115366	13.9114999771	0.386276364326	9.0	6.92000007629	142.382745385	5.0	17.0599994659	-1.0	0.0	1
1.0	2867.95361328	14.0	12.0	8517.47949219	32.0	10.0	357.714918256	0.0	-0.999826014042	0.0	-0.0186547730118	6.85781571516	71.044144782	-18.2790985107	13.9521999359	16.6765518188	0.930962443352	45.0	2.98000001907	829.687547684	6.0	14.8800001144	0.999649259683	1.0	1
1.0	2089.26293945	7.0	4.0	4566.02392578	17.0	5.0	114.257778883	0.0	-0.999826014042	0.0	-0.0186547730118	1.08818869214	61.4286536739	-20.4543991089	19.9829998016	16.5970497131	0.408227145672	27.0	6.13999986649	392.871194363	13.0	17.0599994659	0.964913581115	1.0	1
1.0	3378.85375977	8.0	6.0	6507.19238281	31.0	10.0	348.925867915	0.0	-0.999826014042	0.0	-0.0186547730118	1.08818869214	55.4591210833	-20.4543991089	19.9829998016	16.5970497131	0.408227145672	67.0	3.20000004768	1197.07027531	10.0	17.0599994659	0.984353066231	1.0	1
1.0	920.607971191	2.0	1.0	2303.98852539	2.0	1.0	9.6679700613	0.0	-0.00372818554752	-0.980663478374	0.195666328073	36.3428599149	33.3812775727	-15.5050497055	-1.1155115366	13.9114999771	0.386276364326	9.0	6.92000007629	142.382745385	5.0	17.0599994659	0.178251068369	1.0	1
1.0	130.810195923	3.0	1.0	649.114868164	6.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	9.88000011444	28.1250054836	1.0	9.88000011444	0.997112480912	1.0	1
1.0	2031.26147461	5.0	4.0	4955.98486328	14.0	5.0	119.531239867	0.0	-0.00372818554752	-0.980663478374	0.195666328073	0.0	30.2926763465	-15.5050497055	-1.1155115366	13.9114999771	0.386276364326	38.0	3.98000001907	755.85915935	11.0	17.0599994659	0.996819850982	1.0	1
1.0	2322.5	5.0	2.0	1611.68127441	13.0	4.0	2.63671600819	0.0	0.00382818398066	0.980662763119	-0.195667862892	25.6397073362	1.57833815542	-31.9251995087	-21.364151001	18.8111000061	0.11642190814	16.0	3.20000004768	264.550664306	3.0	14.8800001144	0.999687122854	1.0	1
1.0	1851.08886719	3.0	3.0	2748.24975586	7.0	4.0	208.300629616	0.0	-0.999826014042	0.0	-0.0186547730118	1.08818869214	47.7888677299	-20.4543991089	19.9829998016	16.5970497131	0.408227145672	32.0	2.98000001907	679.394531488	23.0	13.2399997711	0.99965537028	1.0	1
1.0	1570.95776367	8.0	8.0	4343.89257812	15.0	7.0	118.652321815	0.0	-0.999826014042	0.0	-0.0186547730118	6.49305295168	25.6363041949	-18.3289985657	-10.7624998093	19.2786483765	0.872698307037	24.0	3.25999999046	581.835847378	6.0	12.279999733	0.990896615136	1.0	1
1.0	891.682128906	1.0	1.0	3364.00976562	2.0	1.0	3.42774009705	0.0	-0.0288052614778	0.963109970093	-0.267562001944	4.22143491856	36.0878647799	-15.8596000671	-1.11782300472	19.076499939	0.630533754826	3.0	7.59999990463	89.1211194992	4.0	17.0599994659	-1.0	0.0	1
1.0	2802.4284668	10.0	8.0	11889.0898438	22.0	10.0	572.431606293	0.0	0.999507188797	0.0309955850244	0.00496308039874	35.3713678982	8.80129834047	-31.9897994995	-37.5947990417	15.8319501877	0.550825536251	60.0	2.90000009537	1320.82019234	33.0	27.0	0.999994202189	1.0	1
1.0	2144.96777344	6.0	5.0	8485.35839844	27.0	10.0	251.367292881	0.0	-0.0288048535585	0.963122844696	-0.267515897751	18.8548889134	53.4042225515	-55.7321014404	-18.7161006927	2.97112989426	0.0151882469654	23.0	2.90000009537	631.845767498	12.0	22.7600002289	0.990944284125	1.0	1
1.0	2140.8581543	13.0	10.0	7506.01416016	19.0	8.0	331.34752655	0.0	0.0288058947772	-0.963137388229	0.267463415861	13.9886695789	52.3486634821	-30.1189994812	10.0479106903	36.2277526855	0.756273150444	39.0	4.13999986649	970.048627853	13.0	22.2000007629	0.999968904538	1.0	1
1.0	1277.94030762	4.0	2.0	921.816040039	7.0	4.0	38.8476209641	2.31523002108	0.719168901443	-0.606983780861	-0.338181465864	41.6097871858	24.1032946096	-23.1632499695	-21.5466995239	27.5633506775	0.90019762516	8.0	7.57999992371	266.220533848	3.0	12.9200000763	0.995427331319	1.0	1
1.0	795.801574707	9.0	6.0	4714.54785156	12.0	5.0	209.091872692	0.0	-0.0288048535585	0.963122844696	-0.267515897751	14.9499811995	41.4389758646	-55.7321014404	-18.7161006927	2.97112989426	0.957601189613	7.0	3.74000000954	163.388688564	7.0	20.1000003815	0.999823432373	1.0	1
