valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2749.2722168	1.0	1.0	105.996200562	1.0	1.0	56.6894989014	2.58697894466	-0.16973978281	-0.556363344193	-0.813417613506	29.7686637228	0.0	-71.1995010376	3.69276499748	-8.53071498871	0.306864023209	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6746.20898438	9.0	1.0	585.18762207	4.0	4.0	101.513698578	0.0	0.0334173999727	0.984704196453	-0.170999854803	23.4757669374	19.4640805935	-64.7103500366	-16.0431003571	-17.8941993713	0.650748431683	6.0	11.9799995422	213.574216127	2.0	27.2999992371	0.999959629816	1.0	1
1.0	3296.91967773	11.0	1.0	370.986999512	1.0	1.0	50.0976018906	2.03623421323	0.193138003349	-0.95894318819	-0.207667142153	59.0585832861	11.9381493197	-66.2789001465	-7.40181016922	-36.5653991699	0.674968242645	0.0	0.0	0.0	0.0	0.0	0.0263604069182	1.0	1
1.0	6439.26123047	10.0	1.0	457.109008789	1.0	1.0	14.501999855	2.6242408563	0.404847294092	0.10552431643	-0.908274888992	43.6465755767	8.04536213403	-65.0912475586	-4.62622499466	-39.7811965942	0.498152285814	0.0	0.0	0.0	0.0	0.0	0.984077782857	1.0	1
1.0	3272.62817383	1.0	1.0	953.966552734	3.0	3.0	101.513698578	0.0	0.0334173999727	0.984704196453	-0.170999854803	23.4757669374	19.4640805935	-64.7103500366	-16.0431003571	-17.8941993713	0.650748431683	2.0	11.9799995422	84.375	1.0	14.220000267	0.959374199505	1.0	1
1.0	4100.72314453	3.0	1.0	960.591247559	3.0	3.0	101.513698578	0.0	0.0334173999727	0.984704196453	-0.170999854803	26.1635177888	19.4640805935	-64.7103500366	-16.0431003571	-17.8941993713	0.650748431683	3.0	11.9799995422	100.195299149	1.0	15.1199998856	0.996916031503	1.0	1
1.0	2782.39599609	2.0	2.0	72.8723983765	1.0	1.0	79.1015987396	0.0	-0.0334228053689	-0.984705030918	0.170993894339	40.171979835	2.50042587468	-68.7833557129	-1.07014501095	-29.4729003906	0.889283537865	1.0	9.97999954224	29.003900528	0.0	9.97999954224	0.111593774773	1.0	1
1.0	6693.20996094	3.0	2.0	598.437316895	2.0	2.0	147.656223536	0.0	0.0334177054465	0.984702110291	-0.171011924744	7.70192648828	2.10718926108	-56.6802520752	-15.8054504395	-1.77091503143	0.436437606812	4.0	1.5	81.7382608652	4.0	14.220000267	0.999757508954	1.0	1
1.0	3736.36157227	3.0	1.0	227.450302124	2.0	2.0	58.0078213215	0.0	0.0334177054465	0.984702110291	-0.171011924744	8.69782680686	2.10718926108	-56.6802520752	-15.8054504395	-1.77091503143	0.436437606812	3.0	6.40000009537	80.4199008942	3.0	14.220000267	0.969446098472	1.0	1
1.0	5984.36083984	3.0	1.0	187.701599121	2.0	2.0	68.5546989441	2.58697894466	-0.16973978281	-0.556363344193	-0.813417613506	32.1926308107	0.0	-71.1995010376	3.69276499748	-8.53071498871	0.306864023209	1.0	27.2999992371	90.966796875	1.0	27.2999992371	0.998966444632	1.0	1
1.0	1891.80126953	1.0	1.0	139.707000732	1.0	1.0	37.9687995911	0.0	-0.998024344444	0.0332203730941	-0.0533265769482	33.8957266936	3.35254375614	-69.7331008911	4.63835000992	-12.6224498749	0.0631959736347	1.0	9.80000019073	27.4218997955	0.0	9.80000019073	-1.0	0.0	1
1.0	6756.91113281	12.0	1.0	542.393615723	3.0	3.0	122.343800545	1.2340178154	-0.0143469274044	0.650779724121	0.759131014347	8.93277129877	3.8107037925	-58.0818023682	-19.2475509644	-5.93603515625	0.575126647949	3.0	16.5799999237	81.210958004	0.0	22.7000007629	0.993575072056	1.0	1
1.0	7424.21923828	11.0	1.0	484.867004395	2.0	2.0	140.273501396	1.2340178154	-0.0143469274044	0.650779724121	0.759131014347	17.6911315425	3.8107037925	-58.0818023682	-19.2475509644	-5.93603515625	0.575126647949	0.0	0.0	0.0	0.0	0.0	0.999985486857	1.0	1
1.0	6267.11181641	5.0	2.0	202.164794922	3.0	3.0	26.367149353	0.0	0.0461878925562	0.993750393391	-0.101620867848	44.9015171262	1.74235472283	-67.8499984741	2.91632986069	-38.313999176	0.473130047321	9.0	11.3000001907	283.711099625	1.0	28.7999992371	0.998717145412	1.0	1
1.0	2483.50366211	2.0	2.0	284.345184326	3.0	3.0	94.9218978882	0.0	-0.998024344444	0.0332203730941	-0.0533265769482	33.8957266936	3.35254375614	-69.7331008911	4.63835000992	-12.6224498749	0.0631959736347	5.0	9.80000019073	203.554801941	1.0	28.7999992371	0.719704126464	1.0	1
1.0	4579.11914062	8.0	3.0	384.6065979	3.0	3.0	89.6485023499	2.16506350946	-0.604504585266	0.788591623306	-0.112683005631	47.6919154452	9.37873257401	-62.7489013672	-15.6277999878	-31.792098999	0.927659630775	5.0	16.5799999237	90.7031974792	0.0	32.6399993896	0.97569628609	1.0	1
