valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	404.109985352	1.0	1.0	1594.35900879	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	10.779999733	93.6035814285	0.0	19.9200000763	-1.0	0.0	1
1.0	925.257995605	2.0	1.0	1918.97192383	6.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	10.3599996567	183.25204134	0.0	19.9200000763	0.0658226925194	1.0	1
1.0	695.59979248	1.0	1.0	1183.62329102	4.0	3.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	10.779999733	180.615263939	1.0	14.4799995422	0.420453020139	1.0	1
1.0	856.802307129	1.0	1.0	1371.32519531	2.0	2.0	3.95508003235	0.0	-0.735088646412	-0.665916979313	0.127276360989	0.0	15.6221042239	-55.0681495667	-20.1070995331	6.189909935	0.150316119194	13.0	2.70000004768	328.271521449	1.0	11.4799995422	0.404039195137	1.0	1
1.0	238.324005127	1.0	1.0	1872.0802002	1.0	1.0	5.27343988419	0.0	0.0461942739785	0.993748605251	-0.101635321975	3.38433718955	4.37933004542	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	2.0	16.6399993896	99.1407012939	0.0	20.6200008392	-1.0	0.0	1
1.0	1137.38293457	2.0	2.0	3191.90356445	11.0	4.0	127.61712122	0.0	-0.0461942739785	-0.993748605251	0.101635321975	8.56858308881	25.6565426102	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	17.0	5.17999982834	457.734501958	2.0	6.96000003815	0.985584870936	1.0	1
1.0	1178.4732666	2.0	1.0	205.45199585	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.30000019073	23.2030906677	1.0	6.30000019073	0.621677464041	1.0	1
1.0	902.344848633	5.0	5.0	3114.65380859	13.0	5.0	243.632838249	0.0	0.0461905822158	0.993749916553	-0.101624906063	17.2830467463	1.01746003094	-52.9477996826	-45.8793487549	-16.5983009338	0.324246406555	10.0	5.07999992371	187.734470129	6.0	13.3400001526	0.984810215956	1.0	1
1.0	606.493896484	1.0	1.0	1321.46838379	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	7.80000019073	303.750014782	2.0	14.279999733	0.38959993791	1.0	1
1.0	238.324005127	1.0	1.0	1530.20776367	1.0	1.0	34.8046402931	0.0	0.0461942739785	0.993748605251	-0.101635321975	3.38433718955	8.56858308881	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	3.0	5.17999982834	131.83600235	1.0	5.17999982834	0.301467030715	1.0	1
