valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	198.742904663	3.0	3.0	3720.90869141	3.0	1.0	76.464799881	3.34498131443	-0.318724781275	0.250220805407	0.914223194122	16.9614448911	0.0	-4.87617492676	-2.83617019653	-27.4939994812	0.694550871849	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3144.55395508	13.0	6.0	7123.82861328	21.0	4.0	224.121120453	0.0	0.0334178842604	0.984706521034	-0.170986399055	24.5395052292	35.499797122	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	3.0	5.07999992371	51.4160013199	1.0	5.07999992371	0.999987675549	1.0	1
1.0	1552.40197754	11.0	4.0	8437.74121094	18.0	2.0	130.517558575	0.0	-0.999347686768	0.0346255525947	0.0102586662397	50.6742357992	78.4899196105	-4.71008968353	-5.84706020355	-55.0399475098	0.801344931126	2.0	9.22000026703	68.5546989441	0.0	9.22000026703	0.983222839272	1.0	1
1.0	1508.2376709	8.0	6.0	7697.9765625	15.0	3.0	349.365276933	0.0	0.0334192737937	0.984690010548	-0.171081110835	59.0341925385	35.7701947987	-5.90299987793	-2.54260492325	-19.3803501129	0.611213207245	4.0	3.31999993324	126.562419176	2.0	14.9399995804	0.990936355015	1.0	1
1.0	52.9981002808	1.0	1.0	1062.1697998	6.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.52000045776	42.1875	0.0	8.52000045776	0.420452857234	1.0	1
1.0	889.926635742	3.0	1.0	1033.46240234	5.0	1.0	30.3222999573	2.54909788144	-0.0353755876422	-0.824807941914	-0.564305245876	24.3102279425	12.656243369	-4.06157493591	-7.43524026871	-41.1959991455	0.998315691948	0.0	0.0	0.0	0.0	0.0	0.990695316381	1.0	1
1.0	892.134887695	3.0	3.0	4551.21191406	4.0	2.0	127.880799294	3.01454309218	-0.706910848618	0.33614268899	0.622322380543	49.06537611	33.5006850443	-9.15217018127	-25.1006507874	15.3582496643	0.808410167694	0.0	0.0	0.0	0.0	0.0	0.658983646953	1.0	1
1.0	1848.30883789	8.0	7.0	5021.57080078	8.0	5.0	309.814397693	0.0	0.0334302335978	0.984703779221	-0.170999780297	3.04662584117	45.992717664	-1.30797505379	34.7981033325	-29.5409011841	0.772195219994	2.0	5.07999992371	32.9590005875	2.0	14.9399995804	0.998382384502	1.0	1
1.0	836.928405762	4.0	2.0	3363.17114258	4.0	1.0	158.203118324	0.0	-0.999348402023	0.0346069782972	0.0102568818256	25.9054030037	35.1054754872	-4.42009496689	-10.649600029	-10.758649826	0.549866735935	3.0	3.31999993324	18.4570405483	5.0	14.9399995804	0.848966771393	1.0	1
1.0	1676.06494141	7.0	6.0	3491.24902344	9.0	6.0	221.484297752	0.0	-0.0334283411503	-0.984689772129	0.171081110835	11.8315353819	77.3919830665	-4.71668481827	6.58871507645	-44.518447876	0.984913527966	4.0	3.31999993324	46.1425216198	4.0	12.6599998474	0.984488909375	1.0	1
1.0	167.648895264	3.0	1.0	3471.31884766	2.0	1.0	43.242099762	3.35967263966	-0.111419774592	0.751434922218	-0.650331676006	13.4484943214	13.0300813512	-0.642981648445	-19.6408004761	-3.02676486969	0.279873013496	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2598.56030273	20.0	10.0	6498.85986328	21.0	3.0	310.078032732	0.0	0.998022913933	-0.0332709141076	0.0533234886825	32.7925720736	79.087872658	-0.856057524681	11.249250412	-48.8231506348	0.352587223053	4.0	5.65999984741	84.3750009537	4.0	12.720000267	0.999972673346	1.0	1
1.0	2189.29785156	10.0	4.0	2139.98999023	18.0	3.0	89.6484012604	0.0	0.998022913933	-0.0332709141076	0.0533234886825	17.9646394755	79.087872658	-0.856057524681	11.249250412	-48.8231506348	0.352587223053	4.0	6.21999979019	150.820404053	2.0	6.48000001907	0.999884098462	1.0	1
