valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1048.92004395	1.0	1.0	313.572296143	2.0	1.0	56.6895391941	2.45068558812	0.467198461294	-0.347664833069	0.812929749489	34.8453510002	21.6063243508	-1.71924567223	40.5954971313	-35.0643501282	0.862236976624	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3250.54760742	16.0	8.0	2468.83007812	9.0	6.0	322.998262882	0.0	-0.0334116965532	-0.984688878059	0.171088755131	56.1077237121	2.83397478435	-1.76141500473	49.4805984497	-15.7798500061	0.368813484907	13.0	6.01999998093	357.275362968	2.0	7.71999979019	0.999927892902	1.0	1
1.0	4049.9375	12.0	6.0	1046.71240234	11.0	7.0	330.908396959	0.0	-0.0334271080792	-0.984701812267	0.171011418104	70.2936884558	18.3434230899	-8.64998435974	40.9286499023	-1.51267504692	0.897600054741	9.0	6.82000017166	218.847659111	0.0	12.3000001907	0.999330934424	1.0	1
1.0	2603.53295898	8.0	5.0	532.188537598	6.0	6.0	224.121163607	0.0	-0.999344408512	0.0346953049302	0.0103470059112	48.9145360393	21.79930682	-7.42017507553	30.9267501831	-10.664899826	0.790112376213	3.0	5.07999992371	92.2850990295	1.0	5.07999992371	0.975505745487	1.0	1
1.0	2572.61694336	3.0	2.0	357.737304688	2.0	2.0	100.195437908	0.0	0.999347388744	-0.0346074849367	-0.0103469444439	0.0	7.20999182289	-5.60639953613	-11.9962005615	-12.3168001175	0.648568749428	1.0	7.46000003815	54.0527000427	0.0	7.46000003815	0.70806902357	1.0	1
1.0	3654.66088867	8.0	5.0	1386.78295898	5.0	5.0	432.422060609	0.0	-0.033426746726	-0.984691202641	0.171072944999	42.4047027283	3.04879230916	-3.07428503036	51.0788497925	-39.5730514526	0.607346057892	4.0	9.77999973297	189.843696594	3.0	13.5399999619	0.999787458295	1.0	1
1.0	976.047729492	2.0	2.0	264.990692139	2.0	1.0	38.2324209213	0.0	0.0334302335978	0.984703779221	-0.170999780297	3.04662584117	22.2117330252	-1.30797505379	34.7981033325	-29.5409011841	0.772195219994	1.0	7.15999984741	14.501999855	0.0	7.15999984741	0.0920244933744	1.0	1
1.0	3184.30297852	11.0	5.0	748.598266602	3.0	3.0	217.529378772	0.0	0.0334283411503	0.984689772129	-0.171081110835	40.1883687212	16.6400738979	-4.71668481827	6.58871507645	-44.518447876	0.984913527966	6.0	5.07999992371	175.341702461	2.0	13.5399999619	0.995600407874	1.0	1
1.0	1375.74108887	7.0	6.0	1980.80456543	5.0	5.0	250.488360286	0.0	0.999347805977	-0.0346066467464	-0.0103107979521	2.10665537389	39.2041712196	-8.10822963715	40.3656005859	-1.42403995991	0.208257079124	4.0	5.07999992371	137.109298706	3.0	13.5399999619	0.985085935685	1.0	1
1.0	647.585388184	1.0	1.0	935.217773438	1.0	1.0	16.875	1.54919336926	-0.0502848215401	0.0856485366821	0.995055675507	0.0	22.522872489	-0.309295505285	27.6249504089	-36.0831985474	0.242675364017	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4265.1875	13.0	8.0	2139.98901367	11.0	8.0	675.000028729	0.0	0.998025655746	-0.0331856645644	0.0533238276839	1.12708624148	20.9159214247	1.24954950809	-46.2348022461	-26.8376502991	0.79873073101	18.0	0.939999997616	475.664000988	6.0	10.720000267	0.999998481033	1.0	1
