valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1746.72900391	1.0	1.0	302.530792236	2.0	2.0	85.6933580637	1.5495709133	0.0157585851848	0.659848868847	-0.751233100891	36.0961376375	0.0	-1.57555508614	83.8298492432	-8.14978504181	0.454591989517	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2007.30249023	15.0	8.0	1439.78173828	6.0	6.0	336.181716204	0.0	0.999347567558	-0.0346038416028	-0.0103471269831	62.5379767434	0.0	-14.2164993286	99.5227050781	-36.914100647	0.804561674595	3.0	6.84000015259	65.9179801941	1.0	9.64000034332	0.990816624766	1.0	1
1.0	4789.70263672	13.0	5.0	1026.8380127	6.0	6.0	545.800675988	0.0	0.0334226824343	0.984703719616	-0.171001240611	52.2268143459	2.37503694204	-30.4730491638	84.7617950439	14.7929992676	0.105259530246	5.0	7.63999986649	156.884697914	4.0	11.6400003433	0.99986776643	1.0	1
1.0	3460.33276367	14.0	7.0	1371.32617188	7.0	7.0	341.455078721	0.0	0.0334226824343	0.984703719616	-0.171001240611	52.2268143459	2.37503694204	-30.4730491638	84.7617950439	14.7929992676	0.105259530246	6.0	5.19999980927	133.154239655	3.0	23.3799991608	0.999129164966	1.0	1
1.0	1349.24353027	7.0	1.0	276.031616211	2.0	1.0	22.4120998383	3.08487113201	-0.415885657072	-0.678201317787	0.605872988701	2.24227724328	3.5387296878	-32.0139503479	107.960998535	2.65428781509	0.711585938931	0.0	0.0	0.0	0.0	0.0	0.56896853085	1.0	1
1.0	1497.19665527	6.0	2.0	1519.27856445	4.0	1.0	114.69729805	1.5495709133	-0.0157585851848	-0.659848868847	0.751233100891	33.630615673	7.67561078453	-1.57555508614	83.8298492432	-8.14978504181	0.454591989517	0.0	0.0	0.0	0.0	0.0	0.98639173075	1.0	1
1.0	3599.45483398	6.0	4.0	907.592041016	7.0	7.0	427.148438096	0.0	0.999347567558	-0.0346038416028	-0.0103471269831	3.06970985458	17.401153421	-14.2164993286	99.5227050781	-36.914100647	0.804561674595	2.0	7.63999986649	42.1875009537	1.0	7.63999986649	0.998773344844	1.0	1
1.0	2519.61816406	8.0	5.0	1340.41015625	4.0	3.0	210.937520981	0.0	0.0334122255445	0.984704136848	-0.171001315117	37.4613179399	0.0	-1.88795495033	76.0171966553	-11.3187007904	0.322946846485	1.0	11.6000003815	46.1426010132	3.0	23.3799991608	0.992749586113	1.0	1
1.0	302.530792236	2.0	0.0	198.742996216	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
1.0	2956.85253906	7.0	5.0	1190.24890137	4.0	3.0	243.896499634	0.0	0.999347567558	-0.0346038416028	-0.0103471269831	3.06970985458	17.401153421	-14.2164993286	99.5227050781	-36.914100647	0.804561674595	1.0	10.1000003815	26.3672008514	2.0	14.2399997711	0.973169382764	1.0	1
1.0	1727.43786621	1.0	1.0	432.271514893	1.0	1.0	44.2967996597	1.54919336926	0.0502848103642	-0.0856478512287	-0.995055735111	31.2722742883	9.40164588966	-0.594421505928	77.5180511475	-13.907699585	0.801494121552	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4087.67114258	14.0	9.0	920.425048828	10.0	9.0	203.554638505	0.0	0.998023092747	-0.0332690142095	0.0533218048513	3.04848715362	25.4076289217	-33.2579498291	88.9533538818	-38.3728485107	0.891675293446	9.0	4.23999977112	181.40622139	5.0	15.1199998856	0.99893884854	1.0	1
1.0	1992.0604248	2.0	1.0	167.649002075	1.0	1.0	36.914100647	0.0	0.998026788235	-0.0331823527813	0.0533057563007	30.4668569123	6.77200150805	-9.12182044983	97.5949020386	2.31959009171	0.523402690887	1.0	6.01999998093	25.3125	1.0	6.01999998093	0.0894096065061	1.0	1
1.0	4247.10253906	17.0	9.0	662.37701416	8.0	8.0	277.382840991	0.0	0.0461934953928	0.993749558926	-0.101626746356	34.7005394973	1.12710839959	-1.5516500473	77.8156433105	-16.8717002869	0.943070530891	14.0	2.46000003815	257.343782663	7.0	12.9399995804	0.999953697553	1.0	1
1.0	1439.80493164	2.0	1.0	200.521392822	2.0	1.0	13.7109003067	1.54919336926	0.0502848103642	-0.0856478512287	-0.995055735111	28.4172640054	9.40164588966	-0.594421505928	77.5180511475	-13.907699585	0.801494121552	0.0	0.0	0.0	0.0	0.0	0.151748335913	1.0	1
1.0	2299.41552734	5.0	2.0	420.76550293	4.0	3.0	60.1170988083	1.74516186179	-0.0671515092254	-0.501168608665	0.862740218639	4.44486774707	14.9856956942	-13.1591501236	102.261505127	7.40005493164	0.401785254478	0.0	0.0	0.0	0.0	0.0	0.990621751568	1.0	1
1.0	1934.53369141	6.0	4.0	451.994903564	2.0	2.0	146.601559162	0.0	-0.998009264469	0.0337085537612	-0.0533029176295	43.2836585521	1.77309982513	-12.2614498138	102.763000488	1.62226998806	0.66283506155	1.0	15.1199998856	53.789100647	2.0	15.1199998856	0.824497501571	1.0	1
1.0	2199.15527344	7.0	4.0	332.010803223	4.0	4.0	193.007757664	0.0	-0.998009264469	0.0337085537612	-0.0533029176295	43.2836585521	1.77309982513	-12.2614498138	102.763000488	1.62226998806	0.61248087883	2.0	15.1199998856	95.976600647	3.0	15.1199998856	0.982597469492	1.0	1
