valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1746.72900391	1.0	1.0	110.413002014	1.0	1.0	42.1875009537	3.16354237744	-0.73297804594	0.39979031682	0.550373494625	24.3264942051	0.0	-8.93732452393	64.3961029053	-1.94941008091	0.923340201378	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4250.88867188	19.0	8.0	1006.96362305	4.0	3.0	191.16222012	0.0	0.0334116965532	0.984688878059	-0.171088755131	51.9156255643	1.10418686159	-1.76141500473	49.4805984497	-15.7798500061	0.368813484907	5.0	7.28000020981	152.929659486	6.0	23.3799991608	0.999998316516	1.0	1
1.0	2473.24389648	3.0	2.0	110.413002014	1.0	1.0	114.697304726	0.0	0.999344348907	-0.0346955694258	-0.0103462347761	18.1398418826	1.78383930135	-24.1367988586	58.8534469604	11.9323997498	0.364900559187	1.0	10.2600002289	43.5059013367	1.0	10.2600002289	0.398508665629	1.0	1
1.0	4473.92285156	17.0	8.0	1190.2487793	5.0	4.0	180.615221143	0.0	-0.0334122255445	-0.984704136848	0.171001315117	37.1504985956	11.3925042924	-1.88795495033	76.0171966553	-11.3187007904	0.322946846485	4.0	10.3400001526	97.5585802794	6.0	21.1399993896	0.999973173105	1.0	1
1.0	110.413002014	1.0	1.0	956.173950195	1.0	1.0	42.1875009537	3.16354237744	0.73297804594	-0.39979031682	-0.550373494625	0.0	17.1037215974	-8.93732452393	64.3961029053	-1.94941008091	0.923340201378	0.0	0.0	0.0	0.0	0.0	0.651460005126	1.0	1
1.0	3363.1706543	7.0	3.0	150.161605835	2.0	2.0	204.345705509	0.0	0.999344348907	-0.0346955694258	-0.0103462347761	26.2071369264	1.78383930135	-24.1367988586	58.8534469604	11.9323997498	0.364900559187	2.0	8.46000003815	68.5547008514	2.0	10.2600002289	0.999162921316	1.0	1
1.0	1066.58691406	2.0	2.0	790.555053711	2.0	2.0	69.873000145	0.0	-0.0334122255445	-0.984704136848	0.171001315117	20.4855280711	2.20827439667	-1.88795495033	76.0171966553	-11.3187007904	0.322946846485	1.0	9.15999984741	80.4198989868	3.0	23.3799991608	0.796017351642	1.0	1
1.0	2276.7097168	4.0	2.0	150.161605835	2.0	2.0	90.9668021202	2.37236589622	-0.499576896429	-0.173579350114	0.848700881004	36.1622810576	0.0	-3.5883500576	74.1028518677	-6.43302488327	0.274628520012	0.0	0.0	0.0	0.0	0.0	0.724123076528	1.0	1
1.0	3636.99438477	9.0	4.0	333.446716309	4.0	4.0	253.125065327	0.0	-0.033417891711	-0.984703302383	0.17100456357	41.7840985145	1.57273366845	-10.569149971	78.5209503174	8.30620956421	0.17575109005	5.0	9.15999984741	208.300758362	3.0	10.2600002289	0.999763819894	1.0	1
1.0	1727.43786621	1.0	1.0	34.5159988403	1.0	1.0	45.351600647	2.36573036594	0.582843005657	0.763156294823	-0.279081463814	19.5247770524	0.0	-14.5362501144	61.3525505066	12.3313503265	0.873176038265	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
