valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1309.49487305	1.0	1.0	428.401123047	1.0	1.0	75.1464996338	1.83853199842	0.587615609169	0.795614242554	-0.147328794003	14.3947485567	0.0	-25.0555000305	79.1313934326	15.6793003082	0.369677782059	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4749.95214844	13.0	4.0	1252.07983398	3.0	3.0	293.994101048	0.0	0.0334122255445	0.984704136848	-0.171001315117	45.5324055061	0.0	-1.88795495033	76.0171966553	-11.3187007904	0.322946846485	1.0	10.3400001526	1.31835997105	3.0	14.2399997711	0.999968157949	1.0	1
1.0	1905.72216797	5.0	1.0	428.401123047	1.0	1.0	75.1464996338	1.83853199842	0.587615609169	0.795614242554	-0.147328794003	30.7132060422	0.0	-25.0555000305	79.1313934326	15.6793003082	0.369677782059	0.0	0.0	0.0	0.0	0.0	0.232948405594	1.0	1
1.0	6967.04199219	12.0	3.0	737.557067871	3.0	3.0	316.406304359	0.0	0.999344348907	-0.0346955694258	-0.0103462347761	54.4130703651	1.78383930135	-24.1367988586	58.8534469604	11.9323997498	0.364900559187	2.0	10.2600002289	51.4160614014	3.0	23.3799991608	0.999999998925	1.0	1
1.0	200.950897217	2.0	1.0	48.5816001892	1.0	1.0	10.5468997955	0.0	-0.0334303453565	-0.98470044136	0.17101880908	2.38122225367	3.61193743487	-9.51468467712	77.0966949463	6.72495985031	0.767688632011	1.0	9.64000034332	35.5956993103	1.0	9.64000034332	0.559985807054	1.0	1
1.0	2822.14819336	9.0	3.0	86.1219024658	1.0	1.0	48.7792987823	0.0	0.0334303453565	0.98470044136	-0.17101880908	40.2732230535	2.38122225367	-9.51468467712	77.0966949463	6.72495985031	0.767688632011	1.0	9.64000034332	35.5956993103	1.0	9.64000034332	0.993029768577	1.0	1
1.0	3038.5559082	10.0	3.0	77.2889022827	1.0	1.0	58.0077996254	0.0	0.999347269535	-0.034610658884	-0.0103471307084	54.1106924832	0.0	-3.99830007553	65.6409988403	-16.7304000854	0.965640425682	1.0	9.15999984741	80.4198989868	1.0	9.15999984741	0.999914413278	1.0	1
1.0	2256.83374023	8.0	4.0	686.766845703	2.0	2.0	218.847659588	0.0	0.999347269535	-0.034610658884	-0.0103471307084	56.4299032816	0.0	-3.99830007553	65.6409988403	-16.7304000854	0.965640425682	1.0	9.15999984741	80.4198989868	1.0	9.15999984741	0.993210510765	1.0	1
1.0	1600.98339844	4.0	1.0	1093.08557129	2.0	2.0	38.2323999405	0.0	-0.999347686768	0.0346100628376	0.0103108007461	6.20040103477	14.3604577853	-7.90259981155	76.6874008179	1.33767998219	0.997649013996	1.0	8.46000003815	25.0487995148	1.0	8.46000003815	0.863049653983	1.0	1
1.0	2404.78808594	9.0	3.0	236.283004761	1.0	1.0	105.468801498	2.42335927457	-0.781944274902	0.423904627562	0.457020848989	36.1358115309	0.0	-9.26818466187	99.2122497559	8.32419490814	0.0692995935678	0.0	0.0	0.0	0.0	0.0	0.977347384959	1.0	1
1.0	869.472961426	1.0	1.0	187.372314453	1.0	1.0	17.9296900034	0.0	0.998027861118	-0.0332686118782	0.0532323159277	2.46613985012	13.3846144301	-9.50724029541	71.7584533691	10.7728004456	0.795081973076	2.0	6.86000013351	20.0390205383	0.0	8.38000011444	-1.0	0.0	1
1.0	5193.82568359	17.0	6.0	629.505310059	5.0	4.0	280.546843648	0.0	0.998009264469	-0.0337085537612	0.0533029176295	18.2426182698	11.7371424676	-12.2614498138	102.763000488	1.62226998806	0.13858217001	4.0	6.86000013351	122.343719482	2.0	15.1199998856	0.999380173186	1.0	1
1.0	1462.81921387	12.0	0.0	151.212799072	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
1.0	6801.28369141	17.0	6.0	491.441589355	7.0	6.0	317.460879087	0.0	0.046189840883	0.993750751019	-0.101616896689	40.9696215225	6.75502787643	-20.6963996887	71.3338012695	18.9137001038	0.619474887848	12.0	4.23999977112	284.765581608	10.0	17.8199996948	0.999999998858	1.0	1
1.0	1255.72290039	2.0	1.0	187.372314453	1.0	1.0	17.9296900034	0.0	0.998027861118	-0.0332686118782	0.0532323159277	2.46613985012	13.3846144301	-9.50724029541	71.7584533691	10.7728004456	0.795081973076	2.0	6.86000013351	20.0390205383	0.0	8.38000011444	0.13107747525	1.0	1
1.0	2029.86608887	7.0	3.0	381.318603516	3.0	3.0	151.874988198	0.0	0.998026788235	-0.0331820510328	0.0533052682877	11.8620033216	0.0	-2.25980520248	77.2324981689	6.23453044891	0.355977714062	6.0	4.23999977112	107.57804203	2.0	10.2600002289	0.998770107146	1.0	1
1.0	1060.13256836	4.0	2.0	187.372314453	1.0	1.0	29.5312896967	0.0	0.998027861118	-0.0332686118782	0.0532323159277	32.4440455071	13.3846144301	-9.50724029541	71.7584533691	10.7728004456	0.795081973076	2.0	6.86000013351	20.0390205383	0.0	8.38000011444	0.177400085342	1.0	1
1.0	3375.98486328	7.0	3.0	87.1117019653	2.0	2.0	58.0077991486	0.0	0.998026788235	-0.0331820510328	0.0533052682877	27.8051770117	0.0	-2.25980520248	77.2324981689	6.23453044891	0.355977714062	2.0	7.34000015259	55.8984012604	1.0	9.31999969482	0.995600406943	1.0	1
1.0	774.143188477	1.0	1.0	146.281906128	1.0	1.0	1.0546900034	2.98753916184	0.886451005936	0.44135800004	-0.139311507344	11.9760414005	2.31869213927	-10.1604957581	79.024597168	17.914150238	0.21200607717	1.0	8.38000011444	6.32812023163	0.0	8.38000011444	0.084175342706	1.0	1
1.0	3379.27270508	4.0	3.0	126.557998657	2.0	2.0	93.8671919107	0.0	0.0461924523115	0.993749797344	-0.101624898612	36.2945728795	0.0	-20.6493988037	72.3449554443	18.8102989197	0.227163672447	4.0	4.23999977112	68.5547199249	2.0	9.31999969482	0.964670424841	1.0	1
1.0	1005.73272705	1.0	1.0	269.238006592	1.0	1.0	24.1698971987	1.67705098312	0.999277293682	0.0343487039208	0.0162787567824	2.8665193616	1.11747929957	-26.3091011047	77.8906478882	17.3302001953	0.674426436424	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4542.30029297	10.0	5.0	557.582885742	6.0	6.0	204.960950017	0.0	-0.999280333519	-0.0342897064984	-0.0162185132504	34.1966324068	27.5040679697	-20.9470500946	86.2565460205	18.4253997803	0.219489753246	1.0	8.38000011444	33.8378982544	1.0	11.1800003052	0.999313063917	1.0	1
1.0	5084.25048828	11.0	6.0	536.738586426	4.0	4.0	242.666061878	0.0	0.999279558659	0.0342857465148	0.0162725728005	19.8126748255	0.0	-1.39986550808	88.350151062	-2.61473989487	0.899651765823	3.0	7.36000013351	72.5096969604	5.0	21.0400009155	0.999917296858	1.0	1
1.0	2688.90332031	10.0	2.0	871.982910156	7.0	5.0	146.953199387	2.21478217576	-0.167846634984	-0.887399792671	0.429358929396	53.5239842924	25.2498743035	1.44668698311	72.7651519775	-4.03226995468	0.585594713688	0.0	0.0	0.0	0.0	0.0	0.964117191461	1.0	1
1.0	3336.80981445	5.0	5.0	700.01739502	3.0	3.0	192.39246285	0.0	0.0314097218215	-0.976060271263	0.21522025764	24.4769278121	2.59878391657	-30.2591495514	77.2089538574	17.385848999	0.465981990099	4.0	9.42000007629	84.1112985611	0.0	15.6000003815	0.990695327576	1.0	1
1.0	3826.64868164	6.0	4.0	559.318969727	2.0	2.0	123.74997139	0.0	0.0314097218215	-0.976060271263	0.21522025764	28.045739009	2.59878391657	-30.2591495514	77.2089538574	17.385848999	0.465981990099	4.0	8.03999996185	81.2108983994	0.0	12.6400003433	0.995439341817	1.0	1
1.0	2527.35986328	6.0	1.0	60.7956008911	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	14.7600002289	60.9082012177	0.0	15.6000003815	0.747293295716	1.0	1
1.0	3899.60327148	5.0	3.0	1092.58398438	3.0	3.0	131.484296918	0.0	0.999279022217	0.0342855751514	0.0163080096245	2.5277251202	0.0	0.430958002806	72.0649490356	-10.2163505554	0.358951508999	3.0	8.03999996185	74.4433002472	1.0	11.779999733	0.993029764462	1.0	1
1.0	3948.24072266	7.0	5.0	1043.94665527	2.0	2.0	202.060469627	0.0	0.999279022217	0.0342855751514	0.0163080096245	2.5277251202	0.0	0.430958002806	72.0649490356	-10.2163505554	0.358951508999	5.0	9.42000007629	121.816299438	1.0	11.779999733	0.998438222362	1.0	1
1.0	1009.29443359	1.0	1.0	282.602294922	2.0	1.0	88.1664090157	1.56387337409	-0.421909362078	0.893197953701	-0.1555313766	23.8617373073	1.24596095798	-27.5360488892	60.5854034424	24.5848999023	0.886197865009	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5967.33056641	24.0	11.0	759.373596191	8.0	8.0	698.752438545	0.0	0.0429139919579	0.985951066017	-0.161427557468	51.5865308585	1.79015426973	-23.2925987244	52.614151001	16.8792495728	0.849326312542	14.0	1.10000002384	346.086543083	8.0	15.3800001144	0.999999999838	1.0	1
1.0	5594.37304688	18.0	7.0	920.860351562	8.0	7.0	384.248058558	0.0	0.0429155640304	0.985950708389	-0.161429077387	57.6432869913	0.0	-36.7941970825	62.7056503296	24.0488510132	0.852135002613	11.0	4.09999990463	256.603925705	5.0	16.0200004578	0.999999998296	1.0	1
1.0	6795.9140625	17.0	7.0	790.133117676	8.0	8.0	411.882523179	0.0	-0.0428967177868	-0.985966444016	0.161337986588	1.73386904923	8.74841643036	-25.6281013489	105.300994873	-6.14438486099	0.926265716553	20.0	1.10000002384	448.728039861	13.0	16.0200004578	0.999999999998	1.0	1
1.0	1209.23046875	1.0	0.0	240.30809021	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
1.0	3252.8112793	10.0	4.0	201.858901978	3.0	3.0	105.273448944	0.0	-0.0429480932653	-0.985960066319	0.161363199353	25.1943628697	6.34137249071	-2.65763998032	84.3595504761	-10.0363903046	0.31991058588	2.0	4.09999990463	44.741230011	2.0	11.9399995804	0.999530182696	1.0	1
1.0	1026.59655762	4.0	3.0	296.05960083	3.0	3.0	128.95997858	0.0	-0.998987436295	0.0365989692509	-0.0261633340269	48.5178013803	3.81941946002	-30.1560516357	56.9356002808	23.8321990967	0.321167945862	4.0	3.75999999046	98.6937980652	2.0	11.4200000763	0.540825990344	1.0	1
1.0	1532.20483398	11.0	9.0	903.559020996	6.0	6.0	363.193573713	0.0	-0.998986244202	0.0365977324545	-0.0262114349753	7.19937665148	4.0010772685	-2.11270999908	82.5585021973	-9.72898006439	0.989588439465	13.0	1.10000002384	285.554270625	8.0	14.4399995804	0.996097970854	1.0	1
1.0	2474.21240234	7.0	4.0	626.723876953	3.0	3.0	239.497007847	0.0	-0.0429480932653	-0.985960066319	0.161363199353	25.1943628697	6.34137249071	-2.65763998032	84.3595504761	-10.0363903046	0.31991058588	4.0	4.09999990463	119.748527527	3.0	12.720000267	0.99719033667	1.0	1
1.0	1343.80334473	10.0	5.0	799.745300293	4.0	4.0	178.964956522	0.0	-0.0429480932653	-0.985960066319	0.161363199353	25.1943628697	6.34137249071	-2.65763998032	84.3595504761	-10.0363903046	0.31991058588	4.0	1.10000002384	103.957573175	3.0	13.3000001907	0.991537851683	1.0	1
1.0	860.139282227	2.0	1.0	109.831001282	1.0	1.0	23.7304992676	2.45008778707	0.662091016769	0.737205207348	-0.134774059057	1.88128891711	3.75664059454	-0.201179981232	81.7696990967	10.4675502777	0.120060764253	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4329.07910156	23.0	13.0	1204.44091797	9.0	8.0	537.890628576	0.0	0.736233234406	-0.660869061947	0.145645856857	49.5692061786	1.47275338498	4.09545516968	69.4008483887	-14.9392499924	0.967362225056	23.0	4.86000013351	412.206958532	11.0	15.4200000763	0.999999987896	1.0	1
1.0	4490.74072266	19.0	7.0	612.092712402	6.0	5.0	361.230463028	0.0	0.00382778584026	0.980666458607	-0.195649430156	44.5696490146	34.1468458291	-22.120300293	81.1595993042	18.3338012695	0.496269077063	15.0	4.86000013351	232.910171032	3.0	15.4200000763	0.999998910405	1.0	1
1.0	2939.52905273	18.0	6.0	705.881408691	9.0	8.0	108.984358788	0.0	0.00382553739473	0.980689585209	-0.195533543825	8.66176916785	28.7630925097	-26.9706001282	101.100997925	-12.5275993347	0.900872766972	14.0	4.86000013351	184.570272207	4.0	15.4200000763	0.999405770108	1.0	1
1.0	1821.47106934	5.0	1.0	182.640701294	3.0	2.0	58.8866798878	0.0	-0.00372786517255	-0.980666816235	0.195649504662	3.15797452742	22.5723399001	-25.513250351	88.3359985352	24.9919013977	0.715720951557	2.0	4.86000013351	36.9140996933	0.0	5.76000022888	0.809300874418	1.0	1
1.0	1723.98144531	7.0	4.0	414.643890381	5.0	5.0	270.703006506	0.0	0.999826014042	0.0	0.0186547730118	14.004511515	37.3748464932	-26.0442008972	91.7425994873	24.3020515442	0.388505578041	6.0	4.86000013351	136.230500221	3.0	12.5200004578	0.980030865098	1.0	1
1.0	1917.72766113	12.0	7.0	692.307189941	2.0	2.0	243.456979036	0.0	-0.00372830452397	-0.980682492256	0.195570722222	45.0027356482	28.8904369755	-28.6879501343	82.514755249	20.2703495026	0.365227848291	3.0	4.86000013351	65.9180002213	0.0	6.07999992371	0.996929538325	1.0	1
1.0	1604.27734375	8.0	5.0	410.941680908	3.0	3.0	131.835959435	0.0	-0.00372633687221	-0.980662703514	0.195670157671	22.8812053998	4.93511287108	-25.3739509583	78.0487518311	17.7290992737	0.841007888317	3.0	3.70000004768	51.8553991318	3.0	7.17999982834	0.957587720155	1.0	1
1.0	1846.15234375	8.0	4.0	734.265136719	5.0	3.0	90.5273097754	0.0	-0.00372830452397	-0.980682492256	0.195570722222	9.95035129866	18.1512017643	-28.6879501343	82.514755249	20.2703495026	0.365227848291	6.0	3.70000004768	107.226600647	3.0	12.5200004578	0.997512735475	1.0	1
1.0	1375.18920898	1.0	1.0	352.01550293	2.0	2.0	67.4120817184	0.0	-0.0288033839315	0.963138401508	-0.267459988594	11.3983578486	19.5919237274	-21.2617988586	76.6122970581	20.8068504333	0.201937347651	1.0	3.20000004768	5.71289014816	0.0	3.20000004768	-1.0	0.0	1
1.0	3195.53466797	20.0	5.0	282.160308838	4.0	3.0	213.662085533	0.0	-0.0288033839315	0.963138401508	-0.267459988594	45.3253026095	10.366937285	-21.2617988586	76.6122970581	20.8068504333	0.201937347651	5.0	3.20000004768	154.24789381	4.0	12.0399999619	0.998100384775	1.0	1
1.0	1328.6192627	6.0	3.0	609.521789551	3.0	3.0	154.248094082	0.0	0.0288033839315	-0.963138401508	0.267459988594	32.3449652549	18.9912868398	-21.2617988586	76.6122970581	20.8068504333	0.201937347651	3.0	3.20000004768	86.8358912468	2.0	12.1999998093	0.83872130227	1.0	1
1.0	2169.62158203	17.0	4.0	524.599182129	7.0	4.0	101.689451694	0.0	-0.0288454256952	0.96313726902	-0.267459660769	1.96993909984	4.80655054708	-4.76618003845	91.7947006226	-16.7634506226	0.61227530241	2.0	7.86000013351	67.4120998383	3.0	12.0200004578	0.999407334427	1.0	1
1.0	1420.39050293	6.0	2.0	365.713317871	2.0	2.0	145.10779953	0.0	0.99950671196	0.0309955105186	0.0050635272637	28.8224492634	7.08983245092	-39.3502998352	70.2268066406	23.7914009094	0.391718029976	1.0	7.09999990463	26.2793006897	1.0	7.09999990463	0.999559620003	1.0	1
1.0	2254.54492188	9.0	5.0	902.640136719	3.0	3.0	195.380982399	0.0	-0.0288454256952	0.96313726902	-0.267459660769	48.2066044125	0.0	-4.96749973297	65.7722015381	-11.0088500977	0.254396677017	1.0	3.20000004768	5.71289014816	3.0	29.0200004578	0.999890726312	1.0	1
1.0	1998.40783691	3.0	2.0	261.614807129	2.0	2.0	102.832101822	0.0	0.028857903555	-0.963114142418	0.267541408539	15.3931846698	6.61623738752	-5.24538516998	72.5082550049	3.18110990524	0.952464103699	4.0	10.6599998474	170.244003296	3.0	12.0399999619	0.951297886116	1.0	1
1.0	2240.84741211	10.0	3.0	349.276306152	1.0	1.0	190.810979843	0.0	0.99950671196	0.0309955105186	0.0050635272637	57.5730365798	7.08983245092	-39.3502998352	70.2268066406	23.7914009094	0.391718029976	2.0	3.20000004768	31.9921908379	1.0	7.09999990463	0.999851240133	1.0	1
1.0	1375.18920898	1.0	1.0	273.942016602	2.0	1.0	53.7011814117	0.0	-0.0288033839315	0.963138401508	-0.267459988594	11.3983578486	19.5919237274	-21.2617988586	76.6122970581	20.8068504333	0.201937347651	1.0	3.20000004768	5.71289014816	0.0	3.20000004768	0.0684473073953	1.0	1
1.0	1446.41455078	8.0	1.0	452.005004883	2.0	1.0	17.1387004852	1.26600947251	-0.0269271414727	0.764339208603	0.64425188303	38.1001087417	16.8789500947	-24.9945487976	69.9088516235	18.9646987915	0.0608926191926	0.0	0.0	0.0	0.0	0.0	0.999806533378	1.0	1
1.0	1722.73840332	1.0	1.0	345.953308105	1.0	1.0	80.8593900204	0.0	-0.0707682594657	-0.250293254852	-0.965580165386	14.4262841987	2.65781778181	-21.7718505859	78.9367523193	33.5334472656	0.444057703018	11.0	3.03999996185	114.257879615	7.0	7.23999977112	-1.0	0.0	1
1.0	2403.39306641	22.0	7.0	1023.79882812	7.0	5.0	225.000027299	0.0	-0.99568939209	0.0703903064132	0.0603980571032	70.0380093514	8.19008915854	-40.3965492249	81.0262451172	37.5998497009	0.940928697586	7.0	3.75999999046	109.863211036	2.0	3.75999999046	0.99812194959	1.0	1
1.0	1088.48925781	6.0	1.0	210.946990967	1.0	1.0	34.2773097754	0.0	0.99568939209	-0.0703903064132	-0.0603980571032	21.007742045	1.08116043249	-17.8001499176	72.2116546631	25.7016506195	0.631699085236	3.0	3.03999996185	29.003950119	3.0	4.42000007629	0.357080195769	1.0	1
1.0	8051.16064453	20.0	9.0	864.884338379	9.0	9.0	487.792990685	0.0	0.995689570904	-0.0703867897391	-0.060398068279	54.9319158674	3.64613037353	-18.2144508362	55.3273468018	20.59375	0.981559753418	26.0	3.03999996185	494.824322581	15.0	22.5400009155	0.999999999401	1.0	1
1.0	1518.82202148	5.0	2.0	409.238067627	5.0	5.0	86.1328406334	0.0	0.99568939209	-0.0703903064132	-0.0603980571032	43.1428108035	14.2035391467	-22.3682498932	91.7161560059	35.5054512024	0.866607666016	3.0	1.65999996662	65.91802001	1.0	1.65999996662	0.946073129822	1.0	1
1.0	2816.85351562	6.0	4.0	929.575073242	6.0	6.0	333.98443222	0.0	-0.0536236949265	-0.956504106522	0.286747723818	52.6780787469	0.0	-35.6360015869	54.081199646	31.2426986694	0.294204980135	26.0	1.65999996662	350.683645606	16.0	19.9400005341	0.98247572701	1.0	1
1.0	1328.96984863	1.0	1.0	705.970336914	1.0	1.0	94.9218482971	0.0	-0.070737592876	-0.250217080116	-0.965602219105	2.68233588222	14.1176846896	-4.32534980774	79.5644989014	14.204750061	0.323361814022	10.0	3.57999992371	146.777439117	7.0	15.4399995804	0.391089982604	1.0	1
1.0	2123.53808594	7.0	3.0	908.481506348	6.0	5.0	145.019460917	0.0	0.0535312630236	0.956509530544	-0.286747217178	57.8389487641	14.5057698313	-34.2296524048	73.0624008179	31.853302002	0.436159402132	10.0	1.65999996662	201.269540548	5.0	19.9400005341	0.998037656305	1.0	1
1.0	2798.5703125	3.0	2.0	665.187683105	2.0	2.0	116.894520044	0.0	0.99568939209	-0.0703903064132	-0.0603980571032	21.4409589729	7.67654208618	-11.1212501526	68.6482543945	13.5513496399	0.518790364265	9.0	2.31999993324	176.660278559	2.0	8.68000030518	0.878941151128	1.0	1
1.0	3278.12548828	7.0	4.0	707.37677002	4.0	4.0	175.781218767	0.0	-0.995688796043	0.0703909173608	0.0604074038565	29.0023971093	0.0	-1.59636497498	82.2137451172	-8.95069503784	0.818645834923	7.0	1.65999996662	63.2812488079	7.0	6.01999998093	0.996142772433	1.0	1
1.0	699.178771973	1.0	1.0	237.597412109	2.0	1.0	29.0	0.0	-0.00274132401682	0.98887360096	0.148732602596	0.0	8.61475238995	-21.0640487671	71.1856536865	21.2104988098	0.488982498646	0.0	0.0	0.0	1.0	8.31999969482	-1.0	0.0	1
1.0	3646.86572266	17.0	11.0	960.287780762	10.0	10.0	539.0	0.0	-0.0177751854062	-0.14437456429	0.989363431931	45.6579878605	1.51804237678	-40.7145500183	69.0731506348	24.3507499695	0.198065817356	12.0	2.74000000954	234.0	6.0	11.1000003815	0.999827814628	1.0	1
1.0	1949.03759766	6.0	3.0	414.557403564	3.0	3.0	178.0	0.0	-0.00274132401682	0.98887360096	0.148732602596	33.8953503506	21.2265057105	-21.0640487671	71.1856536865	21.2104988098	0.488982498646	0.0	0.0	0.0	1.0	8.31999969482	0.626114772064	1.0	1
1.0	4279.22070312	19.0	14.0	1038.24987793	8.0	7.0	516.0	0.0	0.0178730674088	0.144277051091	-0.989375948906	1.5183783622	14.1764464486	-18.5465011597	107.64050293	2.2936398983	0.901687085629	12.0	2.74000000954	191.0	6.0	18.1000003815	0.999998638405	1.0	1
1.0	3513.21704102	5.0	4.0	706.60369873	5.0	5.0	346.0	0.0	-0.999846100807	0.0	-0.0175395924598	36.3212863187	38.953040388	-5.90419483185	71.2437973022	-4.59247493744	0.844697773457	1.0	10.4799995422	32.0	2.0	18.1000003815	0.999498097059	1.0	1
1.0	1728.76379395	7.0	3.0	542.018005371	3.0	3.0	152.0	0.0	0.0026741810143	-0.988863945007	-0.148798018694	15.2513187026	2.37800047219	-7.6902551651	91.9230499268	3.92146492004	0.834674596786	2.0	9.22000026703	61.0	2.0	14.7399997711	0.991528920718	1.0	1
1.0	1768.36413574	5.0	2.0	84.1489944458	2.0	2.0	110.0	0.0	-0.00264552002773	0.988862216473	0.148810490966	46.00029456	2.40901550303	-26.4575996399	60.8750991821	18.4774513245	0.788965344429	1.0	8.0	16.0	1.0	8.31999969482	0.87754767436	1.0	1
1.0	3593.65356445	9.0	7.0	679.379516602	4.0	4.0	362.0	0.0	-0.999846100807	0.0	-0.0175395924598	42.3836571056	3.03610297207	-5.90419483185	71.2437973022	-4.59247493744	0.844697773457	3.0	8.0	83.0	4.0	18.1000003815	0.995784397876	1.0	1
1.0	262.347015381	2.0	1.0	261.109619141	2.0	2.0	30.0	0.0	0.00274132401682	-0.98887360096	-0.148732602596	23.3182840408	11.5944600261	-21.0640487671	71.1856536865	21.2104988098	0.488982498646	0.0	0.0	0.0	1.0	8.31999969482	0.672339277553	1.0	1
1.0	2596.24169922	7.0	1.0	56.9243011475	1.0	1.0	19.0	0.0	-0.0177971087396	-0.144372418523	0.989363312721	48.5381414135	1.07431717855	-6.43803024292	63.84034729	-5.1728348732	0.695786893368	1.0	10.4799995422	32.0	1.0	10.4799995422	0.99798645836	1.0	1
1.0	539.101867676	2.0	1.0	254.074295044	3.0	1.0	7.0	3.49962859227	0.829890847206	-0.336026221514	-0.445384681225	5.81555948441	1.88261203569	-29.0818519592	71.3213043213	19.5768508911	0.505643129349	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5182.0859375	15.0	7.0	416.579101562	5.0	5.0	381.0	0.0	-0.00268507539295	0.988875925541	0.148718506098	47.1961446966	2.44051243404	-9.85134029388	61.9715499878	-5.15912008286	0.416319221258	5.0	7.26000022888	144.0	2.0	10.5799999237	0.999929287499	1.0	1
1.0	1318.0916748	11.0	2.0	285.028015137	2.0	2.0	64.0	0.0	0.0179172866046	0.144340708852	-0.989365756512	42.9006975308	20.085461178	-19.1201496124	78.5300445557	18.6343002319	0.463752299547	1.0	8.31999969482	34.0	0.0	8.31999969482	0.842579325659	1.0	1
1.0	3706.6484375	14.0	5.0	478.485656738	7.0	7.0	429.0	0.0	-0.0178259760141	-0.144433870912	0.989353954792	54.702152055	1.5247138521	-22.3404998779	58.6912002563	13.3917999268	0.448940515518	6.0	4.15999984741	108.0	2.0	10.4200000763	0.997466416093	1.0	1
1.0	539.101867676	2.0	0.0	207.644500732	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
