valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2936.97729492	2.0	2.0	90.5383987427	1.0	1.0	75.1464996338	2.49712034316	0.760879576206	0.332498431206	-0.557231605053	37.4907866286	0.0	-38.6020011902	54.8430480957	-70.4253540039	0.347192555666	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5591.29931641	19.0	8.0	2020.55175781	6.0	6.0	678.955262661	0.0	0.0334186516702	0.984707117081	-0.170982435346	52.2362118283	1.1211423963	-8.43911933899	90.7509460449	-44.5429000854	0.187426134944	10.0	3.75999999046	361.230607986	4.0	20.6399993896	0.999999988314	1.0	1
1.0	1101.91931152	3.0	2.0	189.909790039	3.0	2.0	58.0078992844	0.0	-0.0334179960191	-0.984706401825	0.170986965299	32.4760334558	13.1532648827	-24.6811504364	79.912651062	-58.6969985962	0.1138163656	4.0	5.76000022888	123.925798416	0.0	13.8199996948	0.877433270824	1.0	1
1.0	8102.08496094	18.0	6.0	1327.15966797	4.0	4.0	494.384982109	0.0	-0.0334179960191	-0.984706401825	0.170986965299	57.3436882663	13.1532648827	-24.6811504364	79.912651062	-58.6969985962	0.1138163656	4.0	3.75999999046	55.3711605072	2.0	24.4599990845	0.999999998724	1.0	1
1.0	2912.68676758	1.0	1.0	114.829200745	2.0	2.0	96.2402000427	1.82277535754	0.831971764565	-0.379176169634	-0.405028969049	32.4820507075	2.38122385566	-44.1394996643	54.9937515259	-64.0239562988	0.35623896122	0.0	0.0	0.0	0.0	0.0	0.105079170943	1.0	1
1.0	5915.91113281	11.0	4.0	1073.21032715	4.0	4.0	266.308703423	0.0	-0.999344289303	0.0346956253052	0.0103505048901	50.6206209526	2.10111841665	-37.0651016235	35.1421508789	-70.6611022949	0.845050811768	1.0	3.75999999046	10.5468997955	2.0	17.2800006866	0.999944604913	1.0	1
1.0	6361.97949219	9.0	2.0	532.188964844	2.0	2.0	98.8769989014	2.49712034316	0.760879576206	0.332498431206	-0.557231605053	54.033109334	22.0770571829	-38.6020011902	54.8430480957	-70.4253540039	0.347192555666	0.0	0.0	0.0	0.0	0.0	0.986915976064	1.0	1
1.0	6479.01708984	11.0	5.0	605.061401367	3.0	3.0	278.174001694	0.0	0.999344289303	-0.0346983931959	-0.0103469127789	47.2346101756	2.09473509887	-3.22324991226	64.8814544678	-47.3918991089	0.968608915806	1.0	3.75999999046	9.22852039337	2.0	17.2800006866	0.9999952299	1.0	1
1.0	4147.09912109	7.0	3.0	139.119995117	2.0	2.0	145.019601822	2.49712034316	0.760879576206	0.332498431206	-0.557231605053	39.0933315825	0.0	-38.6020011902	54.8430480957	-70.4253540039	0.347192555666	0.0	0.0	0.0	0.0	0.0	0.91471533899	1.0	1
1.0	4988.4453125	11.0	5.0	896.551269531	4.0	4.0	250.488421917	0.0	-0.999347269535	0.0346100330353	0.0103469435126	21.9926197504	2.10108619029	-6.80591964722	89.8508987427	-46.2242965698	0.282430171967	1.0	20.6399993896	72.509803772	2.0	20.6399993896	0.999915534055	1.0	1
1.0	2600.20092773	1.0	1.0	180.797790527	1.0	1.0	60.1171989441	3.2437169891	0.186469867826	-0.83459186554	-0.518348753452	35.4071584587	1.77284990567	-25.1911506653	63.9636497498	-70.6984481812	0.546393334866	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6480.78271484	23.0	6.0	890.840942383	4.0	4.0	311.133009434	0.0	-0.0461901128292	-0.993739783764	0.101723223925	57.0256097382	6.21676496713	-44.951499939	66.7772521973	-58.2753486633	0.282833218575	11.0	1.77999997139	273.164087772	1.0	4.5	0.999999999713	1.0	1
1.0	2583.76489258	1.0	1.0	180.797790527	1.0	1.0	60.1171989441	3.2437169891	0.186469867826	-0.83459186554	-0.518348753452	35.4071584587	1.77284990567	-25.1911506653	63.9636497498	-70.6984481812	0.546393334866	0.0	0.0	0.0	0.0	0.0	0.267546153496	1.0	1
1.0	6630.35058594	20.0	4.0	800.44140625	3.0	3.0	214.101701736	0.0	0.998023033142	-0.0332724563777	0.0533185079694	36.1003071695	11.2733941874	-20.1104507446	56.6704483032	-76.1733551025	0.692411124706	6.0	9.68000030518	149.765799522	1.0	7.05999994278	0.999996614199	1.0	1
1.0	4579.11621094	6.0	1.0	438.84576416	2.0	2.0	121.289099693	2.95401923956	0.716356039047	0.674308359623	-0.179282352328	64.3889472149	3.38127302067	-19.7892494202	45.6051025391	-80.0488510132	0.584346711636	0.0	0.0	0.0	0.0	0.0	0.968150527953	1.0	1
1.0	3063.70141602	8.0	4.0	871.116943359	4.0	4.0	239.414313316	0.0	0.998022556305	-0.0332753174007	0.0533264800906	44.3817969046	3.64647548288	-45.9071998596	51.643447876	-62.5103530884	0.521735429764	6.0	1.77999997139	180.351554871	2.0	24.9200000763	0.98147115292	1.0	1
1.0	1661.69580078	4.0	1.0	157.787200928	1.0	1.0	42.1875009537	0.0	0.0461879707873	0.993750870228	-0.10161691159	51.1236485533	9.27490675229	-18.4435005188	52.8297996521	-78.5735015869	0.775998651981	1.0	7.28000020981	17.9297008514	0.0	7.28000020981	0.471131385679	1.0	1
1.0	4275.04833984	10.0	3.0	223.531799316	2.0	2.0	176.132881403	0.0	-0.0461835600436	-0.993750035763	0.10162679106	60.4612963752	1.01745985519	-7.05694484711	58.7676506042	-75.7409057617	0.319573938847	2.0	10.5200004578	59.0625019073	1.0	10.5200004578	0.995553873072	1.0	1
1.0	3070.27587891	2.0	1.0	481.579772949	3.0	3.0	114.960980654	0.0	0.998022556305	-0.0332753174007	0.0533264800906	30.5114004372	3.64647548288	-45.9071998596	51.643447876	-62.5103530884	0.521735429764	1.0	7.71999979019	16.875	1.0	7.71999979019	0.741810155703	1.0	1
1.0	4515.01611328	9.0	4.0	650.872192383	3.0	3.0	281.601782084	0.0	0.998022556305	-0.0332753174007	0.0533264800906	44.3817969046	3.64647548288	-45.9071998596	51.643447876	-62.5103530884	0.521735429764	3.0	7.71999979019	73.8281002045	1.0	7.71999979019	0.992634400825	1.0	1
1.0	2509.98852539	1.0	1.0	159.805496216	2.0	2.0	46.4062492847	2.62929265667	0.943747401237	0.261293679476	-0.202648848295	49.5496885042	9.22982856897	-32.4085502625	63.5950546265	-70.1704483032	0.528981745243	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4759.42578125	17.0	5.0	1096.05883789	3.0	3.0	185.624967098	0.0	-0.0314099416137	0.976060330868	-0.215220063925	34.8390814557	9.72891812276	-40.9481506348	60.1376495361	-60.4942474365	0.608378171921	12.0	5.82000017166	330.644597054	0.0	24.9799995422	0.999982219792	1.0	1
1.0	2166.05859375	3.0	1.0	204.967987061	3.0	3.0	76.3768459558	0.0	-0.0314127318561	0.976040840149	-0.215307950974	45.5409167415	1.11747193884	-37.9486503601	70.0526504517	-56.9897003174	0.3340883255	6.0	5.82000017166	120.849688768	1.0	6.32000017166	0.471814083332	1.0	1
1.0	7163.45605469	19.0	5.0	378.67010498	2.0	2.0	106.347614288	0.0	0.999275922775	0.0343769788742	0.0163075458258	60.719694891	7.90588016173	-41.4723510742	60.1273002625	-63.3105506897	0.59750688076	5.0	7.01999998093	164.355400085	0.0	21.3799991608	0.999999059152	1.0	1
1.0	3663.3684082	12.0	4.0	474.205383301	4.0	4.0	86.0450103283	0.0	-0.0314099416137	0.976060330868	-0.215220063925	51.5403527247	10.0195841708	-40.9481506348	60.1376495361	-60.4942474365	0.69774210453	3.0	7.01999998093	56.074190259	1.0	8.85999965668	0.987936734941	1.0	1
1.0	5094.66796875	10.0	4.0	491.575500488	3.0	3.0	207.861318827	0.0	-0.999275863171	-0.0343797728419	-0.016305508092	49.5895580498	2.11617195576	-1.03371548653	71.0596008301	-60.5403518677	0.355725288391	3.0	5.69999980927	73.476600647	1.0	13.6599998474	0.999382345893	1.0	1
1.0	3970.81665039	3.0	1.0	220.601196289	4.0	4.0	76.3768459558	0.0	-0.0314127318561	0.976040840149	-0.215307950974	48.1279093074	1.11747193884	-37.9486503601	70.0526504517	-56.9897003174	0.3340883255	9.0	5.82000017166	170.156388521	1.0	6.32000017166	0.808084247166	1.0	1
1.0	5655.72363281	12.0	8.0	939.727294922	4.0	4.0	361.581910729	0.0	0.0314280763268	-0.976040303707	0.215307831764	31.297361571	5.59783360266	-3.35860991478	82.3990478516	-46.2513008118	0.704107820988	16.0	5.69999980927	434.091988683	4.0	14.7399997711	0.99986327573	1.0	1
1.0	2570.78393555	2.0	1.0	159.805496216	2.0	2.0	46.4062492847	2.62929265667	0.943747401237	0.261293679476	-0.202648848295	49.5496885042	9.22982856897	-32.4085502625	63.5950546265	-70.1704483032	0.528981745243	0.0	0.0	0.0	0.0	0.0	0.105948386439	1.0	1
1.0	4627.41162109	12.0	4.0	696.544433594	5.0	4.0	214.628949881	0.0	0.0314280763268	-0.976040303707	0.215307831764	31.297361571	5.59783360266	-3.35860991478	82.3990478516	-46.2513008118	0.704107820988	3.0	5.69999980927	75.4101982117	2.0	13.6599998474	0.995937886799	1.0	1
1.0	2604.94067383	1.0	1.0	230.695999146	1.0	1.0	60.5322401524	2.42693631842	0.421801060438	0.895980894566	-0.138931930065	37.9592918389	0.0	-44.2880020142	71.2332000732	-62.0368995667	0.572147727013	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	9623.86425781	20.0	6.0	592.11895752	3.0	3.0	314.504379272	0.0	0.998985409737	-0.0365977287292	0.0262435786426	66.5033995254	2.16920636567	-1.53544044495	73.4676055908	-47.2353515625	0.621828079224	10.0	3.74000000954	280.29059124	4.0	21.9799995422	1.0	1.0	1
1.0	2135.85864258	7.0	3.0	536.368408203	3.0	3.0	103.957499146	0.0	-0.0429979115725	-0.985947549343	0.161426976323	45.1739219854	11.5644146958	-48.3808517456	64.6258468628	-58.4312515259	0.531449377537	7.0	1.55999994278	221.074218869	2.0	15.0600004196	0.665549305883	1.0	1
1.0	7951.31689453	21.0	8.0	1161.17004395	4.0	4.0	555.317345023	0.0	-0.998985409737	0.0365977026522	-0.0262435581535	70.7701874633	3.04478547266	-2.39622998238	62.6407012939	-29.8651504517	0.954306721687	9.0	3.74000000954	240.812959671	2.0	9.23999977112	0.999999999977	1.0	1
1.0	2628.01000977	2.0	1.0	230.695999146	1.0	1.0	60.5322401524	2.42693631842	0.421801060438	0.895980894566	-0.138931930065	48.5275322546	0.0	-44.2880020142	71.2332000732	-62.0368995667	0.572147727013	0.0	0.0	0.0	0.0	0.0	0.220047473323	1.0	1
1.0	3879.53466797	12.0	3.0	838.195068359	1.0	1.0	115.80086267	0.0	0.998985350132	-0.0365989468992	0.0262444522232	39.0916672357	2.74696130194	-55.5625495911	57.1707992554	-57.3494491577	0.768060803413	12.0	1.55999994278	302.661212206	6.0	15.0600004196	0.99997074723	1.0	1
1.0	4039.09985352	10.0	2.0	296.059814453	2.0	2.0	171.069343805	0.0	0.0429139919579	0.985951066017	-0.161427557468	62.7749557416	27.1605087821	-27.0606994629	56.3414497375	-76.1440429688	0.336159527302	1.0	4.67999982834	14.4750995636	0.0	4.67999982834	0.99060284664	1.0	1
1.0	1188.08325195	12.0	3.0	1020.82965088	3.0	3.0	130.275903702	0.0	-0.998987436295	0.0365989692509	-0.0261648651212	60.3646734343	8.80213134271	-15.8884496689	82.2075958252	-58.067199707	0.530287086964	4.0	3.11999988556	72.3755198717	3.0	12.3599996567	0.970387253912	1.0	1
1.0	3733.42700195	10.0	3.0	557.515197754	4.0	3.0	201.335538149	0.0	-0.0429105050862	-0.985953450203	0.161414429545	40.3839150616	18.1439522412	-30.2747993469	84.0626068115	-53.4613494873	0.0528407879174	3.0	7.09999990463	114.484899521	1.0	12.3599996567	0.997977209492	1.0	1
1.0	3222.05126953	14.0	5.0	440.244689941	5.0	5.0	244.760730743	0.0	0.0429123863578	0.98595058918	-0.161430642009	44.9566971013	5.59214461322	-49.7560997009	60.9304504395	-59.1513519287	0.504974663258	7.0	3.11999988556	130.275888562	3.0	15.0600004196	0.99955426854	1.0	1
1.0	2696.41845703	2.0	1.0	104.894996643	1.0	1.0	40.42964077	3.3319963317	0.938933908939	0.182981356978	-0.291412204504	15.0666639975	0.0	-30.8051013947	60.5223999023	-67.9830474854	0.132346376777	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	7626.484375	18.0	8.0	1405.59326172	11.0	11.0	430.664069295	0.0	0.999826014042	0.0	0.0186564922333	2.39207065728	1.53509668909	-22.977399826	37.0186004639	-78.8709564209	0.76425999403	23.0	2.66000008583	438.574120045	6.0	21.0	0.999999205947	1.0	1
1.0	69.1072998047	3.0	0.0	904.565551758	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495536365594	1.0	1
1.0	8120.10742188	17.0	9.0	1400.65686035	10.0	10.0	530.859410167	0.0	0.999826014042	0.0	0.0186564922333	2.39207065728	1.53509668909	-22.977399826	37.0186004639	-78.8709564209	0.76425999403	30.0	2.66000008583	617.8710742	6.0	22.0799999237	0.999999839621	1.0	1
1.0	3287.53271484	3.0	1.0	104.894996643	1.0	1.0	40.42964077	3.3319963317	0.938933908939	0.182981356978	-0.291412204504	15.0666639975	0.0	-30.8051013947	60.5223999023	-67.9830474854	0.132346376777	0.0	0.0	0.0	0.0	0.0	0.298268101003	1.0	1
1.0	4609.20947266	11.0	7.0	526.94317627	4.0	4.0	103.711009026	0.0	0.00372833292931	0.980682194233	-0.195572197437	40.4744747399	0.0	-38.028049469	64.8743515015	-60.2503509521	0.052816182375	6.0	7.07999992371	182.812473297	1.0	22.0799999237	0.998594446974	1.0	1
1.0	4503.08056641	11.0	2.0	252.982391357	3.0	3.0	73.828110218	0.0	-0.999824285507	0.0	-0.0187458954751	34.8667787549	1.49161027059	-25.6345500946	80.5148010254	-53.8219985962	0.984772980213	4.0	2.66000008583	65.9179396629	2.0	8.11999988556	0.998054816488	1.0	1
