valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2936.97729492	2.0	1.0	441.650604248	1.0	1.0	23.7304992676	2.63150526245	0.794885396957	-0.592614889145	-0.130248680711	35.8145212399	6.46768961153	-37.3603515625	42.1324005127	-69.1504974365	0.249467715621	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	7212.15869141	17.0	2.0	450.483276367	2.0	2.0	116.015602112	1.60552169081	0.333994567394	-0.824353039265	-0.457044482231	11.8990049571	19.3522224668	-31.3218994141	39.9368972778	-74.3007507324	0.844251155853	1.0	11.0399999619	32.9589996338	1.0	11.0399999619	0.999999984987	1.0	1
1.0	6169.86328125	20.0	5.0	1223.37182617	5.0	5.0	468.017763615	0.0	0.0334225445986	0.984703123569	-0.171004861593	16.2308462088	12.8380842126	-21.7048492432	43.7538986206	-79.6450042725	0.819519400597	3.0	3.75999999046	51.416059494	2.0	24.4599990845	0.999994109704	1.0	1
1.0	4378.96679688	20.0	6.0	1647.3560791	3.0	3.0	284.765701294	0.0	-0.999347448349	0.0346069447696	0.0103470385075	36.9486767275	33.5412853401	-2.44289493561	54.2684020996	-43.7566986084	0.968445658684	0.0	0.0	0.0	1.0	11.220000267	0.999998789206	1.0	1
1.0	5156.27148438	14.0	6.0	1256.4954834	4.0	4.0	328.271602631	0.0	0.999344289303	-0.0346983931959	-0.0103469127789	42.5340568967	2.09473509887	-3.22324991226	64.8814544678	-47.3918991089	0.968608915806	2.0	3.75999999046	34.2773199081	2.0	20.5200004578	0.998485501754	1.0	1
1.0	4908.94824219	12.0	7.0	2164.08691406	7.0	7.0	533.935665607	0.0	0.999344289303	-0.0346956253052	-0.0103505048901	49.8824546042	24.2316183051	-37.0651016235	35.1421508789	-70.6611022949	0.845050811768	3.0	3.75999999046	40.8691797256	4.0	20.5200004578	0.999984167497	1.0	1
1.0	1587.73413086	7.0	3.0	2080.17358398	7.0	5.0	261.03516674	0.0	-0.999348282814	0.0346090011299	0.0102552752942	12.5461890768	21.5801664211	-25.9927005768	31.9828987122	-73.9160461426	0.608485341072	3.0	3.75999999046	52.7343597412	1.0	3.75999999046	0.997435140002	1.0	1
1.0	3873.27685547	12.0	4.0	1468.48742676	5.0	3.0	185.888658643	0.0	-0.999345242977	0.0346989445388	0.010255208239	43.1465950234	15.4628406681	-47.016998291	38.262550354	-67.4176483154	0.58570086956	0.0	0.0	0.0	1.0	20.5200004578	0.998505314855	1.0	1
1.0	2588.07250977	3.0	1.0	465.94140625	2.0	1.0	42.1875	1.82277535754	0.831971764565	-0.379176169634	-0.405028969049	32.4820507075	2.38122385566	-44.1394996643	54.9937515259	-64.0239562988	0.35623896122	0.0	0.0	0.0	0.0	0.0	0.169727924326	1.0	1
1.0	470.357910156	2.0	1.0	1170.3737793	3.0	2.0	69.8731002808	1.60552169081	0.333994567394	-0.824353039265	-0.457044482231	10.2058726141	22.1498704342	-31.3218994141	39.9368972778	-74.3007507324	0.844251155853	0.0	0.0	0.0	0.0	0.0	0.98966571877	1.0	1
1.0	2600.20092773	1.0	1.0	437.20199585	1.0	1.0	65.3906815052	0.0	0.998022556305	-0.0332753174007	0.0533264800906	30.5114004372	20.277865605	-45.9071998596	51.643447876	-62.5103530884	0.521735429764	1.0	7.71999979019	16.875	1.0	7.71999979019	-1.0	0.0	1
1.0	5670.47802734	15.0	2.0	170.936004639	2.0	2.0	84.3750038147	0.0	-0.998026132584	0.0331811197102	-0.0533185824752	33.9688596048	0.0	-38.9637489319	48.9056015015	-67.6474456787	0.781381249428	2.0	7.71999979019	43.2422008514	1.0	7.71999979019	0.992477977359	1.0	1
1.0	5782.24414062	20.0	5.0	742.915039062	5.0	4.0	211.992344618	0.0	0.998026072979	-0.0331816710532	0.0533194690943	52.5793438752	15.1591295791	-1.54226899147	56.6738014221	-43.5107498169	0.0880656540394	5.0	7.28000020981	116.015600204	1.0	7.71999979019	0.998465417064	1.0	1
1.0	7918.94726562	18.0	6.0	1807.97875977	8.0	8.0	607.500483513	0.0	0.0461925268173	0.993749558926	-0.101626940072	2.71919273192	37.6586471618	-17.4846992493	23.3088493347	-76.8804931641	0.61387014389	13.0	1.77999997139	431.367256165	2.0	24.9200000763	0.999999999995	1.0	1
1.0	2728.4050293	9.0	2.0	866.185791016	3.0	2.0	28.4765996933	0.0	-0.0461943149567	-0.993749558926	0.101626746356	19.4361442265	1.82329004733	-60.2610015869	29.9368495941	-53.7439994812	0.546396970749	2.0	9.68000030518	67.5	0.0	17.7399997711	0.711991303498	1.0	1
1.0	3773.74414062	9.0	3.0	986.16998291	2.0	1.0	21.0937700272	0.0	0.99802750349	-0.0332759320736	0.0532340444624	50.3835750882	0.0	-51.6913490295	68.4705505371	-47.2487030029	0.845683932304	3.0	9.57999992371	153.984296799	1.0	23.9200000763	0.999788576489	1.0	1
1.0	4924.27636719	8.0	3.0	1012.46795654	3.0	3.0	288.984673738	0.0	-0.0461943149567	-0.993749558926	0.101626746356	19.4361442265	1.82329004733	-60.2610015869	29.9368495941	-53.7439994812	0.546396970749	5.0	2.72000002861	149.765609264	1.0	7.71999979019	0.993299173854	1.0	1
1.0	5180.68017578	7.0	4.0	512.808410645	3.0	3.0	150.820301533	0.0	-0.0461943149567	-0.993749558926	0.101626746356	19.4361442265	1.82329004733	-60.2610015869	29.9368495941	-53.7439994812	0.546396970749	7.0	9.57999992371	334.33590126	1.0	23.9200000763	0.999991613541	1.0	1
1.0	4598.84033203	8.0	5.0	1428.30297852	4.0	4.0	244.687631369	0.0	-0.0461943149567	-0.993749558926	0.101626746356	19.4361442265	1.82329004733	-60.2610015869	29.9368495941	-53.7439994812	0.546396970749	5.0	2.72000002861	147.656207561	1.0	7.71999979019	0.995313679449	1.0	1
1.0	4166.56835938	9.0	4.0	1426.65966797	4.0	4.0	335.391061068	0.0	0.998022675514	-0.0332737416029	0.0533266663551	17.749394796	1.82329521245	-63.0967025757	29.524848938	-53.8425521851	0.424417465925	4.0	2.72000002861	198.281213284	1.0	24.9200000763	0.998513181117	1.0	1
1.0	2509.98852539	1.0	1.0	429.043701172	1.0	1.0	39.6386804581	3.16771210596	0.409266412258	-0.749752342701	-0.519973576069	25.8094708233	4.83367778384	-51.5769996643	41.7788505554	-65.1309509277	0.949605941772	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2737.53710938	11.0	2.0	324.822509766	4.0	2.0	17.402299881	2.16506350946	-0.580732524395	-0.797911167145	0.161516398191	44.0201869086	15.8310756211	-51.7601013184	59.7585525513	-57.8624992371	0.782637834549	1.0	15.1199998856	15.4687995911	0.0	15.1199998856	0.967369928889	1.0	1
1.0	3698.10961914	10.0	3.0	508.945983887	6.0	5.0	165.322303891	0.0	0.0314093194902	-0.976040959358	0.215307965875	28.7987634181	11.861755695	-57.4205474854	42.370349884	-55.5788002014	0.331871986389	11.0	4.51999998093	314.20898056	1.0	4.51999998093	0.927293394618	1.0	1
1.0	5987.49804688	16.0	8.0	627.063781738	10.0	8.0	370.28306973	0.0	0.999280273914	0.0342893414199	0.0162182506174	36.606535648	2.74046101792	-59.9662017822	61.8991470337	-45.9010009766	0.846926271915	9.0	5.69999980927	224.296899796	1.0	10.5200004578	0.999960714804	1.0	1
1.0	3910.02514648	5.0	2.0	429.043701172	1.0	1.0	57.0409803391	1.92139534276	0.241136580706	0.614681780338	-0.751012384892	4.28874096942	0.0	-50.6640510559	31.7139492035	-64.3001480103	0.17037191987	0.0	0.0	0.0	0.0	0.0	0.731970498738	1.0	1
1.0	5099.87890625	9.0	5.0	729.548278809	4.0	4.0	326.777216554	0.0	0.999280273914	0.0342893414199	0.0162182506174	37.3253746632	2.74046101792	-59.9662017822	61.8991470337	-45.9010009766	0.846926271915	8.0	5.82000017166	210.761788607	1.0	6.32000017166	0.969472463963	1.0	1
1.0	2749.69311523	6.0	1.0	178.912597656	2.0	2.0	33.8378982544	0.0	0.0314093194902	-0.976040959358	0.215307965875	28.7987634181	1.77947320494	-57.4205474854	42.370349884	-55.5788002014	0.331871986389	2.0	4.51999998093	49.3066806793	1.0	4.51999998093	0.753627685408	1.0	1
1.0	4957.4453125	12.0	6.0	576.690246582	5.0	5.0	121.816332579	0.0	0.999280273914	0.0342927612364	0.0162182766944	51.6494626515	0.0	-30.8385009766	77.6635437012	-57.0898971558	0.93327832222	7.0	5.82000017166	152.753987551	1.0	6.32000017166	0.999902523974	1.0	1
1.0	2916.45092773	3.0	3.0	154.594604492	2.0	2.0	116.015697479	0.0	-0.0314106680453	0.976059794426	-0.215222612023	57.4166621784	11.4156445419	-15.6426506042	56.9544525146	-74.6251525879	0.368223667145	2.0	4.51999998093	40.6054782867	1.0	4.51999998093	0.61105030054	1.0	1
1.0	5223.20800781	8.0	6.0	838.979614258	6.0	6.0	320.976498961	0.0	-0.0314092710614	0.976041078568	-0.215307623148	20.0740405014	1.77947353989	-52.4447479248	30.8148498535	-57.129699707	0.596822023392	13.0	4.51999998093	296.80687809	2.0	8.07999992371	0.996091682147	1.0	1
1.0	2604.94067383	1.0	1.0	822.815429688	1.0	1.0	69.7437095642	0.0	-0.0429979115725	-0.985947549343	0.161426976323	35.3559674397	9.28630282874	-56.237953186	55.2308502197	-58.3442497253	0.292186677456	5.0	3.11999988556	43.4252892733	6.0	21.9799995422	-1.0	0.0	1
1.0	7388.03369141	20.0	6.0	1107.34008789	3.0	3.0	351.350161076	0.0	0.0429393276572	0.985949993134	-0.161427378654	23.0895671851	3.70359908663	-2.02691507339	32.2270507812	-67.7678527832	0.924017250538	8.0	1.55999994278	119.748561263	6.0	21.9799995422	0.999999999877	1.0	1
1.0	2051.27050781	4.0	1.0	745.916748047	1.0	1.0	34.2138805389	0.0	0.998985350132	-0.0365988351405	0.0262443721294	38.9016218382	3.57413309964	-50.5075531006	57.9893989563	-58.6824493408	0.606688380241	2.0	6.11999988556	53.9526004791	2.0	21.9799995422	0.124364718977	1.0	1
1.0	6909.34033203	15.0	4.0	1424.54736328	7.0	6.0	540.842361808	0.0	0.998985409737	-0.0365977026522	0.0262435581535	18.6689794107	15.8552531782	-3.86254000664	67.604095459	-63.2235488892	0.702051639557	12.0	1.55999994278	268.447342157	4.0	10.1400003433	0.999994353185	1.0	1
