valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	282.70199585	1.0	1.0	673.88269043	4.0	2.0	46.4062995911	0.0	-0.99802583456	0.0331823192537	-0.0533238910139	1.12708497227	27.2364849208	-1.94332003593	52.2052001953	-60.3738479614	0.692391097546	2.0	11.4799995422	78.0469017029	0.0	12.6199998856	0.187595698276	1.0	1
1.0	41.6884002686	1.0	1.0	171.964996338	1.0	1.0	7.73437976837	3.35991064725	0.115532748401	-0.969566166401	0.215855509043	1.37021980799	1.7847297543	-0.597302019596	28.2515983582	-63.7490005493	0.737458884716	0.0	0.0	0.0	0.0	0.0	0.0386526322225	1.0	1
1.0	33.0032997131	1.0	1.0	284.87109375	3.0	2.0	41.5722990036	0.0	0.999278783798	0.03429101035	0.016309035942	0.0	22.7202947162	-1.41991949081	19.2189483643	-63.1864509583	0.824376285076	1.0	6.13999986649	13.535200119	0.0	6.13999986649	0.148741774557	1.0	1
1.0	134.572494507	2.0	1.0	263.377807617	3.0	1.0	26.3183994293	2.66528981148	0.177124783397	0.834399521351	0.521923601627	5.32461315774	7.41921210453	-0.365350008011	41.5913467407	-44.5663986206	0.981723427773	0.0	0.0	0.0	0.0	0.0	0.194863782741	1.0	1
1.0	217.238189697	1.0	1.0	282.601989746	1.0	1.0	26.3183794022	0.0	-0.998985350132	0.0365979969501	-0.0262437704951	1.24599420515	4.28954808556	-2.74268507957	35.3194999695	-59.1879501343	0.0791068971157	1.0	14.5799999237	47.3730010986	0.0	14.5799999237	0.299745953528	1.0	1
1.0	138.417007446	1.0	1.0	240.308197021	2.0	2.0	71.0595979691	0.0	-0.0429393276572	-0.985949993134	0.161427378654	3.70359908663	11.486062934	-2.02691507339	32.2270507812	-67.7678527832	0.924017250538	1.0	14.5799999237	47.3730010986	1.0	7.96000003815	0.375469823052	1.0	1
1.0	96.1231994629	1.0	1.0	403.71697998	2.0	2.0	44.7412004471	0.0	-0.998985350132	0.0365979969501	-0.0262437704951	1.24599420515	4.28954808556	-2.74268507957	35.3194999695	-59.1879501343	0.0791068971157	1.0	14.5799999237	47.3730010986	1.0	10.220000267	0.329385224444	1.0	1
1.0	20.9790000916	1.0	1.0	87.6182022095	1.0	1.0	27.246099472	2.93995239479	-0.240326657891	-0.952770531178	0.185664474964	3.59692733289	6.94684637959	3.41743516922	32.7922973633	-64.7216033936	0.94412612915	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	20.9790000916	1.0	1.0	930.481079102	4.0	1.0	79.9805011749	2.2360679775	-0.018902702257	0.167094185948	0.985759735107	2.31897242217	23.6600398426	5.43483495712	46.7725982666	-56.4084014893	0.365524470806	0.0	0.0	0.0	0.0	0.0	0.257726866721	1.0	1
1.0	20.9790000916	1.0	1.0	175.236404419	2.0	2.0	35.1562595367	2.93995239479	-0.240326657891	-0.952770531178	0.185664474964	3.59692733289	9.40996490829	3.41743516922	32.7922973633	-64.7216033936	0.94412612915	0.0	0.0	0.0	0.0	0.0	0.0395301905642	1.0	1
1.0	43.8306999207	1.0	1.0	123.274002075	1.0	1.0	31.9922008514	3.23752989295	0.207406237721	-0.941935956478	0.26408213377	0.0	7.0357629831	-5.59108543396	30.5738487244	-64.0429458618	0.290374785662	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	43.8306999207	1.0	1.0	445.156005859	3.0	2.0	53.7012004852	1.36265549604	0.477616578341	0.676985800266	0.55997556448	0.0	22.2416565071	-7.71893978119	51.109703064	-63.1968536377	0.121862262487	0.0	0.0	0.0	0.0	0.0	0.108120704679	1.0	1
1.0	43.8306999207	1.0	1.0	357.49407959	3.0	2.0	53.7012004852	1.36265549604	0.477616578341	0.676985800266	0.55997556448	0.0	5.81519542257	-7.71893978119	51.109703064	-63.1968536377	0.121862262487	0.0	0.0	0.0	0.0	0.0	0.108120704679	1.0	1
1.0	265.793518066	2.0	1.0	26.7199993134	2.0	2.0	40.4296989441	2.74924900898	0.0711811929941	-0.958207726479	0.277076154947	12.9045107503	7.95856833652	-4.55864477158	25.7115001678	-67.9748535156	0.860345065594	0.0	0.0	0.0	0.0	0.0	0.265913306516	1.0	1
1.0	98.442199707	1.0	1.0	573.77746582	2.0	2.0	12.3046898842	0.0	0.995689451694	-0.0703885480762	-0.0603980608284	1.9633167924	27.2037117165	-4.80924987793	24.5903511047	-51.168548584	0.10808506608	0.0	0.0	0.0	1.0	10.5	0.165456853818	1.0	1
1.0	753.785705566	1.0	1.0	99.8485031128	1.0	1.0	73.8281388283	2.74924900898	-0.0711811929941	0.958207726479	-0.277076154947	18.6932702996	11.3170878344	-4.55864477158	25.7115001678	-67.9748535156	0.860345065594	0.0	0.0	0.0	0.0	0.0	0.274061588961	1.0	1
1.0	29.6996002197	2.0	1.0	288.333618164	2.0	1.0	14.0	0.0	0.0177974011749	0.144278898835	-0.98937702179	1.85675974054	2.14862581295	-2.30836009979	25.9315986633	-53.1822509766	0.199929624796	1.0	7.26000022888	16.0	0.0	7.26000022888	0.0698858903164	1.0	1
1.0	97.2081985474	1.0	1.0	146.427490234	2.0	1.0	25.0	3.07147846942	-0.00734556280077	-0.922679364681	0.385497957468	2.46138979676	3.29264104079	-2.28543996811	25.8218002319	-54.2734985352	0.625253140926	0.0	0.0	0.0	0.0	0.0	0.124353001772	1.0	1
1.0	97.2081985474	1.0	1.0	175.958999634	1.0	1.0	44.0	3.17797100403	-0.100775159895	-0.993806779385	-0.0468229688704	0.0	2.0656534998	-1.33754003048	26.8483009338	-74.9764556885	0.08881495893	0.0	0.0	0.0	0.0	0.0	0.216518061493	1.0	1
1.0	97.2081985474	1.0	1.0	254.709899902	2.0	2.0	69.0	3.07147846942	-0.00734556280077	-0.922679364681	0.385497957468	2.46138979676	3.29264104079	-2.28543996811	25.8218002319	-54.2734985352	0.625253140926	0.0	0.0	0.0	0.0	0.0	0.331933853504	1.0	1
1.0	85.2643966675	1.0	1.0	174.183105469	2.0	1.0	18.0	3.32346200006	-0.00430119829252	0.972181200981	0.234190642834	1.51531499465	21.9393946164	-5.40686988831	41.8595504761	-61.6148986816	0.658941149712	0.0	0.0	0.0	0.0	0.0	0.761594155956	1.0	1
1.0	85.2643966675	1.0	1.0	140.077301025	2.0	2.0	55.0	3.04526183633	-0.112049281597	-0.991320610046	0.0687643885612	0.0	1.06021950518	-6.65195512772	24.6494483948	-82.8258972168	0.0192565619946	0.0	0.0	0.0	0.0	0.0	0.268271182022	1.0	1
