valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1735.68847656	8.0	4.0	666.892578125	4.0	4.0	258.398296356	0.0	-0.033436357975	-0.984697878361	0.171032294631	33.145770316	3.31277507863	-5.51282501221	101.968505859	-17.5627994537	0.0243887901306	3.0	9.76000022888	129.199199677	1.0	11.6400003433	0.998485496995	1.0	1
1.0	66.2475967407	1.0	1.0	39.7486000061	1.0	1.0	38.2323989868	2.03623421323	0.193133503199	-0.958944618702	-0.207664951682	7.31049051959	1.78383996962	-2.18322491646	86.8997497559	-23.1562004089	0.869072794914	0.0	0.0	0.0	0.0	0.0	0.188866997047	1.0	1
1.0	914.217163086	2.0	2.0	39.7486000061	1.0	1.0	88.3300971985	1.5495709133	0.0157585851848	0.659848868847	-0.751233100891	23.6312202459	0.0	-1.57555508614	83.8298492432	-8.14978504181	0.454591989517	0.0	0.0	0.0	0.0	0.0	0.294258859937	1.0	1
1.0	432.271514893	1.0	1.0	192.30279541	1.0	1.0	45.351600647	2.60007881265	0.834070324898	-0.542808830738	0.0984137281775	2.67114524468	2.10493691828	-14.4281005859	105.031005859	-8.82090473175	0.9630843997	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1132.45214844	10.0	5.0	445.419219971	4.0	4.0	218.320209026	0.0	-0.0461943224072	-0.993749678135	0.101624883711	19.0269239298	16.1099395209	-16.4319000244	93.7121429443	19.6711006165	0.59924441576	2.0	2.46000003815	44.2968800068	2.0	15.1199998856	0.984160876344	1.0	1
1.0	297.494812012	4.0	1.0	410.903381348	3.0	1.0	22.148399353	0.0	0.998009264469	-0.0337085537612	0.0533029176295	12.7695808398	22.0345873747	-12.2614498138	102.763000488	1.62226998806	0.61248087883	1.0	15.1199998856	42.1875	1.0	15.1199998856	0.0946374335177	1.0	1
1.0	1707.71838379	7.0	5.0	256.403686523	3.0	3.0	217.265602708	0.0	0.0461933910847	0.993749797344	-0.101624898612	31.5075219271	1.43318157871	-5.48399019241	81.8468475342	17.1311988831	0.642599105835	6.0	2.46000003815	159.257881403	3.0	15.1199998856	0.995264095312	1.0	1
1.0	479.936431885	2.0	2.0	292.563415527	3.0	2.0	84.3751010895	2.13304477866	-0.859916388988	-0.112929314375	0.497785806656	0.0	11.2058088634	-22.3758010864	107.055000305	-6.54442024231	0.428206026554	0.0	0.0	0.0	0.0	0.0	0.296665666619	1.0	1
1.0	466.787109375	2.0	0.0	340.228393555	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.4903804831e-06	1.0	1
1.0	448.707702637	2.0	1.0	192.30279541	1.0	1.0	45.351600647	2.60007881265	0.834070324898	-0.542808830738	0.0984137281775	2.67114524468	2.10493691828	-14.4281005859	105.031005859	-8.82090473175	0.9630843997	0.0	0.0	0.0	0.0	0.0	0.105079661378	1.0	1
1.0	936.86126709	6.0	3.0	405.973022461	2.0	2.0	88.5937008858	0.0	0.998009264469	-0.0337085537612	0.0533029176295	17.0625697543	15.8935400166	-12.2614498138	102.763000488	1.62226998806	0.66283506155	2.0	15.1199998856	102.304698944	2.0	15.1199998856	0.995737136432	1.0	1
1.0	391.181121826	1.0	1.0	471.717193604	3.0	2.0	43.2422008514	0.0	0.0461987927556	0.993748366833	-0.101636596024	3.22441299182	1.01736178451	-17.4659004211	104.024497986	-16.0799999237	0.789359390736	0.0	0.0	0.0	1.0	10.0	0.110291501025	1.0	1
1.0	968.090087891	6.0	5.0	427.339904785	5.0	5.0	276.327992201	0.0	0.99802583456	-0.0331820249557	0.0533225759864	31.3135506155	1.12709480863	-3.09952497482	82.5447006226	-16.0010490417	0.922321915627	4.0	3.20000004768	120.23442173	5.0	15.1199998856	0.99322834605	1.0	1
1.0	331.770599365	2.0	1.0	109.432098389	1.0	1.0	21.2695007324	3.2663587996	0.243459641933	-0.0558358542621	0.968302488327	28.8907369691	0.0	-11.0681447983	106.992004395	-7.64376449585	0.107089146972	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2063.57617188	10.0	6.0	369.985595703	3.0	3.0	225.26374507	0.0	-0.999277234077	-0.0343797840178	-0.0162197668105	21.9305781125	8.59470786565	-3.68715500832	96.2296981812	-19.8347015381	0.228680387139	3.0	7.36000013351	71.5429000854	3.0	11.8999996185	0.991384881287	1.0	1
1.0	574.952880859	5.0	1.0	109.432098389	1.0	1.0	21.2695007324	3.2663587996	0.243459641933	-0.0558358542621	0.968302488327	26.8845322848	0.0	-11.0681447983	106.992004395	-7.64376449585	0.107089146972	0.0	0.0	0.0	0.0	0.0	0.105948386439	1.0	1
1.0	396.04019165	6.0	3.0	555.846374512	6.0	4.0	120.849759102	0.0	-0.0314110256732	0.976040959358	-0.215307965875	38.6526025209	8.7881744343	-22.7603492737	88.3704528809	20.7236995697	0.847745239735	1.0	7.71999979019	14.501999855	1.0	11.1800003052	0.99282536384	1.0	1
1.0	33.0032997131	1.0	1.0	448.150390625	2.0	1.0	13.535200119	3.83247956153	-0.176423460245	-0.694426596165	0.697600483894	0.0	16.8205574326	-24.8118515015	101.55255127	12.8668699265	0.142091393471	0.0	0.0	0.0	0.0	0.0	0.321702518112	1.0	1
1.0	609.692810059	3.0	3.0	224.075698853	3.0	1.0	90.8788809776	0.0	-0.999277234077	-0.0343797840178	-0.0162197668105	21.9305781125	8.59470786565	-3.68715500832	96.2296981812	-19.8347015381	0.228680387139	1.0	7.94000005722	23.2031002045	0.0	7.94000005722	0.670752240552	1.0	1
1.0	1558.10510254	6.0	5.0	93.7990036011	2.0	2.0	137.285069227	0.0	0.999276399612	0.0343800596893	0.0162717550993	35.5801338228	3.82015797433	-8.80844974518	103.636497498	0.864362478256	0.0873370170593	3.0	7.36000013351	72.5096969604	1.0	7.36000013351	0.97975093104	1.0	1
1.0	1361.82165527	4.0	3.0	336.981811523	3.0	3.0	190.458981514	0.0	-0.999280333519	-0.0342897064984	-0.0162185132504	11.5751059608	1.13451778049	-20.9470500946	86.2565460205	18.4253997803	0.219489753246	1.0	8.38000011444	33.8378982544	1.0	11.8999996185	0.816309466127	1.0	1
