valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	311.36340332	3.0	1.0	298.114318848	3.0	1.0	36.914100647	2.6372732526	-0.549032986164	-0.398753464222	0.734546422958	9.03570890076	4.99664709205	-22.8476486206	-62.9515991211	-38.5210494995	0.960976243019	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1843.89135742	11.0	5.0	1965.3458252	7.0	6.0	309.814522386	0.0	-0.0334091447294	-0.984706938267	0.170985862613	27.2072362362	31.9124062453	-3.98115491867	-37.2770500183	-38.7471008301	0.478755772114	3.0	7.34000015259	108.105501175	0.0	17.3400001526	0.999902352437	1.0	1
1.0	1267.53759766	9.0	2.0	1733.47875977	7.0	2.0	36.9140996933	0.0	-0.0334091447294	-0.984706938267	0.170985862613	5.36849226771	31.9124062453	-3.98115491867	-37.2770500183	-38.7471008301	0.312374591827	1.0	9.89999961853	36.914100647	0.0	9.89999961853	0.978777155587	1.0	1
1.0	1753.35302734	9.0	3.0	1740.10327148	5.0	3.0	204.345700264	0.0	-0.99934732914	0.0346072651446	0.0103471335024	26.544031953	24.8613980164	-35.3619995117	-50.2035980225	-45.0503005981	0.412015408278	3.0	5.01999998093	72.5098013878	1.0	5.01999998093	0.999962700025	1.0	1
1.0	92.7467041016	2.0	1.0	161.202606201	2.0	1.0	36.914100647	2.6372732526	0.549032986164	0.398753464222	-0.734546422958	7.73482479753	9.03570890076	-22.8476486206	-62.9515991211	-38.5210494995	0.960976243019	0.0	0.0	0.0	0.0	0.0	0.863049697781	1.0	1
1.0	1000.33850098	8.0	6.0	1441.98962402	7.0	4.0	321.679599285	0.0	-0.0334190763533	-0.984690725803	0.171076923609	40.1906057436	0.0	-19.7039489746	-30.035949707	-65.0926513672	0.61567056179	2.0	5.01999998093	29.0039000511	1.0	5.01999998093	0.994046634206	1.0	1
1.0	313.57220459	2.0	1.0	801.596313477	7.0	2.0	46.1426010132	2.37236589622	0.331425338984	-0.365443199873	0.869832396507	0.0	35.1544947478	-10.5415344238	-63.9223480225	-38.5537490845	0.144551977515	0.0	0.0	0.0	0.0	0.0	0.392949618305	1.0	1
1.0	810.428588867	6.0	3.0	1064.37792969	5.0	2.0	139.746099472	0.0	-0.99934732914	0.0346072651446	0.0103471335024	3.73940968797	24.8613980164	-35.3619995117	-50.2035980225	-45.0503005981	0.412015408278	1.0	5.01999998093	6.59180021286	1.0	5.01999998093	0.989933271454	1.0	1
1.0	876.676330566	6.0	1.0	806.012939453	6.0	2.0	65.9180011749	2.2184791937	-0.0267930999398	-0.884714841843	0.46536180377	25.9938793314	11.7994836209	-34.8875007629	-53.5811004639	-41.7574005127	0.791571378708	0.0	0.0	0.0	0.0	0.0	0.90205723301	1.0	1
1.0	446.066802979	7.0	5.0	284.864807129	3.0	2.0	102.832018495	1.32998872028	-0.00376000674441	-0.375561326742	0.926789939404	1.57444454874	24.3728176607	-21.8221492767	-68.5664520264	-28.5126495361	0.487302958965	0.0	0.0	0.0	0.0	0.0	0.981129242867	1.0	1
1.0	238.324905396	2.0	0.0	285.989379883	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.4903804831e-06	0.0	1
1.0	1610.74462891	6.0	2.0	816.878051758	6.0	2.0	91.7577803135	0.0	-0.0461879894137	-0.993751227856	0.101613201201	38.297432804	26.8770575157	-17.2685012817	-34.7139015198	-62.1456985474	0.822835326195	1.0	5.44000005722	11.6015996933	0.0	5.44000005722	0.997051018629	1.0	1
1.0	913.85144043	7.0	2.0	851.393493652	5.0	3.0	86.4842987061	2.46803157348	-0.0671521350741	-0.501145243645	0.862753748894	20.0084287049	20.693948438	-12.529299736	-67.2836990356	-28.2092494965	0.96300303936	0.0	0.0	0.0	0.0	0.0	0.932464955835	1.0	1
1.0	1306.67565918	10.0	2.0	956.584960938	5.0	5.0	131.835899353	1.2340178154	-0.65647059679	0.0878669694066	0.749216735363	49.7258131572	10.5286630232	-38.6425514221	-33.606300354	-52.5097999573	0.432708054781	0.0	0.0	0.0	0.0	0.0	0.986603870979	1.0	1
1.0	269.553588867	3.0	1.0	470.074707031	3.0	2.0	78.0469017029	0.0	0.9980276227	-0.03327254951	0.053234051913	3.67248309356	33.5665714913	-21.0911502838	-58.8467483521	-41.0595016479	0.51842302084	2.0	6.90000009537	40.0781993866	1.0	6.90000009537	0.450363767838	1.0	1
1.0	1352.69726562	8.0	4.0	999.319335938	5.0	3.0	164.531281948	0.0	-0.0461943149567	-0.993749558926	0.101626746356	1.5126667845	42.8056207406	-32.2051010132	-65.1597442627	-17.8736000061	0.391472071409	4.0	5.44000005722	70.6641988754	2.0	8.56000041962	0.975441738755	1.0	1
1.0	1196.55358887	7.0	2.0	540.749938965	4.0	2.0	28.4765195847	0.0	-0.0461943149567	-0.993749558926	0.101626746356	1.5126667845	2.09660531824	-32.2051010132	-65.1597442627	-17.8736000061	0.391472071409	1.0	8.56000041962	18.9843997955	1.0	8.56000041962	0.875292296387	1.0	1
1.0	1591.02185059	6.0	2.0	603.207397461	4.0	3.0	45.3515999317	0.0	-0.0461943149567	-0.993749558926	0.101626746356	1.5126667845	40.4385082467	-32.2051010132	-65.1597442627	-17.8736000061	0.391472071409	1.0	8.56000041962	18.9843997955	1.0	8.56000041962	0.965751914107	1.0	1
1.0	1109.44140625	5.0	0.0	522.670288086	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.4903804831e-06	1.0	1
1.0	775.787414551	6.0	1.0	869.473632812	5.0	2.0	51.6797208786	0.0	-0.998022675514	0.0332719907165	-0.0533265769482	12.4946356898	27.8006097301	-13.9628000259	-54.2611503601	-44.0682525635	0.443669319153	1.0	6.90000009537	18.9843997955	1.0	6.90000009537	0.985735021246	1.0	1
1.0	281.396911621	2.0	1.0	369.985015869	3.0	1.0	40.6054992676	0.0	0.999278962612	0.0342862978578	0.0163075942546	10.7949980279	2.2688364354	-21.9652500153	-50.2921524048	-42.7864494324	0.453304439783	1.0	1.10000002384	2.90038990974	0.0	1.10000002384	-1.0	0.0	1
