valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	298.114318848	3.0	1.0	492.440795898	1.0	1.0	50.0976018906	0.0	0.999347865582	-0.0346038229764	-0.0103111825883	5.60576171109	8.880193346	-18.8694992065	-71.7046966553	-3.57433986664	0.870968222618	1.0	4.46000003815	7.9101600647	1.0	4.46000003815	-1.0	0.0	1
1.0	1905.72265625	8.0	2.0	1223.37316895	4.0	3.0	108.105400085	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	3.96387091667	20.2557379988	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	1.0	5.34000015259	23.7304992676	1.0	5.34000015259	0.997922404923	1.0	1
1.0	1596.56616211	6.0	3.0	956.174499512	3.0	2.0	109.423838973	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	3.96387091667	29.584129244	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	3.0	5.34000015259	98.8770008087	1.0	5.34000015259	0.976135466756	1.0	1
1.0	262.782196045	3.0	1.0	459.316986084	1.0	1.0	43.5057992935	0.0	-0.0334184803069	-0.984702110291	0.171011373401	6.70186690326	3.8067127767	-14.9137496948	-69.7189483643	-7.60387516022	0.0111067295074	1.0	7.32000017166	31.6406002045	0.0	7.32000017166	0.0723830023644	1.0	1
1.0	1269.74633789	8.0	3.0	1236.6229248	2.0	2.0	135.790859818	0.0	-0.0334184803069	-0.984702110291	0.171011373401	19.7857389012	3.8067127767	-14.9137496948	-69.7189483643	-7.60387516022	0.0111067295074	3.0	5.34000015259	100.195299149	1.0	5.34000015259	0.986568775629	1.0	1
1.0	706.641357422	6.0	2.0	629.352783203	2.0	2.0	102.831900597	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	3.96387091667	20.2557379988	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	2.0	4.46000003815	31.6406593323	2.0	5.34000015259	0.387361256503	1.0	1
1.0	1236.62255859	8.0	3.0	1236.6229248	2.0	2.0	106.787000656	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	3.96387091667	20.2557379988	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	2.0	5.34000015259	68.5546989441	1.0	5.34000015259	0.978777173259	1.0	1
1.0	390.861022949	4.0	1.0	492.440795898	1.0	1.0	50.0976018906	0.0	0.999347865582	-0.0346038229764	-0.0103111825883	5.60576171109	8.880193346	-18.8694992065	-71.7046966553	-3.57433986664	0.870968222618	1.0	4.46000003815	7.9101600647	1.0	4.46000003815	0.214162120569	1.0	1
1.0	1002.54748535	6.0	4.0	585.187805176	3.0	2.0	84.3749227524	0.0	0.999347865582	-0.0346038229764	-0.0103111825883	17.0393902565	20.3788235125	-18.8694992065	-71.7046966553	-3.57433986664	0.870968222618	1.0	4.46000003815	7.9101600647	1.0	4.46000003815	0.964761794383	1.0	1
1.0	285.989379883	2.0	1.0	116.696792603	1.0	1.0	7.38281011581	2.99018557837	0.528913617134	0.527277827263	0.665002703667	0.0	0.0	-3.26871538162	-69.0310058594	-2.31964993477	0.0337354838848	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1214.63317871	7.0	2.0	271.197021484	4.0	1.0	69.6094791889	0.0	0.998023092747	-0.0332690142095	0.0533218048513	34.4408708366	1.01755879506	-21.9214496613	-70.831451416	-13.8817501068	0.447703629732	3.0	3.75999999046	44.2968893051	2.0	7.80000019073	0.98295760804	1.0	1
1.0	1334.61706543	5.0	3.0	1066.70666504	5.0	3.0	130.781218529	1.89390865203	-0.54203659296	0.80308753252	0.247480615973	0.0	27.467701203	-4.41394996643	-61.4727478027	14.1430492401	0.123540513217	0.0	0.0	0.0	0.0	0.0	0.983310365003	1.0	1
