valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1101.91833496	2.0	0.0	746.390380859	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.446846551154	0.0	1
1.0	4509.25390625	14.0	3.0	1492.78063965	10.0	4.0	300.586101532	0.0	0.0334220714867	0.984689235687	-0.171085357666	50.9432751711	2.20827472057	-31.4168510437	-12.7037000656	-64.2808532715	0.461837381124	11.0	4.0	276.855458856	3.0	9.27999973297	0.999999992131	1.0	1
1.0	797.179382324	3.0	3.0	1051.12939453	3.0	3.0	92.285161972	0.0	-0.999347686768	0.0346259921789	0.0102552687749	3.56768582005	13.3958999055	-58.5586013794	-8.22657966614	-46.5069503784	0.856220424175	7.0	7.0	243.896502495	0.0	17.7600002289	0.431245572794	1.0	1
1.0	3842.36035156	14.0	10.0	2005.09533691	10.0	4.0	580.077983022	0.0	-0.0334191657603	-0.984690308571	0.171079322696	41.7486184628	6.69793799255	-35.3290481567	5.33837032318	-70.9616546631	0.41277384758	10.0	4.0	237.304663301	4.0	6.51999998093	0.999999983752	1.0	1
1.0	995.922363281	2.0	2.0	995.922790527	5.0	4.0	117.334000587	0.0	-0.999347686768	0.0346259921789	0.0102552687749	3.56768582005	22.2489136849	-58.5586013794	-8.22657966614	-46.5069503784	0.856220424175	4.0	11.6199998856	181.933601379	0.0	21.8400001526	0.52749641356	1.0	1
1.0	1417.69873047	11.0	6.0	1539.15405273	6.0	5.0	233.349578381	0.0	0.0334203466773	0.984689235687	-0.171085357666	36.6874733816	11.5247384064	-31.4458503723	-13.0018997192	-66.039352417	0.447719871998	9.0	4.0	218.847664475	4.0	9.27999973297	0.974530011812	1.0	1
1.0	1523.69433594	5.0	4.0	845.761779785	3.0	3.0	102.832140446	0.0	-0.0334196686745	-0.984705507755	0.170992061496	24.9249373608	3.04665886528	-35.3000488281	5.63659000397	-69.2031021118	0.427232503891	1.0	12.6800003052	32.9589996338	0.0	12.6800003052	0.677227648677	1.0	1
1.0	1757.76953125	8.0	5.0	2005.09533691	4.0	3.0	315.088059902	0.0	-0.0334193632007	-0.984705209732	0.170993968844	28.8910897745	19.0570288639	-43.5806503296	-9.20742511749	-59.2557983398	0.615461051464	11.0	5.0	354.638601303	3.0	6.51999998093	0.999045015342	1.0	1
1.0	2197.2121582	5.0	2.0	799.38848877	2.0	2.0	139.746180534	0.0	-0.0334222689271	-0.984689891338	0.171080976725	44.68979179	16.6501989771	-55.8050498962	-9.16548538208	-48.1999511719	0.526140034199	2.0	5.32000017166	25.0488004684	2.0	9.27999973297	0.998105382686	1.0	1
1.0	1395.61560059	8.0	6.0	1417.69946289	4.0	3.0	311.132782459	0.0	-0.0334193632007	-0.984705209732	0.170993968844	24.4224585563	39.4774692838	-43.5806503296	-9.20742511749	-59.2557983398	0.615461051464	3.0	9.02000045776	101.513597488	0.0	17.9599990845	0.99151210477	1.0	1
1.0	802.085021973	2.0	0.0	831.669555664	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.446846551154	0.0	1
1.0	4357.22900391	10.0	4.0	2148.20654297	9.0	3.0	151.874982119	0.0	0.0461907461286	0.9937505126	-0.101618885994	41.5043810635	2.03501753966	-40.9597015381	-9.49971008301	-64.5234069824	0.364426851273	4.0	13.4600000381	179.296897888	2.0	18.8999996185	0.99999930402	1.0	1
