valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	236.283004761	1.0	1.0	119.246002197	1.0	1.0	30.3222999573	2.53841685376	-0.184230923653	-0.931960523129	-0.31226348877	11.9715180944	8.29510145754	-20.6147003174	93.1825485229	16.7955989838	0.739143490791	0.0	0.0	0.0	0.0	0.0	0.97849852523	1.0	1
1.0	174.452102661	1.0	1.0	253.949005127	1.0	1.0	35.5957012177	0.0	0.033417891711	0.984703302383	-0.17100456357	13.8552545488	1.12113085961	-10.569149971	78.5209503174	8.30620956421	0.17575109005	2.0	9.76000022888	83.0565986633	1.0	11.6400003433	0.37042534988	1.0	1
1.0	2318.66723633	6.0	4.0	538.814331055	5.0	5.0	301.904399872	0.0	0.033417891711	0.984703302383	-0.17100456357	24.4757857262	35.1544947478	-10.569149971	78.5209503174	8.30620956421	0.17575109005	2.0	9.76000022888	83.0565986633	1.0	11.6400003433	0.993120734644	1.0	1
1.0	134.70350647	1.0	1.0	253.949005127	1.0	1.0	35.5957012177	0.0	0.033417891711	0.984703302383	-0.17100456357	7.47879769806	1.12113085961	-10.569149971	78.5209503174	8.30620956421	0.17575109005	2.0	9.76000022888	83.0565986633	1.0	11.6400003433	0.37042534988	1.0	1
1.0	1793.10205078	5.0	4.0	373.195007324	2.0	2.0	167.431699753	0.0	0.0334226824343	0.984703719616	-0.171001240611	24.0485450606	2.37503694204	-30.4730491638	84.7617950439	14.7929992676	0.105259530246	2.0	9.76000022888	76.4647979736	1.0	11.2600002289	0.991286304006	1.0	1
1.0	1976.38745117	4.0	3.0	236.283004761	1.0	1.0	152.929698944	1.99436203702	0.688958525658	-0.715982437134	0.112717539072	3.14604016228	4.82584285193	-18.0812492371	102.837005615	11.46159935	0.458893120289	0.0	0.0	0.0	0.0	0.0	0.958846175791	1.0	1
1.0	1967.55444336	5.0	3.0	236.283004761	1.0	1.0	152.929698944	1.99436203702	0.688958525658	-0.715982437134	0.112717539072	3.14604016228	4.82584285193	-18.0812492371	102.837005615	11.46159935	0.458893120289	0.0	0.0	0.0	0.0	0.0	0.976749236798	1.0	1
1.0	174.452102661	1.0	1.0	253.949005127	1.0	1.0	35.5957012177	0.0	0.033417891711	0.984703302383	-0.17100456357	13.8552545488	1.12113085961	-10.569149971	78.5209503174	8.30620956421	0.17575109005	2.0	9.76000022888	83.0565986633	1.0	11.6400003433	0.37042534988	1.0	1
1.0	1715.81311035	4.0	4.0	373.195007324	2.0	2.0	167.431699753	0.0	0.0334226824343	0.984703719616	-0.171001240611	24.0485450606	2.37503694204	-30.4730491638	84.7617950439	14.7929992676	0.105259530246	2.0	9.76000022888	76.4647979736	1.0	11.2600002289	0.976749237565	1.0	1
1.0	187.372314453	1.0	0.0	192.30279541	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.60613814454e-11	0.0	1
1.0	941.792419434	6.0	4.0	647.58380127	5.0	3.0	128.67179203	0.0	0.99802583456	-0.0331820249557	0.0533225759864	22.9184065095	1.12709480863	-3.09952497482	82.5447006226	-16.0010490417	0.922321915627	4.0	6.96000003815	124.453099251	3.0	15.1199998856	0.980477610444	1.0	1
1.0	876.048278809	6.0	2.0	348.446289062	3.0	2.0	51.6796584129	0.0	-0.998009264469	0.0337085537612	-0.0533029176295	1.12714372474	26.8382754622	-12.2614498138	102.763000488	1.62226998806	0.66283506155	1.0	15.1199998856	53.789100647	1.0	15.1199998856	0.795534085801	1.0	1
1.0	1015.75482178	7.0	4.0	800.440979004	6.0	5.0	214.101552606	0.0	0.0461933910847	0.993749797344	-0.101624898612	35.4259860594	1.43318157871	-5.48399019241	81.8468475342	17.1311988831	0.642599105835	5.0	7.82000017166	156.093800545	2.0	15.1199998856	0.979431327591	1.0	1
1.0	427.340515137	4.0	2.0	350.089904785	3.0	3.0	62.2265601158	0.0	-0.998009264469	0.0337085537612	-0.0533029176295	24.694189165	26.8382754622	-12.2614498138	102.763000488	1.62226998806	0.66283506155	1.0	15.1199998856	53.789100647	1.0	15.1199998856	0.475224140165	1.0	1
1.0	496.37197876	4.0	3.0	664.020263672	5.0	5.0	210.937490463	0.0	0.0461933910847	0.993749797344	-0.101624898612	19.8376774665	1.43318157871	-5.48399019241	81.8468475342	17.1311988831	0.642599105835	3.0	7.82000017166	106.523398399	2.0	15.1199998856	0.964670381028	1.0	1
1.0	212.026199341	3.0	0.0	192.30279541	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.60613814454e-11	1.0	1
1.0	269.553192139	5.0	3.0	511.164031982	3.0	3.0	83.3203101158	1.15144690835	0.712582528591	-0.693212270737	0.108087144792	31.4593679767	15.6744354682	-16.9222507477	93.6082000732	18.2149505615	0.148258566856	0.0	0.0	0.0	0.0	0.0	0.690559057762	1.0	1
