valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	262.782409668	1.0	1.0	1040.08752441	3.0	1.0	90.9667596817	2.89572963026	-0.882153689861	0.466268211603	-0.066323839128	4.55782590805	34.2000769542	-62.3165512085	37.2350997925	28.9722003937	0.718524754047	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1464.0723877	8.0	8.0	2828.77270508	15.0	7.0	370.459022522	0.0	-0.999347269535	0.0346106663346	0.010347132571	24.3847924541	27.6687427646	-48.8492012024	53.3955001831	27.7653999329	0.737291753292	13.0	7.15999984741	308.49616015	7.0	14.8000001907	0.995362712061	1.0	1
1.0	574.145812988	4.0	4.0	1347.03381348	10.0	4.0	83.056658268	2.42828544568	0.954935669899	0.0788874328136	-0.28613743186	1.78383943501	25.5793216637	-34.9692001343	14.2305002213	40.65625	0.885397434235	2.0	8.52000045776	14.5019603968	1.0	12.3400001526	0.92485338582	1.0	1
1.0	680.14276123	6.0	5.0	2468.82788086	13.0	6.0	204.345697641	0.0	0.999347567558	-0.0346037521958	-0.0103471009061	8.02056863191	23.9931770799	-51.7753982544	65.7698974609	27.4815006256	0.961272776127	9.0	5.5	205.664001465	4.0	10.0	0.988217954128	1.0	1
1.0	618.31036377	3.0	3.0	4069.80859375	7.0	6.0	288.720683098	0.0	-0.99934732914	0.0346072651446	0.0103471335024	0.0	43.0928548674	-69.1985931396	51.5160980225	19.3696994781	0.569946408272	2.0	12.7600002289	30.3222191334	3.0	20.7999992371	0.812312026475	1.0	1
1.0	211.992004395	1.0	1.0	483.607788086	5.0	1.0	38.2323989868	2.89572963026	0.882153689861	-0.466268211603	0.066323839128	2.2082918871	34.6805736328	-62.3165512085	37.2350997925	28.9722003937	0.718524754047	0.0	0.0	0.0	0.0	0.0	0.977930398165	1.0	1
1.0	558.688415527	5.0	5.0	4233.21923828	8.0	6.0	355.956977367	0.0	0.0334208384156	0.984703779221	-0.171001508832	4.21323333605	56.9415111615	-51.5737533569	54.632598877	31.2168998718	0.191876977682	6.0	1.5	100.195358872	3.0	12.7600002289	0.920945070485	1.0	1
1.0	1057.75305176	6.0	6.0	896.551025391	5.0	5.0	311.132836819	0.0	-0.688925206661	0.716012120247	-0.11273290962	40.3096383432	24.0525116241	-46.6505508423	19.0307502747	33.6786499023	0.689691066742	5.0	6.76000022888	89.6484196186	3.0	20.7999992371	0.989391058019	1.0	1
1.0	262.782409668	1.0	1.0	797.1796875	4.0	1.0	38.2323989868	2.89572963026	-0.882153689861	0.466268211603	-0.066323839128	4.55782590805	28.7156862569	-62.3165512085	37.2350997925	28.9722003937	0.718524754047	0.0	0.0	0.0	0.0	0.0	0.2577266753	1.0	1
1.0	737.555725098	6.0	6.0	4136.05712891	8.0	7.0	582.714738607	0.0	-0.99934732914	0.0346072651446	0.0103471335024	0.0	43.0928548674	-69.1985931396	51.5160980225	19.3696994781	0.569946408272	9.0	1.5	187.207058549	5.0	12.7600002289	0.99797641403	1.0	1
1.0	422.409667969	1.0	1.0	1254.07958984	2.0	1.0	124.453156948	2.33181685032	-0.706945240498	0.696221113205	0.124517053366	25.4049971343	43.4819761623	-54.6115989685	31.2173500061	30.7925491333	0.0220635570586	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	397.755371094	1.0	1.0	1227.78198242	7.0	3.0	171.914058208	0.0	0.998025894165	-0.0331819616258	0.0533219575882	12.0271991202	23.6481484332	-49.4760513306	14.2513008118	37.8724517822	0.00431954860687	2.0	7.80000019073	52.7343006134	0.0	7.80000019073	0.232948132199	1.0	1
1.0	88.7552947998	1.0	0.0	238.324493408	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.497648495618	1.0	1
1.0	113.409492493	3.0	3.0	1923.03430176	5.0	2.0	79.101600647	0.0	0.998026013374	-0.0331811755896	0.0533203594387	2.86636349014	55.471593237	-31.2055511475	32.0424003601	26.8261489868	0.986915171146	2.0	4.55999994278	26.3671007156	2.0	6.86000013351	0.9969882484	1.0	1
1.0	856.325012207	5.0	5.0	3200.12475586	6.0	4.0	403.945107937	0.0	0.998022556305	-0.0332753174007	0.0533264800906	26.7157995904	41.5908899162	-55.0597000122	52.0781478882	23.5394496918	0.499082565308	3.0	1.20000004768	36.9139906168	3.0	9.42000007629	0.970689745098	1.0	1
1.0	111.765899658	2.0	2.0	1139.02685547	3.0	2.0	140.273451805	0.0	-0.998025596142	0.0331842564046	-0.0533270053566	12.3102938617	37.1042891252	-67.1105041504	38.5419998169	27.2385501862	0.204701602459	1.0	6.28000020981	12.6562004089	2.0	9.42000007629	0.503295970177	1.0	1
1.0	111.765899658	2.0	1.0	1175.18554688	4.0	2.0	70.6640996933	2.33181685032	0.706945240498	-0.696221113205	-0.124517053366	1.52424216905	25.4049971343	-54.6115989685	31.2173500061	30.7925491333	0.0220635570586	0.0	0.0	0.0	0.0	0.0	0.974924758345	1.0	1
1.0	24.6543006897	1.0	1.0	848.106079102	4.0	1.0	14.7656002045	0.0	0.0461943596601	0.993749558926	-0.101626843214	0.0	25.9573554462	-49.8958969116	15.6640491486	36.2611999512	0.130607113242	1.0	7.80000019073	23.2031002045	0.0	7.80000019073	0.371562100655	1.0	1
