valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	386.444824219	1.0	0.0	565.312438965	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.76207516053e-12	0.0	1
1.0	1828.43469238	8.0	5.0	1393.40759277	7.0	4.0	55.371081233	0.0	0.0334303304553	0.984703481197	-0.171001464128	44.2592074195	33.7848886512	-1.65334498882	57.6690979004	-33.4946975708	0.19987231493	5.0	6.96000003815	127.880859017	2.0	23.3799991608	0.998563239716	1.0	1
1.0	510.106842041	2.0	1.0	441.650421143	2.0	2.0	56.6894209385	0.0	-0.033426746726	-0.984691202641	0.171072944999	0.0	10.0900365654	-3.07428503036	51.0788497925	-39.5730514526	0.607346057892	4.0	6.96000003815	151.611299515	0.0	12.2399997711	0.276092443528	1.0	1
1.0	3497.87475586	8.0	4.0	1782.06030273	5.0	3.0	97.5585999489	0.0	-0.999347269535	0.034610658884	0.0103471307084	20.6558259814	34.4627643828	-3.99830007553	65.6409988403	-16.7304000854	0.884615361691	7.0	6.96000003815	235.986359239	4.0	23.3799991608	0.999967307152	1.0	1
1.0	861.219787598	2.0	0.0	565.312438965	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.76207516053e-12	1.0	1
1.0	2559.36694336	2.0	1.0	883.301208496	4.0	3.0	79.1015610695	0.0	0.999347269535	-0.034610658884	-0.0103471307084	3.07241493051	14.8019126687	-3.99830007553	65.6409988403	-16.7304000854	0.961600840092	4.0	6.84000015259	123.925779343	1.0	16.3799991608	0.971737045949	1.0	1
1.0	501.274047852	2.0	0.0	77.2889022827	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.76207516053e-12	1.0	1
1.0	2592.49072266	2.0	1.0	845.760925293	3.0	2.0	79.1015610695	0.0	0.999347269535	-0.034610658884	-0.0103471307084	3.07241493051	25.7943349844	-3.99830007553	65.6409988403	-16.7304000854	0.961600840092	1.0	9.15999984741	40.8690986633	0.0	9.15999984741	0.990193964097	1.0	1
1.0	616.10333252	5.0	3.0	563.104125977	3.0	2.0	19.775400281	0.0	0.0334297083318	0.984688341618	-0.171088665724	2.10657762192	10.5468308738	-1.88005495071	53.2145004272	-39.9622497559	0.513644695282	3.0	10.5399999619	121.289100647	1.0	16.3799991608	0.488383656042	1.0	1
1.0	2605.74047852	3.0	2.0	512.31451416	5.0	4.0	106.787041187	0.0	-0.033426746726	-0.984691202641	0.171072944999	0.0	32.5082546608	-3.07428503036	51.0788497925	-39.5730514526	0.607346057892	5.0	6.96000003815	192.480400085	0.0	15.0600004196	0.969840237771	1.0	1
