valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-46.3123016357	76.8854980469	23.5597000122	-57.9300994873	33.1505012512	24.4752006531	-51.5655975342	55.5637702942	17.9325447083	1.0	0.768492221832	-0.187075763941	0.611900627613	0.261509597301	0.9650426507	0.0174766648561	1364.61999512	24.0	0.0	14.6457581601	1.0	1.0	0.0	0.0	0.0	59.7799987793	4.4302478591	0.718748092651	-1.0	0.0	1
1.0	1.0	-1.08006000519	69.7174987793	-19.2001991272	-77.4117965698	44.7840995789	7.08106994629	-35.7091560364	67.7779541016	4.47919273376	1.0	0.695571184158	0.114028796554	0.709350526333	0.415842175484	0.861299157143	-0.291957318783	7847.43554688	47.2799987793	0.0	16.1415752198	6.0	12.0	6.0	11.0134000778	12.0	318.480010986	3.70973547052	0.609631299973	1.0	1.0	1
1.0	1.0	-46.3123016357	76.8854980469	23.5597000122	-57.9300994873	33.1505012512	24.4752006531	-51.9125480652	55.2730064392	17.3076324463	1.0	0.750954449177	-0.192062705755	0.631806433201	0.261509597301	0.9650426507	0.0174766648561	1406.60583496	24.0	0.0	15.0457486239	2.0	2.0	0.0	30.0	0.0	59.7799987793	4.43308273282	0.699895977974	1.0	1.0	1
1.0	1.0	-1.08006000519	69.7174987793	-19.2001991272	-77.4117965698	44.7840995789	7.08106994629	-35.8162002563	56.6755905151	4.56790447235	1.0	0.938907623291	0.0818073526025	0.334305346012	0.300002336502	0.894135713577	-0.33244535327	3435.48754883	47.2799987793	0.0	18.0993977865	8.0	10.0	2.0	13.5423002243	1.0	146.360015869	3.62709891776	0.782129466534	1.0	1.0	1
1.0	1.0	-38.7282981873	89.8858032227	19.8377990723	-57.9300994873	33.1505012512	24.4752006531	-48.2410316467	64.5032501221	13.7688217163	1.0	0.881640911102	0.175575375557	0.438044101	0.0536220595241	0.943106532097	-0.328138262033	3060.43994141	24.0	0.0	13.4572284405	1.0	3.0	2.0	13.2789001465	3.0	157.220001221	4.34991472769	0.624462485313	1.0	1.0	1
1.0	1.0	-56.6931991577	68.898399353	22.1637001038	-57.9300994873	33.1505012512	24.4752006531	-52.9355010986	50.0083999634	18.4489994049	1.0	0.86286085844	-0.0648276880383	0.501266956329	0.0184640008956	0.997997045517	-0.0605056025088	937.593017578	24.0	0.0	15.4589002455	1.0	1.0	0.0	0.0	0.0	43.9599990845	4.5728598821	0.7377358675	1.0	1.0	1
1.0	1.0	-38.7282981873	89.8858032227	19.8377990723	-57.9300994873	33.1505012512	24.4752006531	-45.6339416504	61.4698410034	17.0639152527	1.0	0.8825289011	-0.0950344949961	0.460555285215	0.13677752018	0.990448951721	0.0173992924392	1976.24304199	24.0	0.0	12.8410390218	1.0	2.0	1.0	13.2789001465	0.0	110.659996033	4.19870826374	0.775567531586	1.0	1.0	1
1.0	1.0	-38.7282981873	89.8858032227	19.8377990723	-57.9300994873	33.1505012512	24.4752006531	-48.6155281067	63.7030296326	13.3629426956	1.0	0.896181464195	0.258884072304	0.360330104828	-0.0781965479255	0.92322742939	-0.376213252544	2705.96191406	24.0	0.0	12.8852487338	1.0	4.0	3.0	21.6413993835	2.0	150.399993896	4.40795064597	0.63431417942	1.0	1.0	1
1.0	1.0	-46.3123016357	76.8854980469	23.5597000122	-56.817401886	68.509803772	19.2290992737	-48.557800293	67.7612991333	16.7985992432	1.0	0.461465775967	-0.431185752153	0.775324583054	0.731212079525	0.656747043133	0.184424012899	427.027008057	20.7000007629	0.0	13.2781996294	1.0	1.0	0.0	0.0	0.0	15.8199996948	4.01049986882	0.677057921886	1.0	1.0	1
1.0	1.0	-38.7282981873	89.8858032227	19.8377990723	-57.9300994873	33.1505012512	24.4752006531	-45.7103614807	63.096244812	16.5895080566	1.0	0.86425358057	-0.138847514987	0.483515381813	0.18300023675	0.981838107109	0.0500481836498	2126.19799805	24.0	0.0	12.3687255859	1.0	3.0	2.0	13.2789001465	0.0	123.079994202	4.18842602184	0.777670741081	1.0	1.0	1
