valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-26.0172996521	-18.1623001099	20.2222995758	-39.5848999023	-51.4454994202	1.69918000698	-35.1325378418	-35.6064376831	4.9942574501	1.0	-0.916475117207	0.318046629429	-0.242733836174	0.197865813971	0.832631468773	0.517275452614	651.401489258	11.4799995422	0.0	6.89611770858	1.0	2.0	1.0	4.97119998932	0.0	79.5199966431	4.2292712527	1.45850992203	-1.0	0.0	1
1.0	1.0	-26.0172996521	-18.1623001099	20.2222995758	-39.5848999023	-51.4454994202	1.69918000698	-36.6038360596	-33.6586456299	4.00714683533	1.0	-0.873543202877	0.391247361898	-0.289564728737	0.197865813971	0.832631468773	0.517275452614	732.450927734	18.8600006104	0.0	7.0005865658	2.0	3.0	1.0	4.97119998932	0.0	79.5199966431	4.25292742344	1.31210815907	1.0	1.0	1
1.0	1.0	-19.9279994965	-5.82516002655	31.6439990997	-4.38324022293	-43.7895011902	-17.3553009033	-28.8436641693	-26.4273281097	7.53842258453	1.0	-0.813488900661	-0.119991756976	-0.569067418575	0.218122988939	0.884020626545	-0.413436681032	912.643981934	22.0200004578	0.0	12.5636471984	7.0	7.0	0.0	30.0	0.0	40.1399993896	4.5022552415	0.9624158144	1.0	1.0	1
1.0	1.0	-19.9279994965	-5.82516002655	31.6439990997	-20.9717006683	-70.3843002319	-21.7534999847	-25.8583145142	-28.1278400421	6.3027215004	1.0	-0.944010138512	-0.206691935658	0.257144629955	0.325266122818	0.920842111111	0.215062201023	4066.68115234	28.8999996185	0.0	12.9003441623	5.0	8.0	3.0	10.7479000092	1.0	209.840011597	4.15399942312	0.787086725235	1.0	1.0	1
1.0	1.0	-57.9462013245	-31.1438999176	0.965752005577	-10.1738996506	-55.0299987793	7.01255989075	-26.810459137	-32.3706817627	8.94002437592	1.0	-0.980405330658	0.00380222033709	0.196954190731	0.110442481935	0.936582624912	0.33258908987	1627.63122559	12.6800003052	0.0	7.76088131175	1.0	5.0	6.0	9.88068008423	0.0	159.080001831	4.04917894967	1.41881787777	1.0	1.0	1
1.0	1.0	-48.54529953	-28.2728996277	12.1451997757	-8.46574020386	-46.1604995728	11.6317996979	-32.3974189758	-33.304523468	8.10199165344	1.0	-0.977647840977	0.180578961968	0.107684388757	0.252241969109	0.82794636488	0.500878036022	1024.58947754	12.4200000763	0.0	7.35012252242	1.0	4.0	4.0	12.067700386	0.0	105.339996338	4.19066182639	1.2594640255	1.0	1.0	1
1.0	1.0	-26.0172996521	-18.1623001099	20.2222995758	-37.7779998779	-40.054599762	4.44506978989	-34.447807312	-33.3118362427	6.0965886116	1.0	-0.938420832157	0.284178525209	-0.196491479874	0.202946305275	0.778562545776	0.593846023083	519.426513672	11.4799995422	0.0	7.09359924316	1.0	2.0	1.0	4.97119998932	0.0	62.2399978638	4.26148358726	1.15128028393	1.0	1.0	1
1.0	1.0	-22.5235004425	-11.4072999954	23.5807991028	-10.1738996506	-55.0299987793	7.01255989075	-27.4539089203	-20.5347805023	14.1568717957	1.0	-0.736409306526	0.0126159666106	0.676418662071	0.493558526039	0.835390746593	0.241913855076	1507.82495117	22.1000003815	0.0	13.0211536496	2.0	3.0	1.0	5.9187297821	0.0	81.5999984741	3.6845456692	1.0728148222	1.0	1.0	1
1.0	1.0	-57.9462013245	-31.1438999176	0.965752005577	-10.1738996506	-55.0299987793	7.01255989075	-29.2915306091	-26.2785816193	11.0833063126	1.0	-0.88492590189	0.0452860184014	0.46352493763	0.358184307814	0.880223810673	0.311303734779	2359.44433594	22.1000003815	0.0	10.018196706	1.0	4.0	4.0	9.88068008423	0.0	180.960006714	3.9354803718	1.2064563036	1.0	1.0	1
1.0	1.0	-15.6833000183	-16.8187007904	27.9785003662	-21.2299003601	-60.1441993713	5.21620988846	-28.2842597961	-35.231502533	8.48936843872	1.0	-0.966860055923	0.0108235059306	-0.255077421665	0.136779278517	0.806123971939	0.575721740723	1339.66748047	14.220000267	0.0	7.96286322146	1.0	3.0	3.0	4.58907985687	1.0	132.880004883	4.11921145014	1.56274235249	-1.0	0.0	1
1.0	1.0	-54.3264007568	-22.934299469	1.63794004917	-2.17245006561	-50.5582008362	-3.10380005836	-31.1295795441	-32.9784011841	5.05254650116	1.0	-0.979178071022	0.087973088026	-0.182950779796	-0.23970836401	0.945443451405	0.22062766552	2276.9453125	30.0599994659	0.0	9.49809725322	4.0	8.0	4.0	9.52044963837	1.0	190.980010986	4.03197600668	1.64900183678	1.0	1.0	1
1.0	1.0	-41.0485992432	-25.8974990845	38.0820007324	-3.23607993126	-51.5056991577	-23.2346000671	-29.2971019745	-30.2394313812	3.11774587631	1.0	-0.951010942459	0.101210825145	-0.292120695114	0.179099902511	0.813163518906	0.553794503212	6381.59521484	31.5599994659	0.0	11.7087002247	5.0	14.0	13.0	12.3270998001	7.0	361.279998779	4.17616661796	1.13685262203	1.0	1.0	1
1.0	1.0	-54.5863990784	-25.6385993958	-4.0009098053	-11.319899559	-66.3097000122	10.4237003326	-35.5533714294	-30.6334667206	7.79707717896	1.0	-0.830525577068	0.3016743958	0.468209207058	0.897644996643	0.440564781427	-0.011666755192	1501.48608398	29.7800006866	0.0	13.0185721261	4.0	4.0	0.0	30.0	0.0	71.3199996948	4.63826592763	0.873646497726	1.0	1.0	1
1.0	1.0	-15.8625001907	-8.66763019562	24.8253993988	-18.8999996185	-68.7210006714	-8.0460395813	-27.860956192	-34.7563285828	9.15511989594	1.0	-0.979159295559	0.0985709950328	0.177569374442	0.368146270514	0.838238060474	0.402275115252	2784.85400391	17.9200000763	0.0	8.27252409562	2.0	7.0	8.0	15.1304998398	2.0	217.260009766	4.18463305995	1.43962013721	1.0	1.0	1
1.0	1.0	-15.8625001907	-8.66763019562	24.8253993988	-28.8791007996	-63.3727989197	-16.951499939	-23.0498180389	-39.6711921692	7.34214639664	1.0	-0.976736843586	0.0449707210064	0.209672957659	-0.0840347334743	0.994640767574	0.0602319054306	2853.89208984	17.9200000763	0.0	9.1373057264	3.0	8.0	7.0	15.1304998398	4.0	243.680023193	4.11880589131	1.48286426067	1.0	1.0	1
