valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1762.4309082	1.0	1.0	692.183959961	1.0	1.0	5.17999982834	2.43284396995	0.629100978374	-0.135552048683	-0.765413343906	3.24893452374	2.08569414628	-19.9071502686	-14.773349762	20.2222499847	0.526639552373	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1805.14282227	4.0	1.0	870.608276367	3.0	2.0	8.10000038147	0.0	-0.0584567375481	-0.987324297428	0.147558435798	15.8802713561	9.71436031862	-33.2162017822	-22.9513492584	19.7238502502	0.0979302659337	2.0	11.6999998093	34.0799999237	0.0	13.0200004578	0.188042995019	1.0	1
1.0	1030.61791992	1.0	0.0	692.183959961	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	2151.81298828	2.0	1.0	692.183959961	1.0	1.0	5.17999982834	2.43284396995	0.629100978374	-0.135552048683	-0.765413343906	19.3975098215	2.08569414628	-19.9071502686	-14.773349762	20.2222499847	0.526639552373	0.0	0.0	0.0	0.0	0.0	0.0511917127746	1.0	1
1.0	2016.6619873	4.0	2.0	836.929016113	3.0	2.0	32.8599996567	2.81663810633	0.897288799286	0.432497650385	0.0884230211377	24.734016	25.8296853079	-38.7486991882	-25.7207984924	21.1075496674	0.394660394806	0.0	0.0	0.0	0.0	0.0	0.191571481918	1.0	1
1.0	2466.9074707	1.0	1.0	1059.79296875	1.0	1.0	13.0799999237	0.0	-0.104937002063	-0.992567121983	-0.0616337507963	11.0840653821	4.39329193681	-16.2098007202	-12.0328998566	22.7928009033	0.878023650332	1.0	7.78000020981	11.1800003052	0.0	7.78000020981	-1.0	0.0	1
1.0	9316.97460938	5.0	3.0	2991.91674805	5.0	1.0	48.6400001049	0.0	-0.105040997267	-0.992556095123	-0.0616342462599	12.0607639025	11.1776497425	-16.1805496216	-1.91078495979	19.7621002197	0.317672008248	9.0	4.82000017166	87.7063999176	6.0	19.3400001526	0.999920922294	1.0	1
1.0	2087.58789062	5.0	0.0	214.638916016	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	2415.03295898	5.0	1.0	1180.01928711	4.0	1.0	15.220000267	0.0	0.995600402355	-0.0935386791825	0.00550813507289	25.5572910319	20.5818421277	-12.0478992462	-17.8127498627	20.6640014648	0.82269237693	1.0	13.2399997711	15.9600000381	1.0	13.2399997711	0.972101995027	1.0	1
1.0	1839.02026367	3.0	2.0	2446.97021484	3.0	1.0	15.0200004578	0.0	-0.995600402355	0.0935385897756	-0.00550813041627	28.1050307538	24.0477203806	-23.210100174	-22.9927501678	25.693901062	0.241580725783	4.0	10.3199996948	50.3200001717	2.0	17.2399997711	0.347457283853	1.0	1
1.0	4280.20947266	5.0	3.0	2844.25927734	5.0	2.0	78.1599998474	0.0	-0.105040997267	-0.992556095123	-0.0616342462599	12.0607639025	2.71364729276	-16.1805496216	-1.91078495979	19.7621002197	0.317672008248	13.0	3.94000005722	112.449200034	8.0	19.3400001526	0.987254289893	1.0	1
1.0	2696.26342773	2.0	1.0	1059.79296875	1.0	1.0	13.0799999237	0.0	-0.104937002063	-0.992567121983	-0.0616337507963	11.0840653821	4.39329193681	-16.2098007202	-12.0328998566	22.7928009033	0.878023650332	1.0	7.78000020981	11.1800003052	0.0	7.78000020981	0.144011462145	1.0	1
1.0	4786.82128906	4.0	1.0	2574.95141602	5.0	2.0	52.3399996758	0.0	0.105042003095	0.992555975914	0.0616348348558	17.0492761182	10.1769262469	-14.8662500381	-9.25895023346	24.8006000519	0.138651778056	6.0	3.94000005722	51.902799964	4.0	10.1000003815	0.987254322669	1.0	1
1.0	4502.91650391	2.0	1.0	1059.79296875	1.0	1.0	15.3999998569	0.0	-0.104937002063	-0.992567121983	-0.0616337507963	19.4055120344	4.39329193681	-16.2098007202	-12.0328998566	22.7928009033	0.878023650332	2.0	2.07999992371	12.6200003624	0.0	7.78000020981	0.845243815479	1.0	1
1.0	5717.63330078	4.0	2.0	2208.0715332	4.0	2.0	90.2600007057	0.0	0.104944288731	0.992566108704	0.0616380348802	12.0607639025	11.7394592701	-16.0763015747	-0.925244987011	19.823299408	0.945481050243	10.0	2.07999992371	103.182800174	6.0	13.2399997711	0.984488940456	1.0	1
1.0	1184.76000977	1.0	0.0	697.499023438	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	0.0	1
1.0	6769.06152344	6.0	1.0	1674.65405273	3.0	1.0	0.0	0.0	0.0334192626178	0.984705269337	-0.170993447304	16.8158135355	3.04880650531	-18.7907505035	1.51959347725	21.7707996368	0.258772642125	1.0	18.1399993896	3.95799994469	1.0	18.1399993896	0.993386652952	1.0	1
1.0	1997.65820312	3.0	0.0	697.499023438	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	3640.32128906	6.0	1.0	1350.60803223	4.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	16.2999992371	15.3800001144	2.0	17.3600006104	0.985086056439	1.0	1
1.0	3654.92749023	2.0	1.0	1338.5480957	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	16.2999992371	15.3800001144	2.0	17.3600006104	0.607735192395	1.0	1
1.0	3909.58837891	2.0	2.0	1029.45800781	2.0	2.0	14.1199998856	2.99485894611	0.999347090721	-0.0346298255026	-0.0103019280359	27.5149768353	20.5768834275	-18.5508499146	-22.7896995544	20.5433998108	0.782117657424	2.0	16.2999992371	15.3800001144	3.0	17.3600006104	0.973858524595	1.0	1
1.0	2112.50048828	1.0	1.0	1088.30908203	1.0	1.0	15.279999733	2.56669245827	0.478998929262	-0.768362641335	-0.424474835396	13.0999462794	3.05720897414	-17.4159011841	-6.99121999741	21.4110984802	0.822883927399	0.0	0.0	0.0	0.0	0.0	0.347457118765	1.0	1
1.0	3718.41259766	2.0	1.0	641.04901123	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	16.2999992371	7.15999984741	2.0	17.1200008392	0.970992950211	1.0	1
1.0	2479.41552734	2.0	1.0	388.408996582	1.0	1.0	13.8400001526	0.0	-0.0334186889231	-0.984706521034	0.17098608613	14.6285897742	3.56769774281	-12.9592494965	-22.7384490967	18.6326999664	0.965504084253	1.0	11.9200000763	12.2399997711	0.0	11.9200000763	0.201548216647	1.0	1
1.0	4771.55419922	2.0	2.0	1088.30908203	1.0	1.0	33.7399997711	2.56669245827	0.478998929262	-0.768362641335	-0.424474835396	13.0999462794	3.05720897414	-17.4159011841	-6.99121999741	21.4110984802	0.822883927399	0.0	0.0	0.0	0.0	0.0	0.975184691108	1.0	1
1.0	457.937988281	1.0	0.0	1128.44604492	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	0.0	1
1.0	4749.19677734	4.0	0.0	492.447601318	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	1973.9699707	2.0	2.0	1128.44604492	1.0	1.0	33.1400003433	2.44222437464	0.558438539505	-0.738098800182	-0.378624498844	15.8290720772	1.77280494764	-17.7175998688	-7.97261047363	18.702249527	0.603502643465	0.0	0.0	0.0	0.0	0.0	0.835963463031	1.0	1
1.0	5972.26171875	4.0	0.0	613.865600586	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
