valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	179.593795776	1.0	0.0	4479.50146484	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00323373194517	0.0	1
1.0	1336.1505127	4.0	4.0	11681.3271484	14.0	4.0	68.5599992275	0.0	0.058462601155	0.987315237522	-0.147616922855	0.0	28.0150742119	-37.7511978149	-39.6019973755	4.37739992142	0.0566280756934	27.0	2.75999999046	162.442799032	1.0	2.75999999046	0.388382237035	1.0	1
1.0	1157.02185059	2.0	2.0	5104.64501953	1.0	1.0	17.2600002289	0.0	0.058462601155	0.987315177917	-0.147617176175	10.7842582968	1.48145067754	-60.3863983154	-20.9575996399	-3.4291100502	0.0643649741846	17.0	5.51999998093	157.048800826	0.0	30.6800003052	0.173883625951	1.0	1
1.0	878.84979248	2.0	2.0	6072.65234375	2.0	2.0	30.2999997139	0.0	0.0584627240896	0.987315177917	-0.14761723578	4.18400820783	24.3076189392	-59.5246963501	-22.1119995117	-4.79317998886	0.219654324533	10.0	5.51999998093	67.279999733	0.0	18.9599990845	0.317962705324	1.0	1
1.0	1690.73779297	2.0	2.0	4901.46240234	4.0	4.0	59.7999989986	0.0	-0.0583500824869	-0.987312138081	0.147681996226	2.37376886531	1.77431824923	-63.8521499634	-24.6744003296	-11.7308998108	0.145459007954	15.0	2.75999999046	101.406800389	1.0	2.75999999046	0.650329991664	1.0	1
1.0	368.153015137	1.0	1.0	5034.56787109	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	27.6399993896	9.46000003815	0.0	28.0599994659	-1.0	0.0	1
1.0	2385.59667969	2.0	1.0	6688.05224609	11.0	2.0	34.419999361	0.0	-0.104949958622	-0.992571651936	-0.0615384206176	2.78413562769	18.0904112206	-33.7080993652	-27.3087501526	21.6651496887	0.358596283746	7.0	10.3199996948	60.4999998808	4.0	19.0599994659	0.994848256046	1.0	1
1.0	1285.57592773	2.0	0.0	245.731506348	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00323373194517	1.0	1
1.0	3645.29223633	1.0	1.0	10006.5166016	10.0	4.0	65.3399991989	0.0	-0.104938909411	-0.992567002773	-0.0616323053837	0.0	9.70239849483	-56.5209999084	-33.917098999	-4.52690029144	0.255118390905	27.0	8.43999958038	243.695599094	9.0	19.3400001526	0.991399953996	1.0	1
1.0	1047.87927246	2.0	2.0	5480.77197266	3.0	3.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	13.5200004578	109.099998951	2.0	19.3400001526	0.720973165147	1.0	1
1.0	3260.43554688	1.0	1.0	1769.36901855	3.0	3.0	33.0	0.0	0.105033688247	0.992557048798	0.0616318024695	14.1390747986	5.6337616688	-57.1699523926	-29.9604988098	-2.46951007843	0.518520030254	6.0	13.5200004578	63.1399993896	3.0	19.3400001526	0.96739818283	1.0	1
1.0	916.07598877	1.0	1.0	5034.56787109	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	27.6399993896	21.1600003242	0.0	28.0599994659	0.163319226584	1.0	1
1.0	2544.70117188	1.0	1.0	5719.91650391	2.0	2.0	32.4600000381	0.0	-0.104938909411	-0.992567002773	-0.0616323053837	0.0	9.70239849483	-56.5209999084	-33.917098999	-4.52690029144	0.255118390905	17.0	8.43999958038	117.063200876	7.0	18.9599990845	0.720973107045	1.0	1
1.0	2118.54711914	3.0	3.0	3539.7890625	3.0	2.0	10.6199998856	0.0	0.995600402355	-0.0935389325023	0.00550724426284	2.7841335764	0.0	-46.9858016968	-28.1201496124	12.3472995758	0.681103274833	8.0	14.3400001526	47.6208000928	4.0	18.9599990845	0.977347487106	1.0	1
1.0	686.940002441	1.0	1.0	4013.50463867	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	12.8400001526	34.039999485	0.0	23.7399997711	-1.0	0.0	1
1.0	1833.77709961	1.0	1.0	2689.75	4.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	12.8400001526	52.3199996948	1.0	17.2399997711	0.207863667452	1.0	1
1.0	908.090393066	2.0	2.0	2568.00927734	4.0	2.0	15.0600004196	2.58008135926	0.131881162524	-0.912067472935	-0.388252913952	12.6842228865	13.7461572194	-47.4034500122	-27.8850002289	14.6538505554	0.756731174613	7.0	6.19999980927	58.6384004503	1.0	16.2999992371	0.306254061782	1.0	1
1.0	1942.97705078	1.0	1.0	3593.43701172	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	3.20000004768	93.800000906	0.0	23.5400009155	0.0658227886606	1.0	1
1.0	1076.80444336	1.0	1.0	1615.65759277	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	17.2399997711	0.207863667452	1.0	1
