valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	871.227661133	1.0	0.0	1022.34997559	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.3796587858e-10	0.0	1
1.0	3758.08544922	7.0	1.0	1833.63598633	6.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	13.3400001526	66.1200003624	0.0	28.2399997711	0.612963484664	1.0	1
1.0	1093.30395508	1.0	1.0	3892.3269043	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	11.279999733	27.1800003052	0.0	17.6200008392	0.202124918524	1.0	1
1.0	1444.18041992	1.0	1.0	3113.83105469	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	12.6199998856	54.8548002243	0.0	17.6200008392	0.0803415639765	1.0	1
1.0	841.309936523	1.0	0.0	1779.9552002	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.3796587858e-10	1.0	1
1.0	926.951965332	1.0	0.0	1473.35095215	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.3796587858e-10	0.0	1
1.0	8088.22949219	2.0	1.0	4396.51757812	4.0	1.0	56.8599996567	0.0	0.105037689209	0.992556631565	0.061631180346	0.992990706499	33.3869274816	-58.0812492371	-20.1970996857	-38.3600006104	0.975572330284	17.0	3.31999993324	128.736800626	12.0	27.5	0.999963670833	1.0	1
1.0	6232.73779297	5.0	4.0	3386.70581055	5.0	2.0	26.1200003624	0.0	-0.995600163937	0.0935403779149	-0.00552680762485	31.0851275449	29.7472714303	-53.8022003174	-22.9835510254	1.64085006714	0.0808809773847	8.0	1.44000005722	43.9552001506	4.0	22.3400001526	0.991946365559	1.0	1
1.0	6548.61621094	6.0	5.0	5412.90332031	6.0	3.0	73.1200003624	0.0	0.105037689209	0.992556631565	0.061631180346	0.992990706499	33.3869274816	-58.0812492371	-20.1970996857	-38.3600006104	0.975572330284	19.0	1.44000005722	192.797999859	10.0	27.5	0.999757510881	1.0	1
1.0	3041.40942383	1.0	1.0	3604.0949707	2.0	1.0	10.0199999809	0.0	-0.995600163937	0.0935403779149	-0.00552680762485	15.7128269521	2.10326939821	-53.8022003174	-22.9835510254	1.64085006714	0.0808809773847	2.0	7.88000011444	16.779999733	1.0	7.88000011444	0.736426941008	1.0	1
1.0	3184.0480957	5.0	5.0	3649.35986328	2.0	1.0	62.3000006676	0.0	0.104938909411	0.992567002773	0.0616323053837	35.4592172765	7.90791617817	-56.5209999084	-33.917098999	-4.52690029144	0.255118390905	15.0	5.48000001907	103.220001221	5.0	21.0599994659	0.965663013847	1.0	1
1.0	2939.71484375	1.0	0.0	1612.40100098	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.3796587858e-10	1.0	1
1.0	928.902038574	2.0	1.0	368.153015137	1.0	1.0	7.94000005722	2.69348657652	0.4918166399	-0.869407534599	-0.0474021807313	3.17135270729	2.08638657933	-56.2837486267	-21.5834503174	-1.94933998585	0.676876176964	0.0	0.0	0.0	0.0	0.0	0.974196331178	1.0	1
1.0	3647.18383789	1.0	1.0	2761.10888672	2.0	1.0	0.0	0.0	-0.995600163937	0.0935403779149	-0.00552680762485	22.044247506	2.10326939821	-53.8022003174	-22.9835510254	1.64085006714	0.0808809773847	3.0	7.44000005722	20.6599998474	1.0	7.88000011444	0.884801644693	1.0	1
1.0	1375.34399414	2.0	2.0	379.028991699	1.0	1.0	2.07999992371	0.0	-0.105048164725	-0.992555737495	-0.0616279616952	8.25507254478	2.06076762981	-54.6561508179	-26.2154502869	-2.21308517456	0.689413591604	1.0	26.3600006104	24.2763996124	0.0	26.3600006104	0.978498521578	1.0	1
1.0	1122.63098145	1.0	1.0	947.426025391	1.0	1.0	4.15999984741	2.37322982271	-0.166171342134	0.972098052502	-0.165567174554	18.8609617274	2.1072013057	-64.2229537964	-18.2379989624	-17.5221500397	0.661650207908	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
