valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1990.32324219	5.0	4.0	3859.20751953	6.0	3.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	13.6000003815	113.166801572	1.0	16.5599994659	0.0657808745565	1.0	1
1.0	154.720993042	1.0	1.0	1473.35095215	1.0	1.0	3.31999993324	3.18204330416	0.104114063084	-0.992796778679	-0.059286378324	3.7597154491	11.3710528294	-67.9648971558	-2.70710492134	-19.1688499451	0.853632739792	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2647.21435547	4.0	2.0	4026.23120117	7.0	3.0	18.7600002289	0.0	0.104936510324	0.992567062378	0.0616358891129	7.82684895057	41.1811762924	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	9.0	5.28000020981	56.9399991035	8.0	37.7200012207	0.96654163111	1.0	1
1.0	1604.87768555	4.0	1.0	4168.0390625	8.0	2.0	13.2400000095	0.0	-0.995595395565	0.0935863479972	-0.00560228899121	0.0	34.2968261596	-68.8768005371	3.52215480804	-22.4472503662	0.899730609178	1.0	9.52000045776	8.85999965668	1.0	9.52000045776	0.269992281602	1.0	1
1.0	3009.85229492	3.0	1.0	4724.96240234	6.0	2.0	15.7999994755	3.18204330416	0.104114063084	-0.992796778679	-0.059286378324	14.5635880389	34.0743089503	-67.9648971558	-2.70710492134	-19.1688499451	0.922694121986	9.0	24.1800003052	74.7443999946	5.0	38.7599983215	0.980117564531	1.0	1
1.0	823.682006836	1.0	1.0	3588.42407227	2.0	2.0	19.9399998188	0.0	-0.995595395565	0.0935863479972	-0.00560228899121	0.0	40.5351973967	-68.8768005371	3.52215480804	-22.4472503662	0.899730609178	1.0	9.52000045776	8.85999965668	2.0	20.8999996185	0.425864443782	1.0	1
1.0	668.960998535	1.0	1.0	717.466003418	4.0	1.0	6.69999980927	0.0	-0.995595753193	0.0935870632529	-0.00552716292441	2.78350346752	30.1371769577	-67.0424041748	1.58261501789	-6.1310300827	0.746401050548	0.0	0.0	0.0	1.0	20.8999996185	0.0329470718401	1.0	1
1.0	138.628997803	1.0	1.0	154.720993042	1.0	1.0	9.92000007629	0.0	0.995595395565	-0.0935863479972	0.00560228899121	3.90149390978	0.0	-68.8768005371	3.52215480804	-22.4472503662	0.899730609178	1.0	9.52000045776	8.85999965668	1.0	9.52000045776	0.0329470718401	1.0	1
1.0	65.119102478	1.0	0.0	947.426025391	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.08609287952e-07	0.0	1
1.0	2642.66381836	4.0	1.0	4838.82470703	4.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	23.3199996948	73.6008002758	0.0	42.3600006104	0.329951301549	1.0	1
1.0	223.699996948	1.0	1.0	1691.58203125	1.0	1.0	16.3999996185	3.10606507148	0.196473181248	-0.889649748802	-0.412215530872	2.50041579161	17.9089719815	-67.8530426025	-5.90629482269	-31.3667507172	0.935350238289	0.0	0.0	0.0	0.0	0.0	0.169727928957	1.0	1
1.0	100.638000488	1.0	1.0	944.853027344	1.0	1.0	5.53999996185	2.8632760874	0.404847681522	0.105524241924	-0.908274710178	0.0	8.04536294059	-65.0902481079	-4.6272354126	-39.78099823	0.498152211475	0.0	0.0	0.0	0.0	0.0	0.0723831873565	1.0	1
1.0	324.338012695	1.0	1.0	2331.09399414	1.0	1.0	30.5799999237	2.21057913204	0.193138405681	-0.958943009377	-0.207667574286	0.0	15.3360901295	-66.2779006958	-7.40281486511	-36.5652008057	0.674968290869	0.0	0.0	0.0	0.0	0.0	0.182502793424	1.0	1
