valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	5744.42919922	12.0	3.0	581.913085938	2.0	2.0	96.1000008583	0.0	-0.997889995575	0.0560491830111	0.032771948725	39.7164301029	28.7610918259	-3.76692485809	48.8539505005	-44.492149353	0.200299636232	2.0	13.1999998093	25.7000007629	1.0	13.1999998093	0.97572012931	1.0	1
1.0	6275.44775391	13.0	4.0	219.131103516	4.0	4.0	86.2200007439	0.0	-0.997889995575	0.0560491979122	0.0327719561756	37.4851514216	0.0	-3.72183489799	50.4701499939	-46.2301483154	0.721137338174	2.0	4.28000020981	17.3200001717	2.0	13.3599996567	0.999081549477	1.0	1
1.0	6077.99267578	13.0	5.0	528.59942627	3.0	3.0	138.660001278	0.0	0.997889995575	-0.0560491979122	-0.0327719561756	37.1688609271	26.4058468154	-3.72183489799	50.4701499939	-46.2301483154	0.721137338174	2.0	13.1999998093	26.0600004196	1.0	13.3599996567	0.998456104442	1.0	1
1.0	3519.89257812	4.0	1.0	461.186004639	1.0	1.0	30.6200008392	2.87780475637	0.181399747729	0.547893941402	0.816643357277	19.9162899064	11.8054141876	-3.94511985779	55.6721496582	-62.7199020386	0.931684698024	0.0	0.0	0.0	0.0	0.0	0.917032059166	1.0	1
1.0	2632.16210938	1.0	1.0	55.0350990295	1.0	1.0	21.5799999237	0.0	0.997895598412	-0.0559494011104	-0.0327728129923	30.3085219868	1.77428902116	-5.21732521057	35.4654006958	-61.9434509277	0.481535351027	1.0	4.28000020981	4.32000017166	1.0	4.28000020981	0.337561475835	1.0	1
1.0	3736.3605957	6.0	2.0	461.186004639	1.0	1.0	41.2800006866	2.87780475637	0.181399747729	0.547893941402	0.816643357277	18.4492495341	11.8054141876	-3.94511985779	55.6721496582	-62.7199020386	0.931684698024	0.0	0.0	0.0	0.0	0.0	0.986308823666	1.0	1
1.0	4130.71972656	9.0	3.0	406.366210938	2.0	2.0	68.3400006294	0.0	0.995600402355	-0.0935386791825	0.00550632411614	43.4154298168	2.31945573586	-5.66254997253	39.0225524902	-54.2234992981	0.165878215076	3.0	12.779999733	40.4599990845	1.0	15.279999733	0.994124384859	1.0	1
1.0	3863.61547852	11.0	4.0	1126.81225586	2.0	2.0	95.5167989731	0.0	-0.104987487197	-0.992567718029	-0.0615381784737	26.9387727458	1.9858670935	-5.06278991699	59.5420532227	-56.6145477295	0.507465703421	5.0	3.55999994278	41.9799993038	5.0	19.9799995422	0.980117564859	1.0	1
1.0	4543.31005859	5.0	1.0	238.397003174	1.0	1.0	24.4767999649	0.0	-0.995600402355	0.0935386791825	-0.00550632411614	37.8310724414	1.05303282745	-5.66254997253	39.0225524902	-54.2234992981	0.396049068605	2.0	3.55999994278	6.6400001049	2.0	3.55999994278	0.996482213287	1.0	1
1.0	1370.24853516	3.0	2.0	1032.97399902	1.0	1.0	30.0600004196	0.0	-0.104987487197	-0.992567718029	-0.0615381784737	18.9557588122	1.9858670935	-5.06278991699	59.5420532227	-56.6145477295	0.507465703421	2.0	15.279999733	30.0999994278	3.0	19.9799995422	0.765159546238	1.0	1
