valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	171.246002197	1.0	0.0	1938.87304688	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	478.714019775	1.0	1.0	5613.58056641	16.0	1.0	15.4200000763	2.41066169076	-0.237143516541	-0.713945627213	-0.658820569515	2.91253738611	51.7859023163	-3.66862487793	-1.64368700981	-61.7938995361	0.846668595899	0.0	0.0	0.0	0.0	0.0	0.50793599011	1.0	1
1.0	502.929016113	2.0	2.0	4171.32470703	8.0	2.0	44.8696001768	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	6.99896636468	36.2349373039	-3.1577899456	1.42962002754	-52.5269012451	0.486901903664	2.0	9.53999996185	23.4600000381	2.0	12.5600004196	0.397665627119	1.0	1
1.0	414.142028809	2.0	2.0	4900.17333984	8.0	3.0	53.7000010014	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	6.99896636468	36.2349373039	-3.1577899456	1.42962002754	-52.5269012451	0.486901903664	2.0	9.53999996185	25.4200000763	2.0	12.9600000381	0.324526722842	1.0	1
1.0	793.625	3.0	3.0	4311.95019531	9.0	3.0	98.340000391	0.0	0.0584486611187	0.987306833267	-0.147678598762	7.70770772115	37.1201809614	-1.77201497555	-0.0105400085449	-52.3720016479	0.461316007231	2.0	9.53999996185	25.4200000763	2.0	12.9600000381	0.690580999728	1.0	1
1.0	227.269805908	1.0	0.0	3274.00561523	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	444.978912354	3.0	3.0	7989.77539062	16.0	4.0	73.3799993992	0.0	-0.105002559721	-0.992559850216	-0.0616389214993	18.4947997204	32.0421577182	-4.98083019257	10.0247297287	-65.1005020142	0.572582201137	2.0	5.67999982834	18.3400001526	2.0	9.89999961853	0.97099289187	1.0	1
1.0	370.475891113	2.0	2.0	10935.2998047	15.0	2.0	25.0200006962	0.0	-0.104996815324	-0.992560565472	-0.0616376250982	11.5334457171	39.1796249533	-3.01287508011	19.1928501129	-51.7537994385	0.978415618754	0.0	0.0	0.0	1.0	14.0600004196	0.425864428167	1.0	1
1.0	683.805969238	2.0	2.0	11157.1386719	17.0	4.0	68.1600008011	0.0	-0.105002559721	-0.992559850216	-0.0616389214993	3.61423817535	37.8637845736	-4.98083019257	10.0247297287	-65.1005020142	0.572582201137	4.0	4.94000005722	42.7600002289	4.0	14.7399997711	0.970613533812	1.0	1
1.0	487.523010254	1.0	1.0	3342.2644043	5.0	1.0	14.0199995041	1.94625537497	-0.0182471424341	-0.215787440538	-0.976269841194	11.6675683633	2.6742086903	-4.82503032684	11.7434997559	-59.5228500366	0.95762741408	0.0	0.0	0.0	0.0	0.0	0.341647447526	1.0	1
1.0	573.181030273	2.0	2.0	6160.77246094	12.0	4.0	113.499999046	0.0	-0.995591461658	0.093633800745	-0.00550994835794	11.6101355415	32.5101812726	-4.26627492905	12.1028995514	-57.6708984375	0.714855813225	3.0	5.67999982834	34.3800001144	2.0	14.7399997711	0.559986144182	1.0	1
1.0	474.986999512	2.0	2.0	85.6088027954	1.0	1.0	34.5600004196	1.94625537497	-0.0182471424341	-0.215787440538	-0.976269841194	14.9167171115	2.6742086903	-4.82503032684	11.7434997559	-59.5228500366	0.106743912677	0.0	0.0	0.0	0.0	0.0	0.965663124279	1.0	1
1.0	222.027999878	1.0	1.0	3919.03833008	12.0	1.0	10.9399995804	0.0	0.995591461658	-0.093633800745	0.00550994835794	0.0	25.4950753894	-4.26627492905	12.1028995514	-57.6708984375	0.638814737897	1.0	9.89999961853	10.1000003815	1.0	9.89999961853	0.457689822481	1.0	1
1.0	573.181030273	2.0	0.0	315.093902588	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	186.501998901	1.0	1.0	1530.73608398	2.0	1.0	12.7999999523	4.68612854286	-0.83746945858	-0.543487668037	-0.0571496710181	3.06724353405	22.1020585496	-13.6948547363	-18.2714500427	-67.2272949219	0.509284503592	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	821.161987305	3.0	2.0	5501.125	11.0	2.0	54.1200002432	0.0	0.999347388744	-0.0346338562667	-0.0102584809065	18.154635811	37.1209420212	-4.70909023285	-5.84807491302	-55.0397491455	0.801344949113	2.0	9.42000007629	23.4200000763	0.0	11.0	0.992749588421	1.0	1
1.0	552.333984375	2.0	2.0	10134.6767578	15.0	5.0	91.4000009298	0.0	-0.999347448349	0.0346074774861	0.0103469425812	5.78227048012	14.4702851961	-2.83733987808	14.5781993866	-53.1745986938	0.830602647421	2.0	9.42000007629	23.4200000763	2.0	13.3000001907	0.759639045876	1.0	1
1.0	715.835021973	2.0	1.0	5686.14648438	15.0	4.0	67.020001173	0.0	0.999347388744	-0.0346338562667	-0.0102584809065	15.6473275842	28.4031041889	-4.70909023285	-5.84807491302	-55.0397491455	0.145260887161	1.0	9.42000007629	9.27999973297	0.0	9.42000007629	0.965215306379	1.0	1
1.0	186.501998901	1.0	1.0	1576.45703125	3.0	2.0	34.3200004101	3.09909182135	-0.141360983253	-0.83948135376	0.524679064751	7.93526705497	32.437202955	-4.988530159	-12.967965126	-57.4238014221	0.158555521753	0.0	0.0	0.0	0.0	0.0	0.23294812318	1.0	1
1.0	186.968002319	1.0	0.0	2869.78808594	9.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	150.054397583	1.0	1.0	2039.70898438	2.0	1.0	10.2600002289	4.05635310014	-0.752969443798	-0.503879070282	-0.423252701759	1.12710050073	18.0096285007	-6.13832473755	-5.51011037827	-68.2505950928	0.0473607929244	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
