valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1987.03686523	2.0	1.0	4289.26513672	5.0	2.0	32.1799988747	0.0	-0.0584627389908	-0.987321674824	0.147573590279	0.979461483891	41.2236437697	-37.7777023315	89.3782958984	19.8734493256	0.0366500555867	1.0	2.96000003815	2.0	1.0	2.96000003815	-1.0	0.0	1
1.0	6770.08203125	11.0	7.0	10121.0800781	16.0	8.0	124.599998951	0.0	-0.0584608726203	-0.9873239398	0.147559404373	61.8285317032	14.4567020749	-69.6343994141	55.0707473755	14.2395496368	0.463661027732	10.0	1.34000003338	79.115600951	10.0	17.7000007629	0.999975468356	1.0	1
1.0	1865.59277344	7.0	6.0	1033.0859375	6.0	4.0	94.279999733	0.0	0.0583542175591	0.987311780453	-0.147682979703	30.447162441	0.0	-31.1669502258	56.2296981812	16.9850006104	0.914696228072	4.0	2.96000003815	17.8600000143	2.0	14.4600000381	0.994918443236	1.0	1
1.0	10914.1757812	15.0	11.0	14099.8769531	23.0	15.0	202.533199877	0.0	-0.997887730598	0.0561502985656	0.0326686613262	7.60575632559	1.99371178298	-6.91204500198	104.646499634	17.8590011597	0.624485548573	21.0	1.34000003338	141.536400899	12.0	32.5800018311	0.999672683144	1.0	1
1.0	5980.06689453	7.0	2.0	4430.74023438	7.0	2.0	54.7999992371	0.0	-0.0584627389908	-0.987321674824	0.147573590279	0.979461483891	41.2236437697	-37.7777023315	89.3782958984	19.8734493256	0.0366500555867	1.0	2.96000003815	2.0	1.0	2.96000003815	0.531966070567	1.0	1
1.0	7834.5078125	10.0	4.0	2579.29174805	5.0	3.0	73.4599983692	0.0	-0.0584627389908	-0.987321674824	0.147573590279	30.1364674663	9.880670985	-37.7777023315	89.3782958984	19.8734493256	0.0366500555867	1.0	2.96000003815	2.0	1.0	2.96000003815	0.999598247876	1.0	1
1.0	1050.29492188	2.0	2.0	1903.57067871	5.0	4.0	54.5999994278	0.0	0.997891008854	-0.0560498274863	-0.0327409245074	19.150390955	28.6454408655	-8.89412021637	66.5670471191	2.56239509583	0.0719775171429	1.0	9.26000022888	7.78000020981	0.0	9.26000022888	0.910387324603	1.0	1
1.0	2750.36791992	11.0	5.0	2121.63891602	7.0	3.0	94.8400008678	0.0	0.0584627389908	0.987321674824	-0.147573590279	28.0995304368	29.1802449154	-37.7777023315	89.3782958984	19.8734493256	0.0366500555867	4.0	2.96000003815	24.8799999952	1.0	2.96000003815	0.998704676571	1.0	1
1.0	6325.16894531	6.0	4.0	7876.42773438	11.0	5.0	111.939999104	0.0	-0.0584513284266	-0.987322211266	0.147574707866	5.29046778055	23.7054571152	-8.10894584656	81.2747039795	12.3547496796	0.779721974369	2.0	2.96000003815	11.8800001144	1.0	2.96000003815	0.952261458683	1.0	1
1.0	6562.14746094	11.0	6.0	4484.16943359	9.0	6.0	107.754798412	0.0	0.0584622845054	0.987305700779	-0.147680625319	68.6585669779	1.77758204222	-55.8047027588	68.1966018677	20.732000351	0.65777392503	1.0	22.1000003815	22.7999992371	1.0	6.86000013351	0.999004580315	1.0	1
1.0	4703.14257812	1.0	1.0	3019.06054688	3.0	1.0	29.4199995995	0.0	0.105047702789	0.992555201054	0.0616370551288	2.33152129465	37.8573671735	-18.4869499207	86.6338500977	30.5998001099	0.500133077167	1.0	12.220000267	11.4600000381	1.0	12.220000267	-1.0	0.0	1
1.0	16669.0097656	18.0	9.0	16928.25	13.0	7.0	269.759999275	0.0	0.104949317873	0.992565572262	0.0616379380226	68.5167623701	4.25957488267	-57.0867004395	62.2214508057	32.325302124	0.43550846204	17.0	3.18000006676	160.048001528	4.0	5.98000001907	0.999999999988	1.0	1
1.0	12598.4404297	18.0	7.0	10259.9277344	16.0	7.0	320.479996204	0.0	-0.995591640472	0.093631953001	-0.00550808152184	60.0218017417	2.10287469538	-58.8964996338	50.0355987549	29.7389984131	0.223041991813	10.0	5.19999980927	110.180001736	6.0	12.220000267	0.999984167401	1.0	1
1.0	14777.4248047	18.0	9.0	17115.1054688	13.0	7.0	280.419998407	0.0	-0.995591640472	0.093631953001	-0.00550808152184	60.0218017417	2.10287469538	-58.8964996338	50.0355987549	29.7389984131	0.223041991813	17.0	3.18000006676	157.919201909	4.0	12.9799995422	0.999999999849	1.0	1
1.0	4357.68408203	4.0	3.0	2176.09375	4.0	3.0	64.3200011253	0.0	0.105045802891	0.992555439472	0.0616370663047	42.828394244	19.0904941449	-17.7337493896	83.6627502441	28.6035995483	0.163291022024	2.0	5.98000001907	31.779999733	3.0	15.1999998093	0.98656875691	1.0	1
1.0	1739.05456543	5.0	3.0	290.963989258	2.0	2.0	46.9200000763	0.0	-0.105047702789	-0.992555201054	-0.0616370551288	43.2498336647	2.33152129465	-18.4869499207	86.6338500977	30.5998001099	0.500133077167	1.0	12.220000267	11.4600000381	1.0	12.220000267	0.991399945738	1.0	1
1.0	7061.34130859	6.0	3.0	3267.25683594	6.0	5.0	118.219999313	0.0	-0.104945115745	-0.992566049099	-0.0616377256811	43.9584762779	35.1294773261	-46.7749023438	88.8979492188	17.6525001526	0.124641325723	5.0	2.5	44.9000000954	6.0	16.6000003815	0.980117549865	1.0	1
