valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	7513.66113281	1.0	1.0	1424.6809082	1.0	1.0	21.5199999809	3.30009093882	0.258394449949	-0.590885519981	0.764255583286	33.5351477746	17.8486092883	-2.72185516357	81.7889556885	-47.1313018799	0.196236531513	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	15687.7597656	24.0	9.0	8104.6171875	10.0	7.0	178.251378298	0.0	0.997889995575	-0.0560491830111	-0.032771948725	59.5708983603	12.9042882197	-3.76692485809	48.8539505005	-44.492149353	0.200299636232	21.0	1.34000003338	130.735601075	12.0	20.0200004578	0.999966882529	1.0	1
1.0	14095.6728516	25.0	6.0	5443.69238281	7.0	5.0	148.589599609	0.0	0.997895538807	-0.0559510067105	-0.032771807164	48.0930362813	1.75334997473	-38.3833007812	97.3594055176	-27.7277488708	0.500352080226	3.0	3.96000003815	28.6600003242	4.0	17.7000007629	0.9999985978	1.0	1
1.0	14489.9111328	15.0	6.0	4645.15673828	8.0	3.0	110.516978592	0.0	0.058412566781	0.987343490124	-0.147447600961	53.0697967687	18.0550214886	-2.86439990997	104.983001709	-22.8151493073	0.98784237363	12.0	1.34000003338	123.855600722	7.0	32.5800018311	0.985383384905	1.0	1
1.0	10843.8378906	11.0	8.0	4706.16699219	8.0	6.0	98.78879866	0.0	-0.997890651226	0.0560385212302	0.0327702686191	41.7540790532	14.026211933	-26.0848503113	88.5680541992	-53.9120483398	0.615503002746	14.0	3.96000003815	123.824001648	4.0	17.7000007629	0.999857890752	1.0	1
1.0	13699.0830078	10.0	7.0	2361.86474609	7.0	7.0	182.314178944	0.0	0.058412566781	0.987343490124	-0.147447600961	0.0	18.0550214886	-2.86439990997	104.983001709	-22.8151493073	0.98784237363	11.0	4.0	123.408400506	6.0	13.1199998856	0.999958750275	1.0	1
1.0	12692.9853516	7.0	3.0	6021.73730469	6.0	3.0	180.109599113	0.0	0.0584752112627	0.987315952778	-0.147607147694	15.3570634887	25.0120562141	-17.2581005096	110.332504272	-23.010848999	0.736193213817	0.0	0.0	0.0	1.0	12.1199998856	0.998936833203	1.0	1
1.0	14093.2363281	9.0	5.0	4533.49951172	4.0	4.0	164.934981108	0.0	0.058412566781	0.987343490124	-0.147447600961	0.0	37.3314317378	-2.86439990997	104.983001709	-22.8151493073	0.98784237363	9.0	1.74000000954	51.9884001911	5.0	13.5799999237	0.997146653842	1.0	1
1.0	4380.85742188	9.0	2.0	2313.25512695	3.0	2.0	9.53320002556	0.0	-0.76548576355	-0.631337106228	0.124277643859	39.4539446182	1.34698688334	-25.987449646	88.5039978027	-50.9096984863	0.418880520559	4.0	5.44000005722	62.4000005722	1.0	17.7000007629	0.979143360539	1.0	1
1.0	8720.69042969	7.0	5.0	5098.47851562	7.0	7.0	135.720001698	0.0	0.997895538807	-0.0559510067105	-0.032771807164	38.7224255641	13.7089314664	-38.3833007812	97.3594055176	-27.7277488708	0.500352080226	13.0	1.34000003338	62.069200851	5.0	17.7000007629	0.973900367244	1.0	1
