valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	7513.66113281	1.0	1.0	118.064002991	1.0	1.0	28.0599994659	3.08076449084	0.346249580383	-0.772648096085	-0.532096028328	50.7720848351	2.45853872569	-15.513250351	72.0363464355	-72.8932037354	0.883810890248	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	19796.7519531	24.0	4.0	1816.04296875	3.0	3.0	149.933197975	0.0	0.997889816761	-0.0560521669686	-0.0327736921608	58.9329344266	20.4220966002	-33.1429977417	75.5748519897	-63.6989517212	0.240572179754	7.0	6.40000009537	118.059999704	2.0	23.9200000763	0.999998214701	1.0	1
1.0	7852.10351562	19.0	3.0	439.706604004	2.0	1.0	10.0156000555	0.0	0.997893869877	-0.0560421980917	-0.0326672643423	68.1910753086	0.916934180139	-2.54110002518	80.1417541504	-38.6548995972	0.851168099408	4.0	5.55999994278	18.2000000477	2.0	14.9200000763	0.967125139084	1.0	1
1.0	12176.9882812	19.0	6.0	796.665771484	3.0	3.0	63.2555995882	0.0	0.0584620460868	0.987305819988	-0.147680014372	33.6657755866	1.77431556373	-37.8957977295	45.2540969849	-74.029006958	0.0389996192857	4.0	5.55999994278	32.9599995613	2.0	14.9200000763	0.987634101237	1.0	1
1.0	4725.93359375	5.0	2.0	1451.96386719	5.0	4.0	56.3599996567	0.0	-0.997895479202	0.0559512227774	0.0327738784254	48.3667503355	34.1264124412	-33.0187988281	75.963394165	-60.764251709	0.190669744609	2.0	19.5599994659	26.3799991608	0.0	25.2999992371	0.815035049471	1.0	1
1.0	12134.2167969	11.0	5.0	1608.14501953	3.0	3.0	131.653198481	0.0	0.0584620460868	0.987305819988	-0.147680014372	51.4320283793	1.77431556373	-37.8957977295	45.2540969849	-74.029006958	0.0389996192857	2.0	10.3199996948	35.6199998856	0.0	27.8400001526	0.998796042154	1.0	1
1.0	14503.9257812	10.0	5.0	1264.60900879	5.0	5.0	124.733198881	0.0	0.0584620460868	0.987305819988	-0.147680014372	51.4320283793	1.77431556373	-37.8957977295	45.2540969849	-74.029006958	0.0389996192857	5.0	10.3199996948	70.5999984741	2.0	23.9200000763	0.999679790474	1.0	1
1.0	10892.7148438	9.0	6.0	2623.24902344	5.0	5.0	214.653196573	0.0	0.0584620460868	0.987305819988	-0.147680014372	51.4320283793	1.77431556373	-37.8957977295	45.2540969849	-74.029006958	0.0389996192857	6.0	4.65999984741	94.3799999952	2.0	29.7399997711	0.998606371213	1.0	1
1.0	9308.46679688	15.0	6.0	1798.74536133	3.0	2.0	82.5599982738	0.0	-0.997895479202	0.0559512227774	0.0327738784254	56.0586778204	0.0	-33.0187988281	75.963394165	-60.764251709	0.0693013668053	3.0	19.5599994659	57.4200000763	2.0	29.7399997711	0.99850061989	1.0	1
1.0	12880.8134766	10.0	1.0	87.3496017456	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	25.5	13.6400003433	0.0	25.5	0.999918521209	1.0	1
1.0	3909.4987793	2.0	1.0	57.0856018066	1.0	1.0	21.240000248	2.91576754926	0.341426372528	-0.342978864908	-0.875096321106	17.6423037807	2.23656677697	-37.1841506958	71.3481445312	-52.6102981567	0.994467232252	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
