valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2381.97192383	2.0	0.0	658.12701416	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.31095464133e-11	0.0	1
1.0	11672.3574219	8.0	5.0	1994.70214844	9.0	8.0	181.220001459	0.0	-0.0584629699588	-0.987321436405	0.147575214505	50.9900057403	1.98386018609	-58.3302993774	-43.9403991699	-15.1179504395	0.917176675246	7.0	0.920000016689	48.2800002098	3.0	14.279999733	0.988912770957	1.0	1
1.0	6384.09179688	9.0	3.0	1790.99865723	7.0	3.0	73.4600009918	0.0	-0.0584629699588	-0.987321436405	0.147575214505	26.4349542802	1.98386018609	-58.3302993774	-43.9403991699	-15.1179504395	0.917176675246	2.0	2.92000007629	12.1999998093	2.0	10.9200000763	0.927413207714	1.0	1
1.0	12768.6865234	7.0	5.0	2190.69213867	8.0	7.0	178.940002322	0.0	0.997889816761	-0.0560520589352	-0.0327726565301	15.9770309312	23.8264844516	-27.8312988281	-66.2856521606	-14.5823497772	0.158168115548	12.0	0.920000016689	91.6122177988	8.0	15.7600002289	0.997498432371	1.0	1
1.0	2462.90380859	3.0	0.0	658.12701416	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.31095464133e-11	1.0	1
1.0	6475.33154297	9.0	4.0	1605.96228027	5.0	2.0	45.3600001335	0.0	-0.0584629811347	-0.987321615219	0.147574186325	29.9072061618	17.2461189816	-37.0511016846	-57.8136978149	-27.4374504089	0.469464587091	5.0	2.92000007629	50.3200011253	4.0	15.7600002289	0.97789964368	1.0	1
1.0	3081.45996094	3.0	0.0	658.12701416	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.31095464133e-11	1.0	1
1.0	5349.5	6.0	3.0	1591.08605957	6.0	6.0	134.840001106	0.0	0.997889816761	-0.0560520589352	-0.0327726565301	15.9770309312	34.2616403781	-27.8312988281	-66.2856521606	-14.5823497772	0.158168115548	5.0	0.920000016689	35.9536008835	4.0	15.7600002289	0.971124652154	1.0	1
1.0	4008.57519531	7.0	2.0	942.237548828	3.0	2.0	24.6599998474	4.54719694381	0.5572270751	-0.713187813759	-0.425277709961	1.95902425398	31.0096951598	-31.8691005707	-58.9285011292	-2.76169013977	0.0866940460743	3.0	9.61999988556	37.3000006676	2.0	15.7600002289	0.284692936719	1.0	1
1.0	4696.4765625	7.0	2.0	1979.51489258	9.0	9.0	122.200001478	0.0	0.997889816761	-0.0560520589352	-0.0327726565301	15.9770309312	35.1918702055	-27.8312988281	-66.2856521606	-14.5823497772	0.158168115548	7.0	0.920000016689	70.100001812	4.0	15.7600002289	0.995028538995	1.0	1
