valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	962.940856934	7.0	2.0	1938.87304688	3.0	2.0	20.8599996567	3.42671857166	-0.938465058804	-0.334063142538	0.087665207684	39.4797878334	20.6980862211	-14.1805849075	-45.4004516602	-57.1744995117	0.155106928498	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4387.38818359	11.0	8.0	10651.5273438	16.0	10.0	215.896799676	0.0	-0.997895658016	0.0559493899345	0.0327708572149	38.7173514683	36.9769490876	-4.0612449646	-40.6506996155	-28.3193511963	0.992816280334	1.0	8.85999965668	9.22000026703	2.0	16.1399993896	0.992786973757	1.0	1
1.0	3062.98730469	16.0	4.0	4484.52880859	8.0	4.0	29.6399993896	0.0	-0.997895598412	0.0560081005096	0.0326712206006	38.4337655942	52.3686702726	-3.1577899456	1.42962002754	-52.5269012451	0.486901903664	1.0	9.53999996185	10.8599996567	1.0	9.53999996185	0.56521199792	1.0	1
1.0	4838.18457031	16.0	12.0	9600.63867188	10.0	6.0	213.249599278	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	38.3777528003	36.2349373039	-3.1577899456	1.42962002754	-52.5269012451	0.486901903664	5.0	8.85999965668	56.1199998856	5.0	16.1399993896	0.999672682059	1.0	1
1.0	2639.53881836	13.0	12.0	5213.82128906	9.0	8.0	284.576802187	0.0	-0.997895777225	0.05594631657	0.0327721461654	50.5737892682	57.3629721453	-4.64990520477	-24.6281013489	-47.1347503662	0.171011451128	1.0	8.85999965668	9.22000026703	1.0	8.85999965668	0.963902453066	1.0	1
1.0	1415.34533691	9.0	8.0	5722.68652344	7.0	6.0	140.439999819	1.41788223885	-0.481960505247	-0.326361715794	0.813143372536	22.7944184988	11.3199036456	-10.4337444305	-61.6185531616	-31.7169494629	0.909613999502	0.0	0.0	0.0	0.0	0.0	0.774730718092	1.0	1
1.0	2446.94018555	14.0	10.0	3978.67016602	9.0	7.0	269.560001612	0.0	-0.997895777225	0.05594631657	0.0327721461654	57.7268803626	47.3048944785	-4.64990520477	-24.6281013489	-47.1347503662	0.171011451128	1.0	8.85999965668	9.22000026703	1.0	8.85999965668	0.98548917798	1.0	1
1.0	1167.14831543	9.0	3.0	1938.87304688	3.0	3.0	51.9600000381	2.71302965328	0.231493383646	-0.823017537594	0.51870316267	52.3893617288	23.9733528816	-24.0320510864	-36.1604995728	-61.1258506775	0.451852498014	0.0	0.0	0.0	0.0	0.0	0.388382717867	1.0	1
1.0	144.488998413	1.0	0.0	1829.29724121	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0126026522244	1.0	1
1.0	209.898712158	2.0	1.0	3274.00561523	1.0	1.0	12.4799995422	4.00036237983	-0.754603981972	0.346518158913	-0.557223498821	2.3315244822	37.2937380514	-10.6140699387	-23.003950119	-62.6161994934	0.666306975572	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3581.5769043	10.0	3.0	6331.93847656	16.0	3.0	39.8200004101	0.0	-0.995600104332	0.0935422256589	-0.00550642609596	41.3630757568	60.4383623971	-2.69194984436	-22.4868507385	-46.993598938	0.818122760863	1.0	5.30000019073	4.82000017166	1.0	5.30000019073	0.964302539902	1.0	1
1.0	1214.70837402	5.0	3.0	3289.91772461	5.0	4.0	75.2199988365	0.0	0.105046205223	0.992555379868	0.061637300998	34.4790323545	37.4367715793	-28.5914497375	-42.2757492065	-52.1382980347	0.680081374142	4.0	8.96000003815	51.9000005722	2.0	18.5400009155	0.833565151099	1.0	1
1.0	5414.51855469	8.0	4.0	9682.87207031	13.0	5.0	92.5800004005	0.0	0.99559533596	-0.0935870930552	0.00560053577647	10.7708167769	49.3401871066	-4.27916526794	2.545814991	-45.4869499207	0.931396881004	5.0	5.38000011444	44.080000639	4.0	11.1199998856	0.999832353965	1.0	1
1.0	803.077026367	5.0	5.0	4862.08789062	6.0	4.0	129.119999886	0.0	-0.995600402355	0.0935386791825	-0.00550813507289	28.0696216932	15.997786782	-3.9688000679	-53.4274520874	-23.3599014282	0.149222882761	1.0	12.8000001907	13.1199998856	1.0	12.8000001907	0.347457288046	1.0	1
1.0	1423.9119873	5.0	3.0	1582.19116211	9.0	3.0	70.4599990845	0.0	0.995600402355	-0.0935386791825	0.00550813507289	27.119813933	7.22402549511	-3.9688000679	-53.4274520874	-23.3599014282	0.149222882761	2.0	5.30000019073	17.9400000572	2.0	12.8000001907	0.972818179957	1.0	1
1.0	189.908706665	2.0	2.0	3294.90258789	5.0	3.0	38.0	1.63530121738	0.0845435187221	0.768512070179	-0.634225189686	9.49836292758	4.20659878478	-3.22144985199	-61.4175491333	-24.75	0.806123749507	0.0	0.0	0.0	0.0	0.0	0.144011364086	1.0	1
1.0	691.048828125	5.0	3.0	1141.56274414	5.0	3.0	31.6599998474	2.40493242926	-0.0451646074653	-0.384423077106	0.922051548958	17.3614066407	0.992887905646	-4.93519020081	-57.9273986816	-31.8517494202	0.168582975637	1.0	7.40000009537	6.94000005722	0.0	7.40000009537	0.984488948253	1.0	1
1.0	209.898712158	2.0	2.0	3014.66748047	5.0	2.0	21.5599994659	2.40493242926	0.0451646074653	0.384423077106	-0.922051548958	10.20339981	17.3614066407	-4.93519020081	-57.9273986816	-31.8517494202	0.168582975637	0.0	0.0	0.0	0.0	0.0	0.111593774773	1.0	1
1.0	1121.41821289	4.0	4.0	3061.59716797	6.0	4.0	92.57999897	2.33695313692	-0.0096533736214	-0.0461979582906	0.998885631561	22.9037331987	48.882778754	-2.14139986038	-22.4099502563	-49.7182998657	0.563285733093	0.0	0.0	0.0	0.0	0.0	0.982778448138	1.0	1
1.0	248.893310547	4.0	4.0	1530.73608398	2.0	2.0	43.7999992371	2.43223972524	-0.215676769614	-0.861963570118	0.458805322647	14.2609764196	2.84356659361	-10.9662504196	-58.275100708	-44.9562988281	0.185679815937	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5823.12158203	11.0	9.0	7142.73339844	12.0	6.0	136.959998369	0.0	-0.999346196651	0.0346429571509	0.0103469323367	30.3394166842	15.5162205512	-4.43492031097	3.3407201767	-60.2562026978	0.106840897084	3.0	10.0200004578	36.3400011063	1.0	9.80000019073	0.999983957365	1.0	1
1.0	867.59552002	7.0	4.0	2568.50585938	7.0	4.0	35.3399991989	1.90266130683	-0.606618404388	0.539740145206	-0.583690583706	13.4477199981	2.3751036288	-23.9433002472	-68.3313446045	-17.6550998688	0.162609883414	0.0	0.0	0.0	0.0	0.0	0.0131827322675	1.0	1
1.0	4693.71142578	13.0	6.0	7366.05957031	10.0	5.0	126.599998713	0.0	0.0334173701704	0.984691381454	-0.171073585749	67.3923680669	31.7770679231	-27.0422496796	-52.424949646	-46.6120529175	0.512750919246	1.0	9.85999965668	8.35999965668	0.0	9.85999965668	0.993299151371	1.0	1
1.0	158.143005371	2.0	2.0	2057.00976562	4.0	4.0	37.8599996567	2.58644159019	-0.331431031227	0.365447729826	-0.869828402996	0.0	0.0	-10.5405302048	-63.9233474731	-38.5536003113	0.144551989307	0.0	0.0	0.0	0.0	0.0	0.150460432345	1.0	1
1.0	1906.65661621	6.0	5.0	4449.38085938	5.0	4.0	185.520000219	0.0	0.0334173701704	0.984691381454	-0.171073585749	38.0300898126	18.5534763085	-27.0422496796	-52.424949646	-46.6120529175	0.512750919246	1.0	9.85999965668	8.35999965668	0.0	9.85999965668	0.987254305096	1.0	1
1.0	407.190979004	2.0	2.0	136.471298218	3.0	3.0	21.0199995041	2.43223972524	0.215676769614	0.861963570118	-0.458805322647	2.84356659361	2.37504056073	-10.9662504196	-58.275100708	-44.9562988281	0.185679815937	0.0	0.0	0.0	0.0	0.0	0.927662027658	1.0	1
1.0	874.411987305	3.0	3.0	2091.35546875	6.0	4.0	71.4400012493	0.0	0.0334203466773	0.984689235687	-0.171085357666	0.0	23.6159716731	-19.7028503418	-30.0370006561	-65.0924530029	0.615670576472	1.0	11.6000003815	10.1400003433	0.0	11.6000003815	0.967818308158	1.0	1
1.0	931.843322754	8.0	7.0	4860.62402344	7.0	5.0	135.340000391	0.0	0.999347388744	-0.0346338562667	-0.0102584809065	15.6473275842	37.1209420212	-4.70909023285	-5.84807491302	-55.0397491455	0.145260887161	1.0	9.42000007629	9.27999973297	0.0	9.42000007629	0.921940046075	1.0	1
1.0	1878.7253418	11.0	8.0	4166.75878906	5.0	4.0	132.740001202	0.0	0.999347388744	-0.0346338562667	-0.0102584809065	27.7088136505	37.1209420212	-4.70909023285	-5.84807491302	-55.0397491455	0.145260887161	3.0	7.17999982834	26.2800002098	1.0	7.17999982834	0.989800352422	1.0	1
1.0	542.858642578	2.0	1.0	2039.70898438	2.0	2.0	46.3399982452	3.5313595105	-0.679915010929	0.653012037277	-0.333602875471	21.064164374	24.2317254228	-3.68488264084	-19.1781997681	-71.7473983765	0.337580351056	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1286.6541748	7.0	4.0	2133.24438477	5.0	3.0	49.2399997711	0.0	0.0461944006383	0.993749499321	-0.101626932621	11.7713865325	8.13280576588	-17.4827003479	23.3088493347	-76.8802032471	0.613870140968	2.0	8.23999977112	18.5799999237	0.0	10.4200000763	0.995825923393	1.0	1
1.0	827.743652344	3.0	2.0	2369.0090332	4.0	3.0	61.7599983215	2.44637687358	-0.124608106911	0.810023367405	-0.573005259037	23.1537059868	7.82234602076	3.26807498932	-53.0048980713	-27.4711494446	0.968027374833	0.0	0.0	0.0	0.0	0.0	0.17228779793	1.0	1
1.0	6201.96777344	16.0	9.0	7467.78613281	9.0	7.0	175.395198822	0.0	0.0461869947612	0.993751227856	-0.101613201201	2.51045891488	23.0439485577	0.778594970703	20.8659000397	-61.2874984741	0.492460304872	4.0	4.07999992371	37.5	1.0	4.07999992371	0.999992990065	1.0	1
1.0	2841.80493164	6.0	5.0	4215.40283203	8.0	6.0	159.879998684	0.0	-0.0461821258068	-0.993751108646	0.101616933942	21.542166998	12.2534450525	0.988553524017	-60.6697998047	-22.4556999207	0.704977322645	4.0	1.12000000477	31.2000002861	2.0	11.1199998856	0.865054114295	1.0	1
1.0	3759.42724609	5.0	2.0	3586.01855469	7.0	3.0	96.1999983788	0.0	-0.998023092747	0.0332724004984	-0.0533184222877	40.2480124854	14.8015213082	-21.0891494751	-58.8467483521	-41.0592498779	0.518427928263	1.0	8.06000041962	8.14000034332	0.0	8.06000041962	0.98512491812	1.0	1
1.0	2495.30712891	6.0	5.0	3559.2890625	8.0	5.0	165.919999123	0.0	-0.998023033142	0.0332690402865	-0.0533218458295	40.4207653689	26.8620533127	-13.9607505798	-54.2611503601	-44.0679473877	0.443669318183	1.0	8.15999984741	7.82000017166	1.0	8.15999984741	0.908479441968	1.0	1
1.0	3905.82641602	5.0	5.0	3663.42651367	12.0	9.0	291.419998407	0.0	-0.998024642467	0.0332261845469	-0.0533185936511	1.77289350663	9.86696928596	-22.2641487122	3.59977483749	-76.5000457764	0.736684408546	7.0	1.12000000477	61.7600002289	1.0	8.15999984741	0.994155173972	1.0	1
1.0	2094.26196289	4.0	2.0	1107.75097656	6.0	5.0	57.5799984932	0.0	-0.0461821258068	-0.993751108646	0.101616933942	8.67954510919	12.2534450525	0.988553524017	-60.6697998047	-22.4556999207	0.704977322645	2.0	1.12000000477	9.86000013351	1.0	8.15999984741	0.982597467395	1.0	1
