valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2585.79199219	1.0	1.0	1938.87304688	3.0	2.0	63.8799996376	0.0	0.99788993597	-0.0560500063002	-0.0327735692263	13.0385162401	24.5492859322	-41.67029953	-31.9110488892	-53.5342483521	0.113543963301	2.0	16.3799991608	32.5599994659	0.0	16.6800003052	-1.0	0.0	1
1.0	5917.31494141	11.0	8.0	3835.28686523	15.0	12.0	185.180000424	0.0	0.997893154621	-0.0560521371663	-0.032670468092	28.0374341655	19.7518919057	-36.7243995667	-63.1423492432	-22.1717987061	0.0228379652989	15.0	2.92000007629	136.843999624	6.0	15.1999998093	0.992464375158	1.0	1
1.0	3319.13232422	8.0	2.0	3527.40136719	12.0	2.0	7.57999992371	2.7782548357	-0.152974814177	0.115822426975	-0.981419324875	21.6902457174	29.1469379026	-9.35890579224	-61.7375030518	-28.7466506958	0.79394644977	6.0	4.51999998093	42.8200011253	4.0	15.7600002289	0.753419247637	1.0	1
1.0	4941.95605469	15.0	12.0	8818.83007812	16.0	8.0	131.739999712	0.0	-0.0584630407393	-0.987321555614	0.147574335337	8.73827800588	51.5454067646	-61.3749008179	-13.7241001129	-46.4092483521	0.233548653818	12.0	1.96000003815	86.1504004002	6.0	22.5599994659	0.982217898505	1.0	1
1.0	2475.58496094	1.0	1.0	1107.125	2.0	1.0	46.7999992371	2.66858198008	-0.0189990829676	-0.680850982666	0.732175529003	31.3020956989	5.00569247938	-30.4309501648	-50.4102020264	-49.0273513794	0.356854748547	0.0	0.0	0.0	0.0	0.0	0.123793746791	1.0	1
1.0	3342.56542969	4.0	4.0	2539.30981445	5.0	3.0	79.0600011349	0.0	-0.997893154621	0.0560521371663	0.032670468092	27.2926426836	8.90397460233	-36.7243995667	-63.1423492432	-22.1717987061	0.564670113321	10.0	4.51999998093	100.373600006	4.0	15.1999998093	0.993581554795	1.0	1
1.0	1666.22888184	4.0	4.0	2155.34790039	7.0	4.0	38.7200007439	0.0	0.99788993597	-0.0560500063002	-0.0327735692263	13.0385162401	47.5060581263	-41.67029953	-31.9110488892	-53.5342483521	0.72745928708	9.0	7.30000019073	99.8000011444	2.0	15.7600002289	0.69058139539	1.0	1
1.0	2136.94995117	5.0	5.0	4344.4140625	9.0	7.0	154.640000343	0.0	-0.997893154621	0.0560521371663	0.032670468092	31.5871623022	4.8606524305	-36.7243995667	-63.1423492432	-22.1717987061	0.598091332136	8.0	3.18000006676	86.8267992735	3.0	15.1999998093	0.982474055151	1.0	1
1.0	2585.79199219	1.0	1.0	1984.66650391	4.0	3.0	77.7400000095	0.0	0.99788993597	-0.0560500063002	-0.0327735692263	13.0385162401	38.9713726014	-41.67029953	-31.9110488892	-53.5342483521	0.113543963301	2.0	16.3799991608	32.5599994659	0.0	16.6800003052	0.0912396975035	1.0	1
1.0	3658.71630859	6.0	6.0	6272.42236328	11.0	7.0	175.439999342	0.0	-0.99788993597	0.0560521744192	0.0327698029578	0.916923319547	45.3567060477	-60.5446014404	-27.9657497406	-38.3549499512	0.994694957194	15.0	2.92000007629	103.557201028	8.0	22.5599994659	0.981426996293	1.0	1
