valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	658.12701416	1.0	1.0	408.394897461	4.0	2.0	36.2999997139	0.0	0.997889816761	-0.0560520589352	-0.0327726565301	14.4249318176	0.0	-27.8312988281	-66.2856521606	-14.5823497772	0.158168115548	1.0	0.920000016689	0.0	0.0	0.920000016689	-1.0	0.0	1
1.0	3217.96801758	8.0	5.0	2400.46118164	5.0	4.0	66.8600000143	0.0	0.0584629811347	0.987321615219	-0.147574186325	30.0547683413	11.2044420077	-37.0511016846	-57.8136978149	-27.4374504089	0.469464587091	12.0	2.92000007629	101.238616839	4.0	15.7600002289	0.986006982905	1.0	1
1.0	1785.04602051	6.0	4.0	1190.92529297	9.0	5.0	79.0399998426	0.0	0.997890472412	-0.0560426227748	-0.0327684432268	22.3612824463	3.46214091318	-42.4563522339	-63.1355514526	-17.4420509338	0.724113852449	4.0	0.920000016689	34.6736001968	3.0	15.1999998093	0.808799320979	1.0	1
1.0	1543.08813477	5.0	3.0	1700.30200195	7.0	5.0	72.7999997139	0.0	0.997890472412	-0.0560426227748	-0.0327684432268	22.3612824463	3.46214091318	-42.4563522339	-63.1355514526	-17.4420509338	0.724113852449	5.0	2.92000007629	24.8804005384	5.0	15.1999998093	0.666904847337	1.0	1
1.0	669.480957031	3.0	3.0	1231.14990234	5.0	2.0	59.5800008774	0.0	-0.997893154621	0.0560521371663	0.032670468092	0.0	28.0374341655	-36.7243995667	-63.1423492432	-22.1717987061	0.0228379652989	2.0	15.1999998093	29.4936008453	2.0	15.7600002289	0.120188508022	1.0	1
1.0	811.822387695	1.0	1.0	461.102966309	3.0	1.0	10.759999752	4.19805897865	0.791156589985	0.0677778571844	-0.607846558094	6.01838666505	16.7372167369	-18.1485500336	-67.1960449219	-20.710849762	0.559027211552	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2176.07617188	13.0	10.0	4600.03271484	6.0	5.0	231.180000067	0.0	-0.104946158826	-0.992572069168	-0.0615384466946	0.992875339905	39.5271144966	-41.6209030151	-54.1955490112	-27.4787502289	0.85902823578	15.0	1.05999994278	152.940000772	9.0	15.1599998474	0.998654835386	1.0	1
1.0	1543.69091797	6.0	2.0	1999.85693359	6.0	2.0	5.46000003815	0.0	0.995600402355	-0.0935389325023	0.00550814997405	22.732750361	36.70936992	-37.1462020874	-57.0187530518	-29.4239997864	0.310093504342	1.0	7.40000009537	0.0	1.0	15.1599998474	0.831542609451	1.0	1
1.0	2252.71679688	8.0	5.0	4148.734375	10.0	6.0	136.63999939	0.0	-0.104946158826	-0.992572069168	-0.0615384466946	0.992875339905	39.5271144966	-41.6209030151	-54.1955490112	-27.4787502289	0.85902823578	11.0	1.05999994278	106.500000954	5.0	11.8800001144	0.983655892852	1.0	1
1.0	1436.18188477	4.0	1.0	914.88494873	6.0	1.0	10.759999752	4.19805897865	0.791156589985	0.0677778571844	-0.607846558094	28.9313518145	19.1238946107	-18.1485500336	-67.1960449219	-20.710849762	0.559027211552	0.0	0.0	0.0	0.0	0.0	0.730334568595	1.0	1
1.0	1573.25390625	7.0	7.0	1322.5690918	6.0	4.0	169.679999828	0.0	-0.104947075248	-0.992566406727	-0.0616281442344	28.4062044399	4.17276201555	-10.2708997726	-66.6487503052	4.94364500046	0.00877736559733	7.0	1.05999994278	62.7600002289	4.0	9.64000034332	0.977050300884	1.0	1
1.0	916.016357422	2.0	2.0	356.908996582	2.0	2.0	27.5400004387	1.45122707668	0.995595753193	-0.0935853347182	0.00555610843003	0.0	0.0	-20.5597991943	-65.4595489502	-31.5747489929	0.74740888241	0.0	0.0	0.0	0.0	0.0	0.156896236942	1.0	1
1.0	1082.48498535	2.0	2.0	779.422363281	5.0	5.0	105.640000343	0.0	0.105044297874	0.992555439472	0.0616392269731	14.3958540468	27.4811231587	-33.5464477539	-57.9405517578	-27.6157989502	0.774869007162	6.0	4.44000005722	58.0600004196	2.0	9.64000034332	0.988819838873	1.0	1
1.0	1685.6628418	5.0	2.0	1080.1640625	4.0	2.0	42.3199996948	0.0	-0.104935109615	-0.992567420006	-0.0616318508983	19.7667443269	2.10323389283	-28.9312000275	-63.8656005859	-16.9820995331	0.217540933193	4.0	4.44000005722	40.7600002289	0.0	14.7600002289	0.805476880814	1.0	1
1.0	200.986404419	2.0	2.0	709.028015137	2.0	1.0	21.8799996376	0.0	0.995591282845	-0.0936355441809	0.00550807965919	6.30855686469	29.882387201	-28.5809001923	-65.4773025513	-15.2525997162	0.24166821918	1.0	9.52000045776	9.72000026703	0.0	9.52000045776	0.986391776491	1.0	1
1.0	627.596984863	1.0	1.0	675.891967773	3.0	1.0	15.3999996185	2.98651302107	-0.0162570215762	-0.16716620326	-0.985794723034	7.75123074774	5.98592012658	-19.2903003693	-69.5552978516	2.397564888	0.374804059401	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1587.32897949	5.0	4.0	1987.02392578	6.0	4.0	58.1399989128	0.0	-0.999344289303	0.0346990264952	0.0103454003111	0.0	29.5188100709	-37.8734016418	-64.2425537109	-22.6622009277	0.605977612028	11.0	2.09999990463	91.3999992609	3.0	9.80000019073	0.98758392903	1.0	1
1.0	1591.25402832	2.0	2.0	1454.81079102	8.0	3.0	23.3799996376	0.0	0.999345242977	-0.0346956625581	-0.0102586466819	2.24226839996	24.6821300452	-42.2601013184	-62.4035491943	-19.2877502441	0.167222825707	4.0	7.46000003815	34.2000002861	0.0	22.6399993896	0.409540326101	1.0	1
1.0	3254.54541016	6.0	5.0	3441.45214844	8.0	6.0	160.719998002	0.0	-0.999344348907	0.0346959009767	0.010345319286	25.3320448012	3.96384014656	-16.3956489563	-69.397644043	10.4708003998	0.325937204137	11.0	5.30000019073	94.9999990463	3.0	6.46000003815	0.981129243223	1.0	1
1.0	1243.78833008	5.0	5.0	2215.08398438	7.0	2.0	65.619998455	0.0	-0.999344289303	0.0346990264952	0.0103454003111	0.0	28.731447106	-37.8734016418	-64.2425537109	-22.6622009277	0.605977612028	5.0	2.09999990463	35.3199996948	1.0	6.36000013351	0.680780073591	1.0	1
1.0	392.789978027	2.0	2.0	1847.57495117	5.0	2.0	11.7199997902	1.45142691875	-0.5180798769	0.159970536828	0.840239644051	3.93006620058	30.8364256754	-36.7200012207	-67.4810028076	-8.54079437256	0.54118676904	0.0	0.0	0.0	0.0	0.0	0.995239122342	1.0	1
1.0	838.91015625	5.0	5.0	2203.6340332	6.0	4.0	103.459998608	0.0	-0.999344289303	0.0346990264952	0.0103454003111	15.4082813647	28.731447106	-37.8734016418	-64.2425537109	-22.6622009277	0.605977612028	5.0	2.09999990463	39.779999733	0.0	12.6599998474	0.947439457172	1.0	1
1.0	2239.71411133	5.0	4.0	1195.67907715	5.0	5.0	97.6200003624	0.0	0.999347925186	-0.034603882581	-0.0103112002835	35.0760647081	2.09465977955	-18.8684997559	-71.7057037354	-3.57418012619	0.870968266824	1.0	5.30000019073	4.48000001907	1.0	5.30000019073	0.984284706048	1.0	1
1.0	1294.83032227	7.0	6.0	1236.25695801	2.0	2.0	85.6599979401	0.0	-0.999344348907	0.0346959009767	0.010345319286	25.3320448012	3.96384014656	-16.3956489563	-69.397644043	10.4708003998	0.325937204137	5.0	6.36000013351	45.6599998474	1.0	6.36000013351	0.398508660113	1.0	1
1.0	1168.05554199	1.0	1.0	788.388000488	2.0	1.0	33.0400002003	0.0	-0.0461879745126	-0.993750929832	0.101615980268	21.5774538238	15.7664101219	-20.2807006836	-70.2593002319	-12.4169998169	0.503442218489	2.0	5.59999990463	9.23999977112	1.0	5.59999990463	-1.0	0.0	1
1.0	3585.18823242	7.0	3.0	2253.07617188	6.0	6.0	140.979999304	0.0	-0.998026132584	0.0331811197102	-0.0533185824752	1.51266658899	21.4543234626	-35.7626495361	-56.0922012329	-39.1949501038	0.791150879805	8.0	5.59999990463	67.9600000381	5.0	16.8199996948	0.995008280784	1.0	1
1.0	1889.9498291	5.0	3.0	2678.05419922	5.0	3.0	100.379999399	0.0	0.0461908690631	0.993749797344	-0.101625658572	3.34827332939	15.0620627022	0.468429505825	-68.5135498047	-18.7761993408	0.662669997149	5.0	5.59999990463	28.4199991226	3.0	7.44000005722	0.834368043564	1.0	1
1.0	2390.60571289	7.0	5.0	2082.64770508	6.0	5.0	76.7999989986	0.0	0.0461943149567	0.993749499321	-0.101626738906	43.2701585054	34.5494810778	-27.1051998138	-64.1462554932	-27.8225002289	0.467574251408	5.0	6.38000011444	33.9399995804	5.0	13.0200004578	0.996321236757	1.0	1
1.0	1122.06848145	2.0	2.0	683.282531738	3.0	2.0	36.5127996616	0.0	-0.99802595377	0.0331811159849	-0.0533219575882	10.7818179963	25.7327010396	-33.7949485779	-64.720703125	-19.4412498474	0.748372373778	5.0	5.59999990463	36.6199989319	3.0	10.4200000763	0.570748619927	1.0	1
1.0	520.261474609	3.0	2.0	122.619102478	2.0	2.0	14.1000003815	2.98154990809	0.301718473434	-0.0912520512938	-0.949020028114	3.67252465664	2.07938029678	-7.97755002975	-72.18800354	-11.6008901596	0.574742497574	2.0	9.65999984741	21.2999997139	0.0	15.8199996948	0.967143498373	1.0	1
1.0	193.174499512	2.0	2.0	844.789001465	4.0	3.0	29.4763998985	0.0	0.99802595377	-0.0331811159849	0.0533219575882	5.42516135336	25.4070252644	-33.7949485779	-64.720703125	-19.4412498474	0.308822773769	2.0	4.07999992371	13.5999994278	1.0	4.07999992371	0.711991842495	1.0	1
1.0	2913.95996094	8.0	7.0	802.435546875	4.0	4.0	143.819999933	0.0	0.0461943149567	0.993749499321	-0.101626738906	17.5854523731	1.01755867427	-27.1051998138	-64.1462554932	-27.8225002289	0.467574251408	10.0	4.07999992371	64.7195985317	8.0	15.8199996948	0.995163380943	1.0	1
1.0	1395.07519531	3.0	2.0	967.561035156	3.0	2.0	60.4200007915	0.0	-0.0461879745126	-0.993750929832	0.101615980268	18.3634062209	15.7664101219	-20.2807006836	-70.2593002319	-12.4169998169	0.503442218489	2.0	5.59999990463	9.23999977112	1.0	5.59999990463	0.197750960993	1.0	1
1.0	1191.29833984	8.0	5.0	2088.35644531	2.0	2.0	87.4399998188	0.0	-0.998026132584	0.0331811197102	-0.0533185824752	1.51266658899	6.39656709247	-35.7626495361	-56.0922012329	-39.1949501038	0.791150879805	2.0	5.59999990463	14.5999994278	2.0	11.8000001907	0.992787577644	1.0	1
1.0	765.046020508	1.0	1.0	454.863006592	1.0	1.0	1.5	3.57009800239	-0.0159443188459	0.271356672049	-0.962346792221	0.0	5.40474790416	-4.63922023773	-65.467300415	-6.37025785446	0.771350032324	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1126.65002441	2.0	2.0	1177.4942627	4.0	4.0	55.7404017523	0.0	0.994934976101	0.0	-0.100520342588	6.97168780908	0.0	-38.6990509033	-54.5663986206	-29.2404499054	0.348624198114	3.0	4.57999992371	30.1000003815	3.0	14.2399997711	0.985895929582	1.0	1
1.0	875.895385742	4.0	4.0	3614.85742188	6.0	4.0	48.2999991179	0.0	0.994934976101	0.0	-0.100520342588	15.2181451442	35.9686910608	-38.6990509033	-54.5663986206	-29.2404499054	0.701142484203	3.0	11.1800003052	25.6800003052	2.0	13.9399995804	0.57252400357	1.0	1
1.0	272.496002197	2.0	1.0	515.03302002	2.0	2.0	36.8199996948	0.0	0.994935154915	0.0	-0.100518830121	2.70769159426	19.8074165941	-20.9143486023	-67.3075027466	-21.2429504395	0.767101725167	1.0	5.46000003815	5.46000003815	0.0	5.46000003815	0.984380349715	1.0	1
1.0	884.567016602	2.0	2.0	335.342010498	1.0	1.0	15.8999996185	0.0	0.994935154915	0.0	-0.100518830121	26.9380319632	0.0	-20.9143486023	-67.3075027466	-21.2429504395	0.767101725167	1.0	5.46000003815	5.46000003815	0.0	5.46000003815	0.164174659418	1.0	1
1.0	1334.05505371	3.0	1.0	299.212005615	2.0	2.0	18.4199995995	0.0	-0.994935154915	0.0	0.100518830121	26.341140893	2.70769159426	-20.9143486023	-67.3075027466	-21.2429504395	0.767101725167	1.0	5.46000003815	5.46000003815	0.0	5.46000003815	0.29385787475	1.0	1
1.0	1245.27978516	1.0	1.0	1069.22167969	4.0	2.0	23.2199995518	1.33224995627	0.0428199656308	0.563982129097	-0.824676036835	19.4740951249	10.3724292515	-30.4400997162	-63.2615013123	-29.8682498932	0.823936500662	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1381.99743652	3.0	2.0	1429.34350586	7.0	3.0	58.0799987316	1.33224995627	0.0428199656308	0.563982129097	-0.824676036835	19.4740951249	26.9281718813	-30.4400997162	-63.2615013123	-29.8682498932	0.823936500662	0.0	0.0	0.0	0.0	0.0	0.598532245932	1.0	1
1.0	1632.41308594	8.0	2.0	2708.29125977	8.0	3.0	22.3000001907	0.0	-0.04291254282	-0.985951066017	0.161428064108	34.6196296439	11.0160418048	-33.0177993774	-64.0791473389	-27.8350505829	0.429873040646	2.0	16.7999992371	34.7999992371	3.0	19.7600002289	0.995608425858	1.0	1
1.0	847.868530273	4.0	2.0	737.043212891	5.0	2.0	40.944399178	0.0	0.998985588551	-0.0365927219391	0.0262443777174	18.878923181	14.5955291492	-32.7469482422	-66.9598999023	-18.2521495819	0.178029900584	2.0	15.6000003815	32.0800008774	0.0	16.7800006866	0.917425930294	1.0	1
1.0	1791.22229004	5.0	1.0	2377.46850586	7.0	3.0	32.7599995136	0.0	-0.0429979115725	-0.985947549343	0.161426961422	31.756374352	2.16911535255	-36.4694519043	-58.1992492676	-30.1730499268	0.0522206726541	2.0	16.7999992371	34.7999992371	2.0	19.7600002289	0.940641758263	1.0	1
1.0	1103.0189209	6.0	6.0	2542.96020508	6.0	4.0	108.719998598	0.0	0.998987436295	-0.0365989692509	0.0261648651212	32.4516275852	21.3951710295	-31.5022506714	-67.0054931641	-18.219499588	0.369287437445	3.0	16.0	47.4000005722	2.0	16.7999992371	0.943599566881	1.0	1
1.0	1500.72424316	1.0	1.0	995.671813965	5.0	2.0	52.0599999428	0.0	-0.00372634385712	-0.980664551258	0.195660918951	21.7795940444	12.7536369241	-21.7841491699	-64.6880493164	0.855670511723	0.876504799939	3.0	3.33999991417	7.15999984741	1.0	3.33999991417	-1.0	0.0	1
1.0	563.407958984	3.0	1.0	1148.20812988	6.0	2.0	13.3800001144	2.11717972983	-0.739476561546	-0.349091440439	0.575594961643	27.3024098635	24.8861014872	-29.2461509705	-57.2762985229	-35.7072486877	0.404475728344	0.0	0.0	0.0	0.0	0.0	0.986152089228	1.0	1
1.0	1374.51123047	5.0	4.0	1225.30212402	8.0	3.0	53.1399993896	0.0	-0.0189132746309	0.167166486382	0.985747277737	15.6293500385	6.20839432829	-3.04051494598	-61.3395996094	-11.6931495667	0.631306349369	1.0	4.03999996185	3.05999994278	0.0	4.03999996185	0.466331261478	1.0	1
1.0	3118.06030273	8.0	4.0	1148.21435547	11.0	8.0	102.100000143	0.0	0.999825716019	0.0	0.0186704862863	26.8968912354	1.53508737525	-26.6822013855	-65.174697876	0.861354470253	0.953453404442	7.0	3.33999991417	67.2999994755	2.0	14.1000003815	0.984353075558	1.0	1
1.0	1408.44909668	1.0	1.0	978.016845703	5.0	1.0	10.7399997711	3.11055943919	0.577875494957	-0.138140425086	-0.804348886013	25.2042076684	16.5092523184	-26.498550415	-66.7975997925	-8.71221542358	0.831016295366	0.0	0.0	0.0	0.0	0.0	0.341648535221	1.0	1
1.0	2193.73754883	4.0	3.0	1447.27807617	7.0	5.0	82.9800000191	0.0	-0.00372824305668	-0.980662465096	0.195671260357	8.83566854241	20.5990784962	-27.5728492737	-58.1448516846	-37.8322982788	0.660404607963	5.0	3.33999991417	25.1399993896	1.0	3.33999991417	0.199439244468	1.0	1
1.0	2192.78100586	7.0	6.0	1137.91052246	8.0	8.0	198.877201676	0.0	-0.00372825865634	-0.980662703514	0.195670157671	14.8089190219	13.6584423897	-40.7989501953	-61.6748504639	-29.2210006714	0.738771206518	6.0	1.13999998569	34.7999997139	0.0	13.3199996948	0.975611774447	1.0	1
1.0	2211.30712891	3.0	2.0	285.089111328	3.0	2.0	50.2000002861	0.0	0.00383201893419	0.980662465096	-0.195669338107	19.3131040729	31.9082824576	-36.7246017456	-64.25025177	-14.6532001495	0.0734456136074	1.0	11.0600004196	10.720000267	1.0	11.0600004196	0.173992395935	1.0	1
1.0	2871.3894043	7.0	6.0	844.079711914	7.0	7.0	115.739999294	0.0	-0.0189132746309	0.167166486382	0.985747277737	21.8833240696	6.20839432829	-3.04051494598	-61.3395996094	-11.6931495667	0.631306349369	4.0	3.33999991417	25.939999342	0.0	12.8599996567	0.966105165865	1.0	1
1.0	803.924987793	1.0	1.0	681.203979492	1.0	1.0	21.9199995995	1.94295134742	0.394748419523	-0.195571988821	-0.897733390331	8.82548846935	20.30765802	-29.363199234	-67.751449585	-12.5165996552	0.852168607516	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1604.23730469	4.0	2.0	1093.72692871	5.0	2.0	50.7600002289	0.0	0.0265261642635	0.970082998276	-0.241320088506	10.462012902	31.1079481299	-24.5199012756	-69.0924987793	-20.9881515503	0.696980525465	1.0	5.19999980927	4.15999984741	1.0	5.19999980927	0.975505669748	1.0	1
1.0	577.073791504	3.0	3.0	1703.49633789	6.0	4.0	65.92000103	0.0	0.993508279324	0.0	0.113759703934	2.35802608101	12.4399846107	-25.7479496002	-47.0443992615	-45.410697937	0.733684555909	3.0	6.51999998093	26.960000515	2.0	10.3199996948	0.765159751808	1.0	1
1.0	2006.81665039	7.0	6.0	2511.32519531	7.0	6.0	134.279999852	0.0	0.993508279324	0.0	0.113759703934	2.35802608101	12.4399846107	-25.7479496002	-47.0443992615	-45.410697937	0.733684555909	5.0	6.51999998093	44.3199996948	2.0	21.2000007629	0.994498172182	1.0	1
1.0	548.817016602	2.0	2.0	674.942993164	2.0	1.0	41.8800010681	0.0	-0.0265243332833	-0.970082998276	0.241320103407	8.27922703121	20.643196883	-30.260099411	-65.4990005493	-9.44104003906	0.198333866744	2.0	10.3199996948	23.4000005722	1.0	10.3199996948	0.662697380757	1.0	1
1.0	1965.63928223	6.0	6.0	1788.30847168	6.0	5.0	159.400000215	0.0	-0.0265243202448	-0.970082581043	0.241321831942	16.2949931284	12.9076201548	-36.1382980347	-54.1477012634	-37.3202514648	0.54293412732	4.0	5.19999980927	32.9599995613	2.0	6.51999998093	0.983222869139	1.0	1
1.0	852.622497559	1.0	1.0	896.253967285	2.0	2.0	38.4400000572	1.94295134742	0.394748419523	-0.195571988821	-0.897733390331	8.82548846935	21.4034909451	-29.363199234	-67.751449585	-12.5165996552	0.852168607516	0.0	0.0	0.0	0.0	0.0	0.169727928957	1.0	1
