valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	200.293609619	2.0	0.0	379.483001709	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.1095968279e-10	0.0	1
1.0	3544.45825195	13.0	2.0	813.332580566	4.0	1.0	29.5200004578	3.02798616546	0.0584509670734	0.987318515778	-0.147599577904	33.4741840111	1.77428914415	-3.5282599926	7.7275800705	-60.9302520752	0.868911765864	0.0	0.0	0.0	0.0	0.0	0.987723698508	1.0	1
1.0	2659.54663086	15.0	4.0	1324.59411621	4.0	3.0	95.4800014496	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	7.46230418927	33.8134357399	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.994955391784	1.0	1
1.0	2913.74414062	12.0	2.0	1455.31274414	6.0	2.0	47.1200010777	2.40177014954	0.235953509808	0.965738415718	0.108051970601	16.632775169	19.2245161588	-5.25259971619	-10.1245651245	-63.4784507751	0.931301464519	0.0	0.0	0.0	0.0	0.0	0.984282065729	1.0	1
1.0	566.705200195	6.0	1.0	403.527496338	2.0	1.0	23.1200008392	3.03532701795	-0.0479213297367	0.988500416279	-0.143423825502	1.48150674303	14.0092105035	-3.52782487869	5.4349322319	-71.0822982788	0.481138210388	0.0	0.0	0.0	0.0	0.0	0.610673502185	1.0	1
1.0	339.080993652	2.0	1.0	281.317993164	1.0	1.0	18.6599998474	3.29883318416	-0.491815149784	0.869408607483	0.0473979376256	1.82053308256	8.9052889857	-15.6428489685	18.680398941	-79.283493042	0.279749857457	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4705.47802734	9.0	2.0	2205.1652832	4.0	2.0	37.9000005722	0.0	0.10493888706	0.992566823959	0.0616356544197	4.17287139055	3.6409584086	-34.4976005554	21.0193996429	-70.2350006104	0.611444803294	1.0	16.8999996185	16.1800003052	0.0	16.8999996185	0.993807197859	1.0	1
1.0	1081.56469727	6.0	1.0	281.317993164	1.0	1.0	18.6599998474	3.29883318416	-0.491815149784	0.869408607483	0.0473979376256	1.82053308256	8.9052889857	-15.6428489685	18.680398941	-79.283493042	0.279749857457	0.0	0.0	0.0	0.0	0.0	0.144011364086	1.0	1
1.0	6068.93017578	8.0	2.0	2255.12695312	5.0	4.0	103.880000114	2.73076727331	0.63697630167	0.63049530983	-0.44355031848	40.5894192427	0.0	-24.6098995209	-5.70313501358	-73.5746994019	0.798122464859	0.0	0.0	0.0	0.0	0.0	0.999925966322	1.0	1
1.0	2767.7734375	5.0	2.0	749.161010742	3.0	1.0	43.1199989319	2.73076727331	0.63697630167	0.63049530983	-0.44355031848	21.9676470496	0.0	-24.6098995209	-5.70313501358	-73.5746994019	0.798122464859	0.0	0.0	0.0	0.0	0.0	0.783622287787	1.0	1
